geo,imports_unit_value_index_2000100,time
dza,114.8,1980
dza,122.8,1981
dza,116.9,1982
dza,113.0,1983
dza,111.8,1984
dza,107.0,1985
dza,100.3,1986
dza,76.54,1987
dza,83.58,1988
dza,102.9,1989
dza,106.3,1990
dza,117.3,1991
dza,124.6,1992
dza,125.5,1993
dza,129.5,1994
dza,137.9,1995
dza,121.0,1996
dza,114.3,1997
dza,114.3,1998
dza,99.6,1999
dza,100.0,2000
dza,108.0,2001
dza,124.1,2002
dza,140.4,2003
dza,206.1,2004
dza,225.2,2005
dza,231.9,2006
dza,279.5,2007
dza,413.7,2008
ago,43.68,1980
ago,55.22,1981
ago,38.91,1982
ago,32.35,1983
ago,41.32,1984
ago,46.09,1985
ago,35.73,1986
ago,42.87,1987
ago,45.14,1988
ago,44.02,1989
ago,51.92,1990
ago,44.32,1991
ago,65.41,1992
ago,48.12,1993
ago,47.84,1994
ago,48.29,1995
ago,67.13,1996
ago,85.44,1997
ago,68.41,1998
ago,102.3,1999
ago,100.0,2000
ago,104.6,2001
ago,123.7,2002
ago,180.3,2003
ago,191.9,2004
ago,274.8,2005
ago,288.8,2006
ago,449.5,2007
ago,561.8,2008
arg,41.71,1980
arg,37.31,1981
arg,21.12,1982
arg,17.82,1983
arg,18.14,1984
arg,15.09,1985
arg,18.69,1986
arg,23.02,1987
arg,21.05,1988
arg,16.63,1989
arg,16.13,1990
arg,32.11,1991
arg,58.83,1992
arg,66.39,1993
arg,85.4,1994
arg,79.59,1995
arg,93.99,1996
arg,120.4,1997
arg,124.1,1998
arg,100.9,1999
arg,100.0,2000
arg,80.78,2001
arg,35.74,2002
arg,54.99,2003
arg,89.23,2004
arg,114.1,2005
arg,135.8,2006
arg,177.7,2007
arg,228.2,2008
abw,22.97,1986
abw,28.27,1987
abw,40.27,1988
abw,46.29,1989
abw,64.21,1990
abw,57.59,1991
abw,59.38,1992
abw,63.46,1993
abw,65.25,1994
abw,68.61,1995
abw,79.1,1996
abw,81.9,1997
abw,58.77,1998
abw,77.23,1999
abw,100.0,2000
abw,91.81,2001
abw,78.36,2002
abw,92.92,2003
abw,116.3,2004
abw,133.9,2005
abw,146.7,2006
abw,110.3,2007
abw,162.5,2008
aus,23.38,1980
aus,26.4,1981
aus,26.12,1982
aus,22.12,1983
aus,27.12,1984
aus,27.0,1985
aus,27.62,1986
aus,31.13,1987
aus,40.21,1988
aus,48.6,1989
aus,47.67,1990
aus,47.35,1991
aus,50.63,1992
aus,53.48,1993
aus,64.57,1994
aus,74.25,1995
aus,80.53,1996
aus,85.52,1997
aus,85.02,1998
aus,94.26,1999
aus,100.0,2000
aus,91.8,2001
aus,99.36,2002
aus,111.2,2003
aus,129.4,2004
aus,150.0,2005
aus,174.2,2006
aus,197.9,2007
aus,259.3,2008
bhr,75.17,1980
bhr,89.01,1981
bhr,78.01,1982
bhr,70.4,1983
bhr,75.1,1984
bhr,67.06,1985
bhr,51.91,1986
bhr,58.57,1987
bhr,55.98,1988
bhr,67.64,1989
bhr,80.12,1990
bhr,88.82,1991
bhr,92.02,1992
bhr,83.27,1993
bhr,80.9,1994
bhr,80.2,1995
bhr,92.2,1996
bhr,86.89,1997
bhr,76.97,1998
bhr,79.81,1999
bhr,100.0,2000
bhr,92.94,2001
bhr,108.2,2002
bhr,122.1,2003
bhr,159.4,2004
bhr,202.7,2005
bhr,227.0,2006
bhr,247.9,2007
