geo,improved_sanitation_urban_access_percent,time
afg,36,1991
afg,36,1992
afg,36,1993
afg,36,1994
afg,36,1995
afg,38,1996
afg,40,1997
afg,42,1998
afg,44,1999
afg,46,2000
afg,48,2001
afg,50,2002
afg,52,2003
afg,54,2004
afg,56,2005
afg,58,2006
afg,60,2007
afg,60,2008
afg,60,2009
afg,60,2010
alb,94,1990
alb,94,1991
alb,94,1992
alb,94,1993
alb,94,1994
alb,94,1995
alb,94,1996
alb,94,1997
alb,94,1998
alb,94,1999
alb,95,2000
alb,95,2001
alb,95,2002
alb,95,2003
alb,95,2004
alb,95,2005
alb,95,2006
alb,95,2007
alb,95,2008
alb,95,2009
alb,95,2010
dza,99,1990
dza,99,1991
dza,99,1992
dza,99,1993
dza,99,1994
dza,99,1995
dza,99,1996
dza,99,1997
dza,99,1998
dza,99,1999
dza,99,2000
dza,98,2001
dza,98,2002
dza,98,2003
dza,98,2004
dza,98,2005
dza,98,2006
dza,98,2007
dza,98,2008
dza,98,2009
dza,98,2010
and,100,1990
and,100,1991
and,100,1992
and,100,1993
and,100,1994
and,100,1995
and,100,1996
and,100,1997
and,100,1998
and,100,1999
and,100,2000
and,100,2001
and,100,2002
and,100,2003
and,100,2004
and,100,2005
and,100,2006
and,100,2007
and,100,2008
and,100,2009
and,100,2010
ago,67,1990
ago,67,1991
ago,67,1992
ago,67,1993
ago,68,1994
ago,69,1995
ago,71,1996
ago,72,1997
ago,73,1998
ago,74,1999
ago,75,2000
ago,76,2001
ago,77,2002
ago,78,2003
ago,80,2004
ago,81,2005
ago,82,2006
ago,83,2007
ago,84,2008
ago,85,2009
ago,85,2010
atg,98,1992
atg,98,1993
atg,98,1994
atg,98,1995
atg,98,1996
atg,98,1997
atg,98,1998
atg,98,1999
atg,98,2000
atg,98,2001
atg,98,2002
atg,98,2003
atg,98,2004
atg,98,2005
atg,98,2006
atg,98,2007
atg,98,2008
atg,98,2009
atg,98,2010
arg,93,1990
arg,93,1991
arg,93,1992
arg,93,1993
arg,93,1994
arg,93,1995
arg,92,1996
arg,92,1997
arg,92,1998
arg,92,1999
arg,92,2000
arg,92,2001
arg,91,2002
arg,91,2003
arg,91,2004
arg,91,2005
arg,91,2006
arg,91,2007
arm,95,1990
arm,95,1991
arm,95,1992
arm,95,1993
arm,95,1994
arm,95,1995
arm,95,1996
arm,95,1997
arm,95,1998
arm,95,1999
arm,95,2000
arm,95,2001
arm,95,2002
arm,95,2003
arm,95,2004
arm,95,2005
arm,95,2006
arm,95,2007
arm,95,2008
arm,95,2009
arm,95,2010
aus,100,1990
aus,100,1991
aus,100,1992
aus,100,1993
aus,100,1994
aus,100,1995
aus,100,1996
aus,100,1997
aus,100,1998
aus,100,1999
aus,100,2000
aus,100,2001
aus,100,2002
aus,100,2003
aus,100,2004
aus,100,2005
aus,100,2006
aus,100,2007
aus,100,2008
aus,100,2009
