geo,income_share_of_richest_20percent,time
alb,37.76,1997
alb,37.09,2002
alb,40.93,2005
dza,47.18,1988
dza,42.42,1995
ago,61.86,2000
arg,49.77,1986
arg,50.21,1992
arg,52.92,1996
arg,53.8,1998
arg,56.6,2002
arg,53.88,2005
arm,50.42,1996
arm,43.98,1999
arm,44.0,2002
arm,42.78,2003
aus,41.32,1994
aut,37.79,2000
aze,42.04,1995
aze,44.19,2001
aze,30.15,2005
bgd,36.22,1992
bgd,40.32,1996
bgd,40.35,2000
bgd,40.77,2005
blr,33.12,1988
blr,32.95,1993
blr,35.53,1997
blr,38.73,1998
blr,38.94,2000
blr,38.19,2002
blr,36.69,2005
bel,41.38,2000
ben,45.9,2003
btn,53.01,2003
bol,47.91,1991
bol,61.6,1997
bol,60.16,1999
bol,62.78,2002
bol,60.71,2005
bih,37.2,2001
bih,42.81,2004
bwa,58.89,1986
bwa,64.91,1994
bwa,65.0,1995
bra,61.67,1981
bra,62.28,1982
bra,62.71,1983
bra,62.75,1984
bra,63.1,1985
bra,62.25,1986
bra,63.13,1987
bra,64.81,1988
bra,66.82,1989
bra,64.46,1990
bra,61.14,1992
bra,63.48,1993
bra,63.23,1995
bra,63.11,1996
bra,63.22,1997
bra,63.2,1998
bra,62.64,1999
bra,62.63,2001
bra,62.31,2002
bra,61.62,2003
bra,60.02,2005
bra,58.73,2007
bgr,33.84,1989
bgr,34.69,1994
bgr,36.57,1997
bgr,41.15,2001
bgr,38.08,2003
bfa,56.74,1994
bfa,53.62,1998
bfa,47.07,2003
bdi,41.63,1992
bdi,47.98,1998
bdi,42.75,2006
khm,46.83,1994
khm,49.37,2004
khm,48.76,2007
cmr,53.26,1996
cmr,50.86,2001
can,39.94,2000
cpv,55.9,2001
caf,64.98,1993
caf,49.4,2003
tcd,46.56,2003
chl,60.96,1987
chl,59.66,1990
chl,59.4,1994
chl,59.3,1996
chl,59.82,1998
chl,59.63,2000
chl,59.33,2003
chl,56.75,2006
chn,47.81,2005
col,61.24,1995
col,59.81,1996
col,61.53,1999
col,60.79,2000
col,62.4,2003
col,61.61,2006
com,68.02,2004
cod,50.6,2006
cog,53.14,2005
cri,51.4,1981
cri,39.44,1986
cri,49.89,1990
cri,50.59,1993
cri,51.26,1996
cri,52.44,1998
cri,51.24,2000
cri,54.19,2001
cri,53.55,2003
cri,51.75,2005
civ,47.43,1985
civ,47.43,1987
civ,44.08,1988
civ,44.4,1993
civ,44.25,1995
civ,50.04,1998
civ,54.11,2002
hrv,33.35,1988
hrv,36.06,1998
hrv,37.03,1999
hrv,39.45,2001
hrv,37.72,2005
cze,31.12,1988
cze,37.24,1993
cze,36.24,1996
dnk,35.8,1997
dji,43.26,1996
dji,46.47,2002
dom,52.36,1986
dom,55.33,1989
dom,56.47,1992
dom,53.31,1996
dom,56.28,2000
dom,56.34,2003
dom,54.52,2005
ecu,54.17,1987
ecu,55.56,1994
ecu,57.79,1998
ecu,65.65,2003
ecu,57.6,2005
ecu,58.51,2007
egy,41.09,1991
egy,39.91,1996
egy,42.1,2000
egy,41.46,2005
slv,51.75,1989
slv,54.08,1995
slv,56.13,1996
slv,56.37,1998
slv,55.21,2000
slv,55.45,2002
slv,52.94,2003
slv,53.41,2005
est,32.66,1988
est,46.29,1993
est,37.96,1995
est,44.66,1998
est,43.77,2000
est,43.61,2002
est,43.01,2004
eth,41.31,1982
eth,47.72,1995
eth,39.41,2000
eth,39.36,2005
fin,36.7,2000
fra,40.21,1995
gab,47.93,2005
gmb,55.25,1998
gmb,52.84,2003
geo,43.48,1996
geo,44.18,1999
geo,46.2,2002
geo,46.41,2005
deu,36.88,2000
gha,42.68,1988
gha,43.38,1989
gha,45.29,1992
gha,46.75,1998
gha,48.55,2006
grc,41.49,2000
gtm,61.96,1987
gtm,62.87,1989
gtm,59.67,1998
gtm,59.21,2000
gtm,58.91,2002
gtm,57.83,2006
gin,50.12,1991
gin,47.1,1994
gin,49.71,2003
gnb,58.86,1991
gnb,53.5,1993
gnb,43.0,2002
guy,56.38,1993
guy,49.5,1998
hti,62.97,2001
hnd,61.21,1990
hnd,58.47,1992
hnd,59.28,1994
hnd,57.01,1997
hnd,55.4,1999
hnd,58.33,2003
hnd,60.05,2005
hnd,58.44,2006
hkg,50.75,1996
hun,32.38,1987
hun,35.41,1989
hun,37.9,1993
hun,34.85,1998
hun,37.4,1999
hun,36.43,2002
hun,38.73,2004
ind,45.34,2005
idn,47.27,2005
irn,52.54,1986
irn,49.24,1990
irn,48.94,1994
irn,49.68,1998
irn,44.97,2005
irl,42.05,2000
isr,44.93,2001
ita,42.02,2000
jam,49.0,1988
jam,48.31,1990
jam,42.57,1993
jam,47.26,1996
jam,49.98,1999
jam,53.48,2002
jam,51.15,2004
jpn,35.65,1993
jor,43.54,1987
jor,49.83,1992
jor,44.2,1997
jor,45.72,2003
jor,45.35,2006
kaz,35.12,1988
kaz,40.39,1993
kaz,42.0,1996
kaz,39.34,2001
kaz,42.21,2002
kaz,41.25,2003
ken,61.84,1992
ken,48.09,1994
ken,49.08,1997
ken,52.96,2005
kor,37.45,1998
kgz,36.02,1988
kgz,57.04,1993
kgz,43.53,1998
kgz,42.18,1999
kgz,40.29,2002
kgz,41.36,2004
lao,40.06,1992
lao,43.48,1997
lao,41.59,2002
lao,41.39,2003
lva,32.73,1988
lva,36.5,1993
lva,39.54,1996
lva,41.07,1998
lva,43.13,2002
lva,42.73,2004
lso,59.99,1987
lso,62.18,1993
lso,66.58,1995
lso,56.35,2003
lbr,44.95,2007
ltu,32.89,1988
ltu,41.9,1993
ltu,40.33,1996
ltu,38.44,1998
ltu,40.14,2002
ltu,42.75,2004
lux,38.85,2000
mkd,36.68,1998
mkd,41.23,2000
mkd,45.0,2002
mkd,45.24,2003
mdg,52.52,1980
mdg,51.85,1993
mdg,48.26,1999
mdg,53.33,2001
mdg,53.49,2005
mwi,55.98,1998
mwi,46.53,2004
mys,53.78,1984
mys,52.46,1987
mys,51.83,1989
mys,52.88,1992
mys,53.61,1995
mys,54.0,1997
mys,44.36,2004
mli,56.13,1994
mli,46.65,2001
mli,46.01,2006
mrt,48.64,1987
mrt,56.06,1993
mrt,44.07,1996
mrt,45.66,2000
mex,51.67,1984
mex,59.16,1989
mex,55.59,1992
mex,56.51,1994
mex,53.38,1996
mex,53.52,1998
mex,56.35,2000
mex,54.52,2002
mex,51.01,2004
mex,53.29,2006
mda,34.18,1988
mda,41.41,1992
mda,43.55,1997
mda,44.06,1999
mda,44.09,2002
mda,43.14,2004
mng,40.76,1995
mng,38.15,1998
mng,40.49,2002
mng,40.48,2005
mar,46.3,1985
mar,46.44,1991
mar,46.18,1999
mar,47.33,2001
mar,47.88,2007
moz,50.69,1997
moz,53.29,2003
nam,78.25,1993
npl,45.74,1996
npl,54.24,2004
nld,38.68,1999
nzl,43.76,1997
nic,59.94,1993
nic,57.87,1998
nic,55.3,2001
nic,56.88,2005
ner,43.91,1992
ner,48.13,1994
ner,50.32,2005
nga,45.01,1986
nga,49.37,1993
nga,52.2,1996
nga,48.61,2004
nor,37.23,2000
pak,42.08,1987
pak,41.68,1991
pak,40.14,1993
pak,38.95,1997
pak,42.12,1999
pak,40.07,2002
pak,40.51,2005
pan,53.43,1979
pan,59.98,1991
pan,60.4,1995
pan,59.69,1996
pan,52.25,1997
pan,59.81,2000
pan,60.17,2002
pan,58.69,2004
pan,58.04,2006
png,56.35,1996
pry,45.78,1990
pry,62.37,1995
pry,59.49,1998
pry,59.9,1999
pry,60.94,2002
pry,57.61,2005
pry,57.42,2007
per,51.13,1986
per,50.04,1990
per,50.38,1994
per,51.1,1996
per,58.52,2002
per,56.54,2005
per,53.97,2006
phl,48.08,1985
phl,47.77,1988
phl,50.46,1991
phl,49.54,1994
phl,52.33,1997
phl,52.3,2000
phl,50.68,2003
phl,50.41,2006
pol,34.97,1985
pol,35.27,1987
pol,36.06,1989
pol,38.93,1993
pol,41.07,1996
pol,41.03,1999
pol,41.78,2002
pol,42.38,2005
prt,45.87,1997
rou,33.24,1989
rou,34.64,1992
rou,37.15,1994
rou,38.18,1998
rou,38.41,2000
rou,39.4,2002
rou,39.92,2005
rus,33.63,1988
rus,53.34,1993
rus,51.05,1996
rus,43.73,1999
rus,42.5,2002
rus,44.05,2005
rwa,38.92,1985
rwa,52.57,2000
lca,48.34,1995
sen,58.62,1991
sen,48.51,1995
sen,48.39,2001
sen,45.88,2005
sle,63.79,1990
sle,49.29,2003
sgp,48.97,1998
svk,31.4,1988
svk,31.32,1992
svk,34.81,1996
svn,33.99,1987
svn,38.63,1993
svn,37.32,1998
svn,37.76,2002
svn,39.43,2004
zaf,64.33,1993
zaf,61.83,1995
zaf,62.65,2000
esp,42.0,2000
lka,41.12,1985
lka,41.5,1991
lka,43.91,1996
lka,47.97,2002
sur,56.36,1999
swz,64.33,1995
swz,55.9,2001
swe,36.63,2000
che,41.33,2000
tjk,39.87,1999
tjk,40.85,2003
tjk,41.44,2004
tza,41.61,1992
tza,42.31,2000
tha,51.4,1981
tha,50.73,1988
tha,52.72,1992
tha,49.76,1996
tha,50.3,1999
tha,48.61,2002
tha,48.99,2004
tls,46.79,2001
tgo,42.4,2006
tto,47.97,1988
tto,45.89,1992
tun,49.49,1985
tun,46.33,1990
tun,47.59,1995
tun,47.15,2000
tur,50.03,1987
tur,47.68,1994
tur,48.81,2002
tur,48.81,2005
tkm,36.33,1988
tkm,42.54,1993
tkm,47.23,1998
uga,49.92,1989
uga,49.1,1992
uga,44.94,1996
uga,49.64,1999
uga,52.24,2002
uga,49.33,2005
ukr,33.5,1988
ukr,35.36,1992
ukr,42.51,1996
ukr,37.77,1999
ukr,37.22,2002
ukr,37.16,2005
gbr,44.02,1999
usa,45.82,2000
ury,47.62,1992
ury,48.85,1996
ury,49.92,1998
ury,49.78,2000
ury,49.77,2001
ury,49.87,2005
ury,51.06,2006
uzb,35.6,1988
uzb,49.56,1998
uzb,42.9,2002
uzb,44.19,2003
ven,59.87,1981
ven,57.99,1987
ven,49.29,1989
ven,47.45,1993
ven,53.01,1996
ven,52.78,1998
ven,52.08,2003
ven,51.79,2005
ven,48.64,2006
vnm,43.98,1993
vnm,44.01,1998
vnm,45.57,2002
vnm,46.89,2004
vnm,45.36,2006
yem,45.91,1992
yem,40.98,1998
yem,45.29,2005
zmb,62.36,1991
zmb,56.61,1993
zmb,54.72,1996
zmb,57.6,1998
zmb,48.79,2003
zmb,55.18,2004
zwe,55.74,1995
