geo,industrial_water_withdrawal_percent_of_total,time
alb,11.0,2002
dza,4.0,1982
dza,15.0,1992
dza,10.0,2002
ago,10.0,1987
ago,17.0,2002
atg,20.0,1992
arg,9.0,2002
arm,14.0,1982
arm,5.6,1987
arm,4.9,1992
arm,4.0,1997
arm,4.421,2002
arm,4.4,2007
aus,10.0,2002
aut,63.0,2002
aze,18.5,1977
aze,19.7,1982
aze,22.5,1987
aze,22.7,1992
aze,17.0,1997
aze,19.6,2002
aze,19.0,2007
bhr,4.0,1992
bhr,3.0,2002
bhr,5.67,2007
brb,44.0,2002
blr,45.4,1982
blr,44.5,1987
blr,43.0,1992
blr,40.0,2002
bel,85.0,1982
bel,85.0,2002
blz,73.0,1997
blz,73.0,2002
ben,13.6,1987
ben,23.0,2002
btn,1.17,2002
bol,5.0,1987
bol,6.8,2002
bwa,20.3,1992
bwa,18.0,2002
bra,18.0,1997
bra,17.0,2002
bgr,75.2,1992
bgr,78.0,2002
bfa,0.75,2002
bdi,5.9,2002
cmr,19.1,1987
cmr,19.0,1992
cmr,8.0,2002
can,68.0,2002
cpv,1.818,2002
caf,16.0,2002
tcd,2.2,1987
chl,25.0,2002
chn,10.3,1982
chn,7.0,1987
chn,10.0,1992
chn,17.0,1997
chn,25.0,2002
com,5.0,2002
cog,27.0,1987
cog,21.0,2002
cri,6.7,1997
cri,17.0,2002
civ,11.0,1987
civ,21.0,1997
civ,11.0,2002
cub,10.0,2002
cyp,2.21,1992
cyp,2.36,1997
cyp,1.42,2002
cze,56.0,2002
prk,25.0,2002
cod,16.0,2002
dnk,27.0,1992
dnk,25.0,2002
dom,0.4,1997
dom,1.0,2002
ecu,5.6,1997
slv,20.1,1992
slv,10.0,2002
gnq,13.0,1987
gnq,15.7,2002
eri,0.17,2007
est,39.2,1997
est,37.0,2002
eth,0.3,2002
fji,20.0,1987
fji,14.0,2002
fin,83.0,2002
fra,74.0,2002
gab,22.0,1987
gab,8.0,2002
gmb,2.0,1982
gmb,11.76,2002
geo,33.1,1987
geo,20.0,1992
geo,12.8,2007
deu,82.0,2002
gha,13.0,1972
gha,9.6,2002
grc,3.0,2002
gtm,13.0,2002
gin,2.9,1987
gin,1.0,2002
gnb,3.614,1992
gnb,4.57,1997
gnb,4.57,2002
guy,0.47,1992
hti,0.55,1992
hti,1.0,2002
hnd,10.0,2002
hun,55.0,1987
hun,58.0,2002
isl,60.0,2002
ind,5.0,2002
idn,0.5,1992
irq,1.0,1977
irq,5.0,1992
irq,10.0,2002
irl,74.0,1982
irl,76.0,2002
isr,4.7,1972
isr,5.0,1982
isr,5.8,1992
isr,6.6,2002
isr,5.7,2007
ita,20.0,1972
ita,36.0,2002
jam,7.2,1997
jam,17.0,2002
jpn,10.0,1982
jpn,10.0,1992
jpn,10.0,2002
jor,5.9,1977
jor,3.7,1987
jor,3.3,1992
jor,4.08,2007
kaz,10.0,1982
kaz,17.0,1987
kaz,17.9,1992
kaz,16.8,1997
kaz,16.0,2002
ken,3.0,1992
kwt,2.4,1997
kwt,2.27,2002
kgz,15.0,1977
kgz,15.0,1982
kgz,7.0,1987
kgz,5.6,1992
kgz,2.8,1997
kgz,3.0,2002
lao,5.0,2002
lva,32.2,1997
lva,30.0,2002
lbn,3.0,1977
lbn,3.0,1997
lbn,11.0,2007
lso,22.0,1987
lso,40.0,2002
lbr,13.0,1987
lbr,18.0,2002
lby,1.0,1992
lby,3.0,2002
ltu,15.0,1997
ltu,14.0,2002
mdg,1.0,2002
mwi,3.4,1997
mwi,4.0,2002
mys,9.8,1992
mys,20.0,2002
mdv,1.6,1987
mli,1.0,1987
mli,0.8,2002
mlt,0.99,2002
mrt,3.9,1982
mrt,2.0,2002
mus,6.88,1977
mus,7.6,1997
mus,2.0,2007
mex,5.0,2002
mng,27.1,1997
mng,27.0,2002
mar,2.9,1992
mar,2.0,2002
moz,1.9,1992
moz,1.0,2002
mmr,0.42,1987
nam,3.21,1992
nam,4.6,2002
nld,59.0,2002
nzl,10.0,1987
nic,2.0,2002
ner,2.0,1992
nga,15.0,1987
nga,10.0,2002
nor,66.0,2002
pse,6.9,2007
omn,1.5,1992
omn,2.0,2002
omn,1.4,2007
pak,1.0,1977
pak,2.0,2002
pan,4.0,2002
png,42.0,2002
pry,7.0,1987
pry,8.0,2002
per,7.2,1992
per,10.0,2002
phl,8.2,1997
phl,9.0,2002
pol,78.0,2002
prt,12.0,2002
qat,2.94,1997
qat,3.0,2002
qat,1.8,2007
kor,16.0,2002
mda,64.7,1992
mda,57.0,2002
rou,33.0,1992
rou,34.0,2002
rus,60.0,1982
rus,58.0,1992
rus,60.0,1997
rus,63.0,2002
rwa,8.0,2002
sau,1.1,1992
sau,3.0,2007
sen,3.0,1987
sen,2.6,2002
syc,9.24,1992
syc,27.64,2007
sle,4.0,1987
sle,2.0,2002
sgp,51.0,1977
som,0.06,2007
zaf,10.8,1992
zaf,6.0,2002
esp,26.0,1987
esp,10.0,2002
lka,1.9,1992
lka,2.0,2002
sur,4.7,1987
sur,2.0,2002
swz,2.4,1982
swz,1.1,2002
swe,55.0,1992
swe,54.0,2002
che,70.0,2002
syr,2.8,1997
syr,3.4,2002
syr,3.5,2007
tjk,4.0,1987
tjk,4.9,1992
tjk,4.2,1997
tjk,4.0,2002
tha,2.0,2002
tgo,13.1,1987
tgo,2.36,2002
tto,25.9,1997
tto,25.0,2002
tun,2.7,1992
tun,4.0,2002
tur,10.0,1992
tur,10.0,2007
tkm,0.5,1992
tkm,0.5,1997
uga,8.0,1972
uga,16.0,2002
ukr,35.0,2002
are,9.0,1982
are,1.7,2007
gbr,77.0,1992
gbr,75.0,2002
tza,0.4,2002
usa,16.0,1992
usa,46.0,2002
ury,3.0,1967
ury,1.0,2002
uzb,3.5,1977
uzb,3.0,1982
uzb,3.4,1987
uzb,2.0,1992
uzb,1.9,1997
ven,11.0,1972
ven,7.0,2002
vnm,6.0,1987
vnm,9.0,1992
vnm,24.0,2002
yem,1.0,1992
yem,2.0,2002
zmb,6.1,1992
zmb,6.9,1997
zmb,7.0,2002
zwe,6.9,1987
zwe,7.0,2002
