geo,inequality_index_gini,time
afg,27.82,2008
alb,29.12,1997
alb,28.15,2002
alb,31.09,2004
alb,33.03,2005
alb,34.51,2008
dza,40.19,1988
dza,35.33,1995
ago,58.64,2000
arg,42.79,1986
arg,45.28,1987
arg,46.61,1991
arg,45.48,1992
arg,44.89,1993
arg,45.96,1994
arg,48.91,1995
arg,49.52,1996
arg,49.11,1997
arg,50.74,1998
arg,49.81,1999
arg,51.11,2000
arg,53.36,2001
arg,53.79,2002
arg,54.72,2003
arg,50.18,2004
arg,49.28,2005
arg,47.72,2006
arg,47.37,2007
arg,46.26,2008
arg,46.13,2009
arg,44.49,2010
arm,44.42,1996
arm,36.01,1999
arm,36.22,2001
arm,35.66,2002
arm,33.8,2003
arm,37.79,2004
arm,36.16,2005
arm,32.84,2006
arm,30.23,2007
arm,30.86,2008
aus,35.19,1994
aut,29.15,2000
aze,34.96,1995
aze,36.5,2001
aze,33.71,2008
bgd,25.88,1984
bgd,26.92,1986
bgd,28.85,1989
bgd,27.6,1992
bgd,33.46,1996
bgd,33.46,2000
bgd,33.22,2005
bgd,32.12,2010
blr,22.76,1988
blr,21.6,1993
blr,28.76,1995
blr,30.28,1998
blr,30.35,2000
blr,30.66,2001
blr,29.97,2002
blr,26.22,2004
blr,27.92,2005
blr,28.63,2006
blr,28.74,2007
blr,27.22,2008
bel,32.97,2000
blz,59.94,1993
blz,61.3,1994
blz,59.54,1995
blz,56.89,1996
blz,57.28,1997
blz,55.01,1998
blz,53.13,1999
ben,38.62,2003
btn,46.83,2003
btn,38.06,2007
bol,42.04,1991
bol,53.55,1993
bol,58.26,1997
bol,57.89,1999
bol,62.78,2000
bol,58.54,2001
bol,59.94,2002
bol,57.79,2005
bol,56.38,2006
bol,57.44,2007
bol,56.29,2008
bih,28.03,2001
bih,35.78,2004
bih,36.21,2007
bwa,54.21,1986
bwa,60.96,1994
bra,57.93,1981
bra,58.42,1982
bra,58.99,1983
bra,58.38,1984
bra,55.59,1985
bra,58.46,1986
bra,59.69,1987
bra,61.43,1988
bra,63.3,1989
bra,61.04,1990
bra,53.99,1992
bra,60.8,1993
bra,60.24,1995
bra,60.55,1996
bra,60.53,1997
bra,60.35,1998
bra,59.78,1999
bra,60.13,2001
bra,59.42,2002
bra,58.78,2003
bra,57.68,2004
bra,57.42,2005
bra,56.77,2006
bra,55.89,2007
bra,55.07,2008
bra,54.69,2009
bgr,23.43,1989
bgr,30.71,1992
bgr,24.32,1994
bgr,31.03,1995
bgr,26.38,1997
bgr,34.34,2001
bgr,29.22,2003
bgr,28.19,2007
bfa,50.71,1994
bfa,46.85,1998
bfa,39.6,2003
bfa,39.79,2009
bdi,33.33,1992
bdi,42.39,1998
bdi,33.27,2006
khm,38.28,1994
khm,41.85,2004
khm,44.37,2007
khm,37.85,2008
cmr,40.68,1996
cmr,40.41,2001
cmr,38.91,2007
can,32.56,2000
cpv,50.52,2002
caf,61.33,1992
caf,43.57,2003
caf,56.3,2008
tcd,39.78,2003
chl,56.21,1987
chl,55.25,1990
chl,54.77,1992
chl,55.05,1994
chl,54.88,1996
chl,55.54,1998
chl,55.26,2000
chl,54.64,2003
chl,51.84,2006
chl,52.06,2009
chn,29.11,1981
chn,27.69,1984
chn,29.85,1987
chn,32.43,1990
chn,35.5,1993
chn,35.7,1996
chn,39.23,1999
chn,42.59,2002
chn,42.48,2005
col,59.13,1980
col,53.11,1988
col,53.59,1989
col,51.32,1991
col,51.45,1992
col,56.94,1996
col,58.74,1999
col,58.68,2000
col,58.01,2001
col,60.68,2002
col,57.86,2003
col,58.29,2004
col,56.12,2005
col,58.66,2006
col,58.88,2007
col,57.23,2008
col,56.67,2009
col,55.91,2010
com,64.3,2004
cod,44.43,2006
cog,47.32,2005
cri,47.49,1981
cri,34.42,1986
cri,46.69,1989
cri,45.3,1990
cri,46.65,1991
cri,45.7,1992
cri,46.0,1993
cri,46.75,1994
cri,45.71,1995
cri,46.54,1996
cri,45.62,1997
cri,45.67,1998
cri,47.67,1999
cri,46.53,2000
cri,50.9,2001
cri,50.72,2002
cri,49.74,2003
cri,48.69,2004
cri,47.63,2005
cri,49.14,2006
cri,49.25,2007
cri,48.87,2008
cri,50.73,2009
civ,41.21,1985
civ,38.62,1986
civ,40.43,1987
civ,36.89,1988
civ,36.91,1993
civ,36.68,1995
civ,43.75,1998
civ,48.39,2002
civ,41.5,2008
hrv,22.78,1988
hrv,26.82,1998
hrv,27.71,1999
hrv,31.33,2000
hrv,31.1,2001
hrv,28.99,2004
hrv,33.65,2008
cze,19.4,1988
cze,26.6,1993
cze,25.82,1996
dnk,24.7,1997
dji,39.96,2002
dom,47.78,1986
dom,50.46,1989
dom,51.36,1992
dom,47.43,1996
dom,48.92,1997
dom,52.01,2000
dom,50.43,2001
dom,50.12,2002
dom,52.09,2003
dom,51.95,2004
dom,51.06,2005
dom,51.9,2006
dom,48.69,2007
dom,49.0,2008
dom,48.86,2009
dom,47.2,2010
ecu,50.49,1987
ecu,54.32,1994
ecu,51.21,1995
ecu,51.67,1998
ecu,60.13,1999
ecu,56.59,2000
ecu,55.06,2003
ecu,54.14,2005
ecu,53.2,2006
ecu,54.31,2007
ecu,50.62,2008
ecu,49.43,2009
ecu,49.26,2010
egy,32.0,1991
egy,30.13,1996
egy,32.76,2000
egy,32.14,2005
egy,30.77,2008
slv,53.97,1991
slv,49.88,1995
slv,51.2,1996
slv,54.52,1998
slv,52.24,1999
slv,53.6,2001
slv,53.1,2002
slv,50.72,2003
slv,49.0,2004
slv,50.33,2005
slv,46.19,2006
slv,46.97,2007
slv,46.75,2008
slv,48.33,2009
est,22.97,1988
est,39.5,1993
est,30.06,1995
est,37.64,1998
est,37.0,2000
est,36.9,2001
est,36.81,2002
est,35.78,2003
est,36.0,2004
eth,32.42,1982
eth,39.96,1995
eth,30.0,2000
eth,29.83,2005
fji,46.81,2003
fji,42.83,2009
fin,26.88,2000
fra,32.74,1995
gab,41.45,2005
gmb,50.23,1998
gmb,47.28,2003
geo,37.13,1996
geo,41.88,1997
geo,37.26,1998
geo,41.06,1999
geo,41.09,2000
geo,41.04,2001
geo,40.31,2002
geo,40.37,2003
geo,41.05,2005
geo,41.11,2006
geo,39.37,2007
geo,41.34,2008
deu,28.31,2000
gha,35.35,1988
gha,35.99,1989
gha,38.13,1992
gha,40.75,1998
gha,42.76,2006
grc,34.27,2000
gtm,58.26,1987
gtm,59.6,1989
gtm,55.8,1998
