geo,infant_mortality_rate_per_1000_births,time
afg,245.0,1960
afg,240.5,1961
afg,236.3,1962
afg,232.3,1963
afg,228.5,1964
afg,224.6,1965
afg,220.7,1966
afg,217.0,1967
afg,213.3,1968
afg,209.8,1969
afg,206.1,1970
afg,202.2,1971
afg,198.2,1972
afg,194.3,1973
afg,190.3,1974
afg,186.6,1975
afg,182.6,1976
afg,178.7,1977
afg,174.5,1978
afg,170.4,1979
afg,166.1,1980
afg,161.8,1981
afg,157.5,1982
afg,153.2,1983
afg,148.7,1984
afg,144.5,1985
afg,140.2,1986
afg,135.7,1987
afg,131.3,1988
afg,126.8,1989
afg,122.5,1990
afg,118.3,1991
afg,114.4,1992
afg,110.9,1993
afg,107.7,1994
afg,105.0,1995
afg,102.7,1996
afg,100.7,1997
afg,98.9,1998
afg,97.2,1999
afg,95.4,2000
afg,93.4,2001
afg,91.2,2002
afg,89.0,2003
afg,86.7,2004
afg,84.4,2005
afg,82.3,2006
afg,80.4,2007
afg,78.6,2008
afg,76.8,2009
afg,75.1,2010
afg,73.4,2011
afg,71.7,2012
afg,69.9,2013
afg,68.1,2014
afg,66.3,2015
alb,120.1,1959
alb,115.4,1960
alb,110.8,1961
alb,106.5,1962
alb,101.8,1963
alb,97.9,1964
alb,94.1,1965
alb,90.2,1966
alb,86.8,1967
alb,83.5,1968
alb,80.2,1969
alb,76.8,1970
alb,74.1,1971
alb,71.0,1972
alb,68.3,1973
alb,65.8,1974
alb,63.1,1975
alb,60.8,1976
alb,58.6,1977
alb,73.0,1978
alb,68.4,1979
alb,64.0,1980
alb,59.9,1981
alb,56.1,1982
alb,52.4,1983
alb,49.1,1984
alb,45.9,1985
alb,43.2,1986
alb,40.8,1987
alb,38.6,1988
alb,36.7,1989
alb,35.1,1990
alb,33.7,1991
alb,32.5,1992
alb,31.4,1993
alb,30.3,1994
alb,29.1,1995
alb,27.9,1996
alb,26.8,1997
alb,25.5,1998
alb,24.4,1999
alb,23.2,2000
alb,22.1,2001
alb,21.0,2002
alb,20.0,2003
alb,19.1,2004
alb,18.3,2005
alb,17.4,2006
alb,16.7,2007
alb,16.0,2008
alb,15.4,2009
alb,14.8,2010
alb,14.3,2011
alb,13.8,2012
alb,13.3,2013
alb,12.9,2014
alb,12.5,2015
dza,150.4,1954
dza,149.9,1955
dza,149.5,1956
dza,149.0,1957
dza,148.8,1958
dza,148.4,1959
dza,148.2,1960
dza,148.1,1961
dza,148.2,1962
dza,148.4,1963
dza,148.7,1964
dza,149.1,1965
dza,149.3,1966
dza,149.2,1967
dza,148.7,1968
dza,147.7,1969
dza,146.0,1970
dza,143.6,1971
dza,140.6,1972
dza,137.0,1973
dza,133.0,1974
dza,128.7,1975
dza,124.0,1976
dza,119.0,1977
dza,113.6,1978
dza,107.8,1979
dza,101.1,1980
dza,93.4,1981
dza,84.6,1982
dza,75.0,1983
dza,65.5,1984
dza,57.2,1985
dza,50.9,1986
dza,46.3,1987
dza,43.1,1988
dza,41.0,1989
dza,39.7,1990
dza,38.8,1991
dza,38.1,1992
dza,37.5,1993
dza,36.9,1994
dza,36.3,1995
dza,35.7,1996
dza,35.1,1997
dza,34.7,1998
dza,34.4,1999
dza,33.9,2000
dza,33.3,2001
dza,32.4,2002
dza,31.3,2003
dza,30.1,2004
dza,28.8,2005
dza,27.6,2006
dza,26.4,2007
dza,25.3,2008
dza,24.3,2009
dza,23.5,2010
dza,22.8,2011
dza,22.4,2012
dza,22.1,2013
dza,22.0,2014
dza,21.9,2015
and,7.0,1989
and,7.5,1990
and,7.0,1991
and,6.5,1992
and,6.1,1993
and,5.6,1994
and,5.2,1995
and,5.0,1996
and,4.6,1997
and,4.3,1998
and,4.1,1999
and,3.9,2000
and,3.7,2001
and,3.5,2002
and,3.3,2003
and,3.2,2004
and,3.1,2005
and,2.9,2006
and,2.8,2007
and,2.7,2008
and,2.6,2009
and,2.5,2010
and,2.4,2011
and,2.3,2012
and,2.2,2013
and,2.1,2014
and,2.1,2015
ago,208.0,1960
ago,180.0,1970
ago,138.3,1980
ago,137.5,1981
ago,136.8,1982
ago,136.0,1983
ago,135.3,1984
ago,134.9,1985
ago,134.4,1986
ago,134.1,1987
ago,133.8,1988
ago,133.6,1989
ago,133.5,1990
ago,133.5,1991
ago,133.5,1992
ago,133.4,1993
ago,133.2,1994
ago,132.8,1995
ago,132.3,1996
ago,131.5,1997
ago,130.6,1998
ago,129.5,1999
ago,128.3,2000
ago,126.9,2001
ago,125.5,2002
ago,124.1,2003
ago,122.8,2004
ago,121.2,2005
ago,119.4,2006
ago,117.1,2007
ago,114.7,2008
ago,112.2,2009
ago,109.6,2010
ago,106.8,2011
ago,104.1,2012
ago,101.4,2013
ago,98.8,2014
ago,96.0,2015
atg,24.0,1990
atg,22.6,1991
atg,21.5,1992
atg,20.3,1993
atg,19.2,1994
atg,18.0,1995
atg,17.1,1996
atg,16.2,1997
atg,15.3,1998
atg,14.5,1999
atg,13.8,2000
atg,13.0,2001
atg,12.3,2002
atg,11.7,2003
atg,11.0,2004
atg,10.4,2005
atg,9.8,2006
atg,9.2,2007
atg,8.8,2008
atg,8.2,2009
atg,7.7,2010
atg,7.2,2011
atg,6.8,2012
atg,6.4,2013
atg,6.1,2014
atg,5.8,2015
arg,148.0,1911
