geo,infectious_tb_detection_rate_percent_dots_only,time
afg,4,1997
afg,12,1998
afg,11,1999
afg,18,2000
afg,29,2001
afg,39,2002
afg,37,2003
afg,45,2004
afg,52,2005
afg,63,2006
afg,64,2007
alb,25,2001
alb,30,2002
alb,31,2003
alb,35,2004
alb,24,2005
alb,38,2006
alb,54,2007
dza,133,1997
dza,127,2000
dza,117,2001
dza,117,2002
dza,116,2003
dza,109,2004
dza,109,2005
dza,104,2006
dza,98,2007
asm,0,1996
asm,90,1997
asm,90,1999
asm,90,2000
asm,90,2001
asm,90,2002
asm,90,2003
asm,90,2004
asm,90,2005
asm,90,2006
ago,61,1997
ago,39,1998
ago,51,1999
ago,75,2001
ago,104,2002
ago,104,2003
ago,90,2004
ago,84,2005
ago,79,2006
ago,102,2007
arg,4,1997
arg,7,1998
arg,20,1999
arg,31,2000
arg,39,2001
arg,72,2002
arg,67,2003
arg,66,2004
arg,67,2005
arg,71,2006
arg,76,2007
arm,12,1995
arm,25,1996
arm,44,1997
arm,44,1998
arm,41,1999
arm,47,2000
arm,29,2001
arm,30,2002
arm,43,2003
arm,48,2004
arm,60,2005
arm,60,2006
arm,51,2007
aus,22,1998
aus,29,1999
aus,23,2000
aus,19,2001
aus,25,2002
aus,9,2003
aus,32,2004
aus,39,2005
aus,42,2006
aus,49,2007
aut,62,2000
aut,52,2001
aut,44,2002
aut,55,2003
aut,45,2004
aut,49,2005
aut,46,2006
aut,41,2007
aze,5,1995
aze,9,1996
aze,7,1997
aze,7,1998
aze,7,1999
aze,6,2000
aze,0,2001
aze,46,2002
aze,29,2003
aze,47,2004
aze,55,2005
aze,50,2006
aze,46,2007
bhs,67,1999
bhs,100,2000
bhs,55,2002
bhs,49,2003
bhs,62,2004
bhs,52,2007
bhr,15,1999
bhr,17,2000
bhr,17,2001
bhr,12,2002
bhr,12,2003
bhr,51,2004
bhr,74,2005
bhr,72,2006
bhr,79,2007
bgd,6,1995
bgd,14,1996
bgd,18,1997
bgd,23,1998
bgd,23,1999
bgd,24,2000
bgd,26,2001
bgd,30,2002
bgd,35,2003
bgd,40,2004
bgd,54,2005
bgd,65,2006
bgd,66,2007
blr,39,2003
blr,42,2004
blr,46,2005
blr,40,2006
blr,40,2007
bel,65,2001
bel,62,2002
bel,56,2003
bel,64,2004
bel,62,2005
bel,59,2006
bel,58,2007
blz,98,1996
blz,67,1997
blz,85,2000
blz,100,2001
blz,130,2002
blz,111,2003
blz,60,2004
blz,101,2005
blz,101,2006
blz,89,2007
ben,84,1995
ben,82,1996
ben,82,1997
ben,81,1998
ben,86,1999
ben,86,2000
ben,84,2002
ben,81,2003
ben,82,2004
ben,83,2005
ben,86,2006
bmu,0,2002
btn,38,1995
btn,33,1996
btn,31,1997
btn,30,1998
btn,36,1999
btn,41,2000
btn,43,2001
btn,44,2002
btn,45,2003
btn,45,2004
btn,40,2005
btn,42,2006
