geo,infectious_tb_new_cases_per_100000_reported,time
afg,3,1997
afg,9,1998
afg,8,1999
afg,14,2000
afg,22,2001
afg,29,2002
afg,28,2003
afg,34,2004
afg,40,2005
afg,48,2006
afg,49,2007
alb,8,1994
alb,4,1995
alb,6,1996
alb,8,1997
alb,7,1998
alb,5,1999
alb,6,2000
alb,6,2001
alb,7,2002
alb,7,2003
alb,6,2004
alb,6,2005
alb,6,2006
alb,5,2007
dza,25,1994
dza,20,1995
dza,23,1996
dza,26,1997
dza,25,1998
dza,26,1999
dza,27,2000
dza,26,2001
dza,26,2002
dza,27,2003
dza,26,2004
dza,26,2005
dza,26,2006
dza,25,2007
asm,2,1993
asm,8,1994
asm,0,1996
asm,11,1997
asm,4,1998
asm,5,1999
asm,4,2000
asm,3,2001
asm,2,2002
asm,3,2003
asm,3,2004
asm,5,2005
asm,5,2006
asm,0,2007
and,25,1993
and,38,1994
and,12,1996
and,26,1997
and,2,1998
and,6,1999
and,2,2000
and,4,2001
and,3,2002
and,10,2003
and,4,2004
and,7,2005
and,11,2006
and,3,2007
ago,42,1993
ago,36,1994
ago,31,1995
ago,63,1996
ago,64,1997
ago,55,1998
ago,54,1999
ago,65,2000
ago,83,2001
ago,123,2002
ago,125,2003
ago,130,2004
ago,127,2005
ago,130,2006
ago,126,2007
aia,0,1995
aia,0,1997
aia,0,2001
aia,0,2002
aia,0,2004
aia,0,2006
aia,0,2007
atg,3,1996
atg,1,1999
atg,4,2000
atg,1,2001
atg,3,2002
atg,1,2003
atg,7,2005
atg,5,2006
atg,2,2007
arg,17,1993
arg,17,1994
arg,16,1995
arg,16,1996
arg,15,1997
arg,14,1998
arg,13,1999
arg,13,2000
arg,15,2001
arg,15,2002
arg,13,2003
arg,12,2004
arg,12,2005
arg,12,2006
arg,13,2007
arm,10,1994
arm,14,1995
arm,10,1996
arm,13,1997
arm,15,1998
arm,19,1999
arm,20,2000
arm,19,2001
arm,17,2002
arm,19,2003
arm,20,2004
arm,19,2005
arm,19,2006
arm,17,2007
aus,3,1993
aus,1,1997
aus,1,1998
aus,2,1999
aus,1,2000
aus,1,2001
aus,1,2002
aus,1,2003
aus,1,2004
aus,1,2005
aus,1,2006
aus,1,2007
aut,6,1995
aut,5,1996
aut,5,1997
aut,5,1998
aut,4,1999
aut,4,2000
aut,3,2001
aut,3,2002
aut,3,2003
aut,3,2004
aut,3,2005
aut,3,2006
aut,2,2007
aze,7,1993
aze,7,1994
aze,9,1995
aze,13,1996
aze,12,1997
aze,9,1998
aze,9,1999
aze,11,2000
aze,11,2001
aze,20,2002
aze,14,2003
aze,18,2004
aze,19,2005
aze,17,2006
aze,16,2007
bhs,15,1993
bhs,15,1994
bhs,14,1995
bhs,9,1996
bhs,20,1997
bhs,10,1998
bhs,12,1999
bhs,18,2000
bhs,10,2002
bhs,9,2003
bhs,12,2004
bhs,10,2007
bhr,15,1993
bhr,3,1995
bhr,5,1996
bhr,4,1997
bhr,4,1998
bhr,3,1999
bhr,4,2000
bhr,3,2001
bhr,3,2002
bhr,2,2003
bhr,10,2004
bhr,14,2005
bhr,13,2006
bhr,14,2007
bgd,16,1993
bgd,1,1994
bgd,16,1995
bgd,23,1996
bgd,25,1997
bgd,28,1998
bgd,28,1999
bgd,28,2000
bgd,29,2001
bgd,32,2002
bgd,36,2003
bgd,42,2004
bgd,55,2005
bgd,65,2006
bgd,66,2007
brb,1,1995
brb,1,1996
brb,2,1997
brb,1,1998
brb,1,1999
brb,1,2000
brb,2,2001
brb,2,2002
brb,7,2004
brb,1,2006
brb,3,2007
blr,15,1993
blr,17,1994
blr,18,1995
blr,21,1996
blr,22,1997
blr,50,1998
blr,27,1999
blr,25,2000
blr,23,2001
blr,10,2003
blr,11,2004
blr,13,2005
blr,11,2006
blr,11,2007
bel,5,1993
bel,4,1994
bel,4,1995
bel,4,1996
bel,4,1997
bel,4,1998
bel,4,1999
bel,4,2000
bel,5,2001
bel,4,2002
bel,4,2003
bel,4,2004
bel,4,2005
bel,3,2006
bel,3,2007
blz,25,1993
blz,17,1994
blz,17,1995
blz,21,1996
blz,14,1997
blz,22,1998
blz,20,1999
blz,18,2000
blz,21,2001
blz,28,2002
blz,24,2003
blz,13,2004
blz,21,2005
blz,21,2006
blz,19,2007
ben,29,1993
ben,27,1994
ben,30,1995
ben,29,1996
ben,29,1997
ben,29,1998
ben,31,1999
ben,32,2000
ben,31,2002
ben,31,2003
ben,31,2004
ben,32,2005
ben,34,2006
bmu,3,1995
bmu,0,1996
bmu,0,1998
bmu,0,1999
bmu,0,2000
bmu,0,2001
bmu,0,2002
bmu,0,2004
bmu,3,2006
btn,69,1994
btn,72,1995
btn,61,1996
btn,55,1997
btn,51,1998
btn,58,1999
btn,62,2000
btn,63,2001
btn,62,2002
btn,59,2003
btn,57,2004
btn,48,2005
btn,48,2006
btn,50,2007
bol,96,1993
bol,94,1994
bol,94,1995
bol,91,1996
bol,83,1997
bol,85,1998
bol,82,1999
bol,78,2000
bol,79,2001
bol,79,2002
bol,72,2003
bol,69,2004
bol,68,2005
bol,62,2006
bol,60,2007
bih,25,1995
bih,27,1996
bih,23,1997
bih,18,1998
bih,21,1999
bih,20,2000
bih,21,2001
bih,14,2002
bih,13,2003
bih,23,2004
bih,16,2005
bih,14,2006
bih,19,2007
bwa,101,1993
bwa,109,1994
bwa,122,1995
bwa,158,1996
bwa,172,1997
bwa,186,1998
bwa,161,1999
bwa,179,2000
bwa,174,2001
bwa,188,2002
bwa,170,2003
bwa,172,2004
bwa,173,2005
bwa,175,2006
bwa,160,2007
bra,25,1994
bra,28,1995
bra,27,1996
bra,26,1997
bra,26,1998
bra,24,1999
bra,24,2000
bra,22,2001
bra,23,2002
bra,22,2003
bra,23,2004
bra,23,2005
bra,22,2006
bra,20,2007
vgb,0,1997
vgb,5,2000
vgb,0,2001
vgb,5,2002
vgb,0,2003
vgb,9,2004
vgb,0,2005
vgb,0,2007
brn,24,1993
brn,0,1997
brn,31,1999
brn,25,2000
brn,28,2001
brn,32,2002
brn,34,2003
brn,31,2004
brn,27,2005
brn,34,2006
brn,35,2007
bgr,37,1994
bgr,13,1995
bgr,11,1996
bgr,13,1997
bgr,16,1998
bgr,21,1999
bgr,32,2000
bgr,11,2001
bgr,13,2002
bgr,16,2003
bgr,17,2004
bgr,16,2005
bgr,17,2006
bgr,14,2007
bfa,6,1994
bfa,10,1995
bfa,13,1996
bfa,10,1997
bfa,12,1998
bfa,12,1999
bfa,13,2000
bfa,12,2001
bfa,12,2002
bfa,13,2003
bfa,14,2004
bfa,16,2005
bfa,19,2006
bfa,18,2007
bdi,31,1993
bdi,25,1994
bdi,18,1995
bdi,24,1996
bdi,32,1997
bdi,43,1998
bdi,45,1999
bdi,44,2001
bdi,40,2002
bdi,42,2003
bdi,43,2004
bdi,42,2005
bdi,38,2006
bdi,42,2007
khm,100,1994
khm,97,1995
khm,103,1996
khm,106,1997
khm,113,1998
khm,126,1999
khm,116,2000
khm,110,2001
khm,130,2002
khm,140,2003
khm,138,2004
khm,150,2005
khm,136,2006
khm,134,2007
cmr,17,1993
cmr,14,1994
cmr,21,1995
cmr,16,1996
cmr,24,1997
cmr,29,1998
cmr,38,1999
cmr,25,2000
cmr,29,2001
cmr,48,2002
cmr,63,2003
cmr,64,2004
cmr,73,2005
cmr,71,2006
cmr,71,2007
can,2,1990
can,2,1991
can,2,1992
can,2,1993
can,2,1994
can,1,1995
can,1,1996
can,2,1997
can,1,1998
can,1,1999
can,2,2000
can,1,2001
can,1,2002
can,1,2003
can,1,2004
can,1,2005
can,1,2006
can,1,2007
cpv,28,1995
cpv,28,1996
cpv,25,1997
cpv,24,1998
cpv,30,2001
cpv,23,2002
cpv,34,2003
cpv,34,2004
cpv,27,2005
cpv,25,2006
cpv,30,2007
cym,7,1993
cym,0,1995
cym,0,1996
cym,0,1997
cym,5,1998
cym,5,1999
cym,12,2000
cym,2,2001
cym,0,2002
cym,0,2003
cym,2,2004
cym,0,2006
cym,2,2007
caf,52,1995
caf,56,1996
caf,63,1997
caf,71,1998
caf,72,1999
caf,35,2001
caf,69,2002
caf,69,2003
caf,71,2004
caf,51,2005
caf,104,2006
tcd,28,1995
tcd,12,1996
tcd,36,1999
tcd,39,2002
tcd,38,2003
tcd,23,2004
tcd,25,2005
tcd,23,2007
chl,19,1993
chl,14,1994
chl,11,1995
chl,11,1996
chl,11,1997
chl,10,1998
chl,10,1999
chl,8,2000
chl,9,2001
chl,9,2002
chl,8,2003
chl,8,2004
chl,7,2005
chl,9,2006
chl,7,2007
chn,7,1993
chn,9,1994
chn,11,1995
chn,17,1996
chn,19,1997
chn,16,1998
chn,16,1999
chn,16,2000
chn,16,2001
chn,15,2002
chn,21,2003
chn,29,2004
chn,36,2005
chn,35,2006
chn,35,2007
col,19,1993
col,17,1994
col,20,1995
col,19,1996
col,15,1997
col,17,1998
col,20,1999
col,20,2000
col,19,2001
col,18,2002
col,18,2003
col,17,2004
col,15,2005
col,17,2006
col,16,2007
com,17,1995
com,17,1996
com,16,1997
com,15,1998
com,16,1999
com,12,2000
com,13,2001
com,10,2002
com,6,2003
com,8,2004
com,10,2005
com,8,2006
cog,62,1994
cog,72,1995
cog,87,1996
cog,67,1997
cog,67,1998
cog,71,1999
cog,132,2000
cog,131,2001
cog,149,2002
cog,101,2003
cog,117,2004
cog,101,2005
cog,91,2006
cog,94,2007
cok,0,1990
cok,6,1991
cok,33,1992
cok,28,1993
cok,22,1994
cok,11,1995
cok,6,1996
cok,11,1997
cok,0,1998
cok,0,1999
cok,0,2000
cok,13,2001
cok,7,2002
cok,0,2003
cok,7,2004
cok,7,2005
