geo,infectious_tb_number_of_new_cases_reported,time
afg,618,1997
afg,1833,1998
afg,1669,1999
afg,2892,2000
afg,4639,2001
afg,6509,2002
afg,6510,2003
afg,8273,2004
afg,9949,2005
afg,12470,2006
afg,13210,2007
alb,250,1994
alb,139,1995
alb,173,1996
alb,241,1997
alb,212,1998
alb,168,1999
alb,171,2000
alb,171,2001
alb,225,2002
alb,211,2003
alb,201,2004
alb,196,2005
alb,186,2006
alb,165,2007
dza,6793,1994
dza,5735,1995
dza,6556,1996
dza,7740,1997
dza,7462,1998
dza,7845,1999
dza,8328,2000
dza,7953,2001
dza,8246,2002
dza,8549,2003
dza,8285,2004
dza,8654,2005
dza,8538,2006
dza,8439,2007
asm,1,1993
asm,4,1994
asm,0,1996
asm,6,1997
asm,2,1998
asm,3,1999
asm,2,2000
asm,2,2001
asm,1,2002
asm,2,2003
asm,2,2004
asm,3,2005
asm,3,2006
asm,0,2007
and,15,1993
and,24,1994
and,8,1996
and,17,1997
and,1,1998
and,4,1999
and,1,2000
and,3,2001
and,2,2002
and,7,2003
and,3,2004
and,5,2005
and,8,2006
and,2,2007
ago,4874,1993
ago,4337,1994
ago,3804,1995
ago,8016,1996
ago,8246,1997
ago,7333,1998
ago,7379,1999
ago,9053,2000
ago,11920,2001
ago,18090,2002
ago,18970,2003
ago,20300,2004
ago,20410,2005
ago,21500,2006
ago,21420,2007
aia,0,1995
aia,0,1997
aia,0,2001
aia,0,2002
aia,0,2004
aia,0,2006
aia,0,2007
atg,2,1996
atg,1,1999
atg,3,2000
atg,1,2001
atg,2,2002
atg,1,2003
atg,6,2005
atg,4,2006
atg,2,2007
arg,5937,1993
arg,5696,1994
arg,5698,1995
arg,5787,1996
arg,5307,1997
arg,5186,1998
arg,4830,1999
arg,4749,2000
arg,5595,2001
arg,5498,2002
arg,4961,2003
arg,4760,2004
arg,4709,2005
arg,4834,2006
arg,4985,2007
arm,319,1994
arm,436,1995
arm,327,1996
arm,400,1997
arm,475,1998
arm,576,1999
arm,621,2000
arm,572,2001
arm,511,2002
arm,575,2003
arm,602,2004
arm,581,2005
arm,580,2006
arm,497,2007
aus,557,1993
aus,226,1997
aus,203,1998
aus,285,1999
aus,251,2000
aus,228,2001
aus,210,2002
aus,113,2003
aus,285,2004
aus,241,2005
aus,269,2006
aus,281,2007
aut,467,1995
aut,442,1996
aut,434,1997
aut,381,1998
aut,323,1999
aut,324,2000
aut,262,2001
aut,220,2002
aut,269,2003
aut,216,2004
aut,234,2005
aut,213,2006
aut,189,2007
aze,499,1993
aze,513,1994
aze,669,1995
aze,990,1996
aze,981,1997
aze,727,1998
aze,763,1999
aze,890,2000
aze,927,2001
aze,1661,2002
aze,1161,2003
aze,1472,2004
aze,1561,2005
aze,1454,2006
aze,1356,2007
bhs,41,1993
bhs,41,1994
bhs,38,1995
bhs,25,1996
bhs,57,1997
bhs,30,1998
bhs,37,1999
bhs,56,2000
bhs,32,2002
bhs,29,2003
bhs,37,2004
bhs,32,2007
bhr,82,1993
bhr,17,1995
bhr,31,1996
bhr,22,1997
bhr,25,1998
bhr,21,1999
bhr,23,2000
bhr,23,2001
bhr,17,2002
bhr,16,2003
bhr,69,2004
bhr,101,2005
bhr,98,2006
bhr,109,2007
bgd,18990,1993
bgd,1710,1994
bgd,20520,1995
bgd,29670,1996
bgd,33120,1997
bgd,37740,1998
bgd,37820,1999
bgd,38480,2000
bgd,40780,2001
bgd,46810,2002
bgd,53620,2003
bgd,62690,2004
bgd,84850,2005
bgd,102000,2006
bgd,104300,2007
brb,3,1995
brb,3,1996
brb,5,1997
brb,4,1998
brb,2,1999
brb,3,2000
brb,6,2001
brb,5,2002
brb,19,2004
brb,4,2006
brb,8,2007
blr,1493,1993
blr,1775,1994
blr,1845,1995
blr,2117,1996
blr,2273,1997
blr,5047,1998
blr,2769,1999
blr,2547,2000
blr,2341,2001
blr,1018,2003
blr,1109,2004
blr,1235,2005
blr,1072,2006
blr,1051,2007
bel,484,1993
bel,427,1994
bel,400,1995
bel,364,1996
bel,434,1997
bel,418,1998
bel,403,1999
bel,409,2000
bel,472,2001
bel,419,2002
bel,362,2003
bel,391,2004
bel,380,2005
bel,343,2006
bel,322,2007
blz,50,1993
blz,36,1994
blz,36,1995
blz,46,1996
blz,32,1997
blz,52,1998
blz,48,1999
blz,44,2000
blz,53,2001
blz,71,2002
blz,62,2003
blz,34,2004
blz,59,2005
blz,60,2006
blz,54,2007
