geo,injury_deaths_in_children_1_59_months_per_1000_births,time
afg,9.507,2008
alb,1.476,2008
dza,0.9028,2008
ago,6.207,2008
arg,0.9416,2008
arm,1.019,2008
aus,0.4041,2008
aut,0.3164,2008
aze,0.8992,2008
bhs,1.417,2008
bhr,1.216,2008
bgd,1.201,2008
brb,0.6995,2008
blr,1.983,2008
bel,0.454,2008
blz,2.017,2008
ben,2.514,2008
btn,2.78,2008
bol,1.492,2008
bih,0.9313,2008
bwa,1.504,2008
bra,0.8606,2008
brn,0.7717,2008
bgr,0.5778,2008
bfa,4.055,2008
bdi,6.133,2008
khm,3.031,2008
cmr,2.323,2008
can,0.3313,2008
cpv,0.8308,2008
caf,1.897,2008
tcd,2.797,2008
chl,0.5135,2008
chn,2.003,2008
col,0.9821,2008
com,1.818,2008
cog,1.783,2008
cri,0.3182,2008
civ,1.376,2008
hrv,0.332,2008
cub,0.451,2008
cyp,0.4032,2008
cze,0.44,2008
prk,1.317,2008
cod,3.625,2008
dnk,0.1925,2008
dji,2.109,2008
dom,0.9011,2008
ecu,1.549,2008
egy,0.9985,2008
slv,1.182,2008
gnq,1.795,2008
eri,2.543,2008
est,0.9414,2008
eth,2.604,2008
fji,1.245,2008
fin,0.1864,2008
fra,0.2647,2008
gab,0.7081,2008
gmb,2.815,2008
geo,1.054,2008
deu,0.2403,2008
gha,1.369,2008
grc,0.2812,2008
grd,0.497,2008
gtm,1.683,2008
gin,1.884,2008
gnb,3.724,2008
guy,2.716,2008
hti,1.684,2008
hnd,1.151,2008
hun,0.3347,2008
isl,0.0,2008
ind,1.817,2008
idn,0.8264,2008
irn,1.19,2008
irq,2.152,2008
irl,0.2605,2008
isr,0.2002,2008
ita,0.1887,2008
jam,1.527,2008
jpn,0.3472,2008
jor,0.8858,2008
kaz,1.864,2008
ken,4.256,2008
kwt,0.4842,2008
kgz,1.048,2008
lao,1.625,2008
lva,0.735,2008
lbn,0.9403,2008
lso,1.483,2008
lbr,1.912,2008
lby,1.206,2008
ltu,1.146,2008
lux,0.3668,2008
mdg,1.993,2008
mwi,2.17,2008
mys,0.5394,2008
mdv,1.223,2008
mli,4.267,2008
mlt,1.087,2008
mrt,2.723,2008
mus,0.608,2008
mex,1.523,2008
fsm,1.435,2008
mng,1.954,2008
mne,0.5275,2008
mar,0.9173,2008
moz,2.186,2008
mmr,27.07,2008
nam,0.5788,2008
npl,1.052,2008
nld,0.254,2008
nzl,0.4806,2008
nic,1.207,2008
ner,2.516,2008
nga,2.511,2008
nor,0.31,2008
omn,0.7822,2008
pak,1.394,2008
pan,1.055,2008
png,2.011,2008
pry,1.041,2008
per,1.31,2008
phl,1.383,2008
pol,0.3761,2008
prt,0.2867,2008
qat,0.8679,2008
kor,0.6376,2008
mda,2.381,2008
rou,1.007,2008
rus,1.31,2008
rwa,4.134,2008
lca,0.3295,2008
vct,1.043,2008
wsm,1.425,2008
stp,2.721,2008
sau,1.49,2008
sen,1.71,2008
srb,0.227,2008
sle,4.682,2008
sgp,0.1345,2008
svk,0.5641,2008
svn,0.1541,2008
slb,1.028,2008
som,4.573,2008
zaf,1.153,2008
esp,0.2707,2008
lka,2.709,2008
sdn,2.816,2008
sur,2.046,2008
swz,0.7135,2008
swe,0.0932,2008
che,0.2481,2008
syr,1.159,2008
tjk,1.841,2008
tha,0.6132,2008
mkd,0.3147,2008
tgo,1.485,2008
ton,1.398,2008
tto,2.78,2008
tun,1.174,2008
tur,1.046,2008
tkm,1.355,2008
uga,4.494,2008
ukr,1.883,2008
are,0.5274,2008
gbr,0.2248,2008
tza,3.236,2008
usa,0.8718,2008
ury,1.47,2008
uzb,0.9308,2008
vut,1.132,2008
ven,1.644,2008
vnm,0.6079,2008
yem,1.605,2008
zmb,4.17,2008
zwe,1.671,2008
