geo,internal_renewable_water_cu_meters_per_person,time
afg,5506.0,1962
afg,4972.0,1967
afg,4418.0,1972
afg,3985.0,1977
afg,4103.0,1982
afg,4610.0,1987
afg,3744.0,1992
afg,2824.0,1997
afg,2476.0,2002
afg,2108.0,2007
alb,15710.0,1962
alb,13610.0,1967
alb,12000.0,1972
alb,10730.0,1977
alb,9684.0,1982
alb,8635.0,1987
alb,8225.0,1992
alb,8674.0,1997
alb,8684.0,2002
alb,8480.0,2007
dza,1003.0,1962
dza,894.6,1967
dza,770.3,1972
dza,658.9,1977
dza,559.7,1982
dza,480.8,1987
dza,423.8,1992
dza,385.0,1997
dza,358.0,2002
dza,337.2,2007
ago,28430.0,1962
ago,25860.0,1967
ago,23310.0,1972
ago,20630.0,1977
ago,17630.0,1982
ago,15150.0,1987
ago,13190.0,1992
ago,11430.0,1997
ago,10040.0,2002
ago,8939.0,2007
atg,914.1,1962
atg,805.9,1967
atg,714.4,1972
atg,687.4,1977
atg,737.3,1982
atg,802.2,1987
atg,823.4,1992
atg,726.6,1997
atg,653.2,2002
atg,618.3,2007
arg,12970.0,1962
arg,12040.0,1967
arg,11140.0,1972
arg,10270.0,1977
arg,9530.0,1982
arg,8843.0,1987
arg,8240.0,1992
arg,7734.0,1997
arg,7332.0,2002
arg,7053.0,2007
arm,1988.0,1992
arm,2182.0,1997
arm,2249.0,2002
arm,2279.0,2007
aus,45710.0,1962
aus,40890.0,1967
aus,37540.0,1972
aus,35100.0,1977
aus,32710.0,1982
aus,30490.0,1987
aus,28330.0,1992
aus,26590.0,1997
aus,25100.0,2002
aus,23960.0,2007
aut,7715.0,1962
aut,7476.0,1967
aut,7307.0,1972
aut,7260.0,1977
aut,7286.0,1982
aut,7220.0,1987
aut,6997.0,1992
aut,6800.0,1997
aut,6731.0,2002
aut,6605.0,2007
aze,1089.0,1992
aze,1019.0,1997
aze,986.2,2002
aze,965.4,2007
bhs,164.8,1962
bhs,130.7,1967
bhs,112.3,1972
bhs,101.6,1977
bhs,91.16,1982
bhs,82.64,1987
bhs,75.45,1992
bhs,68.99,1997
bhs,64.23,2002
bhs,61.11,2007
bhr,23.57,1962
bhr,19.81,1967
bhr,16.88,1972
bhr,13.29,1977
bhr,10.7,1982
bhr,9.016,1987
bhr,7.585,1992
bhr,6.584,1997
bhr,5.882,2002
bhr,5.413,2007
bgd,1843.0,1962
bgd,1623.0,1967
bgd,1430.0,1972
bgd,1268.0,1977
bgd,1125.0,1982
bgd,995.7,1987
bgd,887.5,1992
bgd,798.3,1997
bgd,724.4,2002
bgd,673.1,2007
brb,344.4,1962
brb,338.3,1967
brb,331.3,1972
brb,324.1,1977
brb,316.6,1982
brb,302.2,1987
brb,290.8,1992
brb,283.0,1997
brb,277.1,2002
brb,273.1,2007
blr,3613.0,1992
blr,3648.0,1997
blr,3738.0,2002
blr,3818.0,2007
bel,1293.0,1962
bel,1259.0,1967
bel,1237.0,1972
bel,1223.0,1977
bel,1222.0,1982
bel,1218.0,1987
bel,1201.0,1992
bel,1185.0,1997
bel,1168.0,2002
bel,1150.0,2007
blz,162900.0,1962
blz,141200.0,1967
blz,125300.0,1972
blz,116600.0,1977
blz,106200.0,1982
blz,93200.0,1987
blz,81420.0,1992
blz,70730.0,1997
blz,62240.0,2002
blz,56810.0,2007
ben,4297.0,1962
ben,3901.0,1967
ben,3468.0,1972
ben,3036.0,1977
ben,2597.0,1982
ben,2197.0,1987
ben,1848.0,1992
ben,1559.0,1997
ben,1337.0,2002
ben,1176.0,2007
btn,402900.0,1962
btn,351200.0,1967
btn,296800.0,1972
btn,247400.0,1977
btn,213500.0,1982
btn,185000.0,1987
btn,177600.0,1992
btn,183900.0,1997
btn,160800.0,2002
btn,146400.0,2007
bol,86640.0,1962
bol,77350.0,1967
bol,68650.0,1972
bol,60770.0,1977
bol,54260.0,1982
bol,48710.0,1987
bol,43450.0,1992
bol,38850.0,1997
bol,35040.0,2002
bol,32450.0,2007
bih,8953.0,1992
bih,10250.0,1997
bih,9148.0,2002
bih,9041.0,2007
bwa,4302.0,1962
bwa,3752.0,1967
bwa,3214.0,1972
bwa,2695.0,1977
bwa,2251.0,1982
bwa,1921.0,1987
bwa,1657.0,1992
bwa,1465.0,1997
bwa,1352.0,2002
bwa,1292.0,2007
bra,70140.0,1962
bra,60880.0,1967
bra,53790.0,1972
bra,47800.0,1977
bra,42530.0,1982
bra,38240.0,1987
bra,35080.0,1992
bra,32530.0,1997
bra,30230.0,2002
bra,28620.0,2007
brn,94890.0,1962
brn,75450.0,1967
brn,59940.0,1972
brn,48900.0,1977
brn,41460.0,1982
brn,36020.0,1987
brn,31260.0,1992
brn,27400.0,1997
brn,24320.0,2002
brn,22250.0,2007
bgr,2622.0,1962
bgr,2523.0,1967
bgr,2444.0,1972
bgr,2391.0,1977
bgr,2356.0,1982
bgr,2348.0,1987
bgr,2427.0,1992
bgr,2562.0,1997
bgr,2660.0,2002
bgr,2730.0,2007
bfa,2659.0,1962
bfa,2441.0,1967
bfa,2195.0,1972
bfa,1960.0,1977
bfa,1747.0,1982
bfa,1536.0,1987
bfa,1329.0,1992
bfa,1149.0,1997
bfa,987.0,2002
bfa,870.6,2007
bdi,3303.0,1962
bdi,3011.0,1967
bdi,2812.0,1972
bdi,2635.0,1977
bdi,2284.0,1982
bdi,1926.0,1987
bdi,1691.0,1992
bdi,1577.0,1997
bdi,1427.0,2002
bdi,1231.0,2007
khm,21160.0,1962
khm,18580.0,1967
khm,16980.0,1972
khm,17500.0,1977
khm,16910.0,1982
khm,13800.0,1987
khm,11610.0,1992
khm,10060.0,1997
khm,9094.0,2002
khm,8493.0,2007
cmr,48360.0,1962
cmr,43040.0,1967
cmr,37890.0,1972
cmr,32900.0,1977
cmr,28360.0,1982
cmr,24420.0,1987
cmr,21060.0,1992
cmr,18480.0,1997
cmr,16420.0,2002
cmr,15020.0,2007
can,153000.0,1962
can,139000.0,1967
can,127600.0,1972
can,120300.0,1977
can,113900.0,1982
can,107300.0,1987
can,100400.0,1992
can,95450.0,1997
can,91030.0,2002
can,87490.0,2007
cpv,1439.0,1962
cpv,1223.0,1967
cpv,1096.0,1972
cpv,1068.0,1977
cpv,1002.0,1982
cpv,901.5,1987
cpv,804.8,1992
cpv,713.7,1997
cpv,635.1,2002
cpv,578.5,2007
caf,88830.0,1962
caf,80220.0,1967
caf,72580.0,1972
caf,65410.0,1977
caf,57200.0,1982
caf,50250.0,1987
caf,44390.0,1992
caf,38900.0,1997
caf,35270.0,2002
caf,33060.0,2007
tcd,4841.0,1962
tcd,4349.0,1967
tcd,3880.0,1972
tcd,3462.0,1977
tcd,3106.0,1982
tcd,2700.0,1987
tcd,2306.0,1992
tcd,1965.0,1997
tcd,1645.0,2002
tcd,1433.0,2007
chl,109900.0,1962
chl,97920.0,1967
chl,89120.0,1972
chl,82500.0,1977
chl,76720.0,1982
chl,70650.0,1987
chl,64680.0,1992
chl,59620.0,1997
chl,56040.0,2002
chl,53690.0,2007
chn,4100.0,1962
chn,3644.0,1967
chn,3210.0,1972
chn,2919.0,1977
chn,2729.0,1982
chn,2544.0,1987
chn,2377.0,1992
chn,2260.0,1997
chn,2171.0,2002
chn,2117.0,2007
col,118100.0,1962
col,101900.0,1967
col,89410.0,1972
col,79720.0,1977
col,71290.0,1982
col,64240.0,1987
col,58310.0,1992
col,53290.0,1997
col,49090.0,2002
col,46360.0,2007
com,5364.0,1962
com,4748.0,1967
com,4141.0,1972
com,3497.0,1977
com,2894.0,1982
com,2482.0,1987
com,2153.0,1992
com,1867.0,1997
com,1626.0,2002
com,1466.0,2007
cog,210400.0,1962
cog,183500.0,1967
cog,157900.0,1972
cog,135100.0,1977
cog,115900.0,1982
cog,99920.0,1987
cog,86550.0,1992
cog,75140.0,1997
cog,65930.0,2002
cog,60170.0,2007
cri,78580.0,1962
cri,66890.0,1967
cri,58850.0,1972
cri,52020.0,1977
cri,45290.0,1982
cri,39500.0,1987
cri,34800.0,1992
cri,30750.0,1997
cri,27440.0,2002
cri,25550.0,2007
civ,20090.0,1962
