internet_users_per_100_people,geo,time
0.0,afg,1990
0.004188,afg,2001
0.004092,afg,2002
0.07988,afg,2003
0.09716,afg,2004
1.13,afg,2005
1.947,afg,2006
1.751,afg,2007
1.688,afg,2008
3.246,afg,2009
3.654,afg,2010
4.581,afg,2011
0.0,alb,1990
0.01117,alb,1995
0.0322,alb,1996
0.04859,alb,1997
0.06503,alb,1998
0.08144,alb,1999
0.1141,alb,2000
0.3258,alb,2001
0.3901,alb,2002
0.9719,alb,2003
2.42,alb,2004
6.044,alb,2005
9.61,alb,2006
15.04,alb,2007
23.86,alb,2008
41.2,alb,2009
45.0,alb,2010
49.0,alb,2011
0.0,dza,1990
0.0003607,dza,1994
0.001769,dza,1995
0.001739,dza,1996
0.01027,dza,1997
0.02024,dza,1998
0.1995,dza,1999
0.4917,dza,2000
0.6461,dza,2001
1.592,dza,2002
2.195,dza,2003
4.634,dza,2004
5.844,dza,2005
7.376,dza,2006
9.451,dza,2007
10.18,dza,2008
11.23,dza,2009
12.5,dza,2010
14.0,dza,2011
0.0,asm,1990
0.0,and,1990
1.527,and,1996
3.05,and,1997
6.886,and,1998
7.636,and,1999
10.54,and,2000
11.26,and,2002
13.55,and,2003
26.84,and,2004
37.61,and,2005
48.94,and,2006
70.87,and,2007
70.04,and,2008
78.53,and,2009
81.0,and,2010
81.0,and,2011
0.0,ago,1990
0.0007759,ago,1996
0.005674,ago,1997
0.01845,ago,1998
0.07196,ago,1999
0.105,ago,2000
0.136,ago,2001
0.2704,ago,2002
0.3707,ago,2003
0.4648,ago,2004
1.143,ago,2005
1.908,ago,2006
3.2,ago,2007
4.6,ago,2008
6.0,ago,2009
10.0,ago,2010
14.78,ago,2011
0.0,atg,1990
2.201,atg,1995
2.858,atg,1996
3.481,atg,1997
4.072,atg,1998
5.301,atg,1999
6.482,atg,2000
8.899,atg,2001
12.5,atg,2002
17.23,atg,2003
24.27,atg,2004
34.72,atg,2005
62.64,atg,2006
70.06,atg,2007
75.03,atg,2008
74.2,atg,2009
80.0,atg,2010
82.0,atg,2011
0.0,arg,1990
0.002993,arg,1992
0.02953,arg,1993
0.04371,arg,1994
0.08628,arg,1995
0.142,arg,1996
0.2803,arg,1997
0.8308,arg,1998
3.284,arg,1999
7.039,arg,2000
9.781,arg,2001
10.88,arg,2002
11.91,arg,2003
16.04,arg,2004
17.72,arg,2005
20.93,arg,2006
25.95,arg,2007
28.11,arg,2008
34.0,arg,2009
40.0,arg,2010
47.7,arg,2011
0.0,arm,1990
0.009117,arm,1994
0.05274,arm,1995
0.09457,arm,1996
0.1117,arm,1997
0.1287,arm,1998
0.9707,arm,1999
1.3,arm,2000
1.631,arm,2001
1.96,arm,2002
4.575,arm,2003
4.899,arm,2004
5.253,arm,2005
5.632,arm,2006
6.021,arm,2007
6.21,arm,2008
15.3,arm,2009
0.0,abw,1990
2.768,abw,1996
4.506,abw,1999
15.44,abw,2000
17.1,abw,2001
18.8,abw,2002
20.8,abw,2003
23.0,abw,2004
25.4,abw,2005
28.0,abw,2006
30.9,abw,2007
34.2,abw,2008
37.7,abw,2009
42.0,abw,2010
57.07,abw,2011
0.5862,aus,1990
1.1,aus,1991
1.772,aus,1992
1.981,aus,1993
2.24,aus,1994
2.767,aus,1995
3.277,aus,1996
16.38,aus,1997
30.85,aus,1998
40.83,aus,1999
46.78,aus,2000
52.61,aus,2001
63.03,aus,2005
66.15,aus,2006
69.61,aus,2007
71.72,aus,2008
74.08,aus,2009
75.89,aus,2010
78.95,aus,2011
0.1302,aut,1990
0.2579,aut,1991
0.6377,aut,1992
0.759,aut,1993
1.386,aut,1994
1.887,aut,1995
6.91,aut,1996
9.538,aut,1997
15.42,aut,1998
23.02,aut,1999
33.7,aut,2000
39.17,aut,2001
36.56,aut,2002
42.77,aut,2003
54.37,aut,2004
58.03,aut,2005
63.64,aut,2006
69.45,aut,2007
