investments_percent_of_gdp,geo,time
16.12,afg,1960
16.6,afg,1961
19.11,afg,1962
14.2,afg,1963
13.89,afg,1964
11.26,afg,1965
8.413,afg,1966
5.179,afg,1967
6.472,afg,1968
6.467,afg,1969
5.464,afg,1970
5.461,afg,1971
6.546,afg,1972
7.308,afg,1973
8.763,afg,1974
9.765,afg,1975
13.65,afg,1976
12.42,afg,1977
13.87,afg,1978
11.64,afg,2002
16.22,afg,2003
17.41,afg,2004
31.27,afg,2005
34.71,afg,2006
31.88,afg,2007
16.33,afg,2008
15.41,afg,2009
16.28,afg,2010
34.55,alb,1980
35.12,alb,1981
37.92,alb,1982
36.07,alb,1983
31.78,alb,1984
32.75,alb,1985
30.91,alb,1986
28.42,alb,1987
28.9,alb,1988
31.72,alb,1989
29.31,alb,1990
7.339,alb,1991
5.2,alb,1992
13.2,alb,1993
17.9,alb,1994
21.0,alb,1995
20.7,alb,1996
16.79,alb,1997
16.3,alb,1998
19.05,alb,1999
24.74,alb,2000
27.55,alb,2001
24.49,alb,2002
23.44,alb,2003
23.84,alb,2004
23.6,alb,2005
25.05,alb,2006
29.76,alb,2007
32.13,alb,2008
28.97,alb,2009
25.93,alb,2010
42.18,dza,1960
47.19,dza,1961
35.42,dza,1962
28.94,dza,1963
21.85,dza,1964
22.6,dza,1965
17.32,dza,1966
23.43,dza,1967
27.87,dza,1968
32.35,dza,1969
36.65,dza,1970
35.28,dza,1971
34.3,dza,1972
40.28,dza,1973
40.02,dza,1974
45.41,dza,1975
43.35,dza,1976
46.91,dza,1977
52.22,dza,1978
42.55,dza,1979
39.08,dza,1980
36.99,dza,1981
37.28,dza,1982
37.57,dza,1983
35.16,dza,1984
34.57,dza,1985
33.56,dza,1986
27.56,dza,1987
27.64,dza,1988
30.07,dza,1989
28.59,dza,1990
31.84,dza,1991
30.76,dza,1992
29.09,dza,1993
30.08,dza,1994
30.91,dza,1995
25.68,dza,1996
22.45,dza,1997
27.15,dza,1998
28.49,dza,1999
25.02,dza,2000
27.33,dza,2001
31.19,dza,2002
30.47,dza,2003
33.27,dza,2004
31.51,dza,2005
29.5,dza,2006
34.22,dza,2007
33.37,dza,2008
46.7,dza,2009
41.4,dza,2010
17.96,ago,1985
16.2,ago,1986
16.03,ago,1987
11.82,ago,1988
12.2,ago,1989
11.71,ago,1990
12.95,ago,1991
3.618,ago,1992
11.19,ago,1993
16.6,ago,1994
34.7,ago,1996
25.47,ago,1997
35.53,ago,1998
27.13,ago,1999
15.05,ago,2000
13.4,ago,2001
12.57,ago,2002
12.66,ago,2003
9.113,ago,2004
8.073,ago,2005
11.32,ago,2006
13.72,ago,2007
15.98,ago,2008
14.82,ago,2009
14.54,ago,2010
20.65,atg,1977
19.3,atg,1978
24.29,atg,1979
34.79,atg,1980
41.93,atg,1981
39.44,atg,1982
20.44,atg,1983
