life_expectancy_at_birth_data_from_ihme,geo,time
50.3,afg,1990
50.2,afg,1991
50.4,afg,1992
50.5,afg,1993
50.1,afg,1994
50.4,afg,1995
50.6,afg,1996
50.7,afg,1997
50.0,afg,1998
50.8,afg,1999
51.0,afg,2000
51.1,afg,2001
51.6,afg,2002
52.1,afg,2003
52.5,afg,2004
52.9,afg,2005
53.2,afg,2006
53.6,afg,2007
54.0,afg,2008
54.5,afg,2009
54.8,afg,2010
55.2,afg,2011
55.5,afg,2012
56.2,afg,2013
73.5,alb,1990
73.4,alb,1991
73.4,alb,1992
73.4,alb,1993
73.6,alb,1994
73.8,alb,1995
73.9,alb,1996
73.9,alb,1997
73.8,alb,1998
74.0,alb,1999
74.2,alb,2000
74.4,alb,2001
74.5,alb,2002
74.4,alb,2003
74.4,alb,2004
74.4,alb,2005
74.5,alb,2006
74.7,alb,2007
74.9,alb,2008
75.0,alb,2009
75.2,alb,2010
75.5,alb,2011
75.7,alb,2012
75.8,alb,2013
70.5,dza,1990
70.8,dza,1991
71.1,dza,1992
71.3,dza,1993
71.5,dza,1994
71.7,dza,1995
72.1,dza,1996
72.4,dza,1997
72.9,dza,1998
73.0,dza,1999
73.2,dza,2000
73.4,dza,2001
73.6,dza,2002
73.7,dza,2003
74.2,dza,2004
74.5,dza,2005
74.8,dza,2006
75.0,dza,2007
75.3,dza,2008
75.6,dza,2009
75.9,dza,2010
76.1,dza,2011
76.2,dza,2012
76.3,dza,2013
80.7,and,1990
80.8,and,1991
81.0,and,1992
81.2,and,1993
81.4,and,1994
81.6,and,1995
81.8,and,1996
82.1,and,1997
82.3,and,1998
82.5,and,1999
82.7,and,2000
82.9,and,2001
83.0,and,2002
83.1,and,2003
83.0,and,2004
83.1,and,2005
83.2,and,2006
83.4,and,2007
83.5,and,2008
83.6,and,2009
83.7,and,2010
83.8,and,2011
83.8,and,2012
83.9,and,2013
50.3,ago,1990
50.7,ago,1991
50.7,ago,1992
49.6,ago,1993
50.5,ago,1994
50.9,ago,1995
51.0,ago,1996
51.2,ago,1997
51.6,ago,1998
51.9,ago,1999
52.6,ago,2000
53.0,ago,2001
53.8,ago,2002
54.5,ago,2003
55.2,ago,2004
56.0,ago,2005
56.9,ago,2006
57.6,ago,2007
58.3,ago,2008
58.9,ago,2009
59.4,ago,2010
59.7,ago,2011
60.1,ago,2012
60.4,ago,2013
72.4,atg,1990
72.3,atg,1991
72.1,atg,1992
72.1,atg,1993
72.2,atg,1994
72.2,atg,1995
72.6,atg,1996
72.9,atg,1997
73.2,atg,1998
73.6,atg,1999
73.9,atg,2000
74.1,atg,2001
74.2,atg,2002
74.3,atg,2003
74.3,atg,2004
74.3,atg,2005
74.4,atg,2006
74.6,atg,2007
74.8,atg,2008
75.1,atg,2009
75.2,atg,2010
75.2,atg,2011
75.2,atg,2012
75.2,atg,2013
72.6,arg,1990
72.7,arg,1991
72.8,arg,1992
73.1,arg,1993
73.4,arg,1994
73.5,arg,1995
73.5,arg,1996
73.6,arg,1997
73.7,arg,1998
74.0,arg,1999
74.3,arg,2000
74.4,arg,2001
74.3,arg,2002
74.5,arg,2003
75.0,arg,2004
75.4,arg,2005
75.5,arg,2006
75.4,arg,2007
75.5,arg,2008
75.6,arg,2009
75.8,arg,2010
75.9,arg,2011
75.9,arg,2012
76.0,arg,2013
70.1,arm,1990
69.8,arm,1991
69.4,arm,1992
69.2,arm,1993
69.2,arm,1994
69.4,arm,1995
69.7,arm,1996
70.1,arm,1997
70.6,arm,1998
71.0,arm,1999
71.4,arm,2000
71.7,arm,2001
71.9,arm,2002
72.1,arm,2003
72.1,arm,2004
72.2,arm,2005
72.2,arm,2006
72.3,arm,2007
72.5,arm,2008
72.6,arm,2009
72.9,arm,2010
73.2,arm,2011
73.5,arm,2012
73.8,arm,2013
77.0,aus,1990
77.4,aus,1991
77.7,aus,1992
78.0,aus,1993
78.2,aus,1994
78.4,aus,1995
78.6,aus,1996
78.9,aus,1997
79.1,aus,1998
79.3,aus,1999
79.7,aus,2000
80.1,aus,2001
80.4,aus,2002
80.7,aus,2003
81.0,aus,2004
81.2,aus,2005
81.4,aus,2006
81.5,aus,2007
81.5,aus,2008
81.6,aus,2009
81.7,aus,2010
81.8,aus,2011
81.8,aus,2012
81.8,aus,2013
75.7,aut,1990
75.8,aut,1991
76.0,aut,1992
76.2,aut,1993
76.5,aut,1994
76.8,aut,1995
77.2,aut,1996
77.6,aut,1997
77.8,aut,1998
78.0,aut,1999
78.2,aut,2000
78.4,aut,2001
78.7,aut,2002
79.0,aut,2003
79.3,aut,2004
79.6,aut,2005
80.0,aut,2006
80.2,aut,2007
80.4,aut,2008
80.4,aut,2009
80.5,aut,2010
80.7,aut,2011
80.7,aut,2012
80.8,aut,2013
66.1,aze,1990
65.9,aze,1991
65.1,aze,1992
65.1,aze,1993
65.1,aze,1994
65.6,aze,1995
66.1,aze,1996
66.5,aze,1997
67.0,aze,1998
67.5,aze,1999
68.0,aze,2000
68.5,aze,2001
68.9,aze,2002
69.1,aze,2003
69.3,aze,2004
69.5,aze,2005
69.9,aze,2006
70.3,aze,2007
70.6,aze,2008
71.0,aze,2009
71.4,aze,2010
71.7,aze,2011
72.0,aze,2012
72.3,aze,2013
68.6,bhs,1990
68.8,bhs,1991
68.9,bhs,1992
69.0,bhs,1993
69.0,bhs,1994
69.0,bhs,1995
69.2,bhs,1996
69.4,bhs,1997
69.6,bhs,1998
70.0,bhs,1999
70.3,bhs,2000
70.6,bhs,2001
70.8,bhs,2002
71.2,bhs,2003
71.9,bhs,2004
72.1,bhs,2005
72.1,bhs,2006
72.1,bhs,2007
72.2,bhs,2008
72.3,bhs,2009
72.4,bhs,2010
72.5,bhs,2011
72.6,bhs,2012
72.5,bhs,2013
71.4,bhr,1990
71.6,bhr,1991
71.8,bhr,1992
72.1,bhr,1993
72.4,bhr,1994
72.7,bhr,1995
72.9,bhr,1996
73.1,bhr,1997
73.2,bhr,1998
73.5,bhr,1999
73.6,bhr,2000
73.8,bhr,2001
74.1,bhr,2002
74.4,bhr,2003
74.8,bhr,2004
75.2,bhr,2005
75.7,bhr,2006
76.4,bhr,2007
77.1,bhr,2008
77.7,bhr,2009
78.2,bhr,2010
78.4,bhr,2011
78.9,bhr,2012
79.0,bhr,2013
58.5,bgd,1990
57.2,bgd,1991
60.1,bgd,1992
60.9,bgd,1993
61.6,bgd,1994
62.4,bgd,1995
63.2,bgd,1996
63.9,bgd,1997
64.6,bgd,1998
65.2,bgd,1999
65.8,bgd,2000
66.3,bgd,2001
66.8,bgd,2002
67.2,bgd,2003
67.6,bgd,2004
67.9,bgd,2005
68.1,bgd,2006
68.1,bgd,2007
68.4,bgd,2008
68.5,bgd,2009
68.6,bgd,2010
68.9,bgd,2011
69.2,bgd,2012
69.5,bgd,2013
73.1,brb,1990
73.2,brb,1991
73.2,brb,1992
73.3,brb,1993
73.3,brb,1994
73.4,brb,1995
73.5,brb,1996
73.6,brb,1997
73.8,brb,1998
74.0,brb,1999
74.3,brb,2000
74.5,brb,2001
74.5,brb,2002
74.6,brb,2003
74.9,brb,2004
75.0,brb,2005
75.1,brb,2006
75.2,brb,2007
75.3,brb,2008
75.3,brb,2009
75.4,brb,2010
75.5,brb,2011
75.5,brb,2012
75.6,brb,2013
70.8,blr,1990
70.3,blr,1991
69.6,blr,1992
69.0,blr,1993
68.5,blr,1994
68.2,blr,1995
68.1,blr,1996
68.1,blr,1997
68.0,blr,1998
68.1,blr,1999
68.2,blr,2000
68.1,blr,2001
68.1,blr,2002
68.2,blr,2003
68.4,blr,2004
68.8,blr,2005
69.2,blr,2006
69.8,blr,2007
70.1,blr,2008
70.2,blr,2009
70.2,blr,2010
70.1,blr,2011
70.1,blr,2012
70.2,blr,2013
76.0,bel,1990
76.2,bel,1991
76.4,bel,1992
76.5,bel,1993
76.7,bel,1994
76.9,bel,1995
77.1,bel,1996
77.3,bel,1997
77.5,bel,1998
77.6,bel,1999
77.8,bel,2000
78.0,bel,2001
78.2,bel,2002
78.5,bel,2003
78.9,bel,2004
79.2,bel,2005
79.3,bel,2006
79.4,bel,2007
79.4,bel,2008
79.6,bel,2009
79.8,bel,2010
80.0,bel,2011
80.1,bel,2012
80.2,bel,2013
72.1,blz,1990
71.8,blz,1991
71.7,blz,1992
71.6,blz,1993
71.5,blz,1994
71.2,blz,1995
70.7,blz,1996
70.2,blz,1997
69.6,blz,1998
69.1,blz,1999
69.0,blz,2000
69.1,blz,2001
69.4,blz,2002
70.0,blz,2003
70.4,blz,2004
70.6,blz,2005
70.8,blz,2006
70.8,blz,2007
70.7,blz,2008
70.3,blz,2009
70.1,blz,2010
70.0,blz,2011
70.0,blz,2012
70.0,blz,2013
57.1,ben,1990
57.5,ben,1991
57.9,ben,1992
58.2,ben,1993
58.4,ben,1994
58.5,ben,1995
58.6,ben,1996
58.7,ben,1997
58.8,ben,1998
59.0,ben,1999
59.2,ben,2000
59.4,ben,2001
59.8,ben,2002
60.3,ben,2003
60.9,ben,2004
61.4,ben,2005
62.1,ben,2006
62.7,ben,2007
63.2,ben,2008
63.6,ben,2009
64.0,ben,2010
64.3,ben,2011
64.6,ben,2012
64.9,ben,2013
59.3,btn,1990
59.9,btn,1991
60.5,btn,1992
61.0,btn,1993
61.4,btn,1994
62.1,btn,1995
62.7,btn,1996
63.2,btn,1997
63.7,btn,1998
64.2,btn,1999
63.9,btn,2000
65.1,btn,2001
65.5,btn,2002
65.9,btn,2003
66.3,btn,2004
66.6,btn,2005
66.9,btn,2006
67.3,btn,2007
67.6,btn,2008
67.9,btn,2009
68.3,btn,2010
68.7,btn,2011
69.0,btn,2012
69.4,btn,2013
62.6,bol,1990
63.1,bol,1991
63.6,bol,1992
64.1,bol,1993
64.5,bol,1994
65.0,bol,1995
65.4,bol,1996
65.9,bol,1997
66.4,bol,1998
67.0,bol,1999
67.6,bol,2000
68.2,bol,2001
68.7,bol,2002
69.2,bol,2003
69.7,bol,2004
70.0,bol,2005
70.3,bol,2006
70.6,bol,2007
70.9,bol,2008
71.1,bol,2009
71.3,bol,2010
71.5,bol,2011
71.7,bol,2012
71.9,bol,2013
73.1,bih,1990
72.7,bih,1991
68.1,bih,1992
68.2,bih,1993
70.6,bih,1994
67.1,bih,1995
73.0,bih,1996
73.7,bih,1997
74.3,bih,1998
74.8,bih,1999
75.2,bih,2000
75.6,bih,2001
75.7,bih,2002
75.8,bih,2003
75.8,bih,2004
75.7,bih,2005
75.6,bih,2006
75.6,bih,2007
75.9,bih,2008
76.2,bih,2009
76.5,bih,2010
77.0,bih,2011
77.3,bih,2012
77.5,bih,2013
67.9,bwa,1990
67.6,bwa,1991
66.9,bwa,1992
65.8,bwa,1993
64.2,bwa,1994
62.3,bwa,1995
60.2,bwa,1996
57.9,bwa,1997
55.6,bwa,1998
53.5,bwa,1999
51.6,bwa,2000
50.2,bwa,2001
49.3,bwa,2002
49.4,bwa,2003
51.0,bwa,2004
54.3,bwa,2005
57.5,bwa,2006
60.1,bwa,2007
61.2,bwa,2008
62.6,bwa,2009
64.5,bwa,2010
65.7,bwa,2011
65.5,bwa,2012
65.8,bwa,2013
69.1,bra,1990
69.5,bra,1991
69.7,bra,1992
69.7,bra,1993
70.0,bra,1994
70.2,bra,1995
70.5,bra,1996
71.0,bra,1997
71.2,bra,1998
71.5,bra,1999
71.9,bra,2000
72.2,bra,2001
72.5,bra,2002
72.7,bra,2003
73.0,bra,2004
73.4,bra,2005
73.7,bra,2006
73.8,bra,2007
73.9,bra,2008
74.0,bra,2009
74.2,bra,2010
74.5,bra,2011
74.7,bra,2012
75.0,bra,2013
73.9,brn,1990
73.9,brn,1991
73.9,brn,1992
74.0,brn,1993
74.1,brn,1994
74.3,brn,1995
74.5,brn,1996
74.7,brn,1997
75.0,brn,1998
75.3,brn,1999
75.5,brn,2000
75.9,brn,2001
76.3,brn,2002
76.8,brn,2003
77.1,brn,2004
77.3,brn,2005
77.4,brn,2006
77.5,brn,2007
77.8,brn,2008
78.1,brn,2009
78.5,brn,2010
78.7,brn,2011
78.7,brn,2012
78.7,brn,2013
71.4,bgr,1990
71.3,bgr,1991
71.2,bgr,1992
71.0,bgr,1993
70.8,bgr,1994
70.9,bgr,1995
70.8,bgr,1996
70.7,bgr,1997
71.1,bgr,1998
71.4,bgr,1999
71.7,bgr,2000
71.9,bgr,2001
72.2,bgr,2002
72.4,bgr,2003
72.4,bgr,2004
72.5,bgr,2005
72.7,bgr,2006
72.9,bgr,2007
73.2,bgr,2008
73.3,bgr,2009
73.6,bgr,2010
74.0,bgr,2011
74.3,bgr,2012
74.5,bgr,2013
52.7,bfa,1990
52.6,bfa,1991
52.4,bfa,1992
52.1,bfa,1993
51.9,bfa,1994
51.8,bfa,1995
51.9,bfa,1996
52.1,bfa,1997
52.4,bfa,1998
52.9,bfa,1999
53.3,bfa,2000
53.8,bfa,2001
54.4,bfa,2002
55.1,bfa,2003
55.9,bfa,2004
56.8,bfa,2005
57.7,bfa,2006
58.6,bfa,2007
59.4,bfa,2008
60.0,bfa,2009
60.7,bfa,2010
61.2,bfa,2011
61.6,bfa,2012
62.0,bfa,2013
49.0,bdi,1990
48.7,bdi,1991
48.4,bdi,1992
48.0,bdi,1993
27.0,bdi,1994
47.0,bdi,1995
46.6,bdi,1996
46.7,bdi,1997
46.8,bdi,1998
47.1,bdi,1999
47.5,bdi,2000
48.4,bdi,2001
49.4,bdi,2002
50.7,bdi,2003
52.2,bdi,2004
53.8,bdi,2005
55.3,bdi,2006
56.5,bdi,2007
57.4,bdi,2008
58.2,bdi,2009
58.7,bdi,2010
59.1,bdi,2011
59.5,bdi,2012
59.8,bdi,2013
59.1,khm,1990
59.3,khm,1991
59.5,khm,1992
59.5,khm,1993
59.5,khm,1994
59.7,khm,1995
59.7,khm,1996
59.8,khm,1997
60.0,khm,1998
60.4,khm,1999
60.9,khm,2000
61.6,khm,2001
62.3,khm,2002
63.0,khm,2003
63.8,khm,2004
64.5,khm,2005
65.2,khm,2006
65.8,khm,2007
66.2,khm,2008
66.6,khm,2009
66.9,khm,2010
67.2,khm,2011
67.5,khm,2012
67.8,khm,2013
58.7,cmr,1990
58.5,cmr,1991
58.1,cmr,1992
57.7,cmr,1993
57.2,cmr,1994
56.8,cmr,1995
56.3,cmr,1996
55.9,cmr,1997
55.5,cmr,1998
55.2,cmr,1999
55.0,cmr,2000
54.8,cmr,2001
54.7,cmr,2002
54.7,cmr,2003
54.7,cmr,2004
55.2,cmr,2005
55.7,cmr,2006
56.0,cmr,2007
56.6,cmr,2008
57.1,cmr,2009
57.5,cmr,2010
57.9,cmr,2011
58.3,cmr,2012
58.7,cmr,2013
77.4,can,1990
77.6,can,1991
77.7,can,1992
77.8,can,1993
77.9,can,1994
78.0,can,1995
78.3,can,1996
78.7,can,1997
78.9,can,1998
79.1,can,1999
79.3,can,2000
79.5,can,2001
79.7,can,2002
79.9,can,2003
80.1,can,2004
80.3,can,2005
80.5,can,2006
80.6,can,2007
80.7,can,2008
80.9,can,2009
81.1,can,2010
81.3,can,2011
81.4,can,2012
81.5,can,2013
68.8,cpv,1990
68.9,cpv,1991
69.0,cpv,1992
69.0,cpv,1993
69.0,cpv,1994
69.1,cpv,1995
69.2,cpv,1996
69.3,cpv,1997
69.5,cpv,1998
69.8,cpv,1999
70.1,cpv,2000
70.4,cpv,2001
70.8,cpv,2002
71.1,cpv,2003
71.4,cpv,2004
71.8,cpv,2005
72.2,cpv,2006
72.5,cpv,2007
72.9,cpv,2008
73.1,cpv,2009
73.4,cpv,2010
73.7,cpv,2011
74.0,cpv,2012
74.2,cpv,2013
46.9,caf,1990
46.9,caf,1991
46.8,caf,1992
46.9,caf,1993
46.7,caf,1994
46.4,caf,1995
46.3,caf,1996
46.2,caf,1997
46.3,caf,1998
46.5,caf,1999
46.7,caf,2000
46.8,caf,2001
47.3,caf,2002
47.6,caf,2003
48.0,caf,2004
48.4,caf,2005
49.0,caf,2006
49.6,caf,2007
50.3,caf,2008
51.1,caf,2009
51.7,caf,2010
52.1,caf,2011
52.3,caf,2012
52.8,caf,2013
53.6,tcd,1990
54.3,tcd,1991
54.1,tcd,1992
54.2,tcd,1993
53.9,tcd,1994
53.7,tcd,1995
53.3,tcd,1996
53.0,tcd,1997
52.7,tcd,1998
52.5,tcd,1999
52.4,tcd,2000
52.6,tcd,2001
52.7,tcd,2002
52.9,tcd,2003
53.2,tcd,2004
53.6,tcd,2005
53.7,tcd,2006
54.5,tcd,2007
54.8,tcd,2008
55.5,tcd,2009
56.2,tcd,2010
56.5,tcd,2011
56.8,tcd,2012
57.1,tcd,2013
73.0,chl,1990
74.0,chl,1991
74.8,chl,1992
75.1,chl,1993
75.1,chl,1994
75.2,chl,1995
75.6,chl,1996
76.1,chl,1997
76.5,chl,1998
76.9,chl,1999
77.2,chl,2000
77.4,chl,2001
77.6,chl,2002
77.8,chl,2003
78.1,chl,2004
78.4,chl,2005
78.6,chl,2006
78.8,chl,2007
78.9,chl,2008
78.8,chl,2009
78.8,chl,2010
78.9,chl,2011
79.0,chl,2012
79.1,chl,2013
68.0,chn,1990
68.3,chn,1991
68.6,chn,1992
68.9,chn,1993
69.3,chn,1994
69.6,chn,1995
69.9,chn,1996
70.3,chn,1997
