geo,literacy_rate_adult_male_percent_of_males_ages_15_and_above,time
afg,30.31,1979
alb,99.19,2001
alb,97.31,2008
alb,98.01,2011
dza,63.38,1987
dza,79.57,2002
dza,81.28,2006
ago,82.92,2001
ago,82.6,2011
aia,95.08,1984
atg,98.4,2001
atg,98.4,2011
arg,94.26,1980
arg,96.22,1991
arg,97.19,2001
arg,97.82,2011
arm,99.4,1989
arm,99.67,2001
arm,99.71,2011
abw,97.54,2000
abw,96.94,2010
aze,99.47,1999
aze,99.82,2007
aze,99.84,2009
bhr,76.52,1981
bhr,88.54,1991
bhr,88.55,2001
bhr,96.14,2010
bgd,39.73,1981
bgd,44.31,1991
bgd,53.9,2001
bgd,61.99,2011
blr,99.38,1989
blr,99.79,1999
blr,99.76,2009
blz,70.27,1991
ben,25.19,1979
ben,39.9,1992
ben,47.87,2002
ben,40.62,2006
btn,65.05,2005
bol,75.84,1976
bol,88.16,1992
bol,93.06,2001
bol,96.04,2007
bol,94.96,2008
bol,95.8,2009
bih,99.03,2000
bih,99.45,2011
bwa,65.39,1991
bwa,80.43,2003
bwa,84.63,2011
bra,76.38,1980
bra,86.23,2000
bra,88.41,2004
bra,89.35,2006
bra,89.77,2007
bra,89.84,2008
bra,90.17,2009
bra,90.06,2010
brn,85.18,1981
brn,92.45,1991
brn,95.15,2001
brn,96.97,2011
bgr,98.74,2001
bgr,98.75,2011
bfa,14.53,1975
bfa,19.63,1991
bfa,18.52,1996
bfa,29.36,2003
bfa,31.44,2005
bfa,36.68,2007
bdi,34.26,1979
bdi,48.24,1990
bdi,67.31,2000
bdi,88.78,2008
khm,79.48,1998
khm,84.68,2004
khm,85.08,2008
khm,82.75,2009
cmr,54.63,1976
cmr,79.19,2000
cmr,78.95,2007
cmr,78.33,2010
cpv,74.76,1990
cpv,86.4,2004
cpv,89.75,2011
cym,98.72,2007
caf,29.59,1975
caf,48.02,1988
caf,66.79,2000
caf,69.6,2011
tcd,18.26,1993
tcd,40.83,2000
tcd,39.37,2004
tcd,45.65,2011
chl,91.48,1982
chl,94.56,1992
chl,95.8,2002
chl,98.6,2008
chl,98.61,2009
chn,79.19,1982
chn,87.02,1990
chn,95.14,2000
chn,97.48,2010
col,81.5,1993
col,91.09,1996
col,92.9,2004
col,92.78,2005
col,92.39,2006
col,92.43,2007
col,93.32,2008
col,93.06,2009
col,93.25,2010
col,93.49,2011
com,55.98,1980
com,74.51,2000
com,80.52,2011
cod,80.92,2001
cod,76.92,2007
cri,92.68,1984
cri,94.65,2000
cri,96.04,2011
civ,44.36,1988
civ,43.95,1998
civ,60.86,2000
civ,65.64,2011
hrv,98.76,1991
hrv,99.32,2001
hrv,99.51,2011
cub,99.81,2002
cub,99.84,2011
cyp,97.83,1992
cyp,98.63,2001
cyp,99.29,2011
dom,73.59,1981
dom,86.81,2002
dom,88.21,2007
dom,89.38,2010
dom,89.98,2011
ecu,86.79,1982
ecu,90.5,1990
ecu,92.33,2001
ecu,87.26,2007
ecu,87.12,2009
ecu,93.32,2010
ecu,93.05,2011
egy,53.62,1976
egy,56.98,1986
egy,67.15,1996
egy,83.02,2005
egy,74.62,2006
egy,80.27,2010
egy,80.97,2011
slv,77.37,1992
slv,81.54,2004
slv,86.7,2006
slv,84.86,2007
slv,87.05,2008
slv,86.83,2009
slv,87.1,2010
gnq,94.84,2000
gnq,97.14,2011
eri,65.39,2002
eri,79.49,2011
est,99.88,1989
est,99.78,2000
est,99.77,2011
eth,35.98,1994
eth,50.0,2004
eth,41.94,2005
eth,49.13,2007
gab,79.44,1993
gab,88.36,2004
gab,92.34,2011
gmb,48.98,2000
gmb,60.86,2011
geo,99.77,2002
geo,99.79,2011
gha,66.35,2000
gha,78.35,2010
grc,96.06,1981
grc,96.04,1991
grc,97.81,2001
grc,98.36,2011
gtm,71.71,1994
