geo,liver_cancer_deaths_per_100000_women,time
afg,2.3,2002
alb,4.0,2002
dza,1.0,2002
ago,3.6,2002
arg,1.37,1979
arg,0.95,1980
arg,0.93,1981
arg,4.15,1982
arg,4.15,1983
arg,4.06,1984
arg,3.48,1985
arg,3.88,1986
arg,3.82,1987
arg,4.02,1988
arg,3.66,1989
arg,3.45,1990
arg,3.38,1991
arg,3.4,1992
arg,3.34,1993
arg,3.31,1994
arg,3.16,1995
arg,3.01,1996
arg,3.28,1997
arg,2.97,1998
arg,2.88,1999
arg,3.09,2000
arg,2.72,2001
arg,2.84,2002
arm,2.7,2002
aus,0.42,1982
aus,0.49,1983
aus,0.52,1984
aus,0.55,1985
aus,0.46,1986
aus,0.57,1987
aus,0.67,1988
aus,0.56,1989
aus,0.43,1990
aus,0.55,1991
aus,0.4,1992
aus,0.55,1993
aus,0.59,1994
aus,0.65,1995
aus,0.61,1996
aus,0.65,1997
aus,1.25,1998
aus,1.36,1999
aus,1.28,2000
aus,1.31,2001
aus,1.6,2002
aut,1.05,1980
aut,1.55,1981
aut,1.19,1982
aut,1.45,1983
aut,1.25,1984
aut,1.32,1985
aut,1.1,1986
aut,1.45,1987
aut,0.88,1988
aut,0.74,1989
aut,0.8,1990
aut,1.0,1991
aut,0.79,1992
aut,0.77,1993
aut,0.86,1994
aut,0.95,1995
aut,0.96,1996
aut,0.99,1997
aut,1.0,1998
aut,1.03,1999
aut,0.96,2000
aut,1.01,2001
aut,2.24,2002
aze,2.0,2002
bhs,3.8,2002
bhr,3.9,2002
bgd,1.3,2002
brb,3.5,2002
blr,1.8,2002
bel,2.3,2002
blz,11.5,2002
ben,5.5,2002
btn,1.3,2002
bol,2.6,2002
bih,3.6,2002
bwa,2.3,2002
bra,1.0,1979
bra,0.93,1980
bra,0.96,1981
bra,0.7,1982
bra,0.7,1983
bra,0.67,1984
bra,1.11,1985
bra,1.2,1986
bra,0.89,1987
bra,0.89,1988
bra,0.93,1989
bra,0.83,1990
bra,0.76,1991
bra,0.74,1992
bra,0.65,1993
bra,0.64,1994
bra,0.76,1995
bra,2.89,1996
bra,2.97,1997
bra,2.68,1998
bra,2.97,1999
bra,2.95,2000
bra,2.88,2001
bra,2.94,2002
brn,2.9,2002
bgr,3.2,2002
bfa,8.2,2002
bdi,8.5,2002
khm,2.4,2002
cmr,13.0,2002
can,0.67,1958
can,0.97,1959
can,0.75,1960
can,0.67,1961
can,0.69,1962
can,0.7,1963
can,0.64,1964
can,0.88,1965
can,0.59,1966
can,0.77,1967
can,0.79,1968
can,0.54,1979
can,0.47,1980
can,0.6,1981
can,0.53,1982
can,0.6,1983
can,0.54,1984
can,0.63,1985
can,0.64,1986
can,0.57,1987
can,0.63,1988
can,0.7,1989
can,0.62,1990
can,0.51,1991
can,0.5,1992
can,0.5,1993
can,0.46,1994
can,0.47,1995
can,0.48,1996
can,0.37,1997
can,0.49,1998
can,0.59,1999
can,1.6,2000
can,1.64,2001
can,1.68,2002
cpv,5.5,2002
caf,13.2,2002
tcd,13.2,2002
chl,1.46,1980
chl,1.61,1981
chl,1.67,1982
chl,4.56,1983
chl,4.31,1984
chl,4.35,1985
chl,4.24,1986
chl,2.72,1987
chl,1.16,1988
chl,1.18,1989
chl,1.23,1990
chl,1.11,1991
chl,1.21,1992
chl,1.3,1993
chl,1.04,1994
chl,1.1,1995
chl,1.07,1996
chl,4.11,1997
chl,3.88,1998
chl,3.33,1999
chl,2.99,2000
chl,3.14,2001
chl,3.31,2002
chn,13.3,2002
col,5.34,1984
col,1.48,1985
col,1.5,1986
col,1.78,1987
col,2.04,1988
col,1.24,1989
col,1.65,1990
col,1.66,1991
col,1.88,1992
col,1.23,1993
col,1.44,1994
col,1.58,1995
col,1.9,1996
col,4.69,1997
col,4.43,1998
col,4.62,1999
col,4.61,2001
col,4.715,2002
com,8.5,2002
cod,16.4,2002
cog,7.8,2002
cri,2.11,1980
cri,2.19,1981
cri,2.36,1982
cri,4.51,1983
cri,3.36,1984
cri,4.86,1985
cri,3.91,1986
cri,4.72,1987
cri,4.35,1988
cri,3.75,1989
cri,4.18,1990
cri,1.45,1991
cri,2.12,1992
cri,1.9,1993
cri,1.22,1994
cri,1.58,1995
cri,1.73,1996
cri,4.79,1997
cri,4.54,1998
cri,4.55,1999
cri,4.07,2000
cri,3.94,2001
cri,4.22,2002
civ,4.9,2002
hrv,3.56,1995
hrv,3.18,1996
hrv,2.94,1997
hrv,3.34,1998
hrv,2.56,1999
hrv,3.24,2000
hrv,2.78,2001
hrv,2.5,2002
cub,0.96,1979
cub,0.76,1980
cub,0.9,1981
cub,1.1,1982
cub,1.48,1983
cub,0.98,1984
cub,1.36,1985
cub,0.92,1986
cub,1.04,1987
cub,1.54,1988
cub,1.2,1989
cub,1.41,1990
cub,1.4,1994
cub,1.27,1997
cub,1.28,1998
cub,1.06,2000
cub,3.52,2001
cub,3.52,2002
cyp,1.2,2002
cze,1.62,1986
cze,1.46,1987
cze,1.7,1988
cze,1.57,1989
cze,1.73,1990
cze,1.63,1991
cze,1.7,1992
cze,1.44,1993
cze,3.56,1994
cze,3.63,1995
cze,3.38,1996
cze,3.66,1997
cze,3.45,1998
cze,3.42,1999
cze,3.34,2000
cze,3.33,2001
cze,3.32,2002
cheslo,2.17,1987
cheslo,2.19,1988
cheslo,2.25,1989
cheslo,2.18,1990
cheslo,2.04,1991
dnk,2.65,1961
dnk,2.36,1962
dnk,2.48,1963
dnk,2.52,1964
dnk,1.93,1965
dnk,2.12,1966
dnk,1.88,1967
dnk,2.12,1968
dnk,2.24,1994
dnk,1.95,1995
dnk,2.25,1996
dnk,2.25,1997
dnk,1.69,1998
dnk,2.1,1999
dnk,2.0,2000
dnk,1.54,2001
dnk,1.08,2002
dji,8.5,2002
dom,3.44,1980
dom,3.73,1981
dom,4.15,1982
dom,2.72,1983
dom,1.58,1984
dom,0.37,1985
dom,0.65,1986
dom,0.82,1987
dom,0.77,1988
dom,0.67,1989
dom,0.52,1990
dom,0.49,1991
dom,0.65,1992
dom,0.38,1994
dom,0.29,1995
dom,2.76,1996
dom,3.79,1997
dom,4.06,1998
dom,3.88,1999
dom,3.0,2000
dom,3.71,2001
dom,3.59,2002
ecu,1.0,1979
ecu,1.18,1980
ecu,1.9,1981
ecu,1.4,1982
ecu,1.01,1983
ecu,0.72,1984
ecu,1.79,1985
ecu,1.95,1986
ecu,1.12,1987
ecu,2.16,1988
ecu,1.25,1989
ecu,2.28,1990
ecu,1.7,1991
ecu,1.6,1992
ecu,1.78,1993
ecu,1.56,1994
ecu,1.55,1995
ecu,1.28,1996
ecu,7.08,1997
ecu,5.65,1998
ecu,5.83,1999
ecu,6.27,2000
ecu,5.23,2001
ecu,5.14,2002
egy,1.2,1980
egy,1.98,1987
egy,2.65,1991
egy,3.13,1992
egy,3.73,2000
egy,3.3,2002
slv,0.07,1981
slv,0.38,1982
slv,0.75,1983
slv,0.23,1984
slv,0.05,1991
slv,0.09,1993
slv,0.03,1996
slv,4.5,1997
slv,4.39,1998
slv,3.6,1999
slv,4.34,2000
slv,4.96,2001
slv,4.52,2002
gnq,13.2,2002
eri,8.5,2002
est,2.51,1997
est,1.55,1998
est,2.44,1999
est,2.55,2000
est,2.5,2001
est,1.92,2002
eth,3.9,2002
fji,1.8,2002
fin,0.49,1955
fin,0.32,1956
fin,0.38,1957
fin,0.31,1958
fin,0.52,1959
fin,0.43,1960
fin,0.34,1961
fin,0.72,1962
fin,0.81,1963
fin,0.8,1964
fin,0.81,1965
fin,1.26,1966
fin,0.77,1967
fin,1.08,1968
fin,0.93,1987
fin,1.05,1988
fin,1.85,1989
fin,2.48,1990
fin,2.2,1991
fin,1.98,1992
fin,2.52,1993
fin,2.07,1994
fin,2.15,1996
fin,2.78,1997
fin,2.15,1998
fin,2.52,1999
fin,2.53,2000
fin,2.58,2001
fin,2.24,2002
fra,0.3,1955
fra,0.31,1956
fra,0.35,1957
fra,0.32,1958
fra,0.32,1959
fra,0.34,1960
fra,0.36,1961
fra,0.32,1962
fra,0.32,1963
fra,0.34,1964
fra,0.32,1965
fra,0.45,1966
fra,0.36,1967
fra,0.68,1979
fra,0.6,1980
fra,0.67,1981
fra,0.69,1982
fra,0.79,1983
