geo,liver_cancer_number_of_female_deaths,time
afg,147,2002
alb,59,2002
dza,103,2002
ago,134,2002
arg,909,2002
arm,69,2002
aus,254,2002
aut,232,2002
aze,90,2002
bhs,5,2002
bhr,5,2002
bgd,577,2002
brb,7,2002
blr,174,2002
bel,287,2002
blz,8,2002
ben,110,2002
btn,9,2002
bol,77,2002
bih,114,2002
bwa,12,2002
bra,2805,2002
brn,4,2002
bgr,277,2002
bfa,311,2002
bdi,167,2002
khm,109,2002
cmr,690,2002
can,480,2002
cpv,10,2002
caf,197,2002
tcd,374,2002
chl,364,2002
chn,89060,2002
col,1213,2002
com,18,2002
cod,2951,2002
cog,85,2002
cri,93,2002
civ,247,2002
hrv,162,2002
cub,299,2002
cyp,8,2002
cze,385,2002
dnk,130,2002
dji,21,2002
dom,262,2002
ecu,494,2002
egy,856,2002
slv,161,2002
gnq,24,2002
eri,100,2002
est,24,2002
eth,709,2002
fji,5,2002
fin,183,2002
fra,1666,2002
pyf,8,2002
gab,34,2002
gmb,82,2002
geo,221,2002
deu,2156,2002
gha,381,2002
grc,663,2002
gum,1,2002
gtm,155,2002
gin,311,2002
gnb,23,2002
guy,1,2002
hti,235,2002
hnd,88,2002
hun,406,2002
isl,6,2002
ind,4264,2002
idn,2200,2002
irn,407,2002
irq,27,2002
irl,54,2002
isr,101,2002
ita,3714,2002
jam,41,2002
jpn,11120,2002
jor,17,2002
kaz,467,2002
ken,436,2002
prk,1033,2002
kor,2468,2002
kwt,7,2002
kgz,70,2002
lao,117,2002
lva,53,2002
lbn,12,2002
lso,41,2002
lbr,42,2002
lby,43,2002
ltu,67,2002
lux,9,2002
mkd,59,2002
mdg,410,2002
mwi,18,2002
mys,248,2002
mli,493,2002
mlt,4,2002
mrt,50,2002
mus,14,2002
mex,2719,2002
mda,91,2002
mng,369,2002
mar,114,2002
moz,2439,2002
mmr,690,2002
nam,9,2002
npl,104,2002
nzl,38,2002
nic,151,2002
ner,248,2002
nga,1136,2002
nor,57,2002
omn,18,2002
pak,1553,2002
pan,46,2002
png,147,2002
pry,84,2002
per,1135,2002
phl,1474,2002
pol,1141,2002
prt,204,2002
pri,131,2002
qat,5,2002
rou,791,2002
rus,3540,2002
rwa,427,2002
wsm,1,2002
sau,278,2002
sen,475,2002
scg,387,2002
sle,87,2002
sgp,146,2002
svk,137,2002
svn,50,2002
slb,12,2002
som,202,2002
zaf,370,2002
esp,1583,2002
lka,41,2002
sdn,256,2002
sur,4,2002
swz,16,2002
swe,259,2002
che,137,2002
syr,55,2002
tjk,40,2002
tza,245,2002
tha,4821,2002
nld,196,2002
tgo,85,2002
tto,6,2002
tun,47,2002
tur,429,2002
tkm,43,2002
uga,317,2002
ukr,881,2002
are,4,2002
gbr,970,2002
usa,4837,2002
ury,27,2002
uzb,203,2002
vut,4,2002
ven,401,2002
vnm,1720,2002
yem,99,2002
zmb,263,2002
zwe,359,2002
