geo,liver_cancer_number_of_new_female_cases,time
afg,155,2002
alb,44,2002
dza,105,2002
ago,135,2002
arg,499,2002
arm,66,2002
aus,201,2002
aut,263,2002
aze,87,2002
bhs,3,2002
bhr,6,2002
bgd,614,2002
brb,3,2002
blr,176,2002
bel,240,2002
blz,7,2002
ben,111,2002
btn,11,2002
bol,82,2002
bih,93,2002
bwa,12,2002
bra,1861,2002
brn,4,2002
bgr,199,2002
bfa,316,2002
bdi,169,2002
khm,115,2002
cmr,700,2002
can,360,2002
cpv,10,2002
caf,200,2002
tcd,381,2002
chl,208,2002
chn,94940,2002
col,527,2002
com,18,2002
cod,3003,2002
cog,89,2002
cri,62,2002
civ,250,2002
hrv,178,2002
cub,305,2002
cyp,8,2002
cze,289,2002
dnk,120,2002
dji,21,2002
dom,166,2002
ecu,298,2002
egy,869,2002
slv,114,2002
gnq,25,2002
eri,101,2002
est,30,2002
eth,719,2002
fji,5,2002
fin,84,2002
fra,1284,2002
pyf,9,2002
gab,34,2002
gmb,84,2002
geo,211,2002
deu,1387,2002
gha,386,2002
grc,596,2002
gum,1,2002
gtm,160,2002
gin,318,2002
gnb,24,2002
guy,0,2002
hti,245,2002
hnd,92,2002
hun,437,2002
isl,2,2002
ind,4477,2002
idn,2334,2002
irn,431,2002
irq,28,2002
irl,14,2002
isr,73,2002
ita,3699,2002
jam,43,2002
jpn,12440,2002
jor,18,2002
kaz,486,2002
ken,444,2002
prk,1369,2002
kor,3256,2002
kwt,7,2002
kgz,74,2002
lao,125,2002
lva,50,2002
lbn,14,2002
lso,42,2002
lbr,43,2002
lby,43,2002
ltu,65,2002
lux,6,2002
mkd,44,2002
mdg,415,2002
mwi,18,2002
mys,263,2002
mli,500,2002
mlt,2,2002
mrt,51,2002
mus,9,2002
mex,1928,2002
mda,110,2002
mng,442,2002
mar,117,2002
moz,2476,2002
mmr,735,2002
nam,9,2002
npl,113,2002
nzl,38,2002
nic,108,2002
ner,253,2002
nga,1156,2002
nor,52,2002
omn,20,2002
pak,1650,2002
pan,32,2002
png,155,2002
pry,63,2002
per,761,2002
phl,1686,2002
pol,884,2002
prt,182,2002
pri,85,2002
qat,5,2002
rou,769,2002
rus,2773,2002
rwa,436,2002
wsm,2,2002
sau,296,2002
sen,482,2002
scg,276,2002
sle,89,2002
sgp,116,2002
svk,128,2002
svn,32,2002
slb,12,2002
som,205,2002
zaf,388,2002
esp,1339,2002
lka,43,2002
sdn,260,2002
sur,2,2002
swz,17,2002
swe,193,2002
che,131,2002
syr,58,2002
tjk,40,2002
tza,248,2002
tha,4995,2002
nld,87,2002
tgo,87,2002
tto,5,2002
tun,47,2002
tur,455,2002
tkm,42,2002
uga,322,2002
ukr,970,2002
are,4,2002
gbr,1049,2002
usa,4791,2002
ury,19,2002
uzb,199,2002
vut,4,2002
ven,291,2002
vnm,1827,2002
yem,105,2002
zmb,266,2002
zwe,364,2002
