geo,lung_cancer_deaths_per_100000_women,time
afg,2.7,2002
alb,5.49,1987
alb,6.3,1988
alb,4.01,1989
alb,5.12,1992
alb,4.79,1993
alb,5.09,1994
alb,5.79,1995
alb,7.8,1996
alb,7.62,1997
alb,7.84,1998
alb,7.38,1999
alb,6.4,2000
alb,5.88,2001
alb,8.1,2002
dza,2.0,2002
ago,1.3,2002
arg,5.17,1966
arg,5.56,1967
arg,6.7,1968
arg,6.32,1969
arg,5.94,1970
arg,5.54,1977
arg,5.55,1978
arg,5.28,1979
arg,5.21,1980
arg,5.38,1981
arg,5.51,1982
arg,5.51,1983
arg,5.84,1984
arg,5.35,1985
arg,5.26,1986
arg,5.34,1987
arg,5.88,1988
arg,5.83,1989
arg,5.83,1990
arg,6.26,1991
arg,6.2,1992
arg,6.38,1993
arg,6.42,1994
arg,6.29,1995
arg,6.46,1996
arg,6.5,1997
arg,7.09,1998
arg,7.05,1999
arg,6.73,2000
arg,6.95,2001
arg,7.08,2002
arm,4.09,1981
arm,4.9,1982
arm,5.56,1985
arm,6.23,1986
arm,5.42,1987
arm,6.04,1988
arm,5.89,1989
arm,6.38,1990
arm,5.66,1991
arm,7.1,1992
arm,6.55,1993
arm,5.75,1994
arm,4.49,1995
arm,4.55,1996
arm,4.83,1997
arm,5.58,1998
arm,5.28,1999
arm,6.39,2000
arm,6.2,2001
arm,5.96,2002
aus,2.78,1950
aus,2.98,1951
aus,2.98,1952
aus,3.73,1953
aus,2.98,1954
aus,2.96,1955
aus,3.47,1956
aus,3.2,1957
aus,3.24,1958
aus,3.31,1959
aus,3.44,1960
aus,3.58,1961
aus,3.83,1962
aus,3.86,1963
aus,4.28,1964
aus,4.19,1965
aus,4.46,1966
aus,5.09,1967
aus,5.04,1968
aus,4.96,1969
aus,6.42,1970
aus,6.76,1971
aus,6.37,1972
aus,7.05,1973
aus,6.83,1974
aus,7.22,1975
aus,7.97,1976
aus,9.08,1977
aus,9.09,1978
aus,9.42,1979
aus,9.7,1980
aus,9.56,1981
aus,10.56,1982
aus,11.44,1983
aus,11.32,1984
aus,11.5,1985
aus,11.99,1986
aus,11.41,1987
aus,12.86,1988
aus,13.21,1989
aus,12.72,1990
aus,13.6,1991
aus,12.88,1992
