geo,lung_cancer_number_of_female_deaths,time
afg,173,2002
alb,154,2002
dza,205,2002
ago,58,2002
arg,1804,2002
arm,155,2002
aus,2246,2002
aut,980,2002
aze,219,2002
bhs,6,2002
bhr,19,2002
bgd,1337,2002
brb,6,2002
blr,421,2002
bel,1052,2002
blz,4,2002
ben,10,2002
btn,16,2002
bol,89,2002
bih,312,2002
bwa,14,2002
bra,5524,2002
brn,11,2002
bgr,522,2002
bfa,75,2002
bdi,40,2002
khm,188,2002
cmr,15,2002
can,6808,2002
cpv,0,2002
caf,8,2002
tcd,16,2002
chl,670,2002
chn,109100,2002
col,1704,2002
com,4,2002
cod,91,2002
cog,4,2002
cri,101,2002
civ,56,2002
hrv,453,2002
cub,1227,2002
cyp,30,2002
cze,1272,2002
dnk,1475,2002
dji,6,2002
dom,286,2002
ecu,301,2002
egy,747,2002
slv,109,2002
gnq,0,2002
eri,25,2002
est,113,2002
eth,559,2002
fji,5,2002
fin,464,2002
fra,4465,2002
pyf,2,2002
gab,9,2002
gmb,3,2002
geo,273,2002
deu,9666,2002
gha,36,2002
grc,874,2002
gum,11,2002
gtm,193,2002
gin,43,2002
gnb,2,2002
guy,15,2002
hti,11,2002
hnd,109,2002
hun,2097,2002
isl,53,2002
ind,6934,2002
idn,5736,2002
irn,466,2002
irq,383,2002
irl,564,2002
isr,375,2002
ita,5788,2002
jam,67,2002
jpn,15260,2002
jor,41,2002
kaz,947,2002
ken,167,2002
prk,1240,2002
kor,3045,2002
kwt,21,2002
kgz,111,2002
lao,101,2002
lva,175,2002
lbn,70,2002
lso,11,2002
lbr,5,2002
lby,36,2002
ltu,197,2002
lux,48,2002
mkd,104,2002
mdg,98,2002
mwi,14,2002
mys,844,2002
mli,5,2002
mlt,22,2002
mrt,5,2002
mus,25,2002
mex,2567,2002
mda,178,2002
mng,102,2002
mar,209,2002
moz,70,2002
mmr,2178,2002
nam,12,2002
npl,167,2002
nzl,574,2002
nic,74,2002
ner,10,2002
nga,116,2002
nor,566,2002
omn,13,2002
pak,1206,2002
pan,69,2002
png,15,2002
pry,81,2002
per,737,2002
phl,3120,2002
pol,3960,2002
prt,530,2002
pri,217,2002
qat,4,2002
rou,1555,2002
rus,8743,2002
rwa,20,2002
wsm,0,2002
sau,135,2002
sen,4,2002
scg,935,2002
sle,7,2002
sgp,441,2002
svk,363,2002
svn,210,2002
slb,5,2002
som,48,2002
zaf,1099,2002
esp,1870,2002
lka,139,2002
sdn,80,2002
sur,13,2002
swz,4,2002
swe,1197,2002
che,750,2002
syr,143,2002
tjk,64,2002
tza,57,2002
tha,2858,2002
nld,2161,2002
tgo,7,2002
tto,29,2002
tun,73,2002
tur,1453,2002
tkm,73,2002
uga,126,2002
ukr,2928,2002
are,21,2002
gbr,13390,2002
usa,65790,2002
ury,158,2002
uzb,396,2002
vut,4,2002
ven,964,2002
vnm,2043,2002
yem,149,2002
zmb,23,2002
zwe,190,2002
