geo,male_long_term_unemployment_rate_percent,time
arm,30.7,2001
abw,0.8,1994
abw,2.6,1997
aus,1.0,1980
aus,1.0,1981
aus,1.3,1982
aus,2.6,1983
aus,3.0,1984
aus,2.8,1985
aus,2.5,1986
aus,2.6,1987
aus,2.2,1988
aus,1.7,1989
aus,1.6,1990
aus,2.5,1991
aus,4.1,1992
aus,4.7,1993
aus,4.0,1994
aus,3.1,1995
aus,2.7,1996
aus,2.9,1997
aus,2.6,1998
aus,2.3,1999
aus,1.9,2000
aus,1.7,2001
aus,1.7,2002
aus,1.5,2003
aus,1.3,2004
aus,1.0,2005
aus,1.0,2006
aus,0.7,2007
aut,1.0,1994
aut,1.1,1995
aut,1.2,1996
aut,1.4,1997
aut,1.6,1998
aut,1.3,1999
aut,1.3,2000
aut,0.9,2001
aut,0.8,2002
aut,1.2,2003
aut,1.3,2004
aut,1.3,2005
aut,1.3,2006
aut,1.0,2007
bhs,2.8,1991
bhs,4.2,1992
bhs,4.2,1993
bhs,5.0,1994
bhs,2.7,1995
bhs,2.7,1996
bhs,2.8,1997
bhs,1.6,1998
bhs,1.0,1999
brb,11.3,1992
brb,12.1,1993
brb,9.0,1994
brb,11.4,1995
brb,5.5,1996
brb,5.6,1997
brb,3.8,1998
brb,2.7,1999
brb,3.2,2000
brb,2.8,2001
bel,4.7,1983
bel,5.0,1984
bel,4.7,1985
bel,4.7,1986
bel,5.1,1987
bel,5.1,1988
bel,3.9,1989
bel,3.0,1990
bel,2.6,1991
bel,2.7,1992
bel,2.8,1993
bel,4.1,1994
bel,4.5,1995
bel,4.4,1996
bel,4.2,1997
bel,4.5,1998
bel,4.5,1999
bel,3.0,2000
bel,3.0,2001
bel,2.9,2002
bel,3.3,2003
bel,3.3,2004
bel,3.7,2005
bel,4.2,2006
bel,3.3,2007
blz,2.3,1993
blz,3.0,1994
blz,3.3,1995
blz,4.2,1996
blz,3.5,1997
blz,4.4,1998
blz,3.8,1999
bwa,7.2,1995
bgr,8.7,1993
bgr,8.8,1994
bgr,7.5,1995
bgr,6.5,1996
bgr,8.3,1997
bgr,8.1,1998
bgr,8.3,1999
can,0.4,1980
can,0.5,1981
can,0.8,1982
can,1.6,1983
can,1.5,1984
can,1.4,1985
can,1.1,1986
can,1.1,1987
can,0.7,1988
can,0.7,1989
can,0.6,1990
can,1.0,1991
can,1.7,1992
can,2.1,1993
can,2.1,1994
can,1.8,1995
can,1.7,1996
can,1.6,1997
can,1.2,1998
can,1.0,1999
can,0.8,2000
can,0.8,2001
can,0.8,2002
can,0.9,2003
can,0.7,2004
can,0.7,2005
can,0.6,2006
can,0.5,2007
chl,3.7,1986
chl,3.2,1987
chl,2.0,1988
chl,1.6,1989
chl,1.6,1990
chl,1.8,1991
chl,3.5,1992
chl,3.4,1993
chl,5.0,1994
chl,4.3,1995
cri,0.3,1980
cri,0.8,1981
cri,1.0,1982
cri,1.2,1983
cri,0.8,1984
cri,0.9,1985
cri,1.2,1986
cri,0.5,1987
cri,0.5,1988
cri,0.2,1989
cri,0.3,1990
cri,0.3,1991
cri,0.3,1992
cri,0.2,1993
cri,0.2,1994
cri,0.2,1995
cri,0.6,1996
cri,0.7,1997
cri,0.3,1998
cri,0.5,1999
cri,0.5,2000
cri,0.5,2001
cze,0.6,1993
cze,0.7,1994
cze,0.9,1995
cze,0.9,1996
cze,1.1,1997
cze,1.5,1998
cze,2.3,1999
cze,3.4,2000
cze,3.4,2001
cze,3.0,2002
cze,2.9,2003
cze,3.5,2004
cze,3.4,2005
cze,3.1,2006
cze,2.2,2007
dnk,3.6,1983
dnk,2.4,1984
dnk,2.1,1985
dnk,1.1,1986
dnk,1.0,1987
dnk,1.2,1988
dnk,1.4,1989
dnk,2.2,1990
dnk,2.4,1991
dnk,2.1,1992
dnk,2.4,1993
dnk,2.3,1994
dnk,1.8,1995
dnk,1.6,1996
dnk,1.2,1997
dnk,0.9,1998
dnk,0.9,1999
dnk,0.8,2000
dnk,0.9,2001
dnk,0.7,2002
dnk,1.1,2003
dnk,1.1,2004
dnk,1.2,2005
dnk,0.7,2006
dnk,0.6,2007
dma,7.7,1997
dom,0.3,1996
dom,0.2,1997
dom,0.2,2000
slv,0.5,1996
est,4.4,1997
est,4.9,1998
fin,0.9,1980
fin,1.0,1982
fin,0.9,1983
fin,1.1,1984
fin,1.0,1985
fin,0.8,1986
fin,1.0,1987
fin,0.1,1989
fin,1.0,1991
fin,7.1,1993
fin,5.9,1995
fin,4.6,1996
fin,4.4,1997
fin,3.9,1998
fin,3.0,1999
fin,2.7,2000
fin,2.3,2001
fin,2.3,2002
fin,2.4,2003
fin,2.1,2004
fin,2.1,2005
fin,1.9,2006
fin,1.7,2007
fra,1.4,1980
fra,1.6,1981
fra,1.6,1982
fra,2.0,1983
fra,2.3,1984
fra,3.0,1985
fra,3.2,1986
fra,3.2,1987
fra,2.9,1988
fra,2.6,1989
fra,2.3,1990
fra,2.2,1991
fra,2.4,1992
fra,2.7,1993
fra,3.7,1994
fra,3.8,1995
fra,3.6,1996
fra,4.0,1997
fra,4.1,1998
fra,3.8,1999
fra,3.3,2000
fra,2.5,2001
fra,2.4,2002
fra,3.0,2003
fra,3.1,2004
fra,3.1,2005
fra,3.4,2006
fra,2.9,2007
deu,1.6,1991
deu,1.8,1992
deu,2.3,1993
deu,3.0,1994
deu,3.2,1995
deu,3.6,1996
deu,4.2,1997
deu,4.4,1998
deu,4.2,1999
deu,3.7,2000
deu,3.7,2001
deu,3.9,2002
deu,4.9,2003
deu,5.6,2004
deu,6.1,2005
deu,5.9,2006
deu,4.8,2007
deu_west,2.4,1983
deu_west,2.5,1984
deu_west,2.8,1985
deu_west,2.7,1986
deu_west,2.8,1987
deu_west,2.5,1988
deu_west,2.3,1989
deu_west,1.9,1990
grc,1.3,1983
grc,1.6,1984
grc,1.9,1985
grc,1.5,1986
grc,1.7,1987
grc,1.7,1988
grc,1.8,1989
grc,1.7,1990
grc,1.8,1991
grc,1.9,1992
grc,2.5,1993
grc,2.5,1994
grc,2.6,1995
grc,2.8,1996
grc,2.8,1997
grc,3.1,1998
grc,3.7,1999
grc,3.6,2000
grc,3.2,2001
grc,3.1,2002
grc,2.9,2003
grc,3.0,2004
grc,2.5,2005
grc,2.7,2006
grc,2.1,2007
hun,2.3,1992
hun,4.4,1993
hun,5.3,1994
hun,5.8,1995
hun,6.0,1996
hun,4.8,1997
hun,4.1,1998
hun,3.8,1999
hun,3.6,2000
hun,3.0,2001
hun,2.9,2002
hun,2.6,2003
hun,2.8,2004
hun,3.3,2005
hun,3.4,2006
hun,3.4,2007
isl,0.0,1991
isl,0.3,1992
isl,0.4,1993
isl,0.7,1994
isl,0.7,1995
isl,0.8,1996
isl,0.6,1997
isl,0.3,1998
isl,0.1,1999
isl,0.1,2000
isl,0.2,2001
isl,0.3,2002
isl,0.3,2003
isl,0.2,2004
isl,0.2,2005
isl,0.2,2006
isl,0.2,2007
irl,5.8,1983
irl,8.0,1984
irl,11.6,1985
irl,11.9,1986
irl,12.1,1987
irl,11.8,1988
irl,11.3,1989
irl,9.8,1990
irl,10.2,1991
irl,9.2,1992
irl,9.4,1993
irl,9.6,1994
irl,7.7,1995
irl,7.4,1996
irl,6.3,1997
irl,3.2,1999
irl,1.5,2001
irl,1.6,2002
irl,2.0,2003
irl,2.0,2004
irl,1.9,2005
irl,1.8,2006
irl,1.7,2007
ita,3.0,1983
ita,3.9,1984
ita,4.0,1985
ita,4.5,1986
ita,4.8,1987
ita,5.0,1988
ita,4.9,1989
ita,4.3,1990
ita,4.5,1991
ita,3.9,1992
ita,4.2,1993
ita,5.1,1994
ita,5.5,1995
ita,5.9,1996
ita,6.2,1997
ita,5.6,1998
ita,5.3,1999
ita,5.0,2000
ita,4.6,2001
ita,4.0,2002
ita,3.9,2003
ita,2.9,2004
ita,3.0,2005
ita,2.6,2006
ita,2.1,2007
jam,2.0,1992
jam,2.9,1993
jam,2.2,1994
jam,2.2,1995
jam,1.8,1996
jam,1.8,1997
jam,1.8,1998
jam,1.9,1999
jam,2.0,2000
jam,2.5,2001
jpn,0.3,1980
jpn,0.4,1981
jpn,0.3,1982
jpn,0.4,1983
jpn,0.5,1984
jpn,0.5,1985
jpn,0.6,1986
jpn,0.8,1987
jpn,0.7,1988
jpn,0.5,1989
jpn,0.6,1990
jpn,0.5,1991
jpn,0.4,1992
jpn,0.5,1993
jpn,0.6,1994
jpn,0.7,1995
jpn,0.8,1996
jpn,0.9,1997
jpn,1.0,1998
jpn,1.3,1999
jpn,1.5,2000
jpn,1.5,2001
jpn,1.9,2002
jpn,2.1,2003
jpn,1.9,2004
jpn,1.8,2005
jpn,1.7,2006
jpn,1.5,2007
kor,0.1,1990
kor,0.1,1991
kor,0.1,1992
kor,0.1,1993
kor,0.2,1994
kor,0.1,1995
kor,0.1,1996
kor,0.1,1997
kor,0.1,1998
kor,0.3,1999
kor,0.2,2000
kor,0.1,2001
kor,0.1,2002
kor,0.0,2003
kor,0.1,2004
kor,0.0,2005
kor,0.0,2006
kor,0.0,2007
lva,10.8,1995
lva,10.4,1996
lva,9.0,1997
lva,7.8,1998
lva,7.3,1999
lux,0.8,1983
lux,0.5,1984
lux,0.9,1985
lux,0.4,1986
lux,0.7,1987
lux,0.3,1988
lux,0.5,1989
lux,0.6,1990
lux,0.3,1991
lux,0.1,1992
lux,0.5,1993
lux,1.0,1994
lux,0.5,1995
lux,0.7,1996
lux,0.6,1997
lux,0.7,1998
lux,0.7,1999
lux,0.5,2000
lux,0.5,2001
lux,0.6,2002
lux,0.9,2003
lux,0.8,2004
lux,1.2,2005
lux,1.2,2006
lux,1.6,2007
mex,0.1,1995
mex,0.1,1996
mex,0.0,1997
mex,0.0,1998
mex,0.0,1999
mex,0.0,2000
mex,0.0,2001
mex,0.0,2002
mex,0.0,2003
mex,0.0,2004
mex,0.1,2005
mex,0.1,2006
mex,0.1,2007
nam,10.5,1997
nld,5.0,1983
nld,5.6,1985
nld,3.9,1987
nld,4.1,1988
nld,3.6,1989
nld,3.1,1990
nld,3.0,1991
nld,1.8,1992
nld,2.4,1993
nld,2.8,1994
nld,3.0,1995
nld,2.6,1996
nld,2.0,1997
nld,1.5,1998
nld,1.1,1999
nld,0.6,2002
nld,1.0,2003
nld,1.6,2004
nld,2.1,2005
nld,1.7,2006
nld,1.2,2007
ant,5.3,1992
ant,5.5,1993
ant,4.8,1994
ant,4.1,1995
ant,3.7,1996
ant,5.9,1997
ant,7.0,1998
nzl,0.2,1986
nzl,0.4,1987
nzl,0.7,1988
nzl,1.3,1989
nzl,1.4,1990
nzl,2.8,1991
nzl,3.7,1992
nzl,3.6,1993
nzl,2.9,1994
nzl,1.7,1995
nzl,1.3,1996
nzl,1.3,1997
nzl,1.6,1998
nzl,1.5,1999
nzl,1.3,2000
nzl,0.9,2001
nzl,0.8,2002
nzl,0.6,2003
nzl,0.4,2004
nzl,0.4,2005
nzl,0.3,2006
nzl,0.2,2007
nor,0.1,1983
nor,0.5,1984
nor,0.3,1985
nor,0.1,1987
nor,0.2,1988
nor,0.6,1989
nor,0.9,1990
nor,1.0,1991
nor,1.4,1992
nor,1.6,1993
nor,1.5,1994
nor,1.3,1995
nor,0.8,1996
nor,0.5,1997
nor,0.3,1998
nor,0.3,1999
nor,0.2,2000
nor,0.2,2001
nor,0.3,2002
nor,0.3,2003
nor,0.5,2004
nor,0.5,2005
nor,0.5,2006
nor,0.2,2007
pan,2.1,1991
pan,1.4,1992
pan,1.2,1993
pan,1.1,1994
pan,1.2,1995
pan,1.7,1996
pan,1.4,1997
pan,1.5,1998
pan,0.9,1999
pan,1.1,2000
pan,2.4,2001
pol,4.1,1992
pol,4.4,1993
pol,4.8,1994
pol,4.4,1995
pol,3.9,1996
pol,3.2,1997
pol,2.9,1998
pol,3.7,1999
pol,4.9,2000
pol,6.7,2001
pol,8.6,2002
pol,9.2,2003
pol,8.5,2004
pol,8.5,2005
pol,6.3,2006
pol,4.1,2007
prt,3.3,1986
prt,2.8,1987
prt,1.9,1988
prt,1.5,1989
prt,1.3,1990
prt,0.9,1991
prt,0.8,1992
prt,1.4,1993
prt,2.3,1994
prt,2.9,1995
prt,3.0,1996
prt,2.9,1997
prt,1.6,1998
prt,1.6,1999
prt,1.4,2000
prt,1.0,2001
prt,1.3,2002
prt,1.6,2003
prt,2.5,2004
prt,3.0,2005
prt,3.2,2006
prt,3.1,2007
rou,2.5,1994
rou,3.0,1995
rou,2.7,1996
rou,2.9,1997
rou,3.1,1998
rou,3.5,1999
rus,0.4,1992
rus,0.6,1993
rus,1.3,1994
rus,2.0,1995
rus,2.3,1996
svk,5.4,1994
svk,6.5,1995
svk,5.3,1996
svk,5.3,1997
svk,5.9,1998
svk,7.2,1999
svk,10.1,2000
svk,10.3,2001
svk,10.9,2002
svk,10.4,2003
svk,10.5,2004
svk,10.5,2005
svk,9.0,2006
svk,7.1,2007
svn,4.4,1993
svn,4.5,1994
esp,3.1,1980
esp,4.7,1981
esp,6.4,1982
esp,7.6,1983
esp,9.1,1984
esp,10.3,1985
esp,10.0,1986
esp,9.3,1987
esp,7.9,1988
esp,6.3,1989
esp,5.2,1990
esp,5.0,1991
esp,5.3,1992
esp,7.8,1993
esp,9.5,1994
esp,9.0,1995
esp,8.5,1996
esp,7.7,1997
esp,6.4,1998
esp,4.8,1999
esp,3.8,2000
esp,2.5,2001
esp,2.5,2002
esp,2.6,2003
esp,2.5,2004
esp,1.7,2005
esp,1.4,2006
esp,1.3,2007
swe,0.1,1980
swe,0.2,1981
swe,0.3,1982
swe,0.4,1983
swe,0.4,1984
swe,0.3,1985
swe,0.2,1986
swe,0.4,1987
swe,0.3,1988
swe,0.2,1989
swe,0.2,1990
swe,0.4,1991
swe,0.9,1992
swe,1.9,1993
swe,3.2,1994
swe,3.1,1995
swe,3.5,1996
swe,3.8,1997
swe,3.1,1998
swe,2.5,1999
swe,1.8,2000
swe,1.3,2001
swe,1.3,2002
swe,1.2,2003
swe,1.4,2004
swe,0.8,2007
che,0.2,1991
che,0.3,1992
che,0.5,1993
che,0.8,1994
che,0.9,1995
che,0.7,1996
che,1.1,1997
che,1.1,1998
che,1.1,1999
