geo,male_population_with_projections,time
afg,4220000,1950
afg,4283000,1951
afg,4348000,1952
afg,4416000,1953
afg,4488000,1954
afg,4562000,1955
afg,4640000,1956
afg,4721000,1957
afg,4806000,1958
afg,4894000,1959
afg,4986000,1960
afg,5082000,1961
afg,5181000,1962
afg,5284000,1963
afg,5392000,1964
afg,5505000,1965
afg,5621000,1966
afg,5740000,1967
afg,5864000,1968
afg,5998000,1969
afg,6143000,1970
afg,6299000,1971
afg,6460000,1972
afg,6622000,1973
afg,6776000,1974
afg,6917000,1975
afg,7047000,1976
afg,7163000,1977
afg,7249000,1978
afg,7278000,1979
afg,7237000,1980
afg,7122000,1981
afg,6948000,1982
afg,6742000,1983
afg,6542000,1984
afg,6378000,1985
afg,6251000,1986
afg,6163000,1987
afg,6152000,1988
afg,6264000,1989
afg,6527000,1990
afg,6965000,1991
afg,7558000,1992
afg,8225000,1993
afg,8856000,1994
afg,9374000,1995
afg,9748000,1996
afg,10000000,1997
afg,10190000,1998
afg,10380000,1999
afg,10640000,2000
afg,10970000,2001
afg,11360000,2002
afg,11790000,2003
afg,12240000,2004
afg,12690000,2005
afg,13150000,2006
afg,13620000,2007
afg,14090000,2008
afg,14580000,2009
afg,15080000,2010
afg,15590000,2011
afg,16120000,2012
afg,16650000,2013
afg,17190000,2014
afg,17730000,2015
afg,18280000,2016
afg,18830000,2017
afg,19380000,2018
afg,19940000,2019
afg,20490000,2020
afg,21040000,2021
afg,21590000,2022
afg,22150000,2023
afg,22710000,2024
afg,23270000,2025
afg,23850000,2026
afg,24430000,2027
afg,25020000,2028
afg,25610000,2029
afg,26210000,2030
afg,26800000,2031
afg,27400000,2032
afg,28000000,2033
afg,28600000,2034
afg,29200000,2035
afg,29810000,2036
afg,30410000,2037
afg,31010000,2038
afg,31620000,2039
afg,32220000,2040
afg,32820000,2041
afg,33430000,2042
afg,34030000,2043
afg,34630000,2044
afg,35230000,2045
afg,35830000,2046
afg,36430000,2047
afg,37020000,2048
afg,37620000,2049
afg,38210000,2050
alb,611800,1950
alb,624000,1951
alb,638600,1952
alb,655200,1953
alb,673600,1954
alb,693700,1955
alb,715100,1956
alb,737800,1957
alb,761400,1958
alb,785900,1959
alb,811100,1960
alb,836900,1961
alb,863000,1962
alb,889500,1963
alb,916300,1964
alb,943200,1965
alb,970400,1966
alb,997600,1967
alb,1025000,1968
alb,1052000,1969
alb,1079000,1970
alb,1105000,1971
alb,1131000,1972
alb,1157000,1973
alb,1185000,1974
alb,1214000,1975
alb,1245000,1976
alb,1279000,1977
alb,1313000,1978
alb,1346000,1979
alb,1378000,1980
alb,1408000,1981
alb,1436000,1982
alb,1463000,1983
alb,1492000,1984
alb,1525000,1985
alb,1563000,1986
alb,1605000,1987
alb,1644000,1988
alb,1673000,1989
alb,1687000,1990
alb,1683000,1991
alb,1664000,1992
alb,1635000,1993
alb,1604000,1994
alb,1579000,1995
alb,1559000,1996
alb,1545000,1997
alb,1535000,1998
alb,1529000,1999
alb,1525000,2000
alb,1523000,2001
alb,1525000,2002
alb,1529000,2003
alb,1534000,2004
alb,1539000,2005
alb,1544000,2006
alb,1548000,2007
alb,1552000,2008
alb,1557000,2009
alb,1563000,2010
alb,1570000,2011
alb,1578000,2012
alb,1586000,2013
alb,1594000,2014
alb,1602000,2015
alb,1610000,2016
alb,1618000,2017
alb,1625000,2018
alb,1632000,2019
alb,1639000,2020
alb,1645000,2021
alb,1651000,2022
alb,1656000,2023
alb,1660000,2024
alb,1664000,2025
alb,1667000,2026
alb,1669000,2027
alb,1670000,2028
alb,1671000,2029
