geo,males_aged_15_64_labour_force_participation_rate_percent,time
afg,88.0,1980
afg,88.0,1981
afg,88.1,1982
afg,88.1,1983
afg,88.1,1984
afg,88.2,1985
afg,88.2,1986
afg,88.2,1987
afg,88.3,1988
afg,88.3,1989
afg,88.3,1990
afg,88.4,1991
afg,88.4,1992
afg,88.5,1993
afg,88.5,1994
afg,88.5,1995
afg,88.5,1996
afg,88.6,1997
afg,88.6,1998
afg,88.6,1999
afg,88.6,2000
afg,88.6,2001
afg,88.6,2002
afg,88.6,2003
afg,88.6,2004
afg,88.6,2005
afg,88.6,2006
afg,88.9,2007
alb,88.5,1980
alb,88.2,1981
alb,88.2,1982
alb,87.9,1983
alb,87.6,1984
alb,87.7,1985
alb,87.5,1986
alb,88.0,1987
alb,88.5,1988
alb,87.7,1989
alb,88.9,1990
alb,75.9,1991
alb,75.7,1992
alb,76.3,1993
alb,76.8,1994
alb,77.2,1995
alb,77.5,1996
alb,77.1,1997
alb,77.3,1998
alb,77.3,1999
alb,77.3,2000
alb,77.2,2001
alb,77.1,2002
alb,77.1,2003
alb,77.0,2004
alb,76.9,2005
alb,76.8,2006
alb,77.0,2007
dza,74.2,1980
dza,74.2,1981
dza,73.9,1982
dza,73.7,1983
dza,73.5,1984
dza,73.5,1985
dza,74.4,1986
dza,75.3,1987
dza,76.2,1988
dza,77.0,1989
dza,77.9,1990
dza,78.7,1991
dza,79.4,1992
dza,80.2,1993
dza,80.9,1994
dza,81.5,1995
dza,82.1,1996
dza,82.3,1997
dza,82.1,1998
dza,81.9,1999
dza,81.9,2000
dza,82.2,2001
dza,82.1,2002
dza,81.7,2003
dza,81.6,2004
dza,81.4,2005
dza,81.4,2006
dza,80.7,2007
ago,91.7,1980
ago,91.7,1981
ago,91.6,1982
ago,91.5,1983
ago,91.5,1984
ago,91.4,1985
ago,91.5,1986
ago,91.4,1987
ago,90.8,1988
ago,91.0,1989
ago,90.9,1990
ago,91.2,1991
ago,90.4,1992
ago,91.9,1993
ago,90.8,1994
ago,92.2,1995
ago,92.1,1996
ago,92.1,1997
ago,91.8,1998
ago,91.4,1999
ago,91.6,2000
ago,91.6,2001
ago,91.2,2002
ago,91.3,2003
ago,90.9,2004
ago,90.5,2005
ago,89.7,2006
ago,89.9,2007
arg,83.3,1980
arg,84.5,1981
arg,85.6,1982
arg,86.6,1983
arg,86.4,1984
arg,86.1,1985
arg,86.2,1986
arg,86.2,1987
arg,85.9,1988
arg,85.5,1989
arg,85.5,1990
arg,81.9,1991
arg,82.0,1992
arg,82.1,1993
arg,82.2,1994
arg,82.4,1995
arg,82.3,1996
arg,82.3,1997
arg,82.3,1998
arg,82.4,1999
arg,82.4,2000
arg,82.4,2001
arg,82.3,2002
arg,82.3,2003
arg,82.2,2004
arg,82.2,2005
arg,82.1,2006
arg,81.9,2007
arm,86.3,1980
arm,85.7,1981
arm,85.6,1982
arm,85.2,1983
arm,84.6,1984
arm,84.1,1985
arm,84.5,1986
arm,84.4,1987
arm,83.5,1988
arm,83.6,1989
arm,83.7,1990
arm,75.5,1991
arm,73.8,1992
arm,72.6,1993
arm,72.4,1994
arm,73.1,1995
arm,73.1,1996
arm,72.8,1997
arm,73.1,1998
arm,73.0,1999
arm,73.2,2000
arm,73.5,2001
arm,74.1,2002
arm,74.5,2003
arm,74.8,2004
arm,74.9,2005
arm,74.7,2006
arm,75.7,2007
aus,86.7,1980
aus,86.5,1981
aus,85.9,1982
aus,85.2,1983
aus,84.8,1984
aus,84.4,1985
aus,84.8,1986
aus,84.4,1987
aus,84.4,1988
aus,84.8,1989
aus,85.1,1990
aus,84.3,1991
aus,83.9,1992
aus,83.6,1993
aus,83.6,1994
aus,84.0,1995
aus,83.8,1996
aus,83.1,1997
aus,82.9,1998
aus,82.6,1999
aus,82.6,2000
aus,82.4,2001
aus,82.3,2002
aus,82.1,2003
aus,82.2,2004
aus,82.7,2005
aus,82.8,2006
aus,82.2,2007
aut,84.1,1980
aut,83.6,1981
aut,82.7,1982
aut,81.6,1983
aut,81.4,1984
aut,80.9,1985
aut,80.8,1986
aut,80.7,1987
aut,80.0,1988
aut,79.9,1989
aut,80.1,1990
aut,80.4,1991
aut,80.7,1992
aut,80.6,1993
aut,80.1,1994
aut,80.7,1995
aut,80.1,1996
aut,79.9,1997
aut,79.6,1998
aut,79.8,1999
aut,79.6,2000
aut,79.2,2001
aut,79.7,2002
aut,80.1,2003
aut,78.9,2004
aut,79.4,2005
aut,80.1,2006
aut,79.8,2007
aze,81.2,1980
aze,80.8,1981
aze,80.9,1982
aze,80.8,1983
aze,80.5,1984
aze,80.2,1985
aze,80.8,1986
aze,81.0,1987
aze,80.1,1988
aze,80.5,1989
aze,81.0,1990
aze,74.5,1991
aze,74.6,1992
aze,74.5,1993
aze,73.6,1994
aze,72.7,1995
aze,72.9,1996
aze,73.2,1997
aze,73.9,1998
aze,74.3,1999
aze,74.9,2000
aze,75.2,2001
aze,75.5,2002
aze,75.6,2003
aze,75.6,2004
aze,75.2,2005
aze,74.2,2006
aze,76.2,2007
bhs,81.0,1980
bhs,80.9,1981
bhs,81.0,1982
bhs,81.2,1983
bhs,81.4,1984
bhs,81.5,1985
bhs,81.6,1986
bhs,81.5,1987
bhs,81.5,1988
bhs,81.4,1989
bhs,81.5,1990
bhs,82.3,1991
bhs,83.1,1992
bhs,83.8,1993
bhs,84.4,1994
bhs,84.3,1995
bhs,83.7,1996
bhs,83.0,1997
bhs,82.1,1998
bhs,81.9,1999
bhs,81.7,2000
bhs,82.1,2001
bhs,82.3,2002
bhs,82.3,2003
bhs,82.5,2004
bhs,82.4,2005
bhs,82.3,2006
bhs,82.0,2007
bhr,86.6,1980
bhr,88.2,1981
bhr,88.9,1982
bhr,89.4,1983
bhr,89.9,1984
bhr,90.1,1985
bhr,90.3,1986
bhr,90.3,1987
bhr,90.2,1988
bhr,90.1,1989
bhr,89.9,1990
bhr,89.8,1991
bhr,89.5,1992
bhr,89.2,1993
bhr,89.1,1994
bhr,88.9,1995
bhr,88.7,1996
bhr,88.5,1997
bhr,88.3,1998
bhr,88.1,1999
bhr,87.9,2000
bhr,87.8,2001
bhr,87.6,2002
bhr,87.5,2003
bhr,87.4,2004
bhr,87.2,2005
bhr,86.8,2006
bhr,86.3,2007
bgd,90.6,1980
bgd,90.6,1981
bgd,90.6,1982
bgd,90.5,1983
bgd,90.5,1984
bgd,90.5,1985
bgd,90.4,1986
bgd,90.4,1987
bgd,90.3,1988
bgd,90.3,1989
bgd,90.2,1990
bgd,90.1,1991
bgd,90.0,1992
bgd,89.9,1993
bgd,89.7,1994
bgd,89.5,1995
bgd,89.3,1996
bgd,89.1,1997
bgd,88.9,1998
bgd,88.6,1999
bgd,88.4,2000
bgd,88.2,2001
bgd,88.1,2002
bgd,88.0,2003
bgd,87.8,2004
