geo,males_aged_25_54_unemployment_rate_percent,time
aus,5.5,1986
aus,5.6,1987
aus,4.7,1988
aus,4.1,1989
aus,4.8,1990
aus,7.5,1991
aus,8.5,1992
aus,8.9,1993
aus,7.6,1994
aus,6.8,1995
aus,6.6,1996
aus,6.5,1997
aus,6.3,1998
aus,5.6,1999
aus,5.1,2000
aus,5.4,2001
aus,5.1,2002
aus,4.6,2003
aus,4.0,2004
aus,3.6,2005
can,5.2,1981
can,8.7,1982
can,9.9,1983
can,9.4,1984
can,8.8,1985
can,7.9,1986
can,7.1,1987
can,6.2,1988
can,6.2,1989
can,7.1,1990
can,9.3,1991
can,10.6,1992
can,10.4,1993
can,9.5,1994
can,8.6,1995
can,8.7,1996
can,7.9,1997
can,7.1,1998
can,6.4,1999
can,5.7,2000
can,6.3,2001
can,6.8,2002
can,6.5,2003
can,6.1,2004
can,5.8,2005
cze,2.5,1993
cze,2.5,1994
cze,2.5,1995
cze,2.5,1996
cze,3.1,1997
cze,4.0,1998
cze,5.8,1999
cze,5.9,2000
cze,5.5,2001
cze,4.9,2002
cze,5.0,2003
cze,5.6,2004
cze,5.9,2005
est,13.6,2000
est,12.8,2001
est,10.7,2002
est,9.5,2003
est,9.5,2004
est,8.4,2005
fin,4.1,1981
fin,4.5,1982
fin,4.6,1983
fin,4.0,1984
fin,4.4,1985
fin,5.0,1986
fin,5.0,1987
fin,4.3,1988
fin,2.2,1989
fin,2.5,1990
fin,6.5,1991
fin,11.3,1992
fin,15.8,1993
fin,15.5,1994
fin,13.2,1995
fin,11.7,1996
fin,10.3,1997
fin,8.9,1998
fin,8.0,1999
fin,7.2,2000
fin,6.9,2001
fin,7.4,2002
fin,7.5,2003
fin,7.0,2004
fin,6.5,2005
fra,3.8,1981
fra,4.3,1982
fra,4.6,1983
fra,5.6,1984
fra,6.2,1985
fra,6.6,1986
fra,6.8,1987
fra,6.4,1988
fra,6.0,1989
fra,5.8,1990
fra,6.3,1991
fra,7.1,1992
fra,8.7,1993
fra,9.4,1994
fra,8.7,1995
fra,9.4,1996
fra,9.6,1997
fra,9.0,1998
fra,8.2,1999
fra,7.1,2000
fra,6.5,2001
fra,7.0,2002
fra,7.7,2003
fra,7.9,2004
fra,8.1,2005
deu,4.2,1991
deu,4.9,1992
deu,6.0,1993
deu,6.5,1994
deu,6.5,1995
deu,7.4,1996
deu,8.2,1997
deu,7.8,1998
deu,7.3,1999
deu,6.9,2000
deu,7.4,2001
deu,8.3,2002
deu,9.7,2003
deu,10.8,2004
deu,10.6,2005
hkg,2.5,1985
hkg,2.1,1986
hkg,1.3,1987
hkg,0.9,1988
hkg,0.7,1989
hkg,0.9,1990
hkg,1.5,1991
hkg,1.5,1992
hkg,1.5,1993
hkg,1.6,1994
hkg,2.8,1995
hkg,2.5,1996
hkg,1.9,1997
hkg,4.2,1998
hkg,6.0,1999
hkg,4.6,2000
hkg,5.2,2001
hkg,7.2,2002
hkg,8.1,2003
hkg,6.7,2004
hkg,5.6,2005
irl,11.9,1983
irl,13.4,1984
irl,15.0,1985
irl,14.6,1986
irl,14.9,1987
irl,14.5,1988
irl,14.2,1989
irl,11.8,1990
irl,13.2,1991
irl,14.0,1992
irl,14.4,1993
irl,13.4,1994
irl,11.2,1995
irl,11.2,1996
irl,9.7,1997
irl,7.7,1998
irl,5.7,1999
irl,4.3,2000
irl,3.4,2001
irl,4.0,2002
irl,4.3,2003
irl,4.5,2004
irl,4.0,2005
jpn,1.7,1981
jpn,1.8,1982
jpn,2.0,1983
jpn,1.9,1984
jpn,1.8,1985
jpn,2.0,1986
jpn,2.0,1987
jpn,1.7,1988
jpn,1.5,1989
jpn,1.4,1990
jpn,1.4,1991
jpn,1.4,1992
jpn,1.7,1993
jpn,2.0,1994
jpn,2.2,1995
jpn,2.5,1996
jpn,2.5,1997
jpn,3.1,1998
jpn,3.7,1999
jpn,3.9,2000
jpn,4.2,2001
jpn,4.7,2002
jpn,4.6,2003
jpn,4.3,2004
jpn,4.0,2005
kor,2.3,1992
kor,2.6,1993
kor,2.4,1994
kor,1.9,1995
kor,2.0,1996
kor,2.4,1997
