geo,math_achievement_8th_grade,time
dza,387,2007
arm,478,2003
arm,499,2007
aus,509,1995
aus,505,2003
aus,496,2007
bhr,401,2003
bhr,398,2007
bih,456,2007
bwa,366,2003
bwa,364,2007
bgr,527,1995
bgr,511,1999
bgr,476,2003
bgr,464,2007
can,524,1995
can,537,1999
can,530,2003
can,522,2007
col,332,1995
col,380,2007
cyp,468,1995
cyp,476,1999
cyp,459,2003
cyp,465,2007
cze,546,1995
cze,520,1999
cze,504,2007
egy,406,2003
egy,391,2007
slv,340,2007
geo,410,2007
gha,276,2003
gha,309,2007
hkg,569,1995
hkg,582,1999
hkg,586,2003
hkg,572,2007
hun,527,1995
hun,532,1999
hun,529,2003
hun,517,2007
idn,403,1999
idn,411,2003
idn,405,2007
irn,418,1995
irn,422,1999
irn,411,2003
irn,403,2007
isr,466,1999
isr,496,2003
isr,463,2007
ita,479,1999
ita,484,2003
ita,480,2007
jpn,581,1995
jpn,579,1999
jpn,570,2003
jpn,570,2007
jor,428,1999
jor,424,2003
jor,427,2007
kor,581,1995
kor,587,1999
kor,589,2003
kor,597,2007
kwt,354,2007
lbn,433,2003
lbn,449,2007
ltu,472,1995
ltu,482,1999
ltu,502,2003
ltu,506,2007
mys,519,1999
mys,508,2003
mys,474,2007
nor,498,1995
nor,461,2003
nor,469,2007
omn,372,2007
qat,307,2007
rou,474,1995
rou,472,1999
rou,475,2003
rou,461,2007
rus,524,1995
rus,526,1999
rus,508,2003
rus,512,2007
sau,329,2007
srb,477,2003
srb,486,2007
sgp,609,1995
sgp,604,1999
sgp,605,2003
sgp,593,2007
svn,494,1995
svn,493,2003
svn,501,2007
swe,540,1995
swe,499,2003
swe,491,2007
syr,395,2007
twn,585,1999
twn,585,2003
twn,598,2007
tha,467,1999
tha,441,2007
tun,448,1999
tun,410,2003
tun,420,2007
tur,432,2007
ukr,462,2007
gbr,498,1995
gbr,496,1999
gbr,498,2003
gbr,511,2007
usa,492,1995
usa,502,1999
usa,504,2003
usa,508,2007
