geo,mcv_immunized_percent_of_one_year_olds,time
afg,11,1980
afg,8,1982
afg,9,1983
afg,14,1984
afg,14,1985
afg,14,1986
afg,31,1987
afg,34,1988
afg,22,1989
afg,20,1990
afg,19,1991
afg,22,1992
afg,25,1993
afg,40,1994
afg,41,1995
afg,42,1996
afg,38,1997
afg,31,1998
afg,31,1999
afg,27,2000
afg,37,2001
afg,35,2002
afg,39,2003
afg,48,2004
afg,50,2005
afg,53,2006
afg,55,2007
afg,59,2008
afg,60,2009
afg,62,2010
afg,62,2011
alb,90,1980
alb,90,1981
alb,93,1982
alb,96,1983
alb,96,1984
alb,96,1985
alb,96,1986
alb,96,1987
alb,96,1988
alb,96,1989
alb,88,1990
alb,80,1991
alb,87,1992
alb,76,1993
alb,90,1994
alb,91,1995
alb,92,1996
alb,95,1997
alb,89,1998
alb,85,1999
alb,95,2000
alb,95,2001
alb,96,2002
alb,93,2003
alb,96,2004
alb,97,2005
alb,95,2006
alb,97,2007
alb,98,2008
alb,97,2009
alb,99,2010
alb,99,2011
dza,68,1985
dza,67,1986
dza,73,1987
dza,81,1988
dza,82,1989
dza,83,1990
dza,85,1991
dza,86,1992
dza,87,1993
dza,88,1994
dza,89,1995
dza,90,1996
dza,92,1997
dza,84,1998
dza,83,1999
dza,80,2000
dza,83,2001
dza,81,2002
dza,84,2003
dza,81,2004
dza,83,2005
dza,91,2006
dza,92,2007
dza,88,2008
dza,92,2009
dza,95,2010
dza,95,2011
and,90,1997
and,90,1998
and,97,1999
and,97,2000
and,97,2001
and,98,2002
and,96,2003
and,98,2004
and,94,2005
and,91,2006
and,94,2007
and,98,2008
and,98,2009
and,99,2010
and,99,2011
ago,26,1983
ago,35,1984
ago,44,1985
ago,44,1986
ago,55,1987
ago,56,1988
ago,48,1989
ago,38,1990
ago,39,1991
ago,39,1992
ago,47,1993
ago,44,1994
ago,46,1995
ago,62,1996
ago,78,1997
ago,62,1998
ago,46,1999
ago,41,2000
ago,72,2001
ago,74,2002
ago,62,2003
ago,64,2004
ago,45,2005
ago,48,2006
ago,88,2007
ago,79,2008
ago,77,2009
ago,93,2010
ago,88,2011
atg,48,1983
atg,73,1984
atg,69,1985
atg,80,1986
atg,89,1987
atg,95,1988
atg,95,1989
atg,89,1990
atg,87,1991
atg,99,1992
atg,99,1993
atg,91,1994
atg,93,1995
atg,99,1996
atg,93,1997
atg,99,1998
atg,99,1999
atg,95,2000
atg,97,2001
atg,99,2002
atg,99,2003
atg,97,2004
atg,99,2005
atg,99,2006
atg,99,2007
atg,99,2008
atg,99,2009
atg,98,2010
atg,99,2011
arg,61,1980
arg,77,1981
arg,67,1982
arg,67,1983
arg,79,1984
arg,54,1985
arg,87,1986
arg,80,1987
arg,87,1988
arg,89,1989
arg,93,1990
arg,99,1991
arg,92,1992
arg,95,1993
arg,96,1994
arg,99,1995
arg,99,1996
arg,93,1997
arg,95,1998
arg,97,1999
arg,91,2000
arg,89,2001
arg,96,2002
arg,97,2003
arg,98,2004
arg,99,2005
arg,97,2006
arg,98,2007
arg,97,2008
arg,99,2009
arg,99,2010
arg,93,2011
arm,93,1992
arm,95,1993
arm,95,1994
arm,96,1995
arm,89,1996
arm,92,1997
arm,94,1998
arm,92,1999
arm,92,2000
arm,93,2001
arm,91,2002
arm,94,2003
arm,92,2004
arm,94,2005
arm,92,2006
arm,92,2007
arm,94,2008
arm,96,2009
arm,97,2010
arm,97,2011
aus,68,1983
aus,68,1984
aus,68,1985
aus,68,1986
aus,68,1987
aus,77,1988
aus,85,1989
aus,86,1990
aus,86,1991
aus,86,1992
aus,86,1993
aus,86,1994
aus,87,1995
aus,87,1996
aus,85,1997
aus,82,1998
aus,88,1999
aus,91,2000
aus,92,2001
aus,93,2002
aus,94,2003
aus,93,2004
aus,94,2005
aus,94,2006
aus,94,2007
aus,94,2008
aus,94,2009
aus,94,2010
aus,94,2011
aut,25,1981
aut,25,1982
aut,25,1983
aut,30,1984
aut,40,1985
aut,60,1986
aut,60,1987
aut,60,1988
aut,60,1989
aut,60,1990
aut,60,1991
