geo,measles_deaths_in_children_1_59_months_total_deaths,time
afg,1822,2008
alb,0,2008
dza,220,2008
ago,1129,2008
arg,0,2008
arm,0,2008
aus,0,2008
aut,0,2008
aze,4,2008
bhs,0,2008
bhr,0,2008
bgd,1622,2008
brb,0,2008
blr,0,2008
bel,0,2008
blz,0,2008
ben,98,2008
btn,0,2008
bol,0,2008
bih,0,2008
bwa,0,2008
bra,0,2008
brn,0,2008
bgr,0,2008
bfa,35,2008
bdi,494,2008
khm,172,2008
cmr,719,2008
can,0,2008
cpv,20,2008
caf,1,2008
tcd,5,2008
chl,0,2008
chn,467,2008
col,0,2008
com,0,2008
cog,0,2008
cri,0,2008
civ,1,2008
hrv,0,2008
cub,0,2008
cyp,0,2008
cze,0,2008
prk,0,2008
cod,4095,2008
dnk,0,2008
dji,5,2008
dom,0,2008
ecu,0,2008
egy,155,2008
slv,0,2008
gnq,327,2008
eri,168,2008
est,0,2008
eth,187,2008
fji,0,2008
fin,0,2008
fra,0,2008
gab,27,2008
gmb,59,2008
geo,0,2008
deu,0,2008
gha,1115,2008
grc,0,2008
grd,0,2008
gtm,0,2008
gin,1827,2008
gnb,290,2008
guy,0,2008
hti,0,2008
hnd,0,2008
hun,0,2008
isl,0,2008
ind,81280,2008
idn,545,2008
irn,0,2008
irq,98,2008
irl,0,2008
isr,0,2008
ita,0,2008
jam,0,2008
jpn,0,2008
jor,0,2008
kaz,1,2008
ken,1568,2008
kwt,0,2008
kgz,0,2008
lao,316,2008
lva,0,2008
lbn,4,2008
lso,0,2008
lbr,385,2008
lby,0,2008
ltu,0,2008
lux,0,2008
mdg,0,2008
mwi,0,2008
mys,9,2008
mdv,0,2008
mli,9,2008
mlt,0,2008
mrt,0,2008
mus,0,2008
mex,0,2008
fsm,0,2008
mng,0,2008
mne,0,2008
mar,3,2008
moz,0,2008
mmr,409,2008
nam,158,2008
npl,74,2008
nld,0,2008
nzl,0,2008
nic,0,2008
ner,106,2008
nga,707,2008
nor,0,2008
omn,0,2008
pak,275,2008
pan,0,2008
png,286,2008
pry,0,2008
per,0,2008
phl,216,2008
pol,0,2008
prt,0,2008
qat,0,2008
kor,0,2008
mda,0,2008
rou,0,2008
rus,0,2008
rwa,468,2008
lca,0,2008
vct,0,2008
wsm,0,2008
stp,3,2008
sau,0,2008
sen,1458,2008
srb,0,2008
sle,2027,2008
sgp,0,2008
svk,0,2008
svn,0,2008
slb,3,2008
som,3848,2008
zaf,1,2008
esp,0,2008
lka,33,2008
sdn,7,2008
sur,0,2008
swz,0,2008
swe,0,2008
che,0,2008
syr,1,2008
tjk,5,2008
tha,15,2008
mkd,0,2008
tgo,20,2008
ton,0,2008
tto,0,2008
tun,0,2008
tur,45,2008
tkm,1,2008
uga,4060,2008
ukr,0,2008
are,0,2008
gbr,0,2008
tza,0,2008
usa,1,2008
ury,0,2008
uzb,0,2008
vut,3,2008
ven,0,2008
vnm,376,2008
yem,446,2008
zmb,400,2008
zwe,2680,2008
