geo,median_age_years,time
afg,18.6,1950
afg,18.46,1955
afg,18.31,1960
afg,18.19,1965
afg,17.99,1970
afg,17.65,1975
afg,17.36,1980
afg,17.09,1985
afg,16.84,1990
afg,16.58,1995
afg,16.41,2000
afg,16.49,2005
afg,16.87,2010
afg,17.33,2015
afg,17.81,2020
afg,18.32,2025
afg,18.94,2030
afg,19.77,2035
afg,20.92,2040
afg,22.2,2045
afg,23.52,2050
alb,20.64,1950
alb,20.2,1955
alb,19.68,1960
alb,18.95,1965
alb,18.84,1970
alb,19.49,1975
alb,21.35,1980
alb,22.5,1985
alb,23.82,1990
alb,25.8,1995
alb,26.93,2000
alb,28.53,2005
alb,29.97,2010
alb,31.8,2015
alb,33.64,2020
alb,35.74,2025
alb,37.99,2030
alb,40.29,2035
alb,42.26,2040
alb,43.7,2045
alb,44.27,2050
dza,19.93,1950
dza,19.31,1955
dza,18.17,1960
dza,16.74,1965
dza,15.81,1970
dza,16.16,1975
dza,16.91,1980
dza,17.32,1985
dza,18.18,1990
dza,19.55,1995
dza,21.79,2000
dza,24.02,2005
dza,26.25,2010
dza,28.31,2015
dza,30.33,2020
dza,32.3,2025
dza,34.19,2030
dza,35.55,2035
dza,36.88,2040
dza,38.15,2045
dza,39.42,2050
ago,19.4,1950
ago,18.88,1955
ago,18.24,1960
ago,17.48,1965
ago,16.99,1970
ago,16.83,1975
ago,16.65,1980
ago,16.45,1985
ago,16.2,1990
ago,16.1,1995
ago,16.37,2000
ago,16.72,2005
ago,17.39,2010
ago,17.99,2015
ago,18.66,2020
ago,19.51,2025
ago,20.43,2030
ago,21.62,2035
ago,22.89,2040
ago,24.2,2045
ago,25.56,2050
arg,25.66,1950
arg,26.47,1955
arg,27.07,1960
arg,27.4,1965
arg,27.59,1970
arg,27.66,1975
arg,27.38,1980
arg,27.46,1985
arg,27.57,1990
arg,27.7,1995
arg,28.14,2000
arg,29.12,2005
arg,30.44,2010
arg,31.61,2015
arg,32.84,2020
arg,34.15,2025
arg,35.55,2030
arg,36.93,2035
arg,38.16,2040
arg,39.27,2045
arg,40.39,2050
arm,22.42,1950
arm,22.74,1955
arm,22.46,1960
arm,20.76,1965
arm,20.41,1970
arm,21.87,1975
arm,23.46,1980
arm,25.23,1985
arm,27.0,1990
arm,29.22,1995
arm,30.32,2000
arm,31.14,2005
arm,32.01,2010
arm,33.23,2015
arm,34.94,2020
arm,37.21,2025
arm,39.48,2030
arm,41.29,2035
arm,42.02,2040
arm,42.3,2045
arm,42.99,2050
abw,18.48,1950
abw,18.1,1955
abw,18.19,1960
abw,18.82,1965
abw,20.23,1970
abw,23.18,1975
abw,25.75,1980
abw,28.06,1985
abw,31.52,1990
abw,32.48,1995
abw,34.42,2000
abw,36.42,2005
abw,38.7,2010
abw,40.64,2015
abw,41.74,2020
abw,42.11,2025
abw,42.32,2030
abw,42.97,2035
abw,43.85,2040
abw,44.48,2045
abw,44.41,2050
aus,30.38,1950
aus,30.16,1955
aus,29.61,1960
aus,28.3,1965
