geo,medical_doctors_per_1000_people,time
afg,0.03484,1960
afg,0.06343,1965
afg,0.0649,1970
afg,0.077,1981
afg,0.1831,1986
afg,0.179,1987
afg,0.1292,1989
afg,0.1092,1990
afg,0.1428,1993
afg,0.11,1997
afg,0.186,2001
afg,0.2,2005
afg,0.21,2009
alb,0.2763,1960
alb,0.4813,1965
alb,0.7395,1970
alb,0.9109,1971
alb,0.8455,1972
alb,1.036,1977
alb,1.367,1980
alb,1.415,1983
alb,1.407,1984
alb,1.406,1985
alb,1.403,1989
alb,1.374,1990
alb,1.47,1991
alb,1.65,1992
alb,1.425,1993
alb,1.315,1994
alb,1.306,1995
alb,1.354,1996
alb,1.295,1997
alb,1.289,1998
alb,1.282,1999
alb,1.389,2000
alb,1.305,2002
alb,1.15,2006
alb,1.146,2007
dza,0.1731,1960
dza,0.1164,1965
dza,0.1235,1970
dza,0.3801,1979
dza,0.4271,1984
dza,0.4288,1988
dza,0.9416,1990
dza,0.821,1993
dza,0.846,1995
dza,1.0,1998
dza,1.13,2002
dza,1.207,2007
asm,0.7723,1984
asm,0.781,1999
and,2.231,1995
and,2.435,1997
and,2.47,1998
and,2.594,1999
and,2.549,2000
and,2.594,2001
and,3.697,2003
and,3.64,2006
and,3.716,2007
ago,0.06707,1960
ago,0.07606,1965
ago,0.1163,1970
ago,0.0594,1984
ago,0.0421,1990
ago,0.077,1997
ago,0.08,2004
atg,0.2936,1960
atg,0.3493,1970
atg,0.76,1990
atg,0.9185,1991
atg,3.03,1993
atg,0.76,1995
atg,1.141,1996
atg,0.17,1999
arg,1.351,1960
arg,1.667,1965
arg,1.892,1970
arg,1.869,1975
arg,2.683,1984
arg,2.705,1985
arg,2.984,1986
arg,3.032,1988
arg,2.68,1990
arg,2.684,1992
arg,2.68,1995
arg,3.01,1998
arg,3.155,2004
arg,3.21,2005
arm,3.211,1980
arm,3.278,1981
arm,3.406,1982
arm,3.454,1983
arm,3.501,1984
arm,3.577,1985
arm,3.674,1986
arm,3.736,1987
arm,3.763,1988
arm,3.881,1989
arm,3.924,1990
arm,3.701,1991
arm,3.597,1992
arm,3.345,1993
arm,3.122,1994
arm,3.042,1995
arm,3.591,1996
arm,3.156,1997
arm,3.156,1998
arm,3.051,1999
arm,2.987,2000
arm,3.526,2001
arm,3.588,2003
arm,3.7,2006
arm,3.697,2007
abw,1.12,1995
aus,1.1,1961
aus,1.2,1966
aus,1.2,1971
aus,1.5,1976
aus,1.8,1981
aus,1.8,1984
aus,1.9,1985
aus,2.0,1986
aus,2.1,1987
aus,2.1,1988
aus,2.1,1989
aus,2.2,1990
aus,2.3,1991
aus,2.4,1992
aus,2.4,1993
aus,2.4,1994
aus,2.4,1995
aus,2.4,1996
aus,2.4,1997
aus,2.4,1998
aus,2.4,1999
aus,2.5,2000
aus,2.47,2001
aus,2.5,2002
aus,0.963,2006
aus,2.991,2009
aut,1.2,1960
aut,1.4,1961
aut,1.4,1962
aut,1.4,1963
aut,1.4,1964
aut,1.4,1965
aut,1.4,1966
aut,1.4,1967
aut,1.4,1968
aut,1.4,1969
aut,1.4,1970
aut,1.4,1971
aut,1.4,1972
aut,1.4,1973
aut,1.4,1974
aut,1.5,1975
aut,1.5,1976
aut,1.5,1977
aut,1.5,1978
aut,1.6,1979
aut,1.6,1980
aut,1.7,1981
aut,1.7,1982
aut,1.8,1983
aut,1.8,1984
aut,1.9,1985
aut,1.9,1986
aut,2.0,1987
aut,2.1,1988
aut,2.2,1989
aut,2.2,1990
aut,2.3,1991
aut,2.4,1992
aut,2.5,1993
aut,2.6,1994
aut,2.7,1995
aut,2.8,1996
aut,2.9,1997
aut,3.1,1998
aut,3.1,1999
aut,3.2,2000
aut,3.3,2001
aut,3.3,2002
aut,3.4,2003
aut,3.66,2006
aut,3.794,2007
aut,4.749,2009
aze,3.362,1980
aze,3.799,1985
aze,3.877,1986
aze,3.906,1987
aze,3.964,1988
aze,3.99,1989
aze,3.917,1990
aze,3.916,1991
aze,3.881,1992
aze,3.928,1993
aze,3.896,1994
aze,3.925,1995
aze,3.899,1996
aze,3.831,1997
aze,3.602,1998
aze,3.521,1999
aze,3.607,2000
aze,3.536,2001
aze,3.547,2003
aze,3.63,2006
aze,3.794,2007
bhs,0.4956,1960
bhs,0.7602,1970
bhs,0.9381,1980
bhs,0.9432,1984
bhs,1.29,1990
bhs,1.446,1993
bhs,1.49,1995
bhs,1.518,1996
bhs,1.05,1998
bhr,0.4497,1960
bhr,0.4286,1970
bhr,1.087,1980
bhr,1.219,1985
bhr,1.315,1991
