geo,meningitis_deaths_in_children_1_59_months_total_deaths,time
afg,7557,2008
alb,7,2008
dza,317,2008
ago,2685,2008
arg,83,2008
arm,65,2008
aus,12,2008
aut,7,2008
aze,172,2008
bhs,1,2008
bhr,0,2008
bgd,3912,2008
brb,0,2008
blr,25,2008
bel,20,2008
blz,1,2008
ben,1007,2008
btn,44,2008
bol,359,2008
bih,3,2008
bwa,139,2008
bra,928,2008
brn,1,2008
bgr,13,2008
bfa,1407,2008
bdi,1025,2008
khm,1153,2008
cmr,2405,2008
can,15,2008
cpv,13,2008
caf,482,2008
tcd,1532,2008
chl,25,2008
chn,7443,2008
col,264,2008
com,89,2008
cog,306,2008
cri,5,2008
civ,1922,2008
hrv,1,2008
cub,10,2008
cyp,0,2008
cze,8,2008
prk,634,2008
cod,10610,2008
dnk,1,2008
dji,35,2008
dom,77,2008
ecu,154,2008
egy,1843,2008
slv,100,2008
gnq,61,2008
eri,190,2008
est,1,2008
eth,6797,2008
fji,2,2008
fin,2,2008
fra,35,2008
gab,73,2008
gmb,67,2008
geo,26,2008
deu,47,2008
gha,594,2008
grc,2,2008
grd,0,2008
gtm,502,2008
gin,1016,2008
gnb,355,2008
guy,11,2008
hti,490,2008
hnd,141,2008
hun,13,2008
isl,1,2008
ind,29880,2008
idn,3031,2008
irn,449,2008
irq,973,2008
irl,10,2008
isr,7,2008
ita,20,2008
jam,25,2008
jpn,13,2008
jor,45,2008
kaz,203,2008
ken,3674,2008
kwt,0,2008
kgz,162,2008
lao,436,2008
lva,1,2008
lbn,25,2008
lso,125,2008
lbr,347,2008
lby,10,2008
ltu,4,2008
lux,0,2008
mdg,2004,2008
mwi,1590,2008
mys,13,2008
mdv,4,2008
mli,1062,2008
mlt,1,2008
mrt,274,2008
mus,4,2008
mex,129,2008
fsm,5,2008
mng,74,2008
mne,0,2008
mar,319,2008
moz,2590,2008
mmr,1971,2008
nam,50,2008
npl,785,2008
nld,13,2008
nzl,7,2008
nic,103,2008
ner,2835,2008
nga,17640,2008
nor,4,2008
omn,4,2008
pak,6218,2008
pan,19,2008
png,658,2008
pry,74,2008
per,461,2008
phl,2481,2008
pol,18,2008
prt,5,2008
qat,0,2008
kor,12,2008
mda,13,2008
rou,15,2008
rus,279,2008
rwa,1155,2008
lca,0,2008
vct,0,2008
wsm,3,2008
stp,18,2008
sau,47,2008
sen,461,2008
srb,9,2008
sle,621,2008
sgp,1,2008
svk,4,2008
svn,0,2008
slb,26,2008
som,1317,2008
zaf,607,2008
esp,47,2008
lka,33,2008
sdn,2481,2008
sur,7,2008
swz,63,2008
swe,5,2008
che,1,2008
syr,128,2008
tjk,374,2008
tha,37,2008
mkd,0,2008
tgo,375,2008
ton,0,2008
tto,0,2008
tun,152,2008
tur,706,2008
tkm,127,2008
uga,4101,2008
ukr,152,2008
are,4,2008
gbr,69,2008
tza,5414,2008
usa,161,2008
ury,7,2008
uzb,630,2008
vut,9,2008
ven,105,2008
vnm,715,2008
yem,1124,2008
zmb,1528,2008
zwe,796,2008
