murdered_45_59_per_100000_people,geo,time
5.443,arg,1966
6.662,arg,1967
7.786,arg,1968
8.113,arg,1969
7.819,arg,1970
8.022,arg,1977
5.17,arg,1978
4.84,arg,1979
4.742,arg,1980
5.113,arg,1981
5.806,arg,1982
5.771,arg,1983
6.036,arg,1984
6.987,arg,1985
7.154,arg,1986
6.643,arg,1987
6.754,arg,1988
6.953,arg,1989
6.573,arg,1990
4.819,arg,1991
5.431,arg,1992
5.721,arg,1993
5.781,arg,1994
5.255,arg,1995
5.406,arg,1996
5.998,arg,1997
5.191,arg,1998
5.868,arg,1999
5.997,arg,2000
7.053,arg,2001
7.846,arg,2002
8.363,arg,2003
5.893,arg,2004
5.324,arg,2005
5.625,arg,2006
4.735,arg,2007
1.077,aus,1950
1.841,aus,1951
1.829,aus,1952
1.366,aus,1953
1.833,aus,1954
2.266,aus,1955
1.963,aus,1956
1.243,aus,1957
2.414,aus,1958
2.152,aus,1959
2.219,aus,1960
1.363,aus,1961
2.841,aus,1962
1.202,aus,1963
1.509,aus,1964
1.617,aus,1965
1.878,aus,1966
1.895,aus,1967
2.172,aus,1968
1.265,aus,1969
1.543,aus,1970
2.648,aus,1971
2.181,aus,1972
2.348,aus,1973
2.557,aus,1974
1.871,aus,1975
2.755,aus,1976
1.926,aus,1977
1.966,aus,1978
2.803,aus,1979
1.826,aus,1980
2.433,aus,1981
2.25,aus,1982
2.275,aus,1983
1.929,aus,1984
2.176,aus,1985
2.676,aus,1986
2.397,aus,1987
1.607,aus,1988
2.087,aus,1989
2.087,aus,1990
1.888,aus,1991
2.052,aus,1992
2.252,aus,1993
1.701,aus,1994
1.551,aus,1995
1.695,aus,1996
1.934,aus,1997
1.695,aus,1998
1.478,aus,1999
1.431,aus,2000
1.61,aus,2001
1.414,aus,2002
1.012,aus,2003
0.935,aus,2004
0.5854,aus,2006
0.5132,aut,1955
1.501,aut,1956
0.998,aut,1957
0.6982,aut,1958
0.9911,aut,1959
1.282,aut,1960
0.92,aut,1961
1.038,aut,1962
1.143,aut,1963
1.017,aut,1964
0.6934,aut,1965
0.6911,aut,1966
0.7424,aut,1967
0.7428,aut,1968
0.9522,aut,1969
1.254,aut,1970
1.506,aut,1971
0.9713,aut,1972
1.226,aut,1973
1.306,aut,1974
1.979,aut,1975
1.25,aut,1976
1.025,aut,1977
1.13,aut,1978
1.19,aut,1979
1.288,aut,1980
1.226,aut,1981
2.28,aut,1982
1.571,aut,1983
2.813,aut,1984
1.705,aut,1985
1.583,aut,1986
1.149,aut,1987
0.817,aut,1988
1.125,aut,1989
1.922,aut,1990
1.103,aut,1991
1.857,aut,1992
1.898,aut,1993
1.14,aut,1994
1.102,aut,1995
0.8664,aut,1996
1.35,aut,1997
1.006,aut,1998
0.8034,aut,1999
0.9126,aut,2000
1.975,aut,2001
1.271,aut,2002
0.8515,aut,2003
1.298,aut,2004
0.686,aut,2005
0.5998,aut,2006
0.6409,aut,2007
0.9807,aut,2008
5.079,aze,1981
6.296,aze,1982
4.696,aze,1985
5.987,aze,1986
4.873,aze,1987
5.9,aze,1988
4.916,aze,1989
7.442,aze,1990
6.18,aze,1991
29.01,aze,1992
21.74,aze,1993
20.45,aze,1994
7.847,aze,1995
8.573,aze,1996
5.11,aze,1997
6.148,aze,1998
5.363,aze,1999
4.066,aze,2000
0.0,bhr,1985
0.0,bhr,1987
4.136,bhr,1988
1.283,bhr,1997
0.0,bhr,1998
0.0,bhr,1999
2.06,bhr,2000
0.9532,bhr,2001
6.916,blr,1981
7.05,blr,1982
5.589,blr,1985
4.747,blr,1986
4.299,blr,1987
6.835,blr,1988
7.921,blr,1989
8.929,blr,1990
9.213,blr,1991
12.46,blr,1992
15.95,blr,1993
15.15,blr,1994
15.19,blr,1995
16.32,blr,1997
18.08,blr,1998
15.04,blr,1999
17.17,blr,2000
15.7,blr,2001
17.09,blr,2002
14.61,blr,2003
10.12,blr,2007
0.9374,bel,1954
0.831,bel,1955
0.6572,bel,1956
0.8133,bel,1957
0.7186,bel,1958
0.827,bel,1959
0.7443,bel,1960
0.631,bel,1961
0.4488,bel,1962
0.5467,bel,1963
0.686,bel,1964
0.7109,bel,1965
0.5569,bel,1966
1.343,bel,1967
1.098,bel,1968
0.9321,bel,1969
1.208,bel,1970
1.154,bel,1971
1.016,bel,1972
1.738,bel,1973
0.9124,bel,1974
0.8628,bel,1975
1.273,bel,1976
1.292,bel,1977
0.7777,bel,1978
1.56,bel,1979
1.568,bel,1980
1.656,bel,1981
2.742,bel,1982
1.479,bel,1983
2.038,bel,1984
1.553,bel,1985
2.178,bel,1986
1.739,bel,1987
1.706,bel,1988
1.506,bel,1989
2.243,bel,1990
1.212,bel,1991
