murdered_children_0_14_per_100000_people,geo,time
0.6989,arg,1966
1.0,arg,1967
1.28,arg,1968
1.497,arg,1969
1.393,arg,1970
1.325,arg,1977
1.368,arg,1978
1.0,arg,1979
0.9623,arg,1980
0.9996,arg,1981
1.275,arg,1982
1.09,arg,1983
0.8259,arg,1984
0.9637,arg,1985
1.139,arg,1986
1.093,arg,1987
1.029,arg,1988
1.199,arg,1989
1.112,arg,1990
0.8087,arg,1991
1.054,arg,1992
0.9781,arg,1993
1.043,arg,1994
1.079,arg,1995
1.228,arg,1996
1.158,arg,1997
0.8209,arg,1998
0.9039,arg,1999
0.859,arg,2000
0.8754,arg,2001
1.109,arg,2002
0.8869,arg,2003
0.8198,arg,2004
0.7535,arg,2005
0.8088,arg,2006
0.6364,arg,2007
0.8792,aus,1950
0.5957,aus,1951
1.067,aus,1952
0.664,aus,1953
0.7351,aus,1954
0.7664,aus,1955
0.7296,aus,1956
0.7143,aus,1957
0.9432,aus,1958
0.5762,aus,1959
0.6117,aus,1960
0.5944,aus,1961
0.7041,aus,1962
0.8568,aus,1963
1.251,aus,1964
0.9603,aus,1965
0.5365,aus,1966
0.6638,aus,1967
0.7077,aus,1968
0.7984,aus,1969
1.034,aus,1970
0.9273,aus,1971
0.8848,aus,1972
0.9116,aus,1973
0.9238,aus,1974
0.8033,aus,1975
0.5073,aus,1976
1.259,aus,1977
0.7817,aus,1978
0.7518,aus,1979
0.9027,aus,1980
0.774,aus,1981
1.051,aus,1982
0.7281,aus,1983
0.8789,aus,1984
0.8426,aus,1985
0.7995,aus,1986
0.7757,aus,1987
0.9576,aus,1988
0.7881,aus,1989
0.9397,aus,1990
0.7167,aus,1991
0.4732,aus,1992
1.031,aus,1993
0.8915,aus,1994
0.78,aus,1995
0.7071,aus,1996
0.6508,aus,1997
0.7268,aus,1998
0.7,aus,1999
0.6727,aus,2000
0.7559,aus,2001
0.4179,aus,2002
0.7149,aus,2003
0.2086,aus,2004
0.2591,aus,2006
1.703,aut,1955
2.236,aut,1956
1.154,aut,1957
1.196,aut,1958
0.8916,aut,1959
1.6,aut,1960
1.203,aut,1961
0.8315,aut,1962
0.4751,aut,1963
1.021,aut,1964
1.136,aut,1965
1.405,aut,1966
1.124,aut,1967
0.8921,aut,1968
1.413,aut,1969
1.395,aut,1970
0.8262,aut,1971
0.9343,aut,1972
1.063,aut,1973
0.9321,aut,1974
1.242,aut,1975
0.6892,aut,1976
0.8058,aut,1977
0.8532,aut,1978
1.007,aut,1979
1.001,aut,1980
0.6061,aut,1981
0.7539,aut,1982
1.285,aut,1983
1.311,aut,1984
1.001,aut,1985
1.155,aut,1986
1.402,aut,1987
0.6249,aut,1988
1.135,aut,1989
1.51,aut,1990
1.03,aut,1991
0.5827,aut,1992
1.0,aut,1993
0.507,aut,1994
0.9433,aut,1995
1.252,aut,1996
0.8876,aut,1997
1.052,aut,1998
0.6126,aut,1999
0.8898,aut,2000
0.9093,aut,2001
0.5083,aut,2002
0.5801,aut,2003
0.549,aut,2004
0.9716,aut,2005
0.8131,aut,2006
0.5891,aut,2007
0.2531,aut,2008
0.3182,aze,1981
0.3826,aze,1982
0.1931,aze,1985
0.2738,aze,1986
0.8014,aze,1987
0.3841,aze,1988
0.1758,aze,1989
0.5179,aze,1990
0.3393,aze,1991
3.347,aze,1992
2.311,aze,1993
2.128,aze,1994
0.9002,aze,1995
0.4039,aze,1996
0.5653,aze,1997
0.4915,aze,1998
0.4922,aze,1999
0.1232,aze,2000
0.0,bhr,1985
0.0,bhr,1987
0.0,bhr,1988
0.0,bhr,1997
0.0,bhr,1998
0.0,bhr,1999
0.0,bhr,2000
0.5318,bhr,2001
0.4529,blr,1981
0.4985,blr,1982
0.738,blr,1985
0.5539,blr,1986
0.9091,blr,1987
0.7677,blr,1988
0.7386,blr,1989
0.2655,blr,1990
0.7661,blr,1991
0.655,blr,1992
1.12,blr,1993
1.263,blr,1994
1.126,blr,1995
1.819,blr,1997
0.9194,blr,1998
0.8257,blr,1999
1.098,blr,2000
0.8748,blr,2001
1.003,blr,2002
0.5058,blr,2003
0.5799,blr,2007
0.3676,bel,1954
0.6654,bel,1955
0.2389,bel,1956
0.3945,bel,1957
0.3371,bel,1958
0.4584,bel,1959
0.2713,bel,1960
0.4559,bel,1961
0.4964,bel,1962
0.4901,bel,1963
0.396,bel,1964
0.4881,bel,1965
0.6214,bel,1966
0.2281,bel,1967
0.4985,bel,1968
0.3935,bel,1969
0.3743,bel,1970
0.5937,bel,1971
0.356,bel,1972
0.2512,bel,1973
0.5922,bel,1974
0.4693,bel,1975
0.3326,bel,1976
0.2398,bel,1977
0.2031,bel,1978
1.013,bel,1979
0.8874,bel,1980
0.2676,bel,1981
0.7126,bel,1982
0.7863,bel,1983
1.147,bel,1984
0.7116,bel,1985
1.187,bel,1986
1.025,bel,1987
0.9727,bel,1988
0.4521,bel,1989
0.1672,bel,1990
0.4979,bel,1991
0.5541,bel,1992
0.7184,bel,1993
0.7171,bel,1994
0.5511,bel,1995
0.7836,bel,1996
0.8459,bel,1997
0.8981,bel,1998
1.662,bel,1999
0.6551,bel,2004
0.0,bih,1985
0.09123,bih,1986
0.0,bih,1987
0.0,bih,1988
0.0,bih,1989
0.0,bih,1990
0.0,bih,1991
0.7462,bra,1982
0.8927,bra,1983
0.8736,bra,1984
0.8657,bra,1985
0.9813,bra,1986
0.9682,bra,1987
0.9973,bra,1988
1.142,bra,1989
1.266,bra,1990
1.208,bra,1991
1.155,bra,1992
1.294,bra,1993
1.212,bra,1994
1.5,bra,1995
1.624,bra,1996
1.539,bra,1997
1.516,bra,1998
1.539,bra,1999
1.666,bra,2000
1.651,bra,2001
1.799,bra,2002
1.664,bra,2003
1.554,bra,2004
1.669,bra,2005
0.5537,bgr,1964
0.5694,bgr,1965
0.6295,bgr,1966
