geo,time,murdered_women_per_100000_people
afg,2004,0.8818
alb,2004,2.02
dza,2004,5.94
and,2004,0.3916
ago,2004,13.68
atg,2004,2.551
arg,1966,1.59
arg,1967,2.217
arg,1968,2.234
arg,1969,2.577
arg,1970,2.336
arg,1977,3.393
arg,1978,2.278
arg,1979,1.551
arg,1980,1.644
arg,1981,1.806
arg,1982,1.665
arg,1983,1.726
arg,1984,1.972
arg,1985,1.73
arg,1986,2.169
arg,1987,1.913
arg,1988,1.906
arg,1989,1.951
arg,1990,1.551
arg,1991,1.372
arg,1992,1.702
arg,1993,1.626
arg,1994,1.651
arg,1995,1.398
arg,1996,1.488
arg,1997,1.474
arg,1998,1.481
arg,1999,1.516
arg,2000,1.767
arg,2001,1.921
arg,2002,1.866
arg,2003,1.813
arg,2004,1.621
arm,2004,0.8524
aus,1950,0.7746
aus,1951,1.061
aus,1952,0.9769
aus,1953,1.027
aus,1954,0.9582
aus,1955,1.07
aus,1956,0.8584
aus,1957,1.068
aus,1958,1.3
aus,1959,1.159
aus,1960,1.065
aus,1961,1.196
aus,1962,1.115
aus,1963,1.244
aus,1964,1.259
aus,1965,1.417
aus,1966,1.153
aus,1967,1.134
aus,1968,1.528
aus,1969,0.9774
aus,1970,1.397
aus,1971,1.273
aus,1972,1.074
aus,1973,1.572
aus,1974,1.324
aus,1975,1.221
aus,1976,1.635
aus,1977,1.492
aus,1978,1.656
aus,1979,1.265
aus,1980,1.577
aus,1981,1.278
aus,1982,1.527
aus,1983,1.339
aus,1984,1.526
aus,1985,1.44
aus,1986,1.542
aus,1987,1.68
aus,1988,1.605
aus,1989,1.31
aus,1990,1.592
aus,1991,1.629
aus,1992,1.332
aus,1993,1.323
aus,1994,1.281
aus,1995,1.254
aus,1996,1.125
aus,1997,1.117
aus,1998,0.9919
aus,1999,0.9834
aus,2000,1.218
aus,2001,1.073
aus,2002,0.9763
aus,2003,0.8638
aus,2004,0.5614
aut,1955,0.9275
aut,1956,1.404
aut,1957,0.8988
aut,1958,0.6936
aut,1959,0.9432
aut,1960,0.8022
aut,1961,0.8056
aut,1962,0.8719
aut,1963,0.6266
aut,1964,0.8764
aut,1965,0.919
aut,1966,1.132
aut,1967,1.01
aut,1968,0.7294
aut,1969,0.832
aut,1970,1.203
aut,1971,1.033
aut,1972,1.033
aut,1973,1.211
aut,1974,1.322
aut,1975,1.247
aut,1976,1.19
aut,1977,1.153
aut,1978,1.408
aut,1979,1.237
aut,1980,0.956
aut,1981,1.31
aut,1982,1.276
aut,1983,1.512
aut,1984,1.458
aut,1985,1.317
aut,1986,1.559
aut,1987,1.214
aut,1988,0.9677
aut,1989,0.9697
aut,1990,1.369
aut,1991,0.9759
aut,1992,1.146
aut,1993,1.095
aut,1994,1.319
aut,1995,0.9068
aut,1996,1.006
aut,1997,1.002
aut,1998,0.8662
aut,1999,0.8286
aut,2000,1.049
aut,2001,1.141
aut,2002,1.001
aut,2003,0.5047
aut,2004,0.7506
aze,1981,2.453
aze,1982,1.788
aze,1985,1.519
aze,1986,2.026
aze,1987,1.952
aze,1988,2.629
aze,1989,1.002
aze,1990,2.442
aze,1991,1.401
aze,1992,7.152
aze,1993,5.309
aze,1994,5.463
aze,1995,2.029
aze,1996,2.092
aze,1997,1.885
aze,1998,2.075
aze,1999,1.42
aze,2000,1.502
aze,2004,1.278
bhs,2004,9.058
bhr,1985,0.0
bhr,1987,0.0
bhr,1988,0.0
bhr,1997,0.3536
bhr,1999,0.3369
bhr,2000,0.8126
bhr,2001,0.2958
bhr,2004,0.7814
bgd,2004,5.428
brb,2004,5.093
blr,1981,3.191
blr,1982,3.76
blr,1985,3.221
blr,1986,2.449
blr,1987,2.98
blr,1988,3.459
blr,1989,3.946
blr,1990,4.06
blr,1991,3.534
blr,1992,4.521
blr,1993,5.258
blr,1994,5.29
blr,1995,6.727
blr,1997,6.522
blr,1998,6.282
blr,1999,5.773
blr,2000,6.471
blr,2001,6.337
blr,2002,6.111
blr,2003,4.972
blr,2004,5.201
bel,1954,0.6823
bel,1955,0.7165
bel,1956,0.6383
bel,1957,0.5348
bel,1958,0.5749
bel,1959,0.6449
bel,1960,0.5261
bel,1961,0.5699
bel,1962,0.5829
bel,1963,0.5899
