geo,natural_gas_proved_reserves_total,time
dza,3349000000,1980
dza,3310000000,1981
dza,3252000000,1982
dza,3178000000,1983
dza,3098000000,1984
dza,3014000000,1985
dza,2933000000,1986
dza,2847000000,1987
dza,2911000000,1988
dza,2925000000,1989
dza,2970000000,1990
dza,3263000000,1991
dza,3285000000,1992
dza,3330000000,1993
dza,2667000000,1994
dza,3321000000,1995
dza,3330000000,1996
dza,3669000000,1997
dza,3669000000,1998
dza,4068000000,1999
dza,4071000000,2000
dza,4071000000,2001
dza,4071000000,2002
dza,4090000000,2003
dza,4090000000,2004
dza,4054000000,2005
dza,4054000000,2006
dza,4054000000,2007
dza,4054000000,2008
arg,576900000,1980
arg,583200000,1981
arg,622800000,1982
arg,611100000,1983
arg,601200000,1984
arg,612900000,1985
arg,603900000,1986
arg,623700000,1987
arg,695700000,1988
arg,603900000,1989
arg,594000000,1990
arg,578700000,1991
arg,486900000,1992
arg,465300000,1993
arg,481500000,1994
arg,557100000,1995
arg,577800000,1996
arg,615600000,1997
arg,618300000,1998
arg,656100000,1999
arg,700200000,2000
arg,687600000,2001
arg,597600000,2002
arg,550800000,2003
arg,487800000,2004
arg,395100000,2005
arg,401400000,2006
arg,397800000,2007
arg,397800000,2008
aus,163100000,1980
aus,411200000,1981
aus,419000000,1982
aus,456500000,1983
aus,678100000,1984
aus,690300000,1985
aus,798200000,1986
aus,962100000,1987
aus,996500000,1988
aus,903900000,1989
aus,847600000,1990
aus,870800000,1991
aus,862900000,1992
aus,921500000,1993
aus,1171000000,1994
aus,1058000000,1995
aus,1144000000,1996
aus,1242000000,1997
aus,1489000000,1998
aus,1803000000,1999
aus,1891000000,2000
aus,2309000000,2001
aus,2183000000,2002
aus,2243000000,2003
aus,2071000000,2004
aus,2094000000,2005
aus,2147000000,2006
aus,2173000000,2007
aus,2259000000,2008
aze,733000000,1997
aze,733000000,1998
aze,1116000000,1999
aze,1116000000,2000
aze,1116000000,2001
aze,1116000000,2002
aze,1116000000,2003
aze,1116000000,2004
aze,1100000000,2005
aze,1100000000,2006
aze,1047000000,2007
aze,1079000000,2008
bhr,209700000,1980
bhr,202500000,1981
bhr,199800000,1982
bhr,196200000,1983
bhr,192600000,1984
bhr,188100000,1985
bhr,183600000,1986
bhr,178200000,1987
bhr,171000000,1988
bhr,164700000,1989
bhr,159300000,1990
bhr,155700000,1991
bhr,150300000,1992
bhr,143100000,1993
bhr,137700000,1994
bhr,132300000,1995
bhr,127800000,1996
bhr,127800000,1997
bhr,127800000,1998
bhr,106200000,1999
bhr,99000000,2000
bhr,99000000,2001
bhr,99000000,2002
bhr,82800000,2003
bhr,81000000,2004
bhr,81000000,2005
bhr,81000000,2006
bhr,76500000,2007
bhr,76500000,2008
bgd,257400000,1980
bgd,285300000,1981
bgd,305100000,1982
bgd,279900000,1983
bgd,317700000,1984
bgd,317700000,1985
bgd,318600000,1986
bgd,318600000,1987
bgd,315000000,1988
bgd,652500000,1989
bgd,652500000,1990
bgd,648000000,1991
bgd,272700000,1992
bgd,267300000,1993
bgd,270900000,1994
bgd,244800000,1995
bgd,270000000,1996
bgd,267300000,1997
bgd,267300000,1998
bgd,290700000,1999
bgd,275400000,2000
bgd,306000000,2001
bgd,306000000,2002
bgd,389700000,2003
bgd,379800000,2004
bgd,366300000,2005
bgd,344700000,2006
bgd,336600000,2007
bgd,333000000,2008
bol,109800000,1980
bol,138600000,1981
bol,131400000,1982
bol,120600000,1983
bol,112500000,1984
bol,116100000,1985
bol,123300000,1986
bol,127800000,1987
bol,132300000,1988
bol,104400000,1989
bol,101700000,1990
bol,104400000,1991
bol,108000000,1992
bol,106200000,1993
bol,97200000,1994
bol,114300000,1995
bol,97200000,1996
bol,106200000,1997
bol,135000000,1998
bol,466200000,1999
bol,607500000,2000
bol,697500000,2001
bol,731700000,2002
bol,703800000,2003
bol,681300000,2004
bol,666000000,2005
bol,666000000,2006
bol,639000000,2007
bol,639000000,2008
bra,46980000,1980
bra,53190000,1981
bra,63830000,1982
bra,72690000,1983
bra,74470000,1984
bra,82440000,1985
bra,85100000,1986
bra,93080000,1987
bra,96630000,1988
bra,102800000,1989
bra,101900000,1990
bra,109900000,1991
bra,117900000,1992
bra,121500000,1993
bra,129400000,1994
bra,136500000,1995
bra,140100000,1996
bra,202100000,1997
bra,200300000,1998
bra,204800000,1999
bra,195900000,2000
bra,194900000,2001
bra,216800000,2002
bra,217500000,2003
bra,289100000,2004
bra,271600000,2005
bra,308400000,2006
bra,244200000,2007
bra,294100000,2008
brn,186300000,1980
brn,190800000,1981
brn,198900000,1982
brn,196200000,1983
brn,214200000,1984
brn,214200000,1985
brn,306000000,1986
brn,297900000,1987
brn,289800000,1988
brn,285300000,1989
brn,297900000,1990
brn,356400000,1991
brn,360000000,1992
brn,360000000,1993
brn,360000000,1994
brn,360000000,1995
brn,360000000,1996
brn,351900000,1997
brn,343800000,1998
brn,336600000,1999
brn,329400000,2000
brn,320400000,2001
brn,315000000,2002
brn,310500000,2003
brn,308700000,2004
brn,306000000,2005
brn,297900000,2006
brn,308700000,2007
brn,315000000,2008
can,2243000000,1980
can,2307000000,1981
can,2332000000,1982
can,2352000000,1983
can,2528000000,1984
can,2506000000,1985
can,2471000000,1986
can,2424000000,1987
can,2404000000,1988
can,2459000000,1989
can,2452000000,1990
can,2440000000,1991
can,2405000000,1992
can,2009000000,1993
can,1708000000,1994
can,1736000000,1995
can,1748000000,1996
can,1628000000,1997
can,1573000000,1998
can,1547000000,1999
can,1515000000,2000
can,1525000000,2001
can,1498000000,2002
