geo,time,ncd_deaths_in_children_1_59_months_per_1000_births
afg,2008,12.02
alb,2008,4.211
dza,2008,1.187
ago,2008,6.991
arg,2008,2.803
arm,2008,2.696
aus,2008,1.216
aut,2008,1.094
aze,2008,1.726
bhs,2008,3.365
bhr,2008,3.578
bgd,2008,0.8097
brb,2008,1.049
blr,2008,3.26
bel,2008,1.244
blz,2008,2.555
ben,2008,1.873
btn,2008,4.069
bol,2008,2.808
bih,2008,2.648
bwa,2008,3.431
bra,2008,2.73
brn,2008,1.672
bgr,2008,2.174
bfa,2008,4.184
bdi,2008,4.065
khm,2008,5.804
cmr,2008,2.336
can,2008,1.376
cpv,2008,1.662
caf,2008,2.546
tcd,2008,2.698
chl,2008,2.341
chn,2008,2.05
col,2008,1.991
com,2008,2.891
cog,2008,2.151
cri,2008,2.28
civ,2008,1.304
hrv,2008,1.209
cub,2008,1.719
cyp,2008,1.31
cze,2008,0.77
prk,2008,2.051
cod,2008,3.574
dnk,2008,1.203
dji,2008,3.804
dom,2008,2.012
ecu,2008,3.472
egy,2008,2.406
slv,2008,2.887
gnq,2008,1.117
eri,2008,1.901
est,2008,1.255
eth,2008,3.237
fji,2008,3.111
fin,2008,1.034
fra,2008,1.015
gab,2008,0.7839
gmb,2008,1.555
geo,2008,1.974
deu,2008,1.059
gha,2008,0.7455
grc,2008,1.078
grd,2008,0.994
gtm,2008,2.801
gin,2008,1.808
gnb,2008,3.37
guy,2008,5.579
hti,2008,1.933
hnd,2008,2.466
hun,2008,1.653
isl,2008,1.082
ind,2008,2.757
idn,2008,1.086
irn,2008,2.542
irq,2008,0.9268
irl,2008,1.563
isr,2008,1.651
ita,2008,1.297
jam,2008,3.721
jpn,2008,1.377
jor,2008,2.199
kaz,2008,4.529
ken,2008,2.953
kwt,2008,2.983
kgz,2008,1.264
lao,2008,3.186
lva,2008,2.162
lbn,2008,2.093
lso,2008,0.8594
lbr,2008,2.764
lby,2008,3.018
ltu,2008,1.942
lux,2008,0.7337
mdg,2008,3.12
mwi,2008,2.108
mys,2008,1.618
mdv,2008,2.445
mli,2008,4.427
mlt,2008,2.174
mrt,2008,2.64
mus,2008,2.985
mex,2008,4.319
fsm,2008,5.022
mng,2008,4.372
mne,2008,1.714
mar,2008,0.9003
moz,2008,2.214
mmr,2008,2.058
nam,2008,0.5277
npl,2008,0.7544
nld,2008,1.091
nzl,2008,0.841
nic,2008,2.736
ner,2008,2.984
nga,2008,2.398
nor,2008,0.9471
omn,2008,2.086
pak,2008,2.444
pan,2008,3.707
png,2008,3.954
pry,2008,2.245
per,2008,2.954
phl,2008,2.882
pol,2008,1.615
prt,2008,1.09
qat,2008,2.337
kor,2008,1.574
mda,2008,3.85
rou,2008,1.802
rus,2008,2.39
rwa,2008,2.72
lca,2008,0.9885
vct,2008,1.043
wsm,2008,3.799
stp,2008,9.522
sau,2008,3.598
sen,2008,1.854
srb,2008,1.38
sle,2008,4.92
sgp,2008,0.995
svk,2008,2.166
svn,2008,0.5649
slb,2008,3.213
som,2008,4.464
zaf,2008,2.424
esp,2008,1.303
lka,2008,2.43
sdn,2008,2.148
sur,2008,4.092
swz,2008,1.513
swe,2008,1.081
che,2008,1.006
syr,2008,2.975
tjk,2008,2.354
tha,2008,1.556
mkd,2008,1.798
tgo,2008,1.241
ton,2008,3.495
tto,2008,4.499
tun,2008,2.855
tur,2008,2.644
tkm,2008,1.608
uga,2008,1.748
ukr,2008,3.891
are,2008,1.47
gbr,2008,1.476
tza,2008,1.834
usa,2008,1.666
ury,2008,3.356
uzb,2008,1.063
vut,2008,3.963
ven,2008,2.563
vnm,2008,1.5
yem,2008,1.621
zmb,2008,2.677
zwe,2008,1.509
