newly_hiv_infected_percent_age_15_49,geo,time
0.06,afg,1990
0.06,afg,2011
0.14,ago,1990
0.16,ago,1991
0.17,ago,1992
0.18,ago,1993
0.2,ago,1994
0.21,ago,1995
0.22,ago,1996
0.23,ago,1997
0.24,ago,1998
0.24,ago,1999
0.25,ago,2000
0.26,ago,2001
0.26,ago,2002
0.26,ago,2003
0.26,ago,2004
0.25,ago,2005
0.25,ago,2006
0.24,ago,2007
0.23,ago,2008
0.23,ago,2009
0.22,ago,2010
0.21,ago,2011
0.06,arg,1990
0.06,arg,1991
0.06,arg,1992
0.06,arg,1993
0.06,arg,1994
0.06,arg,1995
0.06,arg,1996
0.06,arg,1997
0.06,arg,1998
0.06,arg,1999
0.06,arg,2000
0.06,arg,2001
0.06,arg,2002
0.06,arg,2003
0.06,arg,2004
0.06,arg,2005
0.06,arg,2006
0.06,arg,2007
0.06,arg,2008
0.06,arg,2009
0.06,arg,2011
0.06,arm,1990
0.06,arm,1991
0.06,arm,1992
0.06,arm,1993
0.06,arm,1994
0.06,arm,1995
0.06,arm,1996
0.06,arm,1997
0.06,arm,1998
0.06,arm,1999
0.06,arm,2000
0.06,arm,2001
0.06,arm,2002
0.06,arm,2003
0.06,arm,2004
0.06,arm,2005
0.06,arm,2006
0.06,arm,2007
0.06,arm,2008
0.06,arm,2009
0.06,arm,2011
0.06,aus,2011
0.06,aut,2011
0.06,aze,2011
0.55,bhs,1990
0.49,bhs,1991
0.45,bhs,1992
0.45,bhs,1993
0.45,bhs,1994
0.44,bhs,1995
0.44,bhs,1996
0.43,bhs,1997
0.4,bhs,1998
0.39,bhs,1999
0.38,bhs,2000
0.37,bhs,2001
0.35,bhs,2002
0.33,bhs,2003
0.3,bhs,2004
0.29,bhs,2005
0.27,bhs,2006
0.26,bhs,2007
0.24,bhs,2008
0.23,bhs,2009
0.2,bhs,2010
0.18,bhs,2011
0.06,bgd,1990
0.06,bgd,1991
0.06,bgd,1992
0.06,bgd,1993
0.06,bgd,1994
0.06,bgd,1995
0.06,bgd,1996
0.06,bgd,1997
0.06,bgd,1998
0.06,bgd,1999
0.06,bgd,2000
0.06,bgd,2001
0.06,bgd,2002
0.06,bgd,2003
0.06,bgd,2004
0.06,bgd,2005
0.06,bgd,2006
0.06,bgd,2007
0.06,bgd,2008
0.06,bgd,2009
0.06,bgd,2010
0.06,bgd,2011
0.06,brb,1990
0.06,brb,1991
0.06,brb,1992
0.06,brb,1993
0.06,brb,1994
0.06,brb,1995
0.06,brb,1996
0.06,brb,1997
0.06,brb,1998
0.06,brb,1999
0.06,brb,2000
0.06,brb,2001
0.06,brb,2002
0.06,brb,2003
0.06,brb,2004
0.06,brb,2005
0.06,brb,2006
0.06,brb,2007
0.06,brb,2008
0.06,brb,2009
0.06,brb,2010
0.06,brb,2011
0.06,blr,1990
0.06,blr,1991
0.06,blr,1992
0.06,blr,1993
0.06,blr,1994
0.06,blr,1995
0.06,blr,1996
0.06,blr,1997
0.06,blr,1998
0.06,blr,1999
0.06,blr,2000
0.06,blr,2001
0.06,blr,2002
0.06,blr,2003
0.06,blr,2004
0.06,blr,2005
0.06,blr,2006
0.06,blr,2007
0.06,blr,2008
0.06,blr,2009
0.06,blr,2010
0.06,blr,2011
0.06,bel,2011
0.24,blz,1990
0.26,blz,1991
0.28,blz,1992
0.3,blz,1993
0.31,blz,1994
0.32,blz,1995
0.33,blz,1996
0.33,blz,1997
0.33,blz,1998
0.33,blz,1999
0.32,blz,2000
0.31,blz,2001
0.3,blz,2002
0.29,blz,2003
0.28,blz,2004
0.27,blz,2005
0.26,blz,2006
0.24,blz,2007
0.24,blz,2008
0.23,blz,2009
0.18,blz,2010
0.15,blz,2011
0.06,ben,1990
0.11,ben,1991
0.13,ben,1992
0.17,ben,1993
0.2,ben,1994
0.22,ben,1995
0.22,ben,1996
0.2,ben,1997
0.18,ben,1998
0.15,ben,1999
0.13,ben,2000
0.12,ben,2001
0.11,ben,2002
0.11,ben,2003
0.11,ben,2004
0.11,ben,2005
0.1,ben,2006
0.1,ben,2007
0.1,ben,2008
0.1,ben,2009
0.06,ben,2010
0.06,ben,2011
0.06,btn,2011
0.06,bol,2011
2.35,bwa,1990
2.9,bwa,1991
