geo,nuclear_power_generation_per_person,time
arg,0.003472,1974
arg,0.008299,1975
arg,0.008348,1976
arg,0.005233,1977
arg,0.00912,1978
arg,0.008353,1979
arg,0.007152,1980
arg,0.008478,1981
arg,0.005544,1982
arg,0.009942,1983
arg,0.01335,1984
arg,0.01633,1985
arg,0.01594,1986
arg,0.01778,1987
arg,0.01571,1988
arg,0.01346,1989
arg,0.01918,1990
arg,0.02015,1991
arg,0.01815,1992
arg,0.01961,1993
arg,0.02057,1994
arg,0.01743,1995
arg,0.01818,1996
arg,0.01917,1997
arg,0.01773,1998
arg,0.01672,1999
arg,0.01438,2000
arg,0.01627,2001
arg,0.01329,2002
arg,0.01712,2003
arg,0.01765,2004
arg,0.01528,2005
arg,0.01695,2006
arg,0.01576,2007
arg,0.01587,2008
arg,0.01752,2009
arg,0.01526,2010
arm,0.00811,1995
arm,0.06299,1996
arm,0.04408,1997
arm,0.04394,1998
arm,0.05781,1999
arm,0.05604,2000
arm,0.05573,2001
arm,0.0641,2002
arm,0.05613,2003
arm,0.06179,2004
arm,0.07617,2005
arm,0.07394,2006
arm,0.07141,2007
arm,0.06872,2008
arm,0.06951,2009
arm,0.06924,2010
bel,3.71e-05,1962
bel,0.0004331,1963
bel,0.0004673,1964
bel,5.442e-05,1966
bel,0.0008491,1967
bel,0.0005489,1968
bel,0.0001973,1969
bel,0.0005092,1970
bel,9.754e-05,1972
bel,0.0006715,1973
bel,0.001304,1974
bel,0.0596,1975
bel,0.08798,1976
bel,0.1045,1977
bel,0.1094,1978
bel,0.09964,1979
bel,0.1096,1980
bel,0.1123,1981
bel,0.1369,1982
bel,0.2107,1983
bel,0.2425,1984
bel,0.3023,1985
bel,0.3438,1986
bel,0.3655,1987
bel,0.3745,1988
bel,0.3572,1989
bel,0.3692,1990
bel,0.3694,1991
bel,0.3735,1992
bel,0.3594,1993
bel,0.3473,1994
bel,0.3528,1995
bel,0.369,1996
bel,0.4031,1997
bel,0.3919,1998
bel,0.4153,1999
bel,0.4069,2000
bel,0.3903,2001
bel,0.3971,2002
bel,0.3954,2003
bel,0.3928,2004
bel,0.393,2005
bel,0.3829,2006
bel,0.3935,2007
bel,0.3696,2008
bel,0.3809,2009
bel,0.3848,2010
bel,0.3857,2011
bra,0.001059,1984
bra,0.002134,1985
bra,8.905e-05,1986
bra,0.00059,1987
bra,0.0003619,1988
bra,0.00107,1989
bra,0.001285,1990
bra,0.0008149,1991
bra,0.0009784,1992
bra,0.0002421,1993
bra,2.967e-05,1994
bra,0.001338,1995
bra,0.00127,1996
bra,0.001633,1997
bra,0.001657,1998
bra,0.001989,1999
bra,0.00298,2000
bra,0.006941,2001
bra,0.006636,2002
bra,0.006324,2003
bra,0.00543,2004
bra,0.004556,2005
bra,0.006292,2006
bra,0.005595,2007
bra,0.006271,2008
bra,0.005765,2009
bra,0.006406,2010
bgr,0.009191,1974
bgr,0.02518,1975
bgr,0.049,1976
bgr,0.0576,1977
bgr,0.05768,1978
bgr,0.06014,1979
bgr,0.05982,1980
bgr,0.08821,1981
bgr,0.1036,1982
bgr,0.1185,1983
bgr,0.1223,1984
bgr,0.126,1985
bgr,0.1159,1986
bgr,0.1196,1987
bgr,0.1546,1988
bgr,0.1411,1989
bgr,0.143,1990
bgr,0.1297,1991
bgr,0.1148,1992
bgr,0.1405,1993
bgr,0.156,1994
bgr,0.1776,1995
bgr,0.1879,1996
bgr,0.1862,1997
bgr,0.1787,1998
bgr,0.1686,1999
bgr,0.1952,2000
bgr,0.2115,2001
bgr,0.2203,2002
bgr,0.1895,2003
bgr,0.1856,2004
bgr,0.2072,2005
bgr,0.218,2006
bgr,0.1648,2007
bgr,0.1786,2008
bgr,0.1739,2009
bgr,0.175,2010
can,0.0004216,1963
can,0.0006724,1964
can,0.0005593,1965
can,0.0007366,1966
can,0.0006417,1967
can,0.003771,1968
can,0.002131,1969
can,0.004106,1970
can,0.01664,1971
can,0.02775,1972
can,0.058,1973
can,0.05524,1974
can,0.0467,1975
can,0.06395,1976
can,0.09559,1977
can,0.1119,1978
can,0.1251,1979
can,0.1334,1980
can,0.1391,1981
can,0.1318,1982
can,0.1654,1983
can,0.1758,1984
can,0.2014,1985
can,0.234,1986
can,0.2502,1987
can,0.2645,1988
can,0.2513,1989
can,0.2265,1990
can,0.2603,1991
can,0.2441,1992
can,0.2814,1993
can,0.3196,1994
can,0.2871,1995
can,0.2696,1996
can,0.2377,1997
can,0.2042,1998
can,0.208,1999
can,0.2041,2000
can,0.213,2001
can,0.2076,2002
can,0.2037,2003
can,0.2433,2004
can,0.2451,2005
can,0.2582,2006
can,0.2438,2007
can,0.2424,2008
can,0.23,2009
can,0.2292,2010
can,0.2276,2011
chn,0.000116,1993
chn,0.001056,1994
chn,0.0009089,1995
chn,0.001005,1996
chn,0.001002,1997
chn,0.0009707,1998
chn,0.001021,1999
chn,0.001134,2000
chn,0.001176,2001
chn,0.00168,2002
chn,0.002881,2003
chn,0.003337,2004
chn,0.003491,2005
chn,0.003587,2006
chn,0.004043,2007
chn,0.004427,2008
chn,0.004517,2009
chn,0.004736,2010
cze,0.001669,1983
cze,0.01034,1984
cze,0.02001,1985
cze,0.05133,1986
cze,0.08933,1987
cze,0.09864,1988
cze,0.1037,1989
cze,0.105,1990
cze,0.1012,1991
cze,0.1021,1992
cze,0.1052,1993
cze,0.1081,1994
cze,0.1019,1995
cze,0.1072,1996
cze,0.1043,1997
cze,0.1102,1998
cze,0.1119,1999
cze,0.1141,2000
cze,0.124,2001
cze,0.1578,2002
cze,0.2181,2003
cze,0.2219,2004
cze,0.208,2005
cze,0.2183,2006
cze,0.2182,2007
cze,0.22,2008
cze,0.2241,2009
cze,0.2294,2010
cze,0.2309,2011
fin,0.04826,1977
fin,0.05908,1978
fin,0.1217,1979
fin,0.1263,1980
fin,0.2626,1981
fin,0.2989,1982
fin,0.3139,1983
fin,0.3325,1984
fin,0.3343,1985
fin,0.333,1986
fin,0.3422,1987
fin,0.3395,1988
fin,0.3304,1989
fin,0.3314,1990
fin,0.3349,1991
fin,0.3289,1992
fin,0.3385,1993
fin,0.3284,1994
fin,0.3235,1995
fin,0.3267,1996
fin,0.3496,1997
fin,0.3648,1998
fin,0.3827,1999
fin,0.3736,2000
fin,0.3776,2001
fin,0.3688,2002
fin,0.3751,2003
fin,0.3737,2004
fin,0.3815,2005
fin,0.374,2006
fin,0.3807,2007
fin,0.3713,2008
fin,0.3787,2009
fin,0.3654,2010
fin,0.3703,2011
fra,0.0002748,1960
fra,0.0005035,1961
fra,0.0008668,1962
fra,0.0008423,1963
fra,0.001169,1964
fra,0.001857,1965
fra,0.002805,1966
fra,0.005058,1967
fra,0.006083,1968
fra,0.008457,1969
fra,0.009673,1970
fra,0.01569,1971
fra,0.02433,1972
fra,0.02438,1973
fra,0.02413,1974
fra,0.02978,1975
fra,0.02561,1976
fra,0.02906,1977
fra,0.04906,1978
fra,0.06405,1979
fra,0.09775,1980
fra,0.1673,1981
fra,0.1721,1982
fra,0.2268,1983
fra,0.299,1984
fra,0.3486,1985
fra,0.3932,1986
fra,0.4086,1987
fra,0.4218,1988
fra,0.463,1989
fra,0.4762,1990
fra,0.5002,1991
fra,0.5089,1992
fra,0.5514,1993
fra,0.5371,1994
fra,0.5607,1995
fra,0.5885,1996
fra,0.5836,1997
fra,0.5703,1998
fra,0.577,1999
fra,0.6046,2000
fra,0.6096,2001
fra,0.6283,2002
fra,0.6302,2003
fra,0.636,2004
fra,0.6365,2005
fra,0.6307,2006
fra,0.6124,2007
fra,0.6085,2008
fra,0.5642,2009
fra,0.5868,2010
fra,0.6026,2011
deu,2.811e-05,1961
deu,0.0001161,1962
deu,6.444e-05,1963
deu,0.0001187,1964
deu,0.0001324,1965
deu,0.0002978,1966
deu,0.001367,1967
deu,0.00196,1968
deu,0.005452,1969
deu,0.007143,1970
deu,0.006817,1971
deu,0.01042,1972
deu,0.01324,1973
deu,0.0158,1974
deu,0.02638,1975
deu,0.03229,1976
deu,0.04513,1977
deu,0.04804,1978
deu,0.05708,1979
deu,0.06105,1980
deu,0.07213,1981
deu,0.0821,1982
deu,0.08629,1983
deu,0.1155,1984
deu,0.1535,1985
deu,0.1442,1986
deu,0.1563,1987
deu,0.1723,1988
deu,0.1768,1989
deu,0.1657,1990
deu,0.1589,1991
deu,0.1701,1992
deu,0.1629,1993
deu,0.159,1994
deu,0.1607,1995
deu,0.1674,1996
deu,0.1779,1997
deu,0.1688,1998
deu,0.1775,1999
deu,0.1771,2000
deu,0.1788,2001
deu,0.1719,2002
deu,0.1721,2003
deu,0.1741,2004
deu,0.1699,2005
deu,0.1743,2006
deu,0.1464,2007
deu,0.1548,2008
deu,0.1408,2009
deu,0.1468,2010
deu,0.113,2011
hun,0.02001,1983
hun,0.03059,1984
hun,0.05285,1985
hun,0.06078,1986
hun,0.09027,1987
hun,0.1108,1988
hun,0.1149,1989
hun,0.1138,1990
hun,0.1139,1991
hun,0.116,1992
hun,0.1146,1993
hun,0.1168,1994
hun,0.1167,1995
hun,0.1182,1996
hun,0.1167,1997
hun,0.1168,1998
hun,0.1184,1999
hun,0.1194,2000
hun,0.1193,2001
hun,0.1181,2002
hun,0.09344,2003
hun,0.1013,2004
hun,0.1179,2005
hun,0.115,2006
hun,0.1257,2007
hun,0.1271,2008
hun,0.1326,2009
hun,0.1357,2010
hun,0.1353,2011
ind,0.0001806,1971
ind,0.000168,1972
ind,0.0003471,1973
ind,0.0003122,1974
ind,0.000363,1975
ind,0.000439,1976
ind,0.0002995,1977
ind,0.0003566,1978
ind,0.0003617,1979
ind,0.0003686,1980
ind,0.0003625,1981
ind,0.0002371,1982
ind,0.0004065,1983
ind,0.0004567,1984
ind,0.0005461,1985
ind,0.0005384,1986
ind,0.0005281,1987
ind,0.0005971,1988
ind,0.0004647,1989
ind,0.0006043,1990
ind,0.0005326,1991
ind,0.0006355,1992
ind,0.0005,1993
ind,0.0005132,1994
ind,0.0007116,1995
ind,0.0007938,1996
ind,0.0008665,1997
ind,0.001007,1998
ind,0.001099,1999
ind,0.001379,2000
ind,0.001563,2001
ind,0.001531,2002
ind,0.001382,2003
ind,0.001302,2004
ind,0.001307,2005
ind,0.001397,2006
ind,0.001242,2007
ind,0.001078,2008
ind,0.001327,2009
ind,0.001844,2010
ita,0.0005484,1963
ita,0.004044,1964
ita,0.005866,1965
ita,0.006407,1966
ita,0.005191,1967
ita,0.004212,1968
ita,0.002726,1969
ita,0.005121,1970
ita,0.005388,1971
ita,0.005766,1972
ita,0.004963,1973
ita,0.005352,1974
ita,0.00593,1975
ita,0.005911,1976
ita,0.005232,1977
ita,0.006817,1978
ita,0.004032,1979
ita,0.003377,1980
ita,0.004129,1981
ita,0.01035,1982
ita,0.008782,1983
ita,0.01044,1984
ita,0.01064,1985
ita,0.01326,1986
ita,0.0002633,1987
jpn,0.0005238,1966
jpn,0.0005174,1967
jpn,0.0008514,1968
jpn,0.0009243,1969
jpn,0.003814,1970
jpn,0.006542,1971
jpn,0.007661,1972
jpn,0.007722,1973
jpn,0.01547,1974
jpn,0.0195,1975
