geo,time,nuclear_power_generation_total
alb,1971,0.0
alb,1972,0.0
alb,1973,0.0
alb,1974,0.0
alb,1975,0.0
alb,1976,0.0
alb,1977,0.0
alb,1978,0.0
alb,1979,0.0
alb,1980,0.0
alb,1981,0.0
alb,1982,0.0
alb,1983,0.0
alb,1984,0.0
alb,1985,0.0
alb,1986,0.0
alb,1987,0.0
alb,1988,0.0
alb,1989,0.0
alb,1990,0.0
alb,1991,0.0
alb,1992,0.0
alb,1993,0.0
alb,1994,0.0
alb,1995,0.0
alb,1996,0.0
alb,1997,0.0
alb,1998,0.0
alb,1999,0.0
alb,2000,0.0
alb,2001,0.0
alb,2002,0.0
alb,2003,0.0
alb,2004,0.0
alb,2005,0.0
alb,2006,0.0
alb,2007,0.0
alb,2008,0.0
alb,2009,0.0
alb,2010,0.0
dza,1971,0.0
dza,1972,0.0
dza,1973,0.0
dza,1974,0.0
dza,1975,0.0
dza,1976,0.0
dza,1977,0.0
dza,1978,0.0
dza,1979,0.0
dza,1980,0.0
dza,1981,0.0
dza,1982,0.0
dza,1983,0.0
dza,1984,0.0
dza,1985,0.0
dza,1986,0.0
dza,1987,0.0
dza,1988,0.0
dza,1989,0.0
dza,1990,0.0
dza,1991,0.0
dza,1992,0.0
dza,1993,0.0
dza,1994,0.0
dza,1995,0.0
dza,1996,0.0
dza,1997,0.0
dza,1998,0.0
dza,1999,0.0
dza,2000,0.0
dza,2001,0.0
dza,2002,0.0
dza,2003,0.0
dza,2004,0.0
dza,2005,0.0
dza,2006,0.0
dza,2007,0.0
dza,2008,0.0
dza,2009,0.0
dza,2010,0.0
ago,1971,0.0
ago,1972,0.0
ago,1973,0.0
ago,1974,0.0
ago,1975,0.0
ago,1976,0.0
ago,1977,0.0
ago,1978,0.0
ago,1979,0.0
ago,1980,0.0
ago,1981,0.0
ago,1982,0.0
ago,1983,0.0
ago,1984,0.0
ago,1985,0.0
ago,1986,0.0
ago,1987,0.0
ago,1988,0.0
ago,1989,0.0
ago,1990,0.0
ago,1991,0.0
ago,1992,0.0
ago,1993,0.0
ago,1994,0.0
ago,1995,0.0
ago,1996,0.0
ago,1997,0.0
ago,1998,0.0
ago,1999,0.0
ago,2000,0.0
ago,2001,0.0
ago,2002,0.0
ago,2003,0.0
ago,2004,0.0
ago,2005,0.0
ago,2006,0.0
ago,2007,0.0
ago,2008,0.0
ago,2009,0.0
ago,2010,0.0
arg,1971,0.0
arg,1972,0.0
arg,1973,0.0
arg,1974,89080.0
arg,1975,216400.0
arg,1976,221200.0
arg,1977,140800.0
arg,1978,249000.0
arg,1979,231500.0
arg,1980,201200.0
arg,1981,242100.0
arg,1982,160800.0
arg,1983,292800.0
arg,1984,399100.0
arg,1985,495800.0
arg,1986,491100.0
arg,1987,555900.0
arg,1988,498500.0
arg,1989,433300.0
arg,1990,626100.0
arg,1991,666900.0
arg,1992,608900.0
arg,1993,666400.0
arg,1994,708100.0
arg,1995,607600.0
arg,1996,641400.0
arg,1997,684500.0
arg,1998,640800.0
arg,1999,611000.0
arg,2000,531100.0
arg,2001,607000.0
arg,2002,500500.0
arg,2003,650600.0
arg,2004,676600.0
arg,2005,591000.0
arg,2006,661300.0
arg,2007,620600.0
arg,2008,630300.0
arg,2009,701700.0
arg,2010,616600.0
arm,1990,0.0
arm,1991,0.0
arm,1992,0.0
arm,1993,0.0
arm,1994,0.0
arm,1995,26140.0
