geo,old_version_of_income_per_person_version_3,time
afg,644.8,1950
afg,652.8,1951
afg,663.6,1952
afg,692.0,1953
afg,694.2,1954
afg,695.1,1955
afg,712.7,1956
afg,698.8,1957
afg,723.4,1958
afg,729.0,1959
afg,739.4,1960
afg,729.9,1961
afg,726.3,1962
afg,723.2,1963
afg,720.5,1964
afg,719.6,1965
afg,709.7,1966
afg,711.9,1967
afg,719.5,1968
afg,713.1,1969
afg,709.5,1970
afg,658.7,1971
afg,630.0,1972
afg,684.1,1973
afg,702.9,1974
afg,720.6,1975
afg,737.4,1976
afg,669.3,1977
afg,704.2,1978
afg,688.8,1979
afg,690.0,1980
afg,763.6,1981
afg,832.6,1982
afg,862.5,1983
afg,846.7,1984
afg,819.0,1985
afg,877.7,1986
afg,725.7,1987
afg,655.6,1988
afg,639.8,1989
afg,604.0,1990
afg,600.6,1991
afg,552.8,1992
afg,475.8,1993
afg,426.1,1994
afg,512.4,1995
afg,526.1,1996
afg,540.9,1997
afg,556.2,1998
afg,571.3,1999
afg,565.2,2000
afg,506.6,2001
afg,618.7,2002
afg,668.4,2003
afg,660.2,2004
afg,717.0,2005
afg,739.9,2006
afg,799.6,2007
alb,446.1,1870
alb,597.8,1890
alb,685.0,1900
alb,780.3,1910
alb,810.7,1913
alb,926.3,1929
alb,1001.0,1950
alb,1045.0,1951
alb,1046.0,1952
alb,1089.0,1953
alb,1120.0,1954
alb,1181.0,1955
alb,1193.0,1956
alb,1269.0,1957
alb,1326.0,1958
alb,1381.0,1959
alb,1451.0,1960
alb,1463.0,1961
alb,1511.0,1962
alb,1563.0,1963
alb,1616.0,1964
alb,1675.0,1965
alb,1738.0,1966
alb,1804.0,1967
alb,1869.0,1968
alb,1932.0,1969
alb,2004.0,1970
alb,2084.0,1971
alb,2165.0,1972
alb,2273.0,1973
alb,2282.0,1974
alb,2289.0,1975
alb,2299.0,1976
alb,2309.0,1977
alb,2319.0,1978
alb,2331.0,1979
alb,2347.0,1980
alb,2360.0,1981
alb,2373.0,1982
alb,2387.0,1983
alb,2400.0,1984
alb,2413.0,1985
alb,2428.0,1986
alb,2443.0,1987
alb,2459.0,1988
alb,2477.0,1989
alb,2499.0,1990
alb,1776.0,1991
alb,1632.0,1992
alb,1775.0,1993
alb,1907.0,1994
alb,2147.0,1995
alb,2333.0,1996
alb,2087.0,1997
alb,2343.0,1998
alb,2567.0,1999
alb,2741.0,2000
alb,2925.0,2001
alb,3009.0,2002
alb,3173.0,2003
alb,3339.0,2004
alb,3501.0,2005
alb,3655.0,2006
alb,3853.0,2007
dza,430.3,1820
dza,715.0,1870
dza,1163.0,1913
dza,1365.0,1950
dza,1347.0,1951
dza,1376.0,1952
dza,1369.0,1953
dza,1437.0,1954
dza,1445.0,1955
dza,1553.0,1956
dza,1693.0,1957
dza,1719.0,1958
dza,1994.0,1959
dza,2088.0,1960
dza,1799.0,1961
dza,1433.0,1962
dza,1768.0,1963
dza,1806.0,1964
dza,1870.0,1965
dza,1725.0,1966
dza,1824.0,1967
dza,1977.0,1968
dza,2105.0,1969
dza,2249.0,1970
dza,2000.0,1971
dza,2350.0,1972
dza,2357.0,1973
dza,2428.0,1974
dza,2522.0,1975
dza,2608.0,1976
dza,2759.0,1977
dza,3019.0,1978
dza,3192.0,1979
dza,3152.0,1980
dza,3131.0,1981
dza,3228.0,1982
dza,3289.0,1983
dza,3363.0,1984
dza,3431.0,1985
dza,3301.0,1986
dza,3192.0,1987
dza,3043.0,1988
dza,3066.0,1989
dza,2946.0,1990
dza,2843.0,1991
dza,2822.0,1992
dza,2697.0,1993
dza,2614.0,1994
dza,2659.0,1995
dza,2710.0,1996
dza,2695.0,1997
dza,2789.0,1998
dza,2836.0,1999
dza,2865.0,2000
dza,2897.0,2001
dza,2971.0,2002
dza,3133.0,2003
dza,3247.0,2004
dza,3368.0,2005
dza,3418.0,2006
dza,3521.0,2007
asm,4058.0,2002
asm,4058.0,2003
asm,4058.0,2005
asm,4244.0,2006
and,27150.0,2002
and,27150.0,2003
and,27150.0,2005
and,28700.0,2006
and,28960.0,2007
ago,1052.0,1950
ago,1076.0,1951
ago,1101.0,1952
ago,1126.0,1953
ago,1079.0,1954
ago,1148.0,1955
ago,1110.0,1956
ago,1197.0,1957
ago,1241.0,1958
ago,1225.0,1959
ago,1253.0,1960
ago,1396.0,1961
ago,1335.0,1962
ago,1380.0,1963
ago,1510.0,1964
ago,1596.0,1965
ago,1660.0,1966
ago,1727.0,1967
ago,1672.0,1968
ago,1691.0,1969
ago,1768.0,1970
ago,1728.0,1971
ago,1712.0,1972
ago,1790.0,1973
ago,1711.0,1974
ago,1073.0,1975
ago,954.0,1976
ago,941.0,1977
ago,960.4,1978
ago,958.6,1979
ago,961.7,1980
ago,923.7,1981
ago,862.3,1982
ago,808.3,1983
ago,790.5,1984
ago,779.7,1985
ago,694.5,1986
ago,760.1,1987
ago,853.4,1988
ago,854.0,1989
ago,868.7,1990
ago,854.1,1991
ago,821.9,1992
ago,584.8,1993
ago,579.1,1994
ago,622.1,1995
ago,674.7,1996
ago,712.2,1997
ago,745.8,1998
ago,756.0,1999
ago,765.2,2000
ago,775.6,2001
ago,867.4,2002
ago,871.2,2003
ago,940.4,2004
ago,1102.0,2005
ago,1270.0,2006
ago,1496.0,2007
aia,6157.0,2002
aia,6157.0,2003
aia,6157.0,2004
aia,6561.0,2005
aia,7859.0,2006
aia,7989.0,2007
atg,1783.0,1950
atg,3711.0,1970
atg,3575.0,1971
atg,3769.0,1972
atg,3606.0,1973
atg,3712.0,1974
atg,3498.0,1975
atg,3170.0,1976
atg,3388.0,1977
atg,3506.0,1978
atg,3737.0,1979
atg,4037.0,1980
atg,4187.0,1981
atg,4184.0,1982
atg,4374.0,1983
atg,4800.0,1984
atg,5190.0,1985
atg,5868.0,1986
atg,6379.0,1987
atg,6749.0,1988
atg,7137.0,1989
atg,7276.0,1990
atg,7335.0,1991
atg,7271.0,1992
atg,7504.0,1993
atg,7804.0,1994
atg,7318.0,1995
atg,7650.0,1996
atg,7862.0,1997
atg,8052.0,1998
atg,8234.0,1999
atg,8366.0,2000
atg,8293.0,2001
atg,8369.0,2002
atg,8661.0,2003
atg,9156.0,2004
atg,9411.0,2005
