geo,other_infections_deaths_in_children_1_59_months_total_deaths,time
afg,48820,2008
alb,99,2008
dza,3045,2008
ago,25630,2008
arg,900,2008
arm,82,2008
aus,126,2008
aut,29,2008
aze,639,2008
bhs,10,2008
bhr,18,2008
bgd,13330,2008
brb,5,2008
blr,74,2008
bel,59,2008
blz,16,2008
ben,3856,2008
btn,136,2008
bol,1543,2008
bih,46,2008
bwa,120,2008
bra,12560,2008
brn,4,2008
bgr,87,2008
bfa,17150,2008
bdi,6354,2008
khm,5541,2008
cmr,10550,2008
can,264,2008
cpv,23,2008
caf,2630,2008
tcd,9396,2008
chl,192,2008
chn,13840,2008
col,1489,2008
com,295,2008
cog,1572,2008
cri,37,2008
civ,6225,2008
hrv,15,2008
cub,50,2008
cyp,3,2008
cze,44,2008
prk,1800,2008
cod,57790,2008
dnk,19,2008
dji,285,2008
dom,779,2008
ecu,965,2008
egy,3481,2008
slv,313,2008
gnq,137,2008
eri,1589,2008
est,6,2008
eth,29950,2008
fji,38,2008
fin,10,2008
fra,342,2008
gab,84,2008
gmb,677,2008
geo,133,2008
deu,297,2008
gha,3360,2008
grc,9,2008
grd,1,2008
gtm,1761,2008
gin,3663,2008
gnb,1262,2008
guy,93,2008
hti,1072,2008
hnd,653,2008
hun,61,2008
isl,2,2008
ind,84040,2008
idn,22610,2008
irn,4049,2008
irq,1885,2008
irl,18,2008
isr,55,2008
ita,223,2008
jam,274,2008
jpn,304,2008
jor,243,2008
kaz,923,2008
ken,25740,2008
kwt,63,2008
kgz,600,2008
lao,1777,2008
lva,18,2008
lbn,64,2008
lso,347,2008
lbr,1908,2008
lby,222,2008
ltu,11,2008
lux,3,2008
mdg,9413,2008
mwi,5411,2008
mys,282,2008
mdv,16,2008
mli,9827,2008
mlt,4,2008
mrt,1172,2008
mus,30,2008
mex,3607,2008
fsm,12,2008
mng,377,2008
mne,5,2008
mar,1815,2008
moz,9442,2008
mmr,9778,2008
nam,115,2008
npl,2113,2008
nld,54,2008
nzl,20,2008
nic,466,2008
ner,14380,2008
nga,97800,2008
nor,27,2008
omn,51,2008
pak,26570,2008
pan,248,2008
png,1612,2008
pry,459,2008
per,1726,2008
phl,9196,2008
pol,221,2008
prt,29,2008
qat,11,2008
kor,327,2008
mda,16,2008
rou,55,2008
rus,506,2008
rwa,5179,2008
lca,8,2008
vct,3,2008
wsm,13,2008
stp,53,2008
sau,1135,2008
sen,5756,2008
srb,87,2008
sle,5034,2008
sgp,8,2008
svk,33,2008
svn,6,2008
slb,63,2008
som,6937,2008
zaf,3213,2008
esp,239,2008
lka,546,2008
sdn,10950,2008
sur,31,2008
swz,168,2008
swe,21,2008
che,25,2008
syr,1129,2008
tjk,1906,2008
tha,791,2008
mkd,31,2008
tgo,1395,2008
ton,7,2008
tto,13,2008
tun,314,2008
tur,1908,2008
tkm,799,2008
uga,15890,2008
ukr,495,2008
are,26,2008
gbr,468,2008
tza,14980,2008
usa,3791,2008
ury,81,2008
uzb,2533,2008
vut,23,2008
ven,666,2008
vnm,1408,2008
yem,3135,2008
zmb,9093,2008
zwe,2133,2008
