geo,time,pab_immunized_percent_of_newborns
afg,1981,3
afg,1982,2
afg,1983,4
afg,1984,5
afg,1985,13
afg,1986,18
afg,1987,13
afg,1988,16
afg,1989,26
afg,1990,13
afg,1991,13
afg,1992,11
afg,1993,13
afg,1994,10
afg,1995,13
afg,1996,17
afg,1997,19
afg,1998,21
afg,1999,28
afg,2000,32
afg,2001,47
afg,2002,52
afg,2003,62
afg,2004,95
afg,2005,96
afg,2006,95
afg,2007,84
afg,2008,83
afg,2009,89
afg,2010,79
afg,2011,60
alb,1990,30
alb,1991,72
alb,1992,87
alb,1993,89
alb,1994,91
alb,1995,90
alb,1996,91
alb,1997,92
alb,1998,74
alb,1999,80
alb,2000,86
alb,2001,83
alb,2002,80
alb,2003,81
alb,2004,85
alb,2005,86
alb,2006,87
alb,2007,87
alb,2008,87
alb,2009,87
alb,2010,87
alb,2011,87
dza,1989,3
dza,1990,75
dza,1991,18
dza,1992,28
dza,1993,40
dza,1994,42
dza,1995,44
dza,1996,45
dza,1997,58
dza,1998,60
dza,1999,62
dza,2000,64
dza,2001,65
dza,2002,66
dza,2003,66
dza,2004,69
dza,2005,69
dza,2006,70
dza,2007,70
dza,2008,71
dza,2009,71
dza,2010,90
dza,2011,90
ago,1983,8
ago,1984,13
ago,1985,19
ago,1986,25
ago,1987,27
ago,1988,31
ago,1989,32
ago,1990,34
ago,1991,37
ago,1992,41
ago,1993,44
ago,1994,46
ago,1995,48
ago,1996,49
ago,1997,51
ago,1998,52
ago,1999,56
ago,2000,60
ago,2001,64
ago,2002,68
ago,2003,71
ago,2004,73
ago,2005,75
ago,2006,77
ago,2007,78
ago,2008,79
ago,2009,88
ago,2010,75
ago,2011,70
bhs,1987,61
bhs,1988,65
bhs,1989,69
bhs,1990,71
bhs,1991,73
bhs,1992,74
bhs,1993,76
bhs,1994,78
bhs,1995,79
bhs,1996,80
bhs,1997,82
bhs,1998,83
bhs,1999,84
bhs,2000,85
bhs,2001,86
bhs,2002,87
bhs,2003,88
bhs,2004,89
bhs,2005,90
bhs,2006,92
bhs,2007,90
bhs,2008,90
bhs,2009,90
bhs,2010,90
bhs,2011,92
bhr,1980,5
bhr,1981,36
bhr,1982,25
bhr,1983,31
bhr,1984,34
bhr,1985,34
bhr,1986,18
bhr,1987,13
bhr,1988,28
bhr,1989,27
bhr,1990,48
bhr,1991,44
bhr,1992,51
bhr,1993,57
bhr,1994,56
bhr,1995,59
bhr,1996,63
bhr,1997,72
bhr,1998,80
bhr,1999,76
bhr,2000,84
bhr,2001,86
bhr,2002,94
bhr,2003,91
bhr,2004,97
bhr,2005,97
bhr,2006,93
