geo,patent_applications_total,time
alb,1564,1995
alb,18760,1996
alb,26000,1997
alb,35160,1998
alb,89520,1999
alb,111600,2000
alb,129900,2001
alb,89820,2002
dza,315,1984
dza,277,1985
dza,269,1986
dza,230,1987
dza,206,1988
dza,204,1989
dza,185,1990
dza,139,1991
dza,144,1992
dza,121,1993
dza,144,1994
dza,142,1995
dza,198,1996
dza,240,1997
dza,306,1998
dza,282,1999
dza,33650,2000
dza,72310,2001
dza,88880,2002
atg,3,1999
atg,32390,2000
atg,72070,2001
atg,88550,2002
arg,3838,1984
arg,2453,1992
arg,3554,1994
arg,5859,1997
arg,6320,1998
arg,6457,1999
arg,6634,2000
arm,214,1993
arm,4890,1994
arm,15570,1995
arm,20430,1996
arm,25120,1997
arm,33900,1998
arm,40270,1999
arm,58280,2000
arm,75660,2001
arm,89560,2002
abw,1,2002
aus,17380,1984
aus,19970,1985
aus,19680,1986
aus,21200,1987
aus,22540,1988
aus,24080,1989
aus,26510,1990
aus,27670,1991
aus,28930,1992
aus,30730,1993
aus,35030,1994
aus,37480,1995
aus,43320,1996
aus,48210,1997
aus,57710,1998
aus,63360,1999
aus,80720,2000
aus,95170,2001
aus,107300,2002
aut,4215,1984
aut,23630,1985
aut,25840,1986
aut,28250,1987
aut,32900,1988
aut,37400,1989
aut,43570,1990
aut,43540,1991
aut,48350,1992
aut,51490,1993
aut,59340,1994
aut,66130,1995
aut,78490,1996
aut,111200,1997
aut,147000,1998
aut,162100,1999
aut,201000,2000
aut,233200,2001
aut,254000,2002
aze,252,1995
aze,16640,1996
aze,24310,1997
aze,33510,1998
aze,40040,1999
aze,58080,2000
aze,75460,2001
aze,89340,2002
bhs,41,1984
bhs,45,1985
bhs,38,1986
bhs,36,1988
bhs,27,1990
bhs,28,1991
bhs,31,1992
bhr,65,1984
bhr,16,1985
bhr,20,1986
bhr,31,1992
bgd,166,1984
bgd,136,1985
bgd,93,1986
bgd,121,1987
bgd,133,1988
bgd,108,1989
bgd,108,1990
bgd,113,1991
bgd,161,1992
bgd,107,1993
bgd,128,1994
bgd,226,1995
bgd,216,1998
brb,38,1984
brb,239,1985
brb,549,1986
brb,833,1987
brb,1272,1988
brb,1772,1989
brb,3138,1990
brb,4336,1991
brb,5875,1992
brb,8365,1993
brb,12390,1994
brb,15910,1995
brb,20940,1996
brb,26320,1997
brb,35000,1998
brb,41270,1999
brb,58940,2000
brb,76050,2001
brb,89700,2002
blr,5715,1993
blr,14320,1994
blr,17250,1995
blr,21050,1996
blr,26040,1997
blr,35270,1998
blr,41790,1999
blr,59430,2000
blr,76700,2001
blr,90590,2002
bel,2835,1984
bel,25250,1985
bel,27280,1986
bel,29260,1987
bel,33960,1988
bel,38190,1989
bel,43720,1990
bel,42050,1991
bel,45260,1992
bel,46520,1993
bel,50420,1994
bel,53650,1995
bel,60460,1996
bel,86640,1997
bel,112700,1998
bel,121000,1999
bel,141800,2000
bel,156600,2001
bel,163600,2002
blz,6,1988
blz,7,1989
blz,21310,2000
blz,71680,2001
blz,88530,2002
bol,58,1984
bol,46,1985
bol,88,1993
bol,117,1994
bol,123,1995
bih,3056,1996
bih,23200,1997
bih,34440,1998
bih,41220,1999
bih,59190,2000
bih,76410,2001
bih,89870,2002
bwa,6,1985
bwa,34,1986
bwa,17,1987
bwa,29,1988
bwa,34,1989
bwa,45,1990
bwa,68,1991
bwa,89,1992
bwa,107,1993
bwa,87,1994
bwa,51,1995
bwa,61,1996
bwa,93,1997
bwa,92,1998
bwa,54,1999
bwa,15,2000
bwa,58,2001
bwa,10,2002
bra,6719,1984
bra,8379,1985
bra,8357,1986
