geo,patents_in_force_total,time
dza,2114,1994
dza,1354,1996
dza,1368,1997
dza,1501,1999
dza,1484,2000
dza,1352,2001
dza,1330,2002
arg,54400,1984
arm,187,1997
arm,261,1998
arm,279,1999
arm,285,2000
arm,386,2001
arm,432,2002
abw,5,2002
aus,49460,1984
aus,53170,1985
aus,49500,1986
aus,52770,1987
aus,55760,1988
aus,59230,1989
aus,64070,1990
aus,67840,1991
aus,70520,1992
aus,72810,1993
aus,73590,1994
aus,74120,1995
aus,73880,1996
aus,76690,1997
aus,83430,1998
aus,88360,1999
aus,93210,2000
aus,93400,2001
aus,98710,2002
aut,48250,1984
aut,49590,1985
aut,33280,1986
aut,31100,1987
aut,29180,1988
aut,27210,1989
aut,25740,1990
aut,23800,1991
aut,21820,1992
aut,19480,1993
aut,19090,1994
aut,19100,1995
aut,15560,1996
aut,14180,1997
aut,13620,1998
aut,12840,1999
aut,12130,2000
aut,11760,2001
aut,11500,2002
aze,9,1995
bhs,54,1986
bgd,891,1984
bgd,934,1985
bgd,1008,1986
bgd,952,1987
bgd,838,1988
bgd,704,1989
bgd,580,1990
bgd,597,1991
bgd,595,1992
bgd,559,1993
bgd,645,1994
bgd,694,1995
brb,9,1999
blr,237,1993
blr,641,1994
blr,1261,1995
blr,1631,1996
bel,64500,1984
bel,73560,1985
bel,84400,1986
bel,82380,1987
bel,84880,1988
bel,95460,1989
bel,85940,1990
bel,86080,1991
bel,100100,1992
bel,81490,1993
bel,87810,1994
bel,88760,1995
bel,88880,1996
bel,85660,1997
bel,88750,1998
bel,85370,1999
bel,83750,2001
bel,87890,2002
blz,1,1988
bol,1673,1985
bol,580,1995
bih,79,1999
bih,79,2000
bih,42,2001
bra,45460,1985
bra,46410,1986
bra,17570,1994
bra,15760,1995
bra,15430,1996
bra,22380,1999
bra,27310,2001
bra,29250,2002
brn,1384,1993
bgr,25000,1985
bgr,27200,1986
bgr,29850,1987
bgr,30920,1988
bgr,25140,1989
bgr,26610,1990
bgr,1591,1991
bgr,824,1992
bgr,837,1993
bgr,2136,1994
bgr,1858,1995
bgr,2168,1996
bgr,1908,1997
bgr,1754,1998
bgr,2136,1999
bgr,1460,2000
bgr,2160,2001
bgr,2127,2002
bdi,110,1984
bdi,121,1986
bdi,9,1989
bdi,129,1990
bdi,129,1991
bdi,14,1992
bdi,15,1993
bdi,70,1994
bdi,64,1995
bdi,60,1996
can,405200,1984
can,395600,1985
can,236800,1986
can,371000,1987
can,358200,1988
can,346200,1989
can,339200,1990
can,333400,1991
can,331200,1992
can,320000,1993
can,321100,1994
can,301300,1995
can,259400,1996
can,246900,1997
can,235900,1998
can,209300,1999
can,196500,2000
can,183000,2001
can,173800,2002
chl,9661,1984
chl,9121,1985
chl,8555,1986
chl,8223,1987
chl,8077,1988
chl,7985,1989
chl,7878,1990
chl,7879,1991
chl,7756,1992
chl,7000,1995
chl,6300,1996
chl,20310,1997
chn,44,1985
chn,518,1987
chn,18660,1995
chn,20490,1996
chn,49400,1999
chn,34850,2000
chn,49570,2001
chn,65050,2002
mac,33,1992
mac,35,1993
mac,39,1994
mac,42,1995
mac,46,1996
col,417,1998
cri,402,1987
cri,456,1988
cri,326,1989
cri,338,1990
hrv,25,1995
hrv,306,1996
hrv,1436,2001
hrv,1717,2002
cub,1413,1984
cub,3,1987
cub,549,1989
cub,340,1990
cub,388,1991
cub,170,1992
cub,1174,1994
cub,762,1995
cub,1293,1996
cub,1399,1997
cub,1427,1999
cyp,585,1984
cyp,568,1985
cyp,549,1986
cyp,572,1987
cyp,585,1988
cyp,517,1990
cyp,688,1991
cyp,727,1992
cze,15150,1993
cze,10480,1994
cze,6447,1995
cze,6222,1996
cze,6203,1997
cze,7001,1998
cze,7249,1999
cze,7789,2000
cze,8315,2001
cze,9271,2002
cheslo,108400,1986
cheslo,113700,1987
cheslo,118800,1988
cheslo,120900,1989
cheslo,124600,1990
cheslo,18580,1992
cod,2442,1984
cod,2494,1986
cod,2639,1988
cod,1717,1994
cod,615,1995
cod,644,1996
dnk,9569,1986
dnk,8386,1987
dnk,9674,1988
dnk,10960,1989
dnk,11760,1990
dnk,12210,1991
dnk,14210,1992
dnk,16470,1993
dnk,19220,1994
dnk,23010,1995
dnk,26350,1996
dnk,29320,1997
dnk,35190,2001
dnk,37670,2002
dma,42,1995
dom,1313,1986
ecu,597,1986
ecu,625,1987
ecu,645,1988
ecu,623,1989
ecu,342,1991
ecu,372,1992
ecu,371,1993
ecu,280,1994
ecu,90,1995
ecu,159,1996
ecu,639,2002
egy,7676,1996
slv,322,1989
slv,258,1993
slv,349,1994
est,22,1996
est,130,1997
est,212,1998
est,320,1999
est,390,2000
est,560,2001
est,871,2002
eth,1,1999
eth,4,2000
fji,328,1985
fji,141,1986
fin,10750,1984
fin,11280,1985
fin,12110,1986
fin,13130,1987
fin,14210,1988
fin,14960,1989
fin,16580,1990
fin,16630,1991
fin,18370,1992
fin,18720,1993
fin,18950,1994
fin,19200,1995
fin,19530,1996
fin,19880,1997
fin,20270,1998
fra,252700,1984
fra,239800,1985
fra,266500,1986
fra,265700,1987
fra,267200,1988
fra,234100,1989
fra,250100,1990
fra,114200,1991
fra,296300,1992
fra,296400,1993
fra,314400,1994
fra,454900,1995
fra,314800,1996
fra,324300,1997
fra,326400,1998
fra,345800,1999
fra,371400,2000
fra,358400,2002
geo,19,1993
geo,192,1994
geo,266,1995
geo,608,1996
geo,961,1998
geo,728,1999
geo,1163,2000
geo,843,2001
geo,735,2002
deu_east,75090,1984
deu_east,72430,1985
deu_east,74220,1986
deu_east,79650,1987
deu_east,85170,1988
deu_east,90990,1989
deu_east,118100,1990
deu,244500,1991
deu,253300,1992
deu,261200,1993
deu,275300,1994
deu,292000,1995
deu,316300,1996
deu,337200,1997
deu,354900,1998
deu,371800,1999
deu,377000,2000
deu,371900,2001
deu,376700,2002
deu_west,137600,1984
deu_west,177900,1985
deu_west,141900,1986
deu_west,212900,1987
deu_west,227100,1988
deu_west,219200,1989
deu_west,232800,1990
gha,730,1984
gha,176,1990
grc,6174,1993
grc,5731,1995
grc,5182,1996
grc,25130,2002
gtm,1610,1988
gtm,1458,1989
gtm,1416,1990
gtm,1390,1991
gtm,1317,1992
guy,432,1984
guy,355,1985
guy,367,1986
guy,226,1988
guy,240,1989
guy,218,1990
hti,79,1984
hti,158,1985
hti,106,1986
hti,153,1987
hti,130,1988
hnd,772,1984
hnd,351,1985
hnd,720,1987
hnd,620,1988
hnd,509,1990
hnd,441,1991
hnd,465,1992
hnd,115,1995
hnd,101,1996
hnd,198,1999
hnd,375,2000
hnd,639,2001
hnd,747,2002
hun,16250,1984
hun,17420,1985
hun,18700,1986
hun,19300,1987
hun,19450,1988
hun,19870,1989
hun,19430,1991
hun,13800,1995
hun,11450,1996
hun,10950,1997
hun,10900,1998
hun,11440,1999
hun,11440,2000
hun,10190,2001
hun,10780,2002
isl,228,1984
isl,192,1985
isl,237,1986
isl,226,1987
isl,250,1988
isl,290,1989
isl,324,1990
isl,317,1991
isl,339,1992
isl,314,1993
isl,296,1994
isl,286,1995
isl,267,1996
isl,261,1997
isl,275,1998
isl,248,1999
isl,237,2000
isl,249,2001
isl,245,2002
ind,7702,1985
ind,13060,1986
ind,14880,1987
ind,13100,1988
ind,13790,1989
ind,10550,1990
ind,11130,1991
ind,10030,1992
ind,9765,1993
ind,9309,1994
ind,9448,1996
ind,8639,1999
irn,8468,1995
irq,808,1984
irq,804,1985
irq,783,1986
irq,854,1987
irq,911,1988
irq,913,1989
irq,1119,1992
irq,1122,1993
irq,1120,1994
irq,1122,1995
irq,1168,1996
irl,7791,1984
irl,7728,1985
irl,8139,1986
irl,8118,1987
irl,6960,1988
irl,6794,1989
irl,6505,1990
irl,6279,1991
irl,6109,1992
irl,6893,1993
irl,9392,1994
irl,12220,1995
irl,15120,1996
irl,18510,1997
irl,23210,1999
irl,36860,2001
irl,32580,2002
isr,9086,1984
isr,9267,1985
isr,9311,1986
isr,10070,1987
isr,10250,1988
isr,12070,1989
isr,10200,1990
isr,10860,1991
isr,11840,1992
isr,12180,1993
isr,12140,1994
isr,11870,1995
isr,12020,1996
isr,12020,1997
isr,12020,1998
isr,12040,1999
jam,648,1984
jam,754,1987
jam,491,1990
jam,422,1991
jam,418,1992
jam,233,1995
jpn,439500,1984
jpn,501700,1985
jpn,561600,1986
jpn,550400,1987
jpn,531200,1988
jpn,542500,1989
jpn,589800,1990
jpn,579700,1991
jpn,601600,1992
jpn,631100,1993
jpn,652400,1994
jpn,681500,1995
jpn,830600,1996
jpn,870900,1997
jpn,935900,1998
jpn,1005000,1999
jpn,1041000,2000
jpn,1079000,2001
jpn,1096000,2002
kaz,325,1993
kaz,1676,1994
kaz,2961,1995
kaz,4116,1996
kaz,5337,1997
kaz,5830,1998
kaz,6658,1999
kaz,3717,2000
kaz,3945,2001
ken,1831,1984
ken,1929,1985
ken,2036,1986
ken,2144,1987
ken,2200,1988
ken,2265,1989
ken,1777,1991
ken,384,1996
ken,136,1997
kir,17,1999
prk,21400,1986
prk,23960,1987
prk,26640,1988
prk,29300,1989
prk,31970,1990
prk,121,1991
prk,141,1992
kor,11980,1984
kor,12940,1985
kor,13810,1986
kor,14900,1987
kor,15450,1988
kor,16920,1989
kor,24800,1990
kor,28270,1991
kor,39490,1992
kor,47700,1993
kor,54860,1994
kor,63020,1995
kor,74380,1996
kor,215900,2000
kor,244500,2001
kgz,93,1994
kgz,216,1995
kgz,355,1996
kgz,488,1997
kgz,579,1998
kgz,501,1999
kgz,446,2000
kgz,315,2001
kgz,304,2002
lva,354,1993
lva,715,1994
lva,1295,1995
lva,1886,1996
lva,2160,1998
lva,1883,1999
lva,1903,2000
lva,2127,2001
lso,350,1989
lso,15,1995
lbr,490,1991
ltu,13,1992
ltu,389,1993
ltu,666,1994
ltu,1118,1995
ltu,1336,1996
ltu,1296,1997
ltu,1219,1998
ltu,1137,1999
ltu,1047,2000
ltu,939,2001
ltu,840,2002
lux,16960,1984
lux,15580,1985
lux,15370,1986
lux,17480,1987
lux,17710,1988
lux,19440,1989
lux,21900,1990
lux,23130,1991
lux,27780,1994
lux,31240,1997
lux,30680,1998
lux,30500,1999
lux,29580,2000
lux,25540,2001
mdg,25,1995
mdg,49,1996
mdg,81,1999
mdg,187,2000
mdg,203,2001
mdg,165,2002
mwi,300,1984
mwi,315,1985
mwi,252,1986
mwi,240,1987
mwi,294,1988
mwi,326,1989
mwi,288,1990
mwi,350,1991
mwi,383,1992
mwi,387,1993
mwi,391,1994
mwi,409,1995
mwi,545,1996
mwi,546,1997
mwi,631,1998
mwi,817,2000
mwi,907,2001
mwi,995,2002
mys,2840,1992
mys,4124,1993
mys,5752,1994
mlt,97,1984
mlt,93,1985
mlt,83,1986
mlt,73,1987
mlt,77,1988
mlt,617,1989
mlt,622,1990
mlt,134,1991
mlt,146,1993
mlt,129,1994
mlt,130,1995
mlt,110,1996
mlt,158,1997
mlt,110,1998
mlt,237,1999
mlt,332,2000
mlt,443,2001
mlt,593,2002
mus,186,1984
mus,187,1985
mus,176,1986
mus,154,1987
mus,203,1988
mus,209,1989
mus,212,1990
mus,142,1991
mus,120,1992
mus,119,1993
mus,116,1994
mus,114,1995
mus,136,1996
mus,113,1997
mus,96,1998
mex,40330,1984
mex,47910,1985
mex,40590,1986
mex,32130,1987
mex,32520,1988
mex,26400,1989
mex,23220,1990
mex,18160,1991
mex,18730,1992
mex,24780,1993
mex,17910,1994
mex,28840,1995
mex,32030,1996
mex,34800,1997
mex,36820,1998
mex,38960,1999
mex,20410,2000
mex,23300,2001
mex,31890,2002
mda,39,1994
mda,266,1995
mda,501,1996
mda,653,1997
mda,774,1998
mda,1006,1999
mda,1216,2000
mda,1202,2001
mda,842,2002
mco,329,1984
mco,397,1985
mco,324,1986
mco,337,1987
mco,408,1988
mco,419,1989
mco,416,1990
mco,396,1991
mco,441,1992
mco,461,1993
mco,422,1994
mco,365,1995
mco,329,1996
mco,3907,1997
mco,241,1998
mco,6287,1999
mco,6519,2000
mco,9499,2001
mco,26030,2002
mng,255,1984
mng,274,1985
mng,400,1987
mng,409,1988
mng,460,1989
mng,497,1990
mng,61,1991
mng,122,1992
mng,172,1993
mng,233,1994
mng,318,1995
mng,443,1996
mng,552,1997
mng,1177,2001
mng,163,2002
mar,7221,1984
mar,6887,1986
mar,6013,1988
mar,6674,1989
mar,6623,1990
mar,6593,1992
mar,6614,1993
mar,6615,1994
mar,6614,1995
mar,6587,1996
mar,6331,1998
nam,1082,1990
nam,1151,1991
npl,27,1989
npl,29,1992
npl,31,1993
nld,38240,1984
nld,44340,1985
nld,51830,1986
nld,57680,1987
nld,62990,1988
nld,69330,1989
nld,76130,1990
nld,81600,1991
nld,88750,1992
nld,94380,1993
nld,99060,1994
nld,102600,1995
nld,107000,1996
nld,112200,1997
nld,117500,1998
nld,120700,1999
