geo,personal_computers_per_100_people,time
afg,0.28,2005
afg,0.32,2006
alb,0.16,1996
alb,0.32,1997
alb,0.49,1998
alb,0.65,1999
alb,0.82,2000
alb,0.98,2001
alb,1.17,2002
alb,1.36,2003
alb,1.54,2004
alb,1.73,2005
alb,3.81,2006
dza,0.1,1990
dza,0.15,1991
dza,0.18,1992
dza,0.22,1993
dza,0.26,1994
dza,0.3,1995
dza,0.45,1996
dza,0.48,1997
dza,0.54,1998
dza,0.6,1999
dza,0.66,2000
dza,0.71,2001
dza,0.77,2002
dza,0.83,2003
dza,0.9,2004
dza,1.07,2005
ago,0.06,1997
ago,0.08,1998
ago,0.09,1999
ago,0.11,2000
ago,0.12,2001
ago,0.18,2002
ago,0.59,2005
ago,0.7,2006
aia,12.69,2003
aia,14.72,2004
aia,20.49,2005
atg,10.31,2001
atg,11.44,2002
atg,12.56,2003
atg,13.66,2004
atg,14.85,2005
atg,21.21,2006
arg,0.72,1990
arg,0.88,1991
arg,0.99,1992
arg,1.36,1993
arg,3.44,1994
arg,3.57,1995
arg,4.15,1996
arg,4.78,1997
arg,5.3,1998
arg,5.75,1999
arg,6.94,2000
arg,7.78,2001
arg,7.97,2002
arg,8.16,2003
arg,8.34,2004
arg,9.03,2005
arm,0.29,1997
arm,0.48,1998
arm,0.65,1999
arm,0.81,2000
arm,1.14,2001
arm,1.97,2002
arm,3.39,2003
arm,6.61,2004
arm,9.85,2005
abw,7.97,2005
abw,9.93,2006
aus,15.15,1990
aus,16.22,1991
aus,18.59,1992
aus,20.92,1993
aus,24.19,1994
aus,27.75,1995
aus,29.18,1996
aus,33.17,1997
aus,37.06,1998
aus,42.45,1999
aus,47.19,2000
aus,51.83,2001
aus,56.89,2002
aus,60.83,2003
aut,6.47,1990
aut,7.7,1991
aut,8.91,1992
aut,10.08,1993
aut,11.25,1994
aut,16.16,1995
aut,17.34,1996
aut,21.02,1997
aut,23.49,1998
aut,28.43,1999
aut,35.82,2000
aut,41.93,2001
aut,47.98,2002
aut,55.22,2003
aut,57.87,2004
aut,61.01,2005
aze,0.7,2001
aze,1.02,2002
aze,1.49,2003
aze,1.78,2004
aze,2.31,2005
aze,2.09,2006
bhs,9.03,2002
bhs,9.86,2003
bhs,10.67,2004
bhs,12.38,2005
bhr,5.01,1995
bhr,6.63,1996
bhr,8.04,1997
bhr,9.37,1998
bhr,14.16,1999
bhr,14.14,2000
bhr,14.6,2001
bhr,15.38,2002
bhr,16.15,2003
bhr,16.9,2004
bhr,17.62,2005
bhr,18.28,2006
bgd,0.02,1997
bgd,0.1,1998
bgd,0.1,1999
bgd,0.16,2000
bgd,0.19,2001
bgd,0.34,2002
bgd,0.77,2003
bgd,1.19,2004
bgd,1.59,2005
bgd,2.42,2006
brb,5.72,1995
brb,6.09,1996
brb,6.82,1997
brb,7.56,1998
brb,7.91,1999
brb,8.27,2000
brb,9.37,2001
brb,10.47,2002
brb,11.56,2003
brb,12.64,2004
brb,14.84,2005
blr,0.81,2005
bel,8.79,1990
bel,9.95,1991
bel,11.96,1992
bel,13.91,1993
bel,15.84,1994
bel,17.76,1995
bel,19.17,1996
bel,20.57,1997
bel,21.48,1998
bel,21.9,1999
bel,22.32,2000
bel,23.23,2001
bel,27.04,2002
bel,31.8,2003
bel,34.88,2004
bel,37.95,2005
bel,42.16,2006
blz,2.8,1995
blz,4.55,1996
blz,6.65,1997
blz,8.66,1998
blz,10.56,1999
blz,12.38,2000
blz,13.32,2001
blz,13.81,2002
blz,14.29,2003
blz,14.75,2004
blz,15.2,2005
blz,15.63,2006
ben,0.05,1995
ben,0.06,1996
ben,0.08,1997
ben,0.1,1998
ben,0.13,1999
ben,0.14,2000
ben,0.15,2001
ben,0.2,2002
ben,0.33,2003
ben,0.37,2004
ben,0.38,2005
ben,0.57,2006
bmu,32.56,1995
bmu,35.65,1996
bmu,38.7,1997
bmu,41.73,1998
bmu,44.74,1999
bmu,47.72,2000
bmu,50.68,2001
bmu,53.61,2002
bmu,22.29,2004
btn,0.14,1998
btn,0.16,1999
btn,0.26,2000
btn,0.35,2001
btn,0.49,2002
btn,0.48,2003
btn,0.52,2004
btn,0.6,2005
btn,1.79,2006
bol,0.22,1991
bol,0.24,1992
bol,0.28,1993
bol,0.3,1994
bol,0.33,1995
bol,0.37,1996
bol,0.38,1997
bol,0.75,1998
bol,1.23,1999
bol,1.68,2000
bol,2.0,2001
bol,2.19,2002
bol,2.26,2003
bol,2.33,2004
bol,2.4,2005
bih,3.67,2001
bih,3.98,2002
bih,4.39,2003
bih,4.91,2004
bih,5.43,2005
bih,6.19,2006
bwa,0.63,1994
bwa,0.93,1995
bwa,1.21,1996
bwa,1.78,1997
bwa,2.34,1998
bwa,2.88,1999
bwa,3.42,2000
bwa,3.68,2001
bwa,3.95,2002
bwa,4.23,2003
bwa,4.52,2004
bwa,4.87,2005
bwa,5.11,2006
bra,0.3,1990
bra,0.43,1991
bra,0.62,1992
bra,0.83,1993
bra,1.13,1994
bra,1.67,1995
bra,2.08,1996
bra,2.53,1997
bra,2.96,1998
bra,3.56,1999
bra,4.89,2000
bra,6.12,2001
bra,7.27,2002
bra,8.63,2003
bra,13.05,2004
bra,16.09,2005
brn,1.1,1992
brn,1.79,1993
brn,2.78,1994
brn,3.73,1995
brn,4.3,1996
brn,4.83,1997
brn,5.35,1998
brn,6.14,1999
brn,6.9,2000
brn,7.32,2001
brn,7.73,2002
brn,8.11,2003
brn,8.48,2004
brn,8.83,2005
bgr,1.05,1992
bgr,1.18,1993
bgr,1.43,1994
bgr,1.69,1995
bgr,1.95,1996
bgr,2.21,1997
bgr,2.47,1998
bgr,2.73,1999
bgr,4.52,2000
bgr,4.78,2001
bgr,5.13,2002
bgr,5.51,2003
bgr,5.93,2004
bfa,0.01,1990
bfa,0.02,1993
bfa,0.02,1994
bfa,0.03,1995
bfa,0.05,1996
bfa,0.08,1997
bfa,0.09,1998
bfa,0.11,1999
bfa,0.13,2000
bfa,0.26,2001
bfa,0.42,2002
bfa,0.48,2003
bfa,0.55,2004
bfa,0.6,2005
bfa,0.66,2006
bdi,0.06,2000
bdi,0.06,2001
bdi,0.06,2002
bdi,0.18,2003
bdi,0.47,2004
bdi,0.73,2005
bdi,0.83,2006
khm,0.04,1995
khm,0.06,1996
khm,0.08,1997
khm,0.09,1998
khm,0.1,1999
khm,0.12,2000
khm,0.15,2001
khm,0.2,2002
khm,0.24,2003
khm,0.28,2004
khm,0.31,2005
khm,0.33,2006
cmr,0.15,1995
cmr,0.18,1996
cmr,0.22,1997
cmr,0.25,1998
cmr,0.27,1999
cmr,0.34,2000
cmr,0.4,2001
cmr,0.58,2002
cmr,0.76,2003
cmr,1.0,2004
cmr,1.23,2005
