geo,pertussis_deaths_in_children_1_59_months_per_1000_births,time
afg,0.8616,2008
alb,0.0,2008
dza,0.5893,2008
ago,2.679,2008
arg,0.07254,2008
arm,0.0,2008
aus,0.0,2008
aut,0.0,2008
aze,0.2172,2008
bhs,0.0,2008
bhr,0.0,2008
bgd,0.5047,2008
brb,0.0,2008
blr,0.0,2008
bel,0.01681,2008
blz,0.0,2008
ben,4.064,2008
btn,0.4747,2008
bol,0.997,2008
bih,0.0,2008
bwa,0.0,2008
bra,0.01159,2008
brn,0.0,2008
bgr,0.0,2008
bfa,1.133,2008
bdi,0.5657,2008
khm,0.03321,2008
cmr,0.9542,2008
can,0.0,2008
cpv,0.3323,2008
caf,5.307,2008
tcd,8.573,2008
chl,0.05971,2008
chn,0.02211,2008
col,0.0196,2008
com,1.212,2008
cog,0.8637,2008
cri,0.09279,2008
civ,1.284,2008
hrv,0.0,2008
cub,0.0,2008
cyp,0.0,2008
cze,0.0,2008
prk,0.7091,2008
cod,3.765,2008
dnk,0.0,2008
dji,0.8684,2008
dom,0.04015,2008
ecu,0.0,2008
egy,0.07692,2008
slv,0.0,2008
gnq,5.985,2008
eri,0.3735,2008
est,0.0,2008
eth,1.143,2008
fji,0.0,2008
fin,0.0,2008
fra,0.00133,2008
gab,2.503,2008
gmb,0.4256,2008
geo,0.0,2008
deu,0.0,2008
gha,0.7997,2008
grc,0.0,2008
grd,0.0,2008
gtm,0.6893,2008
gin,4.108,2008
gnb,4.355,2008
guy,0.0,2008
hti,5.641,2008
hnd,0.01985,2008
hun,0.0,2008
isl,0.0,2008
ind,3.199,2008
idn,0.0673,2008
irn,0.007927,2008
irq,2.463,2008
irl,0.01447,2008
isr,0.03574,2008
ita,0.0,2008
jam,0.01908,2008
jpn,0.0,2008
jor,0.0,2008
kaz,0.0,2008
ken,0.9507,2008
kwt,0.0,2008
kgz,0.01663,2008
lao,0.265,2008
lva,0.0,2008
lbn,0.06066,2008
lso,0.9605,2008
lbr,4.476,2008
lby,0.0,2008
ltu,0.0,2008
lux,0.0,2008
mdg,1.087,2008
mwi,0.5897,2008
mys,0.01634,2008
mdv,0.0,2008
mli,3.898,2008
mlt,0.0,2008
mrt,1.371,2008
mus,0.0,2008
mex,0.002929,2008
fsm,0.0,2008
mng,0.02015,2008
mne,0.0,2008
mar,0.3109,2008
moz,1.402,2008
mmr,0.9297,2008
nam,1.021,2008
npl,1.044,2008
nld,0.0,2008
nzl,0.01716,2008
nic,0.1572,2008
ner,4.337,2008
nga,5.367,2008
nor,0.0,2008
omn,0.0,2008
pak,1.345,2008
pan,0.3564,2008
png,0.3045,2008
pry,0.01952,2008
per,0.0,2008
phl,0.03444,2008
pol,0.0,2008
prt,0.0,2008
qat,0.0,2008
kor,0.0,2008
mda,0.0,2008
rou,0.0,2008
rus,0.001294,2008
rwa,0.3524,2008
lca,0.0,2008
vct,0.0,2008
wsm,0.0,2008
stp,0.1943,2008
sau,0.0,2008
sen,0.7443,2008
srb,0.0,2008
sle,4.705,2008
sgp,0.0,2008
svk,0.0,2008
svn,0.0,2008
slb,0.06427,2008
som,7.566,2008
zaf,0.0009163,2008
esp,0.002036,2008
lka,0.01642,2008
sdn,0.9136,2008
sur,0.0,2008
swz,0.4852,2008
swe,0.0,2008
che,0.0,2008
syr,0.001694,2008
tjk,0.04667,2008
tha,0.01536,2008
mkd,0.0,2008
tgo,0.7709,2008
ton,0.0,2008
tto,0.0,2008
tun,0.0,2008
tur,0.02374,2008
tkm,0.01807,2008
uga,4.416,2008
ukr,0.00654,2008
are,0.0,2008
gbr,0.00673,2008
tza,0.8508,2008
usa,0.008411,2008
ury,0.0,2008
uzb,0.01627,2008
vut,0.0,2008
ven,0.01671,2008
vnm,0.02946,2008
yem,4.028,2008
zmb,1.047,2008
zwe,4.787,2008
