geo,pertussis_deaths_in_children_1_59_months_total_deaths,time
afg,1093,2008
alb,0,2008
dza,421,2008
ago,2073,2008
arg,50,2008
arm,0,2008
aus,0,2008
aut,0,2008
aze,36,2008
bhs,0,2008
bhr,0,2008
bgd,1731,2008
brb,0,2008
blr,0,2008
bel,2,2008
blz,0,2008
ben,1389,2008
btn,7,2008
bol,262,2008
bih,0,2008
bwa,0,2008
bra,36,2008
brn,0,2008
bgr,0,2008
bfa,817,2008
bdi,157,2008
khm,12,2008
cmr,672,2008
can,0,2008
cpv,4,2008
caf,817,2008
tcd,4273,2008
chl,15,2008
chn,401,2008
col,18,2008
com,26,2008
cog,108,2008
cri,7,2008
civ,927,2008
hrv,0,2008
cub,0,2008
cyp,0,2008
cze,0,2008
prk,232,2008
cod,10870,2008
dnk,0,2008
dji,21,2008
dom,9,2008
ecu,0,2008
egy,155,2008
slv,0,2008
gnq,150,2008
eri,68,2008
est,0,2008
eth,3535,2008
fji,0,2008
fin,0,2008
fra,1,2008
gab,99,2008
gmb,26,2008
geo,0,2008
deu,0,2008
gha,605,2008
grc,0,2008
grd,0,2008
gtm,312,2008
gin,1611,2008
gnb,283,2008
guy,0,2008
hti,1541,2008
hnd,4,2008
hun,0,2008
isl,0,2008
ind,86090,2008
idn,284,2008
irn,11,2008
irq,2325,2008
irl,1,2008
isr,5,2008
ita,0,2008
jam,1,2008
jpn,0,2008
jor,0,2008
kaz,0,2008
ken,1432,2008
kwt,0,2008
kgz,2,2008
lao,45,2008
lva,0,2008
lbn,4,2008
lso,57,2008
lbr,651,2008
lby,0,2008
ltu,0,2008
lux,0,2008
mdg,747,2008
mwi,353,2008
mys,9,2008
mdv,0,2008
mli,2114,2008
mlt,0,2008
mrt,148,2008
mus,0,2008
mex,6,2008
fsm,0,2008
mng,1,2008
mne,0,2008
mar,201,2008
moz,1229,2008
mmr,948,2008
nam,60,2008
npl,764,2008
nld,0,2008
nzl,1,2008
nic,22,2008
ner,3429,2008
nga,32350,2008
nor,0,2008
omn,0,2008
pak,7180,2008
pan,25,2008
png,63,2008
pry,3,2008
per,0,2008
phl,77,2008
pol,0,2008
prt,0,2008
qat,0,2008
kor,0,2008
mda,0,2008
rou,0,2008
rus,2,2008
rwa,142,2008
lca,0,2008
vct,0,2008
wsm,0,2008
stp,1,2008
sau,0,2008
sen,350,2008
srb,0,2008
sle,1050,2008
sgp,0,2008
svk,0,2008
svn,0,2008
slb,1,2008
som,2991,2008
zaf,1,2008
esp,1,2008
lka,6,2008
sdn,1184,2008
sur,0,2008
swz,17,2008
swe,0,2008
che,0,2008
syr,1,2008
tjk,9,2008
tha,15,2008
mkd,0,2008
tgo,164,2008
ton,0,2008
tto,0,2008
tun,0,2008
tur,32,2008
tkm,2,2008
uga,6472,2008
ukr,3,2008
are,0,2008
gbr,5,2008
tza,1507,2008
usa,37,2008
ury,0,2008
uzb,9,2008
vut,0,2008
ven,10,2008
vnm,44,2008
yem,3407,2008
zmb,568,2008
zwe,1808,2008
