geo,population_aged_0_4_years_both_sexes_percent,time
afg,17.58,1950
afg,16.95,1955
afg,17.29,1960
afg,17.63,1965
afg,17.97,1970
afg,18.18,1975
afg,18.36,1980
afg,18.65,1985
afg,18.9,1990
afg,19.15,1995
afg,19.13,2000
afg,18.58,2005
afg,17.74,2010
afg,17.44,2015
afg,17.01,2020
afg,16.32,2025
afg,15.33,2030
afg,14.21,2035
afg,13.15,2040
afg,12.22,2045
afg,11.4,2050
alb,14.25,1950
alb,15.87,1955
alb,17.38,1960
alb,16.91,1965
alb,15.06,1970
alb,13.99,1975
alb,12.87,1980
alb,12.2,1985
alb,11.82,1990
alb,10.56,1995
alb,9.452,2000
alb,7.141,2005
alb,7.037,2010
alb,7.272,2015
alb,7.278,2020
alb,6.712,2025
alb,5.912,2030
alb,5.399,2035
alb,5.352,2040
alb,5.433,2045
alb,5.359,2050
dza,15.88,1950
dza,16.75,1955
dza,18.15,1960
dza,19.51,1965
dza,19.45,1970
dza,18.76,1975
dza,17.86,1980
dza,17.38,1985
dza,15.18,1990
dza,12.87,1995
dza,9.897,2000
dza,9.607,2005
dza,9.701,2010
dza,9.473,2015
dza,8.794,2020
dza,7.796,2025
dza,6.888,2030
dza,6.378,2035
dza,6.218,2040
dza,6.234,2045
dza,6.108,2050
ago,16.96,1950
ago,18.38,1955
ago,18.87,1960
ago,19.2,1965
ago,19.18,1970
ago,19.03,1975
ago,19.48,1980
ago,19.71,1985
ago,19.83,1990
ago,19.7,1995
ago,18.67,2000
ago,18.44,2005
ago,17.08,2010
ago,16.63,2015
ago,15.83,2020
ago,14.81,2025
ago,13.71,2030
ago,12.7,2035
ago,11.85,2040
ago,11.12,2045
ago,10.42,2050
arg,11.35,1950
arg,11.27,1955
arg,10.96,1960
arg,10.51,1965
arg,10.23,1970
arg,10.64,1975
arg,11.71,1980
arg,10.67,1985
arg,10.28,1990
arg,9.928,1995
arg,9.286,2000
arg,8.575,2005
arg,8.363,2010
arg,8.024,2015
arg,7.584,2020
arg,7.114,2025
arg,6.677,2030
arg,6.291,2035
arg,6.156,2040
arg,6.007,2045
arg,5.834,2050
arm,11.09,1950
arm,15.04,1955
arm,16.97,1960
arm,15.69,1965
arm,11.6,1970
arm,10.65,1975
arm,10.68,1980
arm,11.32,1985
arm,10.98,1990
arm,8.97,1995
arm,6.402,2000
arm,6.828,2005
arm,7.344,2010
arm,7.42,2015
arm,6.801,2020
arm,6.001,2025
arm,5.552,2030
arm,5.494,2035
arm,5.579,2040
arm,5.554,2045
arm,5.336,2050
abw,18.92,1950
abw,18.6,1955
abw,16.0,1960
abw,15.38,1965
abw,12.07,1970
abw,10.17,1975
abw,8.333,1980
abw,10.77,1985
abw,9.524,1990
abw,8.75,1995
abw,7.865,2000
abw,6.061,2005
abw,5.556,2010
abw,5.455,2015
abw,5.357,2020
abw,6.195,2025
abw,5.31,2030
abw,5.357,2035
abw,5.455,2040
abw,5.455,2045
abw,5.66,2050
aus,10.77,1950
aus,10.71,1955
aus,10.63,1960
aus,10.28,1965
aus,9.492,1970
aus,9.204,1975
aus,7.702,1980
aus,7.569,1985
aus,7.372,1990
aus,7.17,1995
aus,6.651,2000
aus,6.301,2005
aus,6.304,2010
aus,6.167,2015
aus,6.036,2020
aus,5.906,2025
aus,5.742,2030
aus,5.604,2035
aus,5.545,2040
aus,5.536,2045
aus,5.521,2050
aut,7.439,1950
aut,6.986,1955
aut,8.039,1960
aut,8.802,1965
aut,8.168,1970
aut,6.611,1975
aut,5.712,1980
aut,5.952,1985
aut,5.708,1990
aut,5.784,1995
aut,5.159,2000
aut,4.835,2005
aut,4.603,2010
aut,4.536,2015
aut,4.591,2020
aut,4.605,2025
aut,4.551,2030
aut,4.445,2035
aut,4.435,2040
aut,4.527,2045
aut,4.698,2050
aze,10.36,1950
aze,14.59,1955
aze,18.58,1960
aze,18.28,1965
aze,14.56,1970
aze,12.29,1975
aze,11.46,1980
aze,12.12,1985
aze,13.06,1990
aze,11.55,1995
aze,8.609,2000
aze,7.915,2005
aze,8.8,2010
aze,8.731,2015
aze,7.85,2020
aze,6.733,2025
aze,6.025,2030
aze,5.895,2035
aze,5.979,2040
aze,5.88,2045
aze,5.578,2050
bhs,15.19,1950
bhs,15.91,1955
bhs,17.59,1960
bhs,18.31,1965
bhs,15.79,1970
bhs,14.29,1975
bhs,12.38,1980
bhs,12.45,1985
bhs,11.07,1990
bhs,11.03,1995
bhs,10.2,2000
bhs,8.642,2005
bhs,8.116,2010
bhs,7.629,2015
bhs,7.292,2020
bhs,6.965,2025
bhs,6.49,2030
bhs,6.265,2035
bhs,5.909,2040
bhs,5.791,2045
bhs,5.702,2050
bhr,17.39,1950
bhr,17.78,1955
bhr,17.83,1960
bhr,20.94,1965
bhr,17.51,1970
bhr,14.91,1975
bhr,12.68,1980
bhr,11.86,1985
bhr,11.79,1990
bhr,11.59,1995
bhr,9.509,2000
bhr,9.341,2005
bhr,8.653,2010
bhr,7.946,2015
bhr,7.15,2020
bhr,6.66,2025
bhr,6.452,2030
bhr,6.206,2035
bhr,5.927,2040
bhr,5.641,2045
bhr,5.486,2050
bgd,15.47,1950
bgd,17.22,1955
bgd,17.39,1960
bgd,17.66,1965
bgd,17.85,1970
bgd,18.07,1975
bgd,18.0,1980
bgd,17.12,1985
bgd,15.37,1990
bgd,13.75,1995
bgd,12.58,2000
bgd,11.39,2005
bgd,9.903,2010
bgd,9.236,2015
bgd,8.67,2020
bgd,8.051,2025
bgd,7.398,2030
bgd,6.803,2035
bgd,6.412,2040
bgd,6.197,2045
bgd,5.984,2050
brb,12.32,1950
brb,13.72,1955
brb,13.79,1960
brb,13.98,1965
brb,10.92,1970
brb,8.943,1975
brb,8.468,1980
brb,8.235,1985
brb,7.722,1990
brb,6.95,1995
brb,5.929,2000
brb,5.556,2005
brb,5.469,2010
brb,5.426,2015
brb,5.364,2020
brb,4.962,2025
brb,4.615,2030
brb,4.724,2035
brb,4.762,2040
brb,4.898,2045
brb,4.622,2050
blr,8.51,1950
blr,10.41,1955
blr,11.85,1960
blr,10.61,1965
blr,8.273,1970
blr,7.976,1975
blr,7.713,1980
blr,8.13,1985
blr,7.865,1990
blr,5.951,1995
blr,4.704,2000
blr,4.654,2005
blr,4.994,2010
blr,4.938,2015
blr,4.675,2020
blr,4.339,2025
blr,4.041,2030
blr,3.996,2035
blr,4.156,2040
blr,4.308,2045
blr,4.329,2050
bel,8.032,1950
bel,7.829,1955
bel,8.193,1960
bel,8.242,1965
bel,7.456,1970
bel,6.678,1975
bel,6.105,1980
bel,6.032,1985
bel,5.91,1990
bel,5.949,1995
bel,5.592,2000
bel,5.424,2005
bel,5.654,2010
bel,5.552,2015
bel,5.539,2020
bel,5.433,2025
bel,5.309,2030
bel,5.228,2035
bel,5.236,2040
bel,5.282,2045
bel,5.308,2050
blz,15.94,1950
blz,20.51,1955
blz,19.15,1960
blz,18.1,1965
blz,18.03,1970
blz,17.91,1975
blz,16.67,1980
blz,17.79,1985
blz,16.75,1990
blz,15.98,1995
blz,14.29,2000
blz,12.77,2005
blz,11.46,2010
blz,10.79,2015
blz,9.893,2020
blz,8.933,2025
blz,8.14,2030
blz,7.285,2035
blz,6.78,2040
blz,6.721,2045
blz,6.324,2050
ben,13.71,1950
ben,14.36,1955
ben,15.43,1960
ben,16.56,1965
ben,17.3,1970
ben,17.7,1975
ben,18.15,1980
ben,18.32,1985
ben,18.24,1990
ben,17.89,1995
ben,17.56,2000
ben,16.93,2005
ben,16.59,2010
ben,15.88,2015
ben,14.8,2020
ben,13.7,2025
ben,12.71,2030
ben,11.86,2035
ben,11.08,2040
ben,10.32,2045
ben,9.599,2050
btn,17.86,1950
btn,16.84,1955
btn,17.33,1960
