geo,population_aged_15_19_years_male_percent,time
afg,10.28,1950
afg,10.41,1955
afg,10.53,1960
afg,10.83,1965
afg,10.25,1970
afg,10.31,1975
afg,10.36,1980
afg,10.46,1985
afg,10.5,1990
afg,10.48,1995
afg,10.59,2000
afg,10.77,2005
afg,11.04,2010
afg,11.21,2015
afg,11.08,2020
afg,10.76,2025
afg,10.85,2030
afg,10.95,2035
afg,10.92,2040
afg,10.66,2045
afg,10.24,2050
alb,10.02,1950
alb,10.65,1955
alb,9.642,1960
alb,8.976,1965
alb,9.907,1970
alb,11.28,1975
alb,11.76,1980
alb,10.61,1985
alb,9.959,1990
alb,8.561,1995
alb,9.371,2000
alb,10.38,2005
alb,10.1,2010
alb,8.978,2015
alb,6.707,2020
alb,6.663,2025
alb,7.07,2030
alb,7.272,2035
alb,6.917,2040
alb,6.127,2045
alb,5.652,2050
dza,9.879,1950
dza,9.884,1955
dza,9.696,1960
dza,9.918,1965
dza,10.58,1970
dza,10.59,1975
dza,11.07,1980
dza,11.11,1985
dza,11.07,1990
dza,11.54,1995
dza,12.34,2000
dza,11.51,2005
dza,10.14,2010
dza,7.849,2015
dza,7.721,2020
dza,8.003,2025
dza,8.079,2030
dza,7.763,2035
dza,7.085,2040
dza,6.395,2045
dza,6.029,2050
ago,10.14,1950
ago,9.942,1955
ago,9.768,1960
ago,9.485,1965
ago,10.12,1970
ago,10.37,1975
ago,10.53,1980
ago,10.47,1985
ago,10.34,1990
ago,10.57,1995
ago,10.8,2000
ago,11.04,2005
ago,11.28,2010
ago,10.95,2015
ago,11.21,2020
ago,10.72,2025
ago,10.86,2030
ago,10.77,2035
ago,10.49,2040
ago,10.06,2045
ago,9.617,2050
arg,9.017,1950
arg,8.355,1955
arg,8.36,1960
arg,8.791,1965
arg,8.96,1970
arg,8.854,1975
arg,8.481,1980
arg,8.299,1985
arg,8.726,1990
arg,9.77,1995
arg,9.014,2000
arg,8.86,2005
arg,8.709,2010
arg,8.274,2015
arg,7.746,2020
arg,7.664,2025
arg,7.485,2030
arg,7.201,2035
arg,6.863,2040
arg,6.531,2045
arg,6.234,2050
arm,11.84,1950
arm,12.87,1955
arm,6.118,1960
arm,7.477,1965
arm,10.73,1970
arm,12.55,1975
arm,12.19,1980
arm,9.442,1985
arm,8.372,1990
arm,8.312,1995
arm,10.17,2000
