geo,population_aged_15_19_years_total_number,time
afg,833000,1950
afg,911000,1955
afg,1006000,1960
afg,1141000,1965
afg,1206000,1970
afg,1365000,1975
afg,1439000,1980
afg,1281000,1985
afg,1315000,1990
afg,1888000,1995
afg,2167000,2000
afg,2629000,2005
afg,3208000,2010
afg,3828000,2015
afg,4376000,2020
afg,4828000,2025
afg,5482000,2030
afg,6168000,2035
afg,6785000,2040
afg,7250000,2045
afg,7557000,2050
alb,121000,1950
alb,145000,1955
alb,153000,1960
alb,167000,1965
alb,212000,1970
alb,270000,1975
alb,306000,1980
alb,308000,1985
alb,326000,1990
alb,273000,1995
alb,291000,2000
alb,313000,2005
alb,306000,2010
alb,279000,2015
alb,212000,2020
alb,214000,2025
alb,229000,2030
alb,234000,2035
alb,220000,2040
alb,194000,2045
alb,176000,2050
dza,876000,1950
dza,978000,1955
dza,1063000,1960
dza,1184000,1965
dza,1395000,1970
dza,1642000,1975
dza,2050000,1980
dza,2426000,1985
dza,2769000,1990
dza,3231000,1995
dza,3721000,2000
dza,3737000,2005
dza,3554000,2010
dza,2956000,2015
dza,3100000,2020
dza,3391000,2025
dza,3568000,2030
dza,3539000,2035
dza,3313000,2040
dza,3055000,2045
dza,2925000,2050
ago,415000,1950
ago,445000,1955
ago,483000,1960
ago,515000,1965
ago,612000,1970
ago,702000,1975
ago,821000,1980
ago,969000,1985
ago,1091000,1990
ago,1312000,1995
ago,1528000,2000
ago,1819000,2005
ago,2125000,2010
ago,2358000,2015
ago,2730000,2020
ago,2926000,2025
ago,3281000,2030
ago,3571000,2035
ago,3782000,2040
ago,3918000,2045
ago,4020000,2050
arg,1568000,1950
arg,1606000,1955
arg,1731000,1960
arg,1942000,1965
arg,2122000,1970
arg,2259000,1975
arg,2331000,1980
arg,2440000,1985
arg,2752000,1990
arg,3293000,1995
arg,3224000,2000
arg,3319000,2005
arg,3423000,2010
arg,3402000,2015
arg,3313000,2020
arg,3394000,2025
arg,3409000,2030
arg,3356000,2035
arg,3261000,2040
arg,3153000,2045
arg,3045000,2050
arm,150000,1950
arm,196000,1955
arm,117000,1960
arm,164000,1965
arm,259000,1970
arm,342000,1975
arm,362000,1980
arm,301000,1985
arm,278000,1990
arm,261000,1995
arm,298000,2000
arm,319000,2005
arm,265000,2010
arm,188000,2015
arm,202000,2020
arm,221000,2025
arm,227000,2030
arm,210000,2035
arm,185000,2040
arm,171000,2045
arm,168000,2050
abw,4000,1950
abw,4000,1955
abw,5000,1960
abw,5000,1965
abw,7000,1970
abw,7000,1975
abw,7000,1980
abw,6000,1985
abw,4000,1990
abw,5000,1995
abw,6000,2000
abw,7000,2005
abw,8000,2010
abw,8000,2015
abw,7000,2020
abw,6000,2025
abw,6000,2030
abw,6000,2035
abw,7000,2040
abw,6000,2045
abw,6000,2050
aus,558000,1950
aus,613000,1955
aus,771000,1960
aus,1031000,1965
aus,1127000,1970
aus,1225000,1975
aus,1308000,1980
aus,1310000,1985
aus,1400000,1990
aus,1271000,1995
aus,1327000,2000
aus,1399000,2005
aus,1449000,2010
aus,1422000,2015
aus,1418000,2020
aus,1488000,2025
aus,1528000,2030
aus,1562000,2035
aus,1593000,2040
aus,1607000,2045
aus,1620000,2050
aut,457000,1950
aut,491000,1955
aut,550000,1960
aut,503000,1965
aut,496000,1970
aut,586000,1975
aut,654000,1980
aut,623000,1985
aut,514000,1990
aut,462000,1995
aut,488000,2000
aut,494000,2005
aut,504000,2010
aut,447000,2015
aut,427000,2020
aut,410000,2025
aut,407000,2030
aut,416000,2035
aut,420000,2040
aut,417000,2045
aut,408000,2050
aze,341000,1950
aze,416000,1955
aze,238000,1960
aze,297000,1965
aze,470000,1970
aze,686000,1975
aze,803000,1980
aze,723000,1985
aze,702000,1990
aze,690000,1995
aze,806000,2000
aze,930000,2005
aze,881000,2010
aze,684000,2015
aze,657000,2020
aze,774000,2025
aze,811000,2030
aze,762000,2035
aze,672000,2040
aze,614000,2045
aze,608000,2050
bhs,8000,1950
bhs,8000,1955
bhs,9000,1960
bhs,12000,1965
bhs,15000,1970
bhs,19000,1975
bhs,26000,1980
bhs,27000,1985
bhs,28000,1990
bhs,26000,1995
bhs,29000,2000
bhs,28000,2005
bhs,31000,2010
bhs,31000,2015
bhs,28000,2020
bhs,28000,2025
bhs,28000,2030
bhs,28000,2035
bhs,28000,2040
bhs,27000,2045
bhs,27000,2050
bhr,11000,1950
bhr,13000,1955
bhr,15000,1960
bhr,17000,1965
bhr,23000,1970
bhr,35000,1975
bhr,34000,1980
bhr,30000,1985
bhr,35000,1990
bhr,46000,1995
bhr,53000,2000
bhr,60000,2005
bhr,72000,2010
bhr,69000,2015
bhr,71000,2020
bhr,69000,2025
bhr,69000,2030
bhr,68000,2035
bhr,68000,2040
bhr,70000,2045
bhr,70000,2050
bgd,4313000,1950
bgd,4732000,1955
bgd,5154000,1960
bgd,5747000,1965
bgd,7205000,1970
bgd,8230000,1975
bgd,9465000,1980
bgd,10930000,1985
bgd,12790000,1990
bgd,14830000,1995
bgd,16310000,2000
bgd,16640000,2005
bgd,16730000,2010
bgd,16960000,2015
bgd,16790000,2020
bgd,15700000,2025
bgd,15640000,2030
bgd,15590000,2035
bgd,15230000,2040
bgd,14590000,2045
bgd,13850000,2050
brb,20000,1950
brb,20000,1955
brb,20000,1960
brb,24000,1965
brb,26000,1970
brb,28000,1975
brb,28000,1980
brb,26000,1985
brb,25000,1990
brb,20000,1995
brb,20000,2000
brb,19000,2005
brb,17000,2010
brb,15000,2015
brb,14000,2020
brb,14000,2025
brb,14000,2030
brb,13000,2035
brb,13000,2040
brb,12000,2045
brb,12000,2050
blr,786000,1950
blr,778000,1955
blr,521000,1960
blr,595000,1965
blr,778000,1970
blr,907000,1975
blr,853000,1980
blr,731000,1985
blr,729000,1990
blr,743000,1995
blr,812000,2000
blr,803000,2005
blr,608000,2010
blr,470000,2015
blr,454000,2020
blr,475000,2025
blr,459000,2030
blr,423000,2035
blr,381000,2040
blr,344000,2045
blr,328000,2050
bel,623000,1950
bel,572000,1955
bel,544000,1960
bel,710000,1965
bel,721000,1970
bel,788000,1975
bel,798000,1980
bel,731000,1985
bel,662000,1990
bel,615000,1995
bel,610000,2000
bel,624000,2005
bel,640000,2010
bel,610000,2015
bel,600000,2020
bel,630000,2025
bel,629000,2030
bel,637000,2035
bel,633000,2040
bel,626000,2045
bel,621000,2050
blz,7000,1950
blz,7000,1955
blz,8000,1960
blz,10000,1965
blz,13000,1970
blz,17000,1975
blz,17000,1980
blz,19000,1985
blz,21000,1990
blz,22000,1995
blz,28000,2000
blz,31000,2005
blz,34000,2010
blz,36000,2015
blz,36000,2020
blz,36000,2025
blz,37000,2030
blz,37000,2035
blz,36000,2040
blz,34000,2045
blz,33000,2050
ben,175000,1950
ben,194000,1955
ben,225000,1960
ben,231000,1965
ben,257000,1970
ben,300000,1975
ben,359000,1980
ben,426000,1985
ben,496000,1990
ben,598000,1995
ben,698000,2000
ben,828000,2005
ben,974000,2010
ben,1120000,2015
ben,1283000,2020
ben,1482000,2025
ben,1650000,2030
ben,1765000,2035
ben,1854000,2040
ben,1928000,2045
ben,1998000,2050
btn,17000,1950
btn,20000,1955
btn,22000,1960
btn,25000,1965
btn,27000,1970
btn,34000,1975
btn,39000,1980
btn,45000,1985
btn,54000,1990
btn,52000,1995
btn,64000,2000
btn,76000,2005
btn,78000,2010
btn,70000,2015
btn,71000,2020
btn,68000,2025
btn,72000,2030
btn,73000,2035
btn,69000,2040
btn,64000,2045
btn,62000,2050
bol,277000,1950
bol,303000,1955
bol,328000,1960
bol,384000,1965
bol,434000,1970
bol,495000,1975
bol,556000,1980
bol,626000,1985
bol,720000,1990
bol,770000,1995
bol,853000,2000
bol,957000,2005
bol,1077000,2010
bol,1114000,2015
bol,1165000,2020
bol,1174000,2025
bol,1171000,2030
bol,1155000,2035
bol,1128000,2040
bol,1093000,2045
bol,1050000,2050
bih,322000,1950
bih,336000,1955
bih,257000,1960
bih,334000,1965
bih,393000,1970
bih,412000,1975
bih,415000,1980
bih,380000,1985
bih,367000,1990
bih,265000,1995
bih,290000,2000
bih,294000,2005
bih,226000,2010
bih,219000,2015
bih,180000,2020
bih,169000,2025
bih,165000,2030
bih,158000,2035
bih,147000,2040
bih,136000,2045
bih,126000,2050
bwa,45000,1950
bwa,50000,1955
bwa,51000,1960
bwa,55000,1965
bwa,79000,1970
bwa,92000,1975
bwa,106000,1980
bwa,123000,1985
bwa,148000,1990
bwa,180000,1995
bwa,208000,2000
bwa,218000,2005
bwa,217000,2010
bwa,212000,2015
bwa,208000,2020
bwa,225000,2025
bwa,233000,2030
bwa,234000,2035
bwa,229000,2040
bwa,223000,2045
bwa,220000,2050
bra,5405000,1950
bra,6400000,1955
bra,6890000,1960
bra,8431000,1965
bra,10230000,1970
bra,11890000,1975
bra,13760000,1980
bra,14140000,1985
bra,14920000,1990
bra,16670000,1995
bra,18150000,2000
bra,17390000,2005
bra,16510000,2010
bra,17230000,2015
bra,17120000,2020
bra,15070000,2025
bra,13680000,2030
bra,12960000,2035
bra,12200000,2040
bra,11560000,2045
bra,11210000,2050
brn,5000,1950
brn,5000,1955
brn,6000,1960
brn,7000,1965
brn,13000,1970
brn,17000,1975
brn,20000,1980
brn,22000,1985
brn,22000,1990
brn,27000,1995
brn,29000,2000
brn,32000,2005
brn,36000,2010
brn,36000,2015
brn,35000,2020
brn,36000,2025
brn,36000,2030
brn,36000,2035
brn,38000,2040
brn,39000,2045
brn,39000,2050
bgr,682000,1950
bgr,581000,1955
bgr,591000,1960
bgr,700000,1965
bgr,681000,1970
bgr,650000,1975
bgr,622000,1980
bgr,608000,1985
bgr,641000,1990
bgr,614000,1995
bgr,543000,2000
bgr,512000,2005
bgr,399000,2010
bgr,320000,2015
bgr,325000,2020
bgr,350000,2025
bgr,342000,2030
bgr,313000,2035
bgr,281000,2040
bgr,256000,2045
bgr,251000,2050
bfa,419000,1950
bfa,452000,1955
bfa,500000,1960
bfa,514000,1965
bfa,555000,1970
bfa,646000,1975
bfa,738000,1980
bfa,844000,1985
bfa,971000,1990
bfa,1123000,1995
bfa,1302000,2000
bfa,1506000,2005
bfa,1726000,2010
bfa,1982000,2015
bfa,2313000,2020
bfa,2962000,2025
bfa,3216000,2030
bfa,3406000,2035
bfa,3583000,2040
bfa,3788000,2045
bfa,3992000,2050
bdi,249000,1950
bdi,267000,1955
bdi,292000,1960
bdi,321000,1965
bdi,398000,1970
bdi,419000,1975
bdi,467000,1980
bdi,521000,1985
bdi,563000,1990
bdi,627000,1995
bdi,765000,2000
bdi,934000,2005
bdi,975000,2010
bdi,963000,2015
bdi,996000,2020
bdi,1107000,2025
bdi,1218000,2030
bdi,1257000,2035
bdi,1230000,2040
bdi,1194000,2045
bdi,1191000,2050
khm,452000,1950
khm,503000,1955
khm,561000,1960
khm,629000,1965
khm,706000,1970
khm,751000,1975
khm,786000,1980
khm,872000,1985
khm,910000,1990
khm,924000,1995
khm,1589000,2000
khm,1709000,2005
khm,1846000,2010
khm,1676000,2015
khm,1523000,2020
khm,1628000,2025
khm,1774000,2030
khm,1857000,2035
khm,1816000,2040
khm,1722000,2045
khm,1671000,2050
cmr,442000,1950
cmr,480000,1955
cmr,526000,1960
cmr,582000,1965
cmr,668000,1970
cmr,755000,1975
cmr,896000,1980
cmr,1054000,1985
cmr,1262000,1990
cmr,1500000,1995
cmr,1779000,2000
cmr,2000000,2005
cmr,2188000,2010
cmr,2291000,2015
cmr,2595000,2020
cmr,2894000,2025
cmr,3031000,2030
cmr,3069000,2035
cmr,3099000,2040
cmr,3162000,2045
cmr,3238000,2050
can,1078000,1950
can,1140000,1955
can,1383000,1960
can,1769000,1965
can,2122000,1970
can,2348000,1975
can,2418000,1980
can,2018000,1985
can,1938000,1990
can,1980000,1995
can,2067000,2000
can,2159000,2005
can,2238000,2010
can,2033000,2015
can,1955000,2020
can,2014000,2025
can,2120000,2030
can,2246000,2035
can,2327000,2040
can,2347000,2045
can,2352000,2050
cpv,19000,1950
cpv,17000,1955
cpv,14000,1960
cpv,21000,1965
cpv,30000,1970
cpv,34000,1975
cpv,39000,1980
cpv,40000,1985
cpv,36000,1990
cpv,45000,1995
cpv,53000,2000
cpv,60000,2005
cpv,61000,2010
cpv,60000,2015
cpv,58000,2020
cpv,55000,2025
cpv,56000,2030
cpv,56000,2035
cpv,55000,2040
cpv,52000,2045
cpv,48000,2050
caf,125000,1950
caf,132000,1955
caf,140000,1960
caf,149000,1965
caf,170000,1970
caf,195000,1975
caf,225000,1980
caf,262000,1985
caf,295000,1990
caf,343000,1995
caf,397000,2000
caf,444000,2005
caf,483000,2010
caf,540000,2015
caf,580000,2020
caf,602000,2025
caf,629000,2030
caf,648000,2035
caf,660000,2040
caf,672000,2045
caf,673000,2050
tcd,232000,1950
tcd,253000,1955
tcd,279000,1960
tcd,305000,1965
tcd,371000,1970
tcd,415000,1975
tcd,454000,1980
tcd,513000,1985
tcd,616000,1990
tcd,746000,1995
tcd,893000,2000
tcd,1070000,2005
tcd,1236000,2010
tcd,1427000,2015
tcd,1648000,2020
tcd,1857000,2025
tcd,2082000,2030
tcd,2303000,2035
tcd,2498000,2040
tcd,2647000,2045
tcd,2749000,2050
chanisl,7000,1950
chanisl,7000,1955
chanisl,6000,1960
chanisl,7000,1965
chanisl,7000,1970
chanisl,9000,1975
chanisl,10000,1980
chanisl,10000,1985
chanisl,9000,1990
chanisl,8000,1995
chanisl,8000,2000
chanisl,9000,2005
chanisl,9000,2010
chanisl,8000,2015
chanisl,8000,2020
chanisl,7000,2025
chanisl,7000,2030
chanisl,7000,2035
chanisl,7000,2040
chanisl,7000,2045
chanisl,7000,2050
chl,576000,1950
chl,608000,1955
chl,728000,1960
chl,821000,1965
chl,955000,1970
chl,1164000,1975
chl,1304000,1980
chl,1251000,1985
chl,1236000,1990
chl,1170000,1995
chl,1323000,2000
chl,1463000,2005
chl,1488000,2010
chl,1329000,2015
chl,1239000,2020
chl,1250000,2025
chl,1263000,2030
chl,1251000,2035
chl,1238000,2040
chl,1205000,2045
chl,1172000,2050
chn,53390000,1950
chn,51470000,1955
chn,53480000,1960
chn,66520000,1965
chn,89580000,1970
chn,85720000,1975
chn,106300000,1980
chn,127300000,1985
chn,121100000,1990
chn,95660000,1995
chn,102100000,2000
chn,123200000,2005
chn,106100000,2010
chn,94290000,2015
chn,86540000,2020
chn,87030000,2025
chn,90970000,2030
chn,89060000,2035
chn,81340000,2040
chn,75220000,2045
chn,73040000,2050
col,1186000,1950
col,1319000,1955
col,1537000,1960
col,1954000,1965
col,2398000,1970
col,2766000,1975
col,3209000,1980
col,3514000,1985
col,3451000,1990
col,3780000,1995
col,3992000,2000
col,4176000,2005
col,4362000,2010
col,4369000,2015
col,4377000,2020
col,4439000,2025
col,4389000,2030
col,4343000,2035
col,4265000,2040
col,4160000,2045
col,4039000,2050
com,16000,1950
com,17000,1955
com,18000,1960
com,18000,1965
com,24000,1970
com,29000,1975
com,35000,1980
com,40000,1985
com,47000,1990
com,57000,1995
com,70000,2000
com,66000,2005
com,68000,2010
com,74000,2015
com,84000,2020
com,95000,2025
com,97000,2030
com,95000,2035
com,94000,2040
com,96000,2045
com,100000,2050
cod,1236000,1950
cod,1398000,1955
cod,1597000,1960
cod,1804000,1965
cod,2052000,1970
cod,2370000,1975
cod,2755000,1980
cod,3179000,1985
cod,3743000,1990
cod,4566000,1995
cod,5339000,2000
cod,6397000,2005
cod,7533000,2010
cod,8681000,2015
cod,9944000,2020
cod,10820000,2025
cod,11920000,2030
cod,12890000,2035
cod,13510000,2040
cod,13840000,2045
cod,13980000,2050
cog,80000,1950
cog,88000,1955
cog,98000,1960
cog,111000,1965
cog,129000,1970
cog,153000,1975
cog,183000,1980
cog,220000,1985
cog,262000,1990
cog,308000,1995
cog,342000,2000
cog,381000,2005
cog,413000,2010
cog,443000,2015
cog,497000,2020
cog,526000,2025
cog,545000,2030
cog,564000,2035
cog,571000,2040
cog,574000,2045
cog,577000,2050
cri,86000,1950
cri,99000,1955
cri,115000,1960
cri,147000,1965
cri,199000,1970
cri,241000,1975
cri,288000,1980
cri,296000,1985
cri,284000,1990
cri,333000,1995
cri,398000,2000
cri,446000,2005
cri,433000,2010
cri,414000,2015
cri,404000,2020
cri,381000,2025
cri,399000,2030
cri,391000,2035
cri,388000,2040
cri,380000,2045
cri,374000,2050
civ,263000,1950
civ,302000,1955
civ,340000,1960
civ,385000,1965
civ,472000,1970
civ,602000,1975
civ,771000,1980
civ,986000,1985
civ,1258000,1990
civ,1612000,1995
civ,1872000,2000
civ,2047000,2005
civ,2307000,2010
civ,2566000,2015
civ,2882000,2020
civ,3113000,2025
civ,3321000,2030
civ,3456000,2035
civ,3558000,2040
civ,3647000,2045
civ,3717000,2050
hrv,366000,1950
hrv,337000,1955
hrv,285000,1960
hrv,364000,1965
hrv,371000,1970
hrv,338000,1975
hrv,320000,1980
hrv,305000,1985
hrv,305000,1990
hrv,324000,1995
hrv,309000,2000
hrv,276000,2005
hrv,258000,2010
hrv,241000,2015
hrv,209000,2020
hrv,211000,2025
hrv,214000,2030
hrv,208000,2035
hrv,200000,2040
hrv,190000,2045
hrv,184000,2050
cub,570000,1950
cub,652000,1955
cub,697000,1960
cub,720000,1965
cub,825000,1970
cub,825000,1975
cub,1172000,1980
cub,1158000,1985
cub,1056000,1990
cub,741000,1995
cub,804000,2000
cub,845000,2005
cub,762000,2010
cub,694000,2015
cub,633000,2020
cub,559000,2025
cub,537000,2030
cub,518000,2035
cub,488000,2040
cub,454000,2045
cub,419000,2050
cyp,46000,1950
cyp,47000,1955
cyp,48000,1960
cyp,59000,1965
cyp,58000,1970
cyp,66000,1975
cyp,56000,1980
cyp,53000,1985
cyp,50000,1990
cyp,56000,1995
cyp,63000,2000
cyp,64000,2005
cyp,65000,2010
cyp,56000,2015
cyp,52000,2020
cyp,53000,2025
cyp,57000,2030
cyp,60000,2035
cyp,62000,2040
cyp,61000,2045
cyp,60000,2050
cze,622000,1950
cze,565000,1955
cze,723000,1960
cze,876000,1965
cze,836000,1970
cze,713000,1975
cze,682000,1980
cze,686000,1985
cze,842000,1990
cze,868000,1995
cze,692000,2000
cze,660000,2005
cze,608000,2010
cze,459000,2015
cze,485000,2020
cze,564000,2025
cze,580000,2030
cze,552000,2035
cze,516000,2040
cze,487000,2045
cze,489000,2050
dnk,292000,1950
dnk,311000,1955
dnk,381000,1960
dnk,415000,1965
dnk,373000,1970
dnk,370000,1975
dnk,396000,1980
dnk,392000,1985
dnk,368000,1990
dnk,322000,1995
dnk,280000,2000
dnk,309000,2005
dnk,354000,2010
dnk,349000,2015
dnk,335000,2020
dnk,326000,2025
dnk,308000,2030
dnk,308000,2035
dnk,320000,2040
dnk,327000,2045
dnk,323000,2050
dji,6000,1950
dji,8000,1955
dji,9000,1960
dji,13000,1965
dji,16000,1970
dji,23000,1975
dji,37000,1980
dji,44000,1985
dji,60000,1990
dji,66000,1995
dji,80000,2000
dji,92000,2005
dji,100000,2010
dji,99000,2015
dji,102000,2020
dji,105000,2025
dji,109000,2030
dji,113000,2035
dji,116000,2040
dji,117000,2045
dji,116000,2050
dom,260000,1950
dom,291000,1955
dom,335000,1960
dom,388000,1965
dom,482000,1970
dom,597000,1975
dom,696000,1980
dom,762000,1985
dom,801000,1990
dom,839000,1995
dom,908000,2000
dom,961000,2005
dom,1005000,2010
dom,997000,2015
dom,1026000,2020
dom,1039000,2025
dom,1023000,2030
dom,999000,2035
dom,971000,2040
dom,944000,2045
dom,913000,2050
ecu,323000,1950
ecu,367000,1955
ecu,413000,1960
ecu,486000,1965
ecu,635000,1970
ecu,733000,1975
ecu,854000,1980
ecu,988000,1985
ecu,1116000,1990
ecu,1239000,1995
ecu,1298000,2000
ecu,1323000,2005
ecu,1342000,2010
ecu,1406000,2015
ecu,1383000,2020
ecu,1333000,2025
ecu,1305000,2030
ecu,1291000,2035
ecu,1260000,2040
ecu,1220000,2045
ecu,1170000,2050
egy,2134000,1950
egy,2232000,1955
egy,2362000,1960
egy,3334000,1965
egy,3805000,1970
egy,4362000,1975
egy,4789000,1980
egy,5367000,1985
egy,5705000,1990
egy,6934000,1995
egy,7965000,2000
egy,9123000,2005
egy,8079000,2010
egy,8381000,2015
egy,8924000,2020
egy,9511000,2025
egy,9769000,2030
egy,9552000,2035
egy,9271000,2040
egy,9181000,2045
egy,9206000,2050
slv,229000,1950
slv,246000,1955
slv,264000,1960
slv,315000,1965
slv,392000,1970
slv,451000,1975
slv,487000,1980
slv,520000,1985
slv,588000,1990
slv,595000,1995
slv,586000,2000
slv,625000,2005
slv,698000,2010
slv,692000,2015
slv,574000,2020
slv,562000,2025
slv,584000,2030
slv,590000,2035
slv,590000,2040
slv,553000,2045
slv,521000,2050
gnq,21000,1950
gnq,21000,1955
gnq,23000,1960
gnq,24000,1965
gnq,29000,1970
gnq,26000,1975
gnq,30000,1980
gnq,38000,1985
gnq,32000,1990
gnq,29000,1995
gnq,45000,2000
gnq,66000,2005
gnq,75000,2010
gnq,81000,2015
gnq,88000,2020
gnq,99000,2025
gnq,113000,2030
gnq,123000,2035
gnq,128000,2040
gnq,131000,2045
gnq,135000,2050
eri,119000,1950
eri,133000,1955
eri,149000,1960
eri,169000,1965
eri,182000,1970
eri,215000,1975
eri,200000,1980
eri,270000,1985
eri,377000,1990
eri,435000,1995
eri,439000,2000
eri,508000,2005
eri,542000,2010
eri,593000,2015
eri,719000,2020
eri,833000,2025
eri,876000,2030
eri,873000,2035
eri,861000,2040
eri,875000,2045
eri,913000,2050
est,97000,1950
est,104000,1955
est,87000,1960
est,92000,1965
est,101000,1970
est,107000,1975
est,103000,1980
est,103000,1985
est,111000,1990
est,100000,1995
est,103000,2000
est,108000,2005
est,77000,2010
est,62000,2015
est,65000,2020
est,78000,2025
est,84000,2030
est,81000,2035
est,74000,2040
est,65000,2045
est,62000,2050
eth,1870000,1950
eth,2086000,1955
