geo,population_aged_40_59_years_female_percent,time
afg,14.34,1950
afg,14.06,1955
afg,13.84,1960
afg,13.58,1965
afg,13.36,1970
afg,13.15,1975
afg,12.95,1980
afg,12.73,1985
afg,12.65,1990
afg,12.19,1995
afg,11.86,2000
afg,11.71,2005
afg,11.71,2010
afg,11.93,2015
afg,12.23,2020
afg,12.7,2025
afg,13.36,2030
afg,14.28,2035
afg,15.41,2040
afg,16.59,2045
afg,17.7,2050
alb,14.45,1950
alb,15.06,1955
alb,14.27,1960
alb,13.81,1965
alb,14.29,1970
alb,14.65,1975
alb,15.87,1980
alb,16.47,1985
alb,15.97,1990
alb,17.75,1995
alb,20.03,2000
alb,22.41,2005
alb,24.14,2010
alb,24.49,2015
alb,23.78,2020
alb,24.38,2025
alb,25.77,2030
alb,27.69,2035
alb,28.74,2040
alb,26.79,2045
alb,24.53,2050
dza,14.44,1950
dza,13.7,1955
dza,13.27,1960
dza,12.54,1965
dza,12.43,1970
dza,12.91,1975
dza,13.08,1980
dza,12.35,1985
dza,12.29,1990
dza,13.03,1995
dza,14.37,2000
dza,16.8,2005
dza,19.18,2010
dza,21.26,2015
dza,23.7,2020
dza,26.18,2025
dza,27.95,2030
dza,28.67,2035
dza,27.38,2040
dza,25.6,2045
dza,24.57,2050
ago,15.24,1950
ago,15.03,1955
ago,14.68,1960
ago,14.22,1965
ago,13.81,1970
ago,13.35,1975
ago,12.83,1980
ago,12.27,1985
ago,11.66,1990
ago,11.55,1995
ago,11.72,2000
ago,11.99,2005
ago,12.39,2010
ago,12.59,2015
ago,12.98,2020
ago,13.6,2025
ago,14.6,2030
ago,15.9,2035
ago,17.12,2040
ago,18.54,2045
ago,19.67,2050
arg,19.65,1950
arg,20.66,1955
arg,21.3,1960
arg,21.89,1965
arg,22.27,1970
arg,22.0,1975
arg,21.22,1980
arg,20.53,1985
arg,20.13,1990
arg,20.18,1995
arg,20.55,2000
arg,21.0,2005
arg,21.19,2010
arg,21.67,2015
arg,23.04,2020
arg,24.04,2025
arg,25.05,2030
arg,25.73,2035
arg,25.44,2040
arg,25.2,2045
arg,25.0,2050
arm,16.71,1950
arm,17.91,1955
arm,15.93,1960
arm,14.47,1965
arm,16.39,1970
arm,17.76,1975
arm,20.97,1980
arm,19.59,1985
arm,18.31,1990
arm,19.76,1995
arm,21.78,2000
arm,26.67,2005
arm,27.77,2010
arm,26.4,2015
arm,24.81,2020
arm,24.96,2025
arm,27.93,2030
arm,29.69,2035
arm,28.06,2040
arm,25.45,2045
arm,22.83,2050
abw,16.67,1950
abw,14.29,1955
abw,16.67,1960
abw,15.38,1965
abw,13.79,1970
abw,17.24,1975
abw,19.35,1980
abw,21.21,1985
abw,24.24,1990
abw,25.64,1995
abw,28.26,2000
abw,32.69,2005
abw,33.93,2010
abw,33.33,2015
abw,30.36,2020
abw,26.32,2025
abw,22.03,2030
abw,23.21,2035
abw,24.56,2040
abw,24.14,2045
abw,25.0,2050
aus,22.93,1950
aus,22.61,1955
aus,22.39,1960
aus,22.63,1965
aus,22.22,1970
aus,20.97,1975
aus,20.46,1980
aus,20.3,1985
aus,21.65,1990
aus,23.7,1995
aus,25.9,2000
aus,27.34,2005
aus,27.3,2010
aus,27.18,2015
aus,26.16,2020
aus,25.29,2025
aus,24.82,2030
aus,24.33,2035
aus,24.22,2040
aus,23.83,2045
aus,23.58,2050
aut,28.89,1950
aut,29.37,1955
aut,26.67,1960
aut,25.89,1965
aut,24.11,1970
aut,22.39,1975
aut,23.43,1980
aut,23.02,1985
aut,23.22,1990
aut,23.96,1995
aut,25.53,2000
aut,27.23,2005
aut,29.16,2010
aut,29.93,2015
aut,28.92,2020
aut,27.38,2025
aut,25.82,2030
aut,25.32,2035
aut,25.01,2040
aut,24.11,2045
aut,23.2,2050
aze,18.86,1950
aze,19.93,1955
aze,17.34,1960
aze,15.12,1965
aze,15.25,1970
aze,16.16,1975
aze,18.95,1980
aze,17.44,1985
aze,16.0,1990
aze,15.73,1995
aze,17.59,2000
aze,22.67,2005
aze,26.22,2010
aze,26.9,2015
aze,26.12,2020
aze,25.69,2025
aze,27.08,2030
aze,28.63,2035
aze,28.19,2040
aze,26.46,2045
aze,24.95,2050
bhs,16.67,1950
bhs,17.02,1955
bhs,14.29,1960
bhs,15.28,1965
bhs,14.12,1970
bhs,13.68,1975
bhs,14.15,1980
bhs,15.13,1985
bhs,16.28,1990
bhs,17.48,1995
bhs,19.35,2000
bhs,21.82,2005
bhs,24.29,2010
bhs,26.06,2015
bhs,25.63,2020
bhs,25.84,2025
bhs,26.05,2030
bhs,26.46,2035
bhs,26.96,2040
bhs,26.27,2045
bhs,25.94,2050
bhr,12.96,1950
bhr,12.9,1955
bhr,12.33,1960
bhr,11.34,1965
bhr,11.76,1970
bhr,11.38,1975
bhr,12.41,1980
bhr,11.31,1985
bhr,11.76,1990
bhr,13.22,1995
bhr,15.47,2000
bhr,16.77,2005
