geo,population_aged_60plus_years_both_sexes_percent,time
afg,4.504,1950
afg,4.385,1955
afg,4.254,1960
afg,4.146,1965
afg,4.071,1970
afg,4.007,1975
afg,3.979,1980
afg,3.937,1985
afg,3.895,1990
afg,3.843,1995
afg,3.783,2000
afg,3.738,2005
afg,3.805,2010
afg,3.779,2015
afg,3.815,2020
afg,3.925,2025
afg,4.124,2030
afg,4.414,2035
afg,4.8,2040
afg,5.305,2045
afg,5.95,2050
alb,10.13,1950
alb,8.623,1955
alb,7.511,1960
alb,6.795,1965
alb,6.642,1970
alb,6.872,1975
alb,7.669,1980
alb,7.437,1985
alb,7.812,1990
alb,9.416,1995
alb,10.95,2000
alb,12.32,2005
alb,13.66,2010
alb,15.25,2015
alb,17.64,2020
alb,19.78,2025
alb,21.54,2030
alb,22.68,2035
alb,23.77,2040
alb,26.0,2045
alb,29.06,2050
dza,6.808,1950
dza,6.424,1955
dza,5.852,1960
dza,5.091,1965
dza,6.27,1970
dza,6.081,1975
dza,5.901,1980
dza,5.48,1985
dza,5.454,1990
dza,5.827,1995
dza,6.261,2000
dza,6.453,2005
dza,6.892,2010
dza,7.96,2015
dza,9.202,2020
dza,11.07,2025
dza,13.27,2030
dza,15.69,2035
dza,18.47,2040
dza,21.63,2045
dza,24.31,2050
ago,4.945,1950
ago,4.701,1955
ago,4.572,1960
ago,4.541,1965
ago,4.504,1970
ago,4.507,1975
ago,4.456,1980
ago,4.351,1985
ago,4.22,1990
ago,4.076,1995
ago,3.978,2000
ago,3.929,2005
ago,3.944,2010
ago,4.14,2015
ago,4.399,2020
ago,4.734,2025
ago,5.113,2030
ago,5.528,2035
ago,6.102,2040
ago,6.848,2045
ago,7.793,2050
arg,7.043,1950
arg,8.047,1955
arg,9.031,1960
arg,9.992,1965
arg,10.97,1970
arg,11.74,1975
arg,12.14,1980
arg,12.71,1985
arg,13.25,1990
arg,13.54,1995
arg,13.73,2000
arg,14.1,2005
arg,14.73,2010
arg,15.55,2015
arg,16.43,2020
arg,17.33,2025
arg,18.3,2030
arg,19.64,2035
arg,21.69,2040
arg,23.33,2045
arg,24.94,2050
arm,12.2,1950
arm,10.24,1955
arm,8.619,1960
arm,8.209,1965
arm,8.34,1970
arm,8.348,1975
arm,7.682,1980
arm,8.059,1985
arm,10.02,1990
arm,12.51,1995
arm,15.14,2000
arm,14.37,2005
arm,14.49,2010
arm,16.18,2015
arm,19.11,2020
arm,21.71,2025
arm,22.4,2030
arm,22.71,2035
arm,23.76,2040
arm,26.31,2045
arm,29.73,2050
abw,0.0,1950
abw,2.326,1955
abw,4.0,1960
abw,3.846,1965
abw,6.897,1970
abw,6.78,1975
abw,10.0,1980
abw,9.231,1985
abw,9.524,1990
abw,10.0,1995
abw,11.24,2000
abw,11.11,2005
abw,13.89,2010
abw,16.36,2015
abw,21.43,2020
abw,24.78,2025
abw,28.32,2030
abw,29.46,2035
abw,30.0,2040
abw,30.0,2045
abw,28.3,2050
aus,12.46,1950
aus,12.45,1955
aus,12.25,1960
aus,12.21,1965
aus,12.24,1970
aus,12.79,1975
aus,13.64,1980
aus,14.82,1985
aus,15.53,1990
aus,16.01,1995
aus,16.66,2000
aus,17.57,2005
aus,19.52,2010
aus,21.38,2015
aus,23.33,2020
aus,25.19,2025
aus,26.55,2030
aus,27.79,2035
