geo,population_aged_60plus_years_female_percent,time
afg,4.68,1950
afg,4.594,1955
afg,4.469,1960
afg,4.384,1965
afg,4.301,1970
afg,4.258,1975
afg,4.219,1980
afg,4.177,1985
afg,4.096,1990
afg,4.053,1995
afg,3.971,2000
afg,3.919,2005
afg,3.975,2010
afg,3.96,2015
afg,3.996,2020
afg,4.106,2025
afg,4.325,2030
afg,4.635,2035
afg,5.031,2040
afg,5.555,2045
afg,6.219,2050
alb,10.3,1950
alb,8.772,1955
alb,8.01,1960
alb,7.335,1965
alb,7.001,1970
alb,7.323,1975
alb,8.591,1980
alb,8.304,1985
alb,8.921,1990
alb,10.23,1995
alb,11.73,2000
alb,13.18,2005
alb,14.62,2010
alb,16.32,2015
alb,18.95,2020
alb,21.49,2025
alb,23.71,2030
alb,25.4,2035
alb,27.06,2040
alb,29.64,2045
alb,32.57,2050
dza,7.09,1950
dza,6.768,1955
dza,6.114,1960
dza,5.175,1965
dza,6.661,1970
dza,6.506,1975
dza,6.274,1980
dza,5.916,1985
dza,5.931,1990
dza,6.297,1995
dza,6.821,2000
dza,7.055,2005
dza,7.576,2010
dza,8.605,2015
dza,9.818,2020
dza,11.72,2025
dza,14.01,2030
dza,16.59,2035
dza,19.52,2040
dza,22.84,2045
dza,25.66,2050
ago,5.442,1950
ago,5.11,1955
ago,4.973,1960
ago,4.989,1965
ago,4.969,1970
ago,4.903,1975
ago,4.835,1980
ago,4.729,1985
ago,4.583,1990
ago,4.433,1995
ago,4.322,2000
ago,4.249,2005
ago,4.268,2010
ago,4.5,2015
ago,4.771,2020
ago,5.138,2025
ago,5.542,2030
ago,5.967,2035
ago,6.544,2040
ago,7.3,2045
ago,8.293,2050
arg,7.147,1950
arg,8.083,1955
arg,9.151,1960
arg,10.3,1965
arg,11.57,1970
arg,12.65,1975
arg,13.35,1980
arg,14.16,1985
arg,14.92,1990
arg,15.42,1995
arg,15.76,2000
arg,16.19,2005
arg,16.82,2010
arg,17.64,2015
arg,18.54,2020
arg,19.48,2025
arg,20.49,2030
arg,21.92,2035
arg,24.04,2040
arg,25.76,2045
arg,27.46,2050
arm,13.06,1950
arm,10.67,1955
arm,9.204,1960
arm,9.179,1965
arm,9.635,1970
arm,9.813,1975
arm,9.257,1980
arm,9.736,1985
arm,11.51,1990
arm,13.86,1995
arm,16.63,2000
arm,16.15,2005
arm,16.43,2010
arm,18.58,2015
arm,22.14,2020
arm,25.37,2025
arm,26.56,2030
arm,27.29,2035
arm,28.79,2040
arm,31.62,2045
arm,34.79,2050
abw,0.0,1950
abw,0.0,1955
abw,0.0,1960
abw,3.846,1965
abw,6.897,1970
abw,6.897,1975
abw,9.677,1980
abw,12.12,1985
abw,12.12,1990
abw,10.26,1995
abw,10.87,2000
abw,11.54,2005
abw,16.07,2010
abw,19.3,2015
abw,23.21,2020
abw,28.07,2025
abw,33.9,2030
abw,32.14,2035
abw,33.33,2040
abw,34.48,2045
abw,32.14,2050
aus,13.33,1950
aus,13.73,1955
aus,13.75,1960
aus,13.71,1965
aus,13.78,1970
aus,14.38,1975
aus,15.32,1980
aus,16.57,1985
aus,17.17,1990
aus,17.58,1995
aus,18.02,2000
aus,18.76,2005
aus,20.65,2010
aus,22.56,2015
aus,24.61,2020
aus,26.6,2025
aus,28.11,2030
aus,29.52,2035
aus,30.17,2040
aus,30.81,2045
aus,31.36,2050
aut,16.65,1950
aut,18.42,1955
aut,20.31,1960
aut,21.93,1965
aut,23.07,1970
aut,23.74,1975
aut,22.85,1980
aut,24.02,1985
aut,24.22,1990
aut,23.42,1995
aut,23.86,2000
aut,24.79,2005
aut,25.62,2010
aut,26.76,2015
aut,28.8,2020
aut,31.72,2025
aut,34.44,2030
aut,35.99,2035
aut,36.69,2040
aut,37.54,2045
aut,38.05,2050
aze,11.55,1950
aze,10.62,1955
aze,9.704,1960
aze,9.632,1965
aze,9.842,1970
aze,9.811,1975
aze,9.111,1980
aze,9.144,1985
aze,8.745,1990
aze,9.223,1995
aze,10.03,2000
aze,10.05,2005
aze,9.842,2010
aze,11.26,2015
aze,14.12,2020
aze,17.7,2025
aze,20.45,2030
aze,22.24,2035
aze,23.71,2040
aze,25.7,2045
aze,28.45,2050
bhs,7.143,1950
bhs,6.383,1955
bhs,5.357,1960
bhs,5.556,1965
bhs,5.882,1970
bhs,6.316,1975
bhs,5.66,1980
bhs,6.723,1985
bhs,6.977,1990
bhs,7.692,1995
bhs,8.387,2000
bhs,9.697,2005
bhs,11.3,2010
bhs,12.77,2015
bhs,15.58,2020
bhs,18.66,2025
bhs,20.93,2030
bhs,22.87,2035
bhs,24.78,2040
bhs,26.69,2045
bhs,28.03,2050
bhr,5.556,1950
bhr,4.839,1955
bhr,4.11,1960
bhr,3.093,1965
bhr,3.922,1970
bhr,4.065,1975
bhr,3.448,1980
bhr,4.167,1985
bhr,3.431,1990
bhr,4.545,1995
bhr,5.396,2000
bhr,4.516,2005
bhr,4.046,2010
bhr,4.485,2015
bhr,6.295,2020
bhr,8.296,2025
bhr,11.92,2030
bhr,15.35,2035
