geo,population_aged_60plus_years_total_number,time
afg,367000,1950
afg,386000,1955
afg,409000,1960
afg,440000,1965
afg,482000,1970
afg,534000,1975
afg,555000,1980
afg,484000,1985
afg,490000,1990
afg,695000,1995
afg,777000,2000
afg,916000,2005
afg,1108000,2010
afg,1294000,2015
afg,1510000,2020
afg,1765000,2025
afg,2089000,2030
afg,2492000,2035
afg,2990000,2040
afg,3615000,2045
afg,4399000,2050
alb,123000,1950
alb,119000,1955
alb,121000,1960
alb,127000,1965
alb,142000,1970
alb,165000,1975
alb,205000,1980
alb,220000,1985
alb,257000,1990
alb,295000,1995
alb,336000,2000
alb,383000,2005
alb,433000,2010
alb,497000,2015
alb,589000,2020
alb,672000,2025
alb,736000,2030
alb,773000,2035
alb,804000,2040
alb,871000,2045
alb,960000,2050
dza,596000,1950
dza,624000,1955
dza,632000,1960
dza,607000,1965
dza,862000,1970
dza,974000,1975
dza,1110000,1980
dza,1211000,1985
dza,1379000,1990
dza,1647000,1995
dza,1910000,2000
dza,2120000,2005
dza,2441000,2010
dza,3032000,2015
dza,3739000,2020
dza,4746000,2025
dza,5935000,2030
dza,7257000,2035
dza,8785000,2040
dza,10540000,2045
dza,12060000,2050
ago,205000,1950
ago,213000,1955
ago,229000,1960
ago,250000,1965
ago,274000,1970
ago,307000,1975
ago,350000,1980
ago,406000,1985
ago,450000,1990
ago,511000,1995
ago,568000,2000
ago,653000,2005
ago,749000,2010
ago,898000,2015
ago,1078000,2020
ago,1299000,2025
ago,1555000,2030
ago,1846000,2035
ago,2220000,2040
ago,2695000,2045
ago,3294000,2050
arg,1208000,1950
arg,1527000,1955
arg,1868000,1960
arg,2233000,1965
arg,2634000,1970
arg,3053000,1975
arg,3417000,1980
arg,3842000,1985
arg,4305000,1990
arg,4707000,1995
arg,5070000,2000
arg,5463000,2005
arg,5991000,2010
arg,6615000,2015
arg,7281000,2020
arg,7953000,2025
arg,8645000,2030
arg,9508000,2035
arg,10720000,2040
arg,11730000,2045
arg,12710000,2050
arm,165000,1950
arm,160000,1955
arm,161000,1960
arm,181000,1965
arm,210000,1970
arm,236000,1975
arm,238000,1980
arm,269000,1985
arm,355000,1990
arm,403000,1995
arm,466000,2000
arm,440000,2005
arm,448000,2010
arm,508000,2015
arm,607000,2020
arm,691000,2025
arm,710000,2030
arm,715000,2035
arm,741000,2040
arm,810000,2045
arm,897000,2050
abw,0,1950
abw,1000,1955
abw,2000,1960
abw,2000,1965
abw,4000,1970
abw,4000,1975
abw,6000,1980
abw,6000,1985
abw,6000,1990
abw,8000,1995
abw,10000,2000
abw,11000,2005
abw,15000,2010
abw,18000,2015
abw,24000,2020
abw,28000,2025
abw,32000,2030
abw,33000,2035
abw,33000,2040
abw,33000,2045
abw,30000,2050
aus,1024000,1950
aus,1145000,1955
aus,1259000,1960
aus,1407000,1965
aus,1558000,1970
aus,1743000,1975
aus,2004000,1980
aus,2342000,1985
aus,2654000,1990
aus,2901000,1995
aus,3194000,2000
aus,3583000,2005
aus,4199000,2010
aus,4833000,2015
aus,5523000,2020
aus,6223000,2025
aus,6810000,2030
aus,7370000,2035
aus,7745000,2040
aus,8125000,2045
aus,8482000,2050
aut,1071000,1950
aut,1159000,1955
aut,1280000,1960
aut,1414000,1965
aut,1500000,1970
aut,1537000,1975
aut,1442000,1980
aut,1497000,1985
aut,1548000,1990
aut,1569000,1995
aut,1650000,2000
aut,1807000,2005
aut,1935000,2010
aut,2067000,2015
aut,2274000,2020
aut,2554000,2025
aut,2804000,2030
aut,2929000,2035
aut,2972000,2040
aut,3029000,2045
aut,3049000,2050
aze,321000,1950
aze,333000,1955
aze,344000,1960
aze,375000,1965
aze,418000,1970
aze,448000,1975
aze,439000,1980
aze,477000,1985
aze,530000,1990
aze,629000,1995
aze,725000,2000
aze,754000,2005
aze,776000,2010
aze,943000,2015
aze,1245000,2020
aze,1608000,2025
aze,1854000,2030
aze,2025000,2035
aze,2164000,2040
aze,2379000,2045
aze,2667000,2050
bhs,5000,1950
bhs,6000,1955
bhs,6000,1960
bhs,8000,1965
bhs,9000,1970
bhs,11000,1975
bhs,12000,1980
bhs,14000,1985
bhs,15000,1990
bhs,20000,1995
bhs,24000,2000
bhs,29000,2005
bhs,34000,2010
bhs,43000,2015
bhs,54000,2020
bhs,67000,2025
bhs,79000,2030
bhs,92000,2035
bhs,101000,2040
bhs,112000,2045
bhs,120000,2050
bhr,5000,1950
bhr,6000,1955
bhr,7000,1960
bhr,6000,1965
bhr,7000,1970
bhr,11000,1975
bhr,12000,1980
bhr,15000,1985
bhr,18000,1990
bhr,22000,1995
bhr,29000,2000
bhr,28000,2005
bhr,30000,2010
bhr,41000,2015
bhr,63000,2020
bhr,99000,2025
bhr,147000,2030
bhr,197000,2035
bhr,242000,2040
bhr,277000,2045
bhr,310000,2050
bgd,2347000,1950
bgd,2637000,1955
bgd,2904000,1960
bgd,3221000,1965
bgd,3578000,1970
bgd,3910000,1975
bgd,4293000,1980
bgd,4917000,1985
bgd,5659000,1990
bgd,6449000,1995
bgd,7460000,2000
bgd,8663000,2005
bgd,10160000,2010
bgd,12470000,2015
bgd,15270000,2020
bgd,18710000,2025
bgd,22900000,2030
bgd,28080000,2035
bgd,34330000,2040
bgd,41060000,2045
bgd,47180000,2050
brb,18000,1950
brb,21000,1955
brb,23000,1960
brb,26000,1965
brb,28000,1970
brb,34000,1975
brb,35000,1980
brb,34000,1985
brb,35000,1990
brb,34000,1995
brb,34000,2000
brb,35000,2005
brb,40000,2010
brb,47000,2015
brb,58000,2020
brb,68000,2025
brb,77000,2030
brb,82000,2035
brb,85000,2040
brb,85000,2045
brb,85000,2050
blr,973000,1950
blr,952000,1955
blr,961000,1960
blr,1062000,1965
blr,1192000,1970
blr,1332000,1975
blr,1327000,1980
blr,1458000,1985
blr,1695000,1990
blr,1825000,1995
blr,1913000,2000
blr,1777000,2005
blr,1755000,2010
blr,1833000,2015
blr,2009000,2020
blr,2156000,2025
blr,2195000,2030
blr,2262000,2035
blr,2331000,2040
blr,2446000,2045
blr,2549000,2050
bel,1373000,1950
bel,1472000,1955
