geo,population_density_per_square_km,time
afg,12.5,1950
afg,12.69,1951
afg,12.89,1952
afg,13.1,1953
afg,13.32,1954
afg,13.54,1955
afg,13.78,1956
afg,14.03,1957
afg,14.29,1958
afg,14.55,1959
afg,14.83,1960
afg,15.12,1961
afg,15.42,1962
afg,15.74,1963
afg,16.06,1964
afg,16.41,1965
afg,16.76,1966
afg,17.12,1967
afg,17.5,1968
afg,17.91,1969
afg,18.35,1970
afg,18.82,1971
afg,19.31,1972
afg,19.81,1973
afg,20.28,1974
afg,20.71,1975
afg,21.11,1976
afg,21.48,1977
afg,21.75,1978
afg,21.85,1979
afg,21.75,1980
afg,21.45,1981
afg,20.97,1982
afg,20.4,1983
afg,19.83,1984
afg,19.36,1985
afg,18.97,1986
afg,18.68,1987
afg,18.64,1988
afg,19.04,1989
afg,19.98,1990
afg,21.58,1991
afg,23.73,1992
afg,26.15,1993
afg,28.45,1994
afg,30.35,1995
afg,31.72,1996
afg,32.66,1997
afg,33.36,1998
afg,34.09,1999
afg,35.05,2000
afg,36.31,2001
afg,37.79,2002
afg,39.38,2003
afg,40.94,2004
afg,42.35,2005
afg,43.58,2006
afg,44.7,2007
afg,45.76,2008
afg,46.89,2009
afg,48.17,2010
alb,42.26,1950
alb,43.13,1951
alb,44.15,1952
alb,45.31,1953
alb,46.59,1954
alb,47.97,1955
alb,49.44,1956
alb,51.0,1957
alb,52.62,1958
alb,54.3,1959
alb,56.02,1960
alb,57.78,1961
alb,59.57,1962
alb,61.38,1963
alb,63.21,1964
alb,65.05,1965
alb,66.89,1966
alb,68.74,1967
alb,70.59,1968
alb,72.44,1969
alb,74.29,1970
alb,76.13,1971
alb,77.97,1972
alb,79.82,1973
alb,81.66,1974
alb,83.51,1975
alb,85.37,1976
alb,87.24,1977
alb,89.12,1978
alb,91.02,1979
alb,92.92,1980
alb,94.79,1981
alb,96.62,1982
alb,98.5,1983
alb,100.6,1984
alb,102.9,1985
alb,105.5,1986
alb,108.4,1987
alb,111.1,1988
alb,113.3,1989
alb,114.4,1990
alb,114.5,1991
alb,113.6,1992
alb,112.2,1993
alb,110.6,1994
alb,109.3,1995
alb,108.3,1996
alb,107.6,1997
alb,107.1,1998
alb,106.9,1999
alb,106.9,2000
alb,107.0,2001
alb,107.5,2002
alb,108.1,2003
alb,108.7,2004
alb,109.3,2005
alb,109.8,2006
alb,110.3,2007
alb,110.7,2008
alb,111.1,2009
alb,111.5,2010
dza,3.675,1950
dza,3.759,1951
dza,3.838,1952
dza,3.916,1953
dza,3.995,1954
dza,4.079,1955
dza,4.167,1956
dza,4.258,1957
dza,4.352,1958
dza,4.444,1959
dza,4.534,1960
dza,4.621,1961
dza,4.707,1962
dza,4.795,1963
dza,4.893,1964
dza,5.006,1965
dza,5.135,1966
dza,5.279,1967
dza,5.435,1968
dza,5.6,1969
dza,5.771,1970
dza,5.948,1971
dza,6.13,1972
dza,6.32,1973
dza,6.518,1974
dza,6.725,1975
dza,6.942,1976
dza,7.166,1977
dza,7.4,1978
dza,7.644,1979
dza,7.898,1980
dza,8.163,1981
dza,8.437,1982
dza,8.717,1983
dza,8.999,1984
dza,9.278,1985
dza,9.553,1986
dza,9.824,1987
dza,10.09,1988
dza,10.36,1989
dza,10.62,1990
dza,10.89,1991
dza,11.15,1992
dza,11.41,1993
dza,11.65,1994
dza,11.88,1995
dza,12.09,1996
dza,12.28,1997
dza,12.46,1998
dza,12.64,1999
dza,12.82,2000
dza,13.01,2001
dza,13.2,2002
dza,13.4,2003
dza,13.6,2004
dza,13.81,2005
dza,14.02,2006
dza,14.24,2007
dza,14.46,2008
dza,14.67,2009
dza,14.89,2010
asm,95.16,1950
asm,96.92,1951
asm,98.12,1952
asm,98.79,1953
asm,99.03,1954
asm,98.94,1955
asm,98.69,1956
asm,98.51,1957
asm,98.61,1958
asm,99.28,1959
asm,100.7,1960
asm,103.0,1961
asm,106.2,1962
asm,109.9,1963
asm,113.9,1964
asm,118.0,1965
asm,122.0,1966
asm,126.1,1967
asm,130.0,1968
asm,133.7,1969
asm,137.1,1970
asm,140.2,1971
asm,143.1,1972
asm,145.6,1973
asm,148.0,1974
asm,150.2,1975
asm,152.3,1976
asm,154.3,1977
asm,156.5,1978
asm,159.4,1979
asm,163.4,1980
asm,168.6,1981
asm,174.9,1982
asm,181.9,1983
asm,189.5,1984
asm,197.3,1985
asm,205.2,1986
asm,213.3,1987
asm,221.3,1988
asm,229.1,1989
asm,236.4,1990
asm,243.2,1991
asm,249.5,1992
asm,255.3,1993
asm,260.7,1994
asm,265.9,1995
asm,270.9,1996
asm,275.5,1997
asm,280.1,1998
asm,284.8,1999
asm,289.6,2000
asm,294.6,2001
asm,299.9,2002
asm,305.4,2003
asm,310.9,2004
asm,316.4,2005
asm,321.8,2006
asm,327.3,2007
