population_growth_annual_percent,geo,time
1.914,afg,1960
1.953,afg,1961
1.993,afg,1962
2.036,afg,1963
2.082,afg,1964
2.13,afg,1965
2.148,afg,1966
2.159,afg,1967
2.216,afg,1968
2.331,afg,1969
2.466,afg,1970
2.576,afg,1971
2.612,afg,1972
2.555,afg,1973
2.388,afg,1974
2.13,afg,1975
2.531,afg,1976
2.531,afg,1977
2.531,afg,1978
2.531,afg,1979
2.531,afg,1980
2.318,afg,1981
2.318,afg,1982
2.318,afg,1983
2.318,afg,1984
2.318,afg,1985
2.083,afg,1986
2.083,afg,1987
2.083,afg,1988
2.083,afg,1989
2.083,afg,1990
3.391,afg,1991
3.391,afg,1992
3.391,afg,1993
3.391,afg,1994
3.391,afg,1995
2.917,afg,1996
2.917,afg,1997
2.917,afg,1998
2.917,afg,1999
2.917,afg,2000
2.877,afg,2001
2.877,afg,2002
2.877,afg,2003
2.877,afg,2004
2.877,afg,2005
2.831,afg,2006
2.831,afg,2007
2.831,afg,2008
2.831,afg,2009
2.831,afg,2010
2.72,afg,2011
3.125,alb,1960
3.093,alb,1961
3.048,alb,1962
2.993,alb,1963
2.932,alb,1964
2.867,alb,1965
2.798,alb,1966
2.726,alb,1967
2.655,alb,1968
2.586,alb,1969
2.519,alb,1970
2.454,alb,1971
2.392,alb,1972
2.335,alb,1973
2.285,alb,1974
2.241,alb,1975
2.202,alb,1976
2.167,alb,1977
2.134,alb,1978
2.101,alb,1979
2.072,alb,1980
1.991,alb,1981
1.911,alb,1982
1.929,alb,1983
2.073,alb,1984
2.27,alb,1985
2.537,alb,1986
2.687,alb,1987
2.499,alb,1988
1.891,alb,1989
1.027,alb,1990
0.06722,alb,1991
-0.7536,alb,1992
-1.296,alb,1993
-1.42,alb,1994
-1.213,alb,1995
-0.9116,alb,1996
-0.6671,alb,1997
-0.417,alb,1998
-0.2052,alb,1999
-0.02829,alb,2000
0.1796,alb,2001
0.4021,alb,2002
0.5462,alb,2003
0.5828,alb,2004
0.5406,alb,2005
0.4702,alb,2006
0.4128,alb,2007
0.3695,alb,2008
0.3554,alb,2009
0.3615,alb,2010
0.3646,alb,2011
2.006,dza,1960
1.895,dza,1961
1.829,dza,1962
1.865,dza,1963
2.029,dza,1964
2.274,dza,1965
2.541,dza,1966
2.764,dza,1967
2.922,dza,1968
2.994,dza,1969
3.008,dza,1970
3.008,dza,1971
3.023,dza,1972
3.047,dza,1973
3.086,dza,1974
3.133,dza,1975
3.165,dza,1976
3.184,dza,1977
3.209,dza,1978
3.242,dza,1979
3.273,dza,1980
3.301,dza,1981
3.305,dza,1982
3.266,dza,1983
3.177,dza,1984
3.057,dza,1985
2.922,dza,1986
2.795,dza,1987
2.685,dza,1988
2.599,dza,1989
2.526,dza,1990
2.465,dza,1991
2.391,dza,1992
2.278,dza,1993
2.117,dza,1994
1.929,dza,1995
1.735,dza,1996
1.572,dza,1997
1.462,dza,1998
1.423,dza,1999
1.434,dza,2000
1.458,dza,2001
1.473,dza,2002
1.489,dza,2003
1.501,dza,2004
1.509,dza,2005
1.519,dza,2006
1.529,dza,2007
1.526,dza,2008
1.505,dza,2009
1.471,dza,2010
1.433,dza,2011
1.427,asm,1960
2.264,asm,1961
2.998,asm,1962
3.471,asm,1963
3.601,asm,1964
3.502,asm,1965
3.363,asm,1966
3.257,asm,1967
3.07,asm,1968
2.817,asm,1969
2.524,asm,1970
2.243,asm,1971
1.997,asm,1972
1.786,asm,1973
1.609,asm,1974
1.496,asm,1975
1.355,asm,1976
1.282,asm,1977
1.433,asm,1978
1.871,asm,1979
2.487,asm,1980
3.121,asm,1981
3.629,asm,1982
