geo,population_growth_annual_percent_with_projections,time
afg,1.542,1953
afg,1.764,1958
afg,1.97,1963
afg,2.19,1968
afg,2.369,1973
afg,0.905,1978
afg,-2.523,1983
afg,0.462,1988
afg,7.257,1993
afg,2.543,1998
afg,3.536,2003
afg,3.448,2008
afg,3.245,2013
afg,2.898,2018
afg,2.551,2023
afg,2.379,2028
afg,2.17,2033
afg,1.97,2038
afg,1.793,2043
afg,1.634,2048
alb,2.532,1953
alb,3.105,1958
alb,2.986,1963
alb,2.657,1968
alb,2.341,1973
alb,2.135,1978
alb,2.035,1983
alb,2.128,1988
alb,-0.97,1993
alb,-0.427,1998
alb,0.279,2003
alb,0.373,2008
alb,0.541,2013
alb,0.496,2018
alb,0.342,2023
alb,0.124,2028
alb,-0.051,2033
alb,-0.139,2038
alb,-0.197,2043
alb,-0.287,2048
dza,2.086,1953
dza,2.117,1958
dza,1.978,1963
dza,2.846,1968
dza,3.059,1973
dza,3.215,1978
dza,3.22,1983
dza,2.693,1988
dza,2.23,1993
dza,1.526,1998
dza,1.483,2003
dza,1.505,2008
dza,1.451,2013
dza,1.292,2018
dza,1.079,2023
dza,0.842,2028
dza,0.673,2033
dza,0.56,2038
dza,0.478,2043
dza,0.362,2048
asm,0.738,1953
asm,0.451,1958
asm,3.271,1963
asm,2.924,1968
asm,1.905,1973
asm,1.536,1978
asm,3.855,1983
asm,3.547,1988
asm,2.224,1993
asm,1.834,1998
asm,1.686,2003
asm,1.746,2008
asm,1.574,2013
asm,1.481,2018
asm,1.464,2023
asm,1.262,2028
asm,1.033,2033
asm,0.823,2038
asm,0.669,2043
asm,0.609,2048
and,7.942,1953
and,7.448,1958
and,6.516,1963
and,5.475,1968
and,4.798,1973
and,3.737,1978
and,4.784,1983
and,2.141,1988
and,4.073,1993
and,0.525,1998
and,3.664,2003
and,1.661,2008
and,1.513,2013
and,1.37,2018
and,1.255,2023
and,1.175,2028
and,1.103,2033
and,1.023,2038
and,0.943,2043
and,0.835,2048
ago,1.768,1953
ago,2.016,1958
ago,1.88,1963
ago,1.996,1968
ago,2.272,1973
ago,2.838,1978
ago,3.447,1983
ago,2.665,1988
ago,3.244,1993
ago,2.599,1998
ago,3.033,2003
ago,2.672,2008
ago,2.656,2013
ago,2.442,2018
ago,2.261,2023
ago,2.059,2028
ago,1.87,2033
ago,1.711,2038
ago,1.57,2043
ago,1.429,2048
aia,1.319,1953
aia,1.473,1958
aia,0.897,1963
aia,0.976,1968
aia,0.675,1973
aia,0.179,1978
aia,-0.101,1983
aia,4.485,1988
aia,3.251,1993
aia,2.423,1998
aia,4.058,2003
aia,2.47,2008
aia,1.666,2013
aia,1.159,2018
aia,0.671,2023
aia,0.495,2028
aia,0.357,2033
aia,0.234,2038
aia,0.113,2043
aia,-0.002,2048
atg,2.561,1953
atg,0.757,1958
atg,2.362,1963
atg,2.36,1968
atg,1.959,1973
atg,-1.092,1978
atg,-1.298,1983
atg,-1.795,1988
atg,1.919,1993
atg,2.474,1998
atg,1.594,2003
atg,1.166,2008
atg,1.013,2013
atg,0.9,2018
atg,0.788,2023
atg,0.659,2028
atg,0.536,2033
atg,0.407,2038
atg,0.281,2043
atg,0.173,2048
arg,2.021,1953
arg,1.727,1958
arg,1.546,1963
arg,1.429,1968
arg,1.608,1973
arg,1.582,1978
arg,1.421,1983
arg,1.448,1988
arg,1.353,1993
arg,1.209,1998
arg,0.948,2003
arg,0.975,2008
arg,0.905,2013
arg,0.809,2018
arg,0.7,2023
arg,0.589,2028
arg,0.48,2033
arg,0.415,2038
arg,0.344,2043
arg,0.264,2048
arm,2.885,1953
arm,3.552,1958
arm,3.32,1963
arm,2.661,1968
arm,2.302,1973
arm,1.829,1978
arm,1.51,1983
arm,1.195,1988
arm,-1.902,1993
arm,-0.936,1998
arm,-0.071,2003
arm,0.165,2008
arm,0.315,2013
arm,0.226,2018
arm,0.04,2023
arm,-0.074,2028
arm,-0.132,2033
arm,-0.191,2038
arm,-0.277,2043
arm,-0.385,2048
abw,2.774,1953
abw,2.36,1958
abw,1.83,1963
abw,1.03,1968
abw,0.764,1973
abw,0.569,1978
abw,1.169,1983
abw,-0.346,1988
abw,4.792,1993
abw,2.414,1998
abw,2.168,2003
abw,1.218,2008
abw,0.335,2013
abw,0.278,2018
abw,0.222,2023
abw,0.09,2028
abw,-0.09,2033
abw,-0.259,2038
abw,-0.361,2043
abw,-0.387,2048
aus,2.257,1953
aus,2.211,1958
aus,2.293,1963
aus,1.986,1968
aus,1.361,1973
aus,1.513,1978
aus,1.45,1983
aus,1.571,1988
aus,1.167,1993
aus,1.13,1998
aus,1.238,2003
aus,1.067,2008
aus,0.993,2013
aus,0.923,2018
aus,0.85,2023
aus,0.757,2028
aus,0.661,2033
aus,0.584,2038
aus,0.529,2043
aus,0.487,2048
aut,0.022,1953
aut,0.282,1958
aut,0.63,1963
aut,0.537,1968
aut,0.299,1973
aut,-0.079,1978
aut,0.029,1983
aut,0.291,1988
aut,0.68,1993
aut,0.173,1998
aut,0.561,2003
aut,0.374,2008
aut,0.188,2013
aut,0.171,2018
aut,0.142,2023
aut,0.085,2028
aut,0.005,2033
aut,-0.059,2038
aut,-0.103,2043
aut,-0.126,2048
aze,2.769,1953
aze,3.156,1958
aze,3.219,1963
aze,2.455,1968
aze,1.905,1973
aze,1.592,1978
aze,1.59,1983
aze,1.561,1988
aze,1.527,1993
aze,0.849,1998
aze,0.8,2003
aze,1.107,2008
aze,1.072,2013
aze,0.855,2018
aze,0.582,2023
aze,0.381,2028
aze,0.275,2033
aze,0.2,2038
aze,0.081,2043
aze,-0.067,2048
bhs,2.274,1953
bhs,4.26,1958
bhs,4.955,1963
bhs,3.786,1968
bhs,2.133,1973
bhs,2.134,1978
bhs,2.122,1983
bhs,1.798,1988
bhs,1.912,1993
bhs,1.61,1998
bhs,1.313,2003
bhs,1.207,2008
bhs,1.112,2013
bhs,1.005,2018
bhs,0.895,2023
bhs,0.761,2028
bhs,0.608,2033
bhs,0.49,2038
bhs,0.366,2043
bhs,0.252,2048
bhr,2.907,1953
bhr,3.1,1958
bhr,4.037,1963
bhr,2.785,1968
bhr,4.278,1973
bhr,4.875,1978
bhr,3.507,1983
bhr,3.515,1988
bhr,3.173,1993
bhr,2.359,1998
bhr,2.254,2003
bhr,2.075,2008
bhr,1.771,2013
bhr,1.556,2018
bhr,1.367,2023
bhr,1.231,2028
bhr,1.072,2033
bhr,0.898,2038
bhr,0.722,2043
bhr,0.559,2048
bgd,2.109,1953
bgd,2.223,1958
bgd,2.364,1963
bgd,2.539,1968
bgd,2.667,1973
bgd,2.683,1978
bgd,2.609,1983
bgd,2.315,1988
bgd,2.046,1993
bgd,1.888,1998
bgd,1.683,2003
bgd,1.424,2008
bgd,1.271,2013
bgd,1.146,2018
bgd,0.994,2023
bgd,0.824,2028
bgd,0.65,2033
bgd,0.509,2038
bgd,0.391,2043
bgd,0.263,2048
brb,1.489,1953
brb,0.294,1958
brb,0.39,1963
brb,0.3,1968
brb,0.564,1973
brb,0.275,1978
brb,0.434,1983
brb,0.406,1988
brb,-0.13,1993
brb,-0.497,1998
brb,0.126,2003
brb,0.259,2008
brb,0.239,2013
brb,0.157,2018
brb,0.03,2023
brb,-0.122,2028
brb,-0.274,2033
brb,-0.413,2038
brb,-0.543,2043
brb,-0.652,2048
blr,0.15,1953
blr,0.967,1958
blr,0.993,1963
blr,0.981,1968
blr,0.712,1973
blr,0.613,1978
blr,0.692,1983
blr,0.516,1988
blr,0.019,1993
blr,-0.425,1998
blr,-0.478,2003
blr,-0.471,2008
blr,-0.492,2013
blr,-0.525,2018
blr,-0.583,2023
blr,-0.659,2028
blr,-0.728,2033
blr,-0.783,2038
blr,-0.845,2043
blr,-0.906,2048
bel,0.535,1953
bel,0.65,1958
bel,0.636,1963
bel,0.381,1968
bel,0.302,1973
bel,0.099,1978
bel,-0.024,1983
bel,0.237,1988
bel,0.302,1993
bel,0.215,1998
bel,0.431,2003
bel,0.535,2008
bel,0.334,2013
bel,0.312,2018
bel,0.256,2023
bel,0.199,2028
bel,0.143,2033
bel,0.097,2038
bel,0.061,2043
bel,0.032,2048
blz,2.981,1953
blz,2.973,1958
blz,2.816,1963
blz,2.761,1968
blz,1.728,1973
blz,1.451,1978
blz,2.763,1983
blz,2.791,1988
blz,2.976,1993
blz,2.652,1998
blz,2.309,2003
blz,2.061,2008
blz,1.887,2013
blz,1.708,2018
blz,1.492,2023
blz,1.261,2028
blz,1.036,2033
blz,0.88,2038
blz,0.75,2043
blz,0.611,2048
ben,0.739,1953
ben,1.29,1958
ben,1.763,1963
ben,2.128,1968
ben,2.406,1973
ben,2.709,1978
ben,2.932,1983
ben,3.025,1988
ben,3.539,1993
ben,3.029,1998
ben,3.335,2003
ben,3.154,2008
ben,2.896,2013
ben,2.685,2018
ben,2.454,2023
ben,2.241,2028
ben,2.052,2033
ben,1.87,2038
ben,1.688,2043
ben,1.509,2048
bmu,1.737,1953
bmu,1.911,1958
bmu,1.766,1963
bmu,1.162,1968
bmu,0.946,1973
bmu,0.647,1978
bmu,0.615,1983
bmu,0.678,1988
bmu,0.536,1993
bmu,0.465,1998
bmu,0.412,2003
bmu,0.254,2008
bmu,0.154,2013
bmu,0.106,2018
bmu,0.047,2023
bmu,-0.039,2028
bmu,-0.139,2033
bmu,-0.234,2038
bmu,-0.303,2043
bmu,-0.317,2048
btn,3.085,1953
btn,2.623,1958
btn,2.634,1963
btn,3.054,1968
btn,3.678,1973
btn,3.33,1978
btn,2.582,1983
btn,2.644,1988
btn,-1.517,1993
btn,1.964,1998
btn,2.934,2003
btn,1.728,2008
btn,1.653,2013
btn,1.266,2018
btn,1.068,2023
btn,0.848,2028
btn,0.715,2033
btn,0.629,2038
btn,0.543,2043
btn,0.424,2048
bol,2.046,1953
bol,2.177,1958
bol,2.236,1963
bol,2.334,1968
bol,2.444,1973
bol,2.362,1978
bol,2.155,1983
bol,2.234,1988
bol,2.302,1993
bol,2.111,1998
bol,1.978,2003
bol,1.768,2008
bol,1.578,2013
bol,1.394,2018
bol,1.218,2023
bol,1.049,2028
bol,0.888,2033
bol,0.735,2038
bol,0.596,2043
bol,0.468,2048
bih,2.018,1953
bih,1.543,1958
bih,1.317,1963
bih,0.966,1968
bih,1.0,1973
bih,0.869,1978
bih,1.036,1983
bih,0.886,1988
bih,-5.138,1993
bih,2.06,1998
bih,0.469,2003
bih,-0.115,2008
bih,-0.174,2013
bih,-0.272,2018
bih,-0.38,2023
bih,-0.492,2028
bih,-0.622,2033
bih,-0.751,2038
bih,-0.851,2043
bih,-0.918,2048
bwa,2.592,1953
bwa,2.187,1958
bwa,2.564,1963
bwa,3.025,1968
bwa,3.309,1973
bwa,3.731,1978
bwa,3.279,1983
bwa,3.048,1988
bwa,2.738,1993
bwa,2.113,1998
bwa,1.309,2003
bwa,1.452,2008
bwa,1.256,2013
bwa,1.123,2018
bwa,0.959,2023
bwa,0.817,2028
bwa,0.681,2033
bwa,0.635,2038
bwa,0.615,2043
bwa,0.568,2048
bra,3.057,1953
bra,2.912,1958
bra,2.956,1963
bra,2.59,1968
bra,2.381,1973
bra,2.352,1978
bra,2.257,1983
bra,1.88,1988
bra,1.559,1993
bra,1.487,1998
bra,1.322,2003
bra,0.98,2008
bra,0.748,2013
bra,0.601,2018
bra,0.449,2023
bra,0.31,2028
bra,0.198,2033
bra,0.076,2038
bra,-0.017,2043
bra,-0.132,2048
vgb,0.58,1953
vgb,0.904,1958
vgb,1.894,1963
vgb,2.154,1968
vgb,1.333,1973
vgb,0.99,1978
vgb,3.811,1983
vgb,4.268,1988
vgb,2.237,1993
vgb,2.12,1998
vgb,1.403,2003
vgb,1.116,2008
vgb,0.902,2013
vgb,0.758,2018
vgb,0.666,2023
vgb,0.56,2028
vgb,0.401,2033
vgb,0.209,2038
vgb,0.045,2043
vgb,-0.059,2048
brn,5.565,1953
brn,5.096,1958
brn,4.512,1963
brn,4.707,1968
brn,4.298,1973
brn,3.654,1978
brn,2.887,1983
brn,2.838,1988
brn,2.756,1993
brn,2.454,1998
brn,2.083,2003
brn,1.904,2008
brn,1.698,2013
brn,1.526,2018
brn,1.409,2023
brn,1.264,2028
brn,1.111,2033
brn,0.969,2038
brn,0.851,2043
brn,0.762,2048
bgr,0.673,1953
bgr,0.958,1958
bgr,0.839,1963
bgr,0.684,1968
bgr,0.537,1973
bgr,0.32,1978
bgr,0.222,1983
bgr,-0.318,1988
bgr,-1.077,1993
bgr,-0.857,1998
bgr,-0.678,2003
bgr,-0.636,2008
bgr,-0.634,2013
bgr,-0.69,2018
bgr,-0.771,2023
bgr,-0.857,2028
bgr,-0.9,2033
bgr,-0.891,2038
bgr,-0.9,2043
bgr,-0.95,2048
bfa,1.337,1953
bfa,1.578,1958
bfa,1.609,1963
bfa,1.835,1968
bfa,1.919,1973
bfa,2.119,1978
bfa,2.314,1983
bfa,2.692,1988
bfa,2.778,1993
bfa,2.846,1998
bfa,3.266,2003
bfa,3.39,2008
bfa,3.095,2013
bfa,2.801,2018
bfa,2.544,2023
bfa,2.354,2028
bfa,2.19,2033
bfa,2.004,2038
bfa,1.796,2043
bfa,1.597,2048
bdi,1.792,1953
bdi,1.806,1958
bdi,1.772,1963
bdi,1.789,1968
bdi,0.928,1973
bdi,2.305,1978
bdi,3.356,1983
bdi,3.022,1988
bdi,1.641,1993
bdi,0.967,1998
bdi,2.619,2003
bdi,2.875,2008
bdi,1.997,2013
bdi,1.835,2018
bdi,1.571,2023
bdi,1.343,2028
bdi,1.21,2033
bdi,1.145,2038
bdi,1.068,2043
bdi,0.939,2048
khm,2.154,1953
khm,2.313,1958
khm,2.45,1963
khm,2.439,1968
khm,0.455,1973
khm,-1.011,1978
khm,3.65,1983
khm,3.588,1988
khm,3.216,1993
khm,2.288,1998
khm,1.663,2003
khm,1.643,2008
khm,1.662,2013
khm,1.585,2018
khm,1.382,2023
khm,1.154,2028
khm,0.991,2033
khm,0.894,2038
khm,0.808,2043
khm,0.683,2048
cmr,1.853,1953
cmr,1.972,1958
cmr,2.233,1963
cmr,2.462,1968
cmr,2.697,1973
cmr,2.972,1978
cmr,2.923,1983
cmr,3.039,1988
cmr,2.776,1993
cmr,2.424,1998
cmr,2.327,2003
cmr,2.263,2008
cmr,2.101,2013
cmr,1.876,2018
cmr,1.677,2023
cmr,1.543,2028
cmr,1.439,2033
cmr,1.323,2038
cmr,1.19,2043
cmr,1.054,2048
can,2.717,1953
can,2.587,1958
can,1.884,1963
can,1.972,1968
can,1.271,1973
can,1.154,1978
can,1.054,1983
can,1.389,1988
can,1.124,1993
can,0.923,1998
can,1.029,2003
can,0.957,2008
can,0.924,2013
can,0.886,2018
can,0.822,2023
can,0.73,2028
can,0.617,2033
can,0.529,2038
can,0.466,2043
can,0.434,2048
cpv,2.953,1953
cpv,2.955,1958
cpv,3.07,1963
cpv,3.07,1968
cpv,0.803,1973
cpv,0.804,1978
cpv,1.923,1983
cpv,2.131,1988
cpv,2.341,1993
cpv,1.95,1998
cpv,1.68,2003
cpv,1.421,2008
cpv,1.34,2013
cpv,1.252,2018
cpv,1.098,2023
cpv,0.903,2028
cpv,0.702,2033
cpv,0.512,2038
cpv,0.335,2043
cpv,0.163,2048
cym,1.162,1953
cym,3.912,1958
cym,1.68,1963
cym,1.676,1968
cym,5.392,1973
cym,5.553,1978
cym,3.459,1983
cym,4.683,1988
cym,4.612,1993
cym,4.1,1998
cym,5.267,2003
cym,1.482,2008
cym,0.894,2013
cym,0.744,2018
cym,0.624,2023
cym,0.493,2028
cym,0.339,2033
cym,0.177,2038
cym,0.021,2043
cym,-0.111,2048
caf,1.068,1953
caf,1.431,1958
caf,1.842,1963
caf,2.069,1968
caf,1.962,1973
caf,2.359,1978
caf,2.877,1983
caf,2.228,1988
caf,2.597,1993
caf,2.326,1998
caf,1.815,2003
caf,1.881,2008
caf,1.788,2013
caf,1.61,2018
caf,1.468,2023
caf,1.354,2028
caf,1.225,2033
caf,1.109,2038
caf,1.004,2043
caf,0.905,2048
tcd,1.943,1953
tcd,2.054,1958
tcd,2.174,1963
tcd,2.147,1968
tcd,2.414,1973
tcd,2.071,1978
tcd,2.501,1983
tcd,3.126,1988
tcd,3.097,1993
tcd,3.289,1998
tcd,3.52,2003
tcd,2.769,2008
tcd,2.624,2013
tcd,2.542,2018
tcd,2.53,2023
tcd,2.354,2028
tcd,2.155,2033
tcd,1.967,2038
tcd,1.802,2043
tcd,1.651,2048
chanisl,0.728,1953
chanisl,0.734,1958
chanisl,1.011,1963
chanisl,1.066,1968
chanisl,0.846,1973
chanisl,0.292,1978
chanisl,0.846,1983
chanisl,1.027,1988
chanisl,0.301,1993
chanisl,0.374,1998
chanisl,0.262,2003
chanisl,0.193,2008
chanisl,0.115,2013
chanisl,0.069,2018
chanisl,0.027,2023
chanisl,-0.04,2028
chanisl,-0.132,2033
chanisl,-0.23,2038
chanisl,-0.307,2043
chanisl,-0.344,2048
chl,2.132,1953
chl,2.448,1958
chl,2.467,1963
chl,2.028,1968
chl,1.691,1973
chl,1.412,1978
chl,1.597,1983
chl,1.708,1988
chl,1.769,1993
chl,1.353,1998
chl,1.109,2003
chl,1.002,2008
chl,0.902,2013
chl,0.781,2018
chl,0.662,2023
chl,0.525,2028
chl,0.389,2033
chl,0.265,2038
chl,0.156,2043
chl,0.058,2048
chn,1.865,1953
chn,1.534,1958
chn,2.067,1963
chn,2.606,1968
chn,2.207,1973
chn,1.475,1978
chn,1.422,1983
chn,1.62,1988
chn,1.171,1993
chn,0.904,1998
chn,0.703,2003
chn,0.629,2008
chn,0.609,2013
chn,0.497,2018
chn,0.305,2023
chn,0.128,2028
chn,-0.002,2033
chn,-0.1,2038
chn,-0.204,2043
