geo,prematurity_deaths_in_newborn_per_1000_births,time
afg,11.0,2008
alb,1.367,2008
dza,9.081,2008
ago,13.21,2008
arg,3.804,2008
arm,5.753,2008
aus,0.969,2008
aut,0.9623,2008
aze,7.857,2008
bhs,1.24,2008
bhr,2.147,2008
bgd,8.729,2008
brb,3.498,2008
blr,1.018,2008
bel,0.5465,2008
blz,2.959,2008
ben,11.41,2008
btn,11.12,2008
bol,8.379,2008
bih,2.997,2008
bwa,6.608,2008
bra,3.451,2008
brn,0.7717,2008
bgr,1.403,2008
bfa,10.31,2008
bdi,10.85,2008
khm,9.646,2008
cmr,10.47,2008
can,1.374,2008
cpv,6.813,2008
caf,14.22,2008
tcd,11.21,2008
chl,1.728,2008
chn,2.942,2008
col,3.669,2008
com,16.83,2008
cog,13.53,2008
cri,2.174,2008
civ,12.94,2008
hrv,0.8774,2008
cub,0.5276,2008
cyp,0.8064,2008
cze,0.3392,2008
prk,11.54,2008
cod,18.56,2008
dnk,1.348,2008
dji,10.21,2008
dom,8.007,2008
ecu,4.583,2008
egy,7.123,2008
slv,3.121,2008
gnq,13.92,2008
eri,5.905,2008
est,0.5648,2008
eth,9.01,2008
fji,3.621,2008
fin,0.5423,2008
fra,0.3977,2008
gab,11.28,2008
gmb,11.33,2008
geo,8.05,2008
deu,1.198,2008
gha,8.583,2008
grc,1.162,2008
grd,5.467,2008
gtm,5.905,2008
gin,10.81,2008
gnb,14.2,2008
guy,8.736,2008
hti,7.563,2008
hnd,6.108,2008
hun,1.308,2008
isl,0.2163,2008
ind,8.951,2008
idn,7.724,2008
irn,8.436,2008
irq,9.897,2008
irl,0.6367,2008
isr,0.6934,2008
ita,0.8078,2008
jam,3.588,2008
jpn,0.2176,2008
jor,6.647,2008
kaz,0.0,2008
ken,9.38,2008
kwt,2.266,2008
kgz,7.001,2008
lao,5.071,2008
lva,0.5188,2008
lbn,3.776,2008
lso,12.17,2008
lbr,13.9,2008
lby,4.667,2008
ltu,0.6366,2008
lux,0.3668,2008
mdg,11.5,2008
mwi,9.247,2008
mys,1.253,2008
mdv,6.987,2008
mli,15.21,2008
mlt,0.8152,2008
mrt,14.21,2008
mus,3.095,2008
mex,2.565,2008
fsm,6.456,2008
mng,5.54,2008
mne,1.978,2008
mar,7.357,2008
moz,12.37,2008
mmr,16.61,2008
nam,7.32,2008
npl,8.261,2008
nld,0.6754,2008
nzl,1.373,2008
nic,5.387,2008
ner,10.59,2008
nga,13.68,2008
nor,0.3616,2008
omn,3.471,2008
pak,14.21,2008
pan,2.809,2008
png,7.52,2008
pry,6.253,2008
per,5.27,2008
phl,5.966,2008
pol,1.776,2008
prt,0.6786,2008
qat,1.803,2008
kor,0.9852,2008
mda,0.7122,2008
rou,1.503,2008
rus,1.119,2008
rwa,9.109,2008
lca,6.919,2008
vct,4.173,2008
wsm,4.748,2008
stp,11.66,2008
sau,6.309,2008
sen,10.52,2008
srb,2.716,2008
sle,14.36,2008
sgp,0.5647,2008
svk,1.638,2008
svn,0.6162,2008
slb,6.17,2008
som,15.29,2008
zaf,7.965,2008
esp,0.5516,2008
lka,3.519,2008
sdn,18.9,2008
sur,5.013,2008
swz,6.792,2008
swe,0.3076,2008
che,1.006,2008
syr,3.944,2008
tjk,9.091,2008
tha,4.123,2008
mkd,4.046,2008
tgo,10.4,2008
ton,3.495,2008
tto,7.481,2008
tun,6.186,2008
tur,6.304,2008
tkm,8.413,2008
uga,9.183,2008
ukr,1.474,2008
are,2.206,2008
gbr,1.699,2008
tza,9.437,2008
usa,1.914,2008
ury,2.462,2008
uzb,8.254,2008
vut,6.085,2008
ven,3.946,2008
vnm,3.603,2008
yem,11.04,2008
zmb,10.3,2008
zwe,10.62,2008
