geo,private_share_of_total_health_spending_percent,time
afg,94.38,2002
afg,93.17,2003
afg,92.19,2004
afg,88.45,2005
afg,88.19,2006
afg,87.84,2007
afg,88.23,2008
afg,88.4,2009
afg,88.34,2010
alb,50.05,1995
alb,60.36,1996
alb,60.8,1997
alb,60.46,1998
alb,56.72,1999
alb,63.9,2000
alb,61.8,2001
alb,63.94,2002
alb,64.06,2003
alb,60.27,2004
alb,59.83,2005
alb,60.6,2006
alb,61.77,2007
alb,60.36,2008
alb,58.82,2009
alb,60.96,2010
dza,24.63,1995
dza,22.36,1996
dza,25.65,1997
dza,26.24,1998
dza,27.15,1999
dza,26.67,2000
dza,22.57,2001
dza,22.66,2002
dza,21.33,2003
dza,28.94,2004
dza,27.93,2005
dza,25.64,2006
dza,22.68,2007
dza,20.46,2008
dza,20.71,2009
dza,22.11,2010
and,35.56,1995
and,34.77,1996
and,33.81,1997
and,27.96,1998
and,33.85,1999
and,35.18,2000
and,31.25,2001
and,31.19,2002
and,31.4,2003
and,30.83,2004
and,30.86,2005
and,29.57,2006
and,30.21,2007
and,30.13,2008
and,29.92,2009
and,29.91,2010
ago,13.18,1995
ago,23.1,1996
ago,22.12,1997
ago,26.95,1998
ago,25.8,1999
ago,20.76,2000
ago,14.49,2001
ago,21.15,2002
ago,18.94,2003
ago,23.96,2004
ago,25.51,2005
ago,20.7,2006
ago,19.82,2007
ago,15.67,2008
ago,10.11,2009
ago,17.54,2010
atg,33.54,1995
atg,35.81,1996
atg,33.98,1997
atg,32.05,1998
atg,30.74,1999
atg,30.99,2000
atg,34.49,2001
atg,34.82,2002
atg,35.82,2003
atg,36.65,2004
atg,36.86,2005
atg,34.28,2006
atg,33.64,2007
atg,32.12,2008
atg,32.9,2009
atg,29.03,2010
arg,40.24,1995
arg,42.28,1996
arg,45.54,1997
arg,45.83,1998
arg,44.94,1999
arg,46.12,2000
arg,45.81,2001
arg,46.43,2002
arg,47.73,2003
arg,47.72,2004
arg,45.79,2005
arg,44.24,2006
arg,40.64,2007
arg,37.43,2008
arg,33.56,2009
arg,45.4,2010
arm,69.04,1995
arm,72.11,1996
arm,75.71,1997
arm,71.53,1998
arm,71.71,1999
arm,81.86,2000
arm,73.27,2001
arm,74.83,2002
arm,72.75,2003
arm,74.62,2004
arm,69.58,2005
arm,62.02,2006
arm,58.43,2007
arm,55.48,2008
arm,56.55,2009
arm,59.36,2010
aus,34.22,1995
aus,34.75,1996
aus,33.11,1997
aus,33.64,1998
aus,31.61,1999
aus,33.18,2000
aus,33.72,2001
aus,33.09,2002
aus,33.89,2003
aus,33.32,2004
aus,33.11,2005
aus,33.41,2006
aus,32.49,2007
aus,32.01,2008
aus,32.01,2009
aus,32.01,2010
aut,26.05,1995
aut,26.46,1996
aut,24.32,1997
aut,23.99,1998
aut,23.25,1999
aut,23.17,2000
aut,23.91,2001
aut,24.2,2002
aut,24.48,2003
aut,24.3,2004
aut,23.86,2005
aut,24.01,2006
aut,23.61,2007
aut,22.84,2008
aut,22.34,2009
aut,22.49,2010
aze,76.25,1995
aze,76.05,1996
aze,77.61,1997
aze,83.53,1998
aze,81.74,1999
aze,81.46,2000
aze,81.1,2001
aze,82.27,2002
aze,87.34,2003
aze,86.98,2004
aze,88.7,2005
aze,85.8,2006
aze,80.4,2007
aze,80.74,2008
aze,76.86,2009
aze,79.71,2010
bhs,60.15,1995
bhs,59.9,1996
bhs,58.19,1997
bhs,55.08,1998
bhs,53.25,1999
bhs,52.39,2000
bhs,52.5,2001
bhs,52.91,2002
bhs,53.33,2003
bhs,52.82,2004
bhs,55.73,2005
bhs,52.79,2006
bhs,55.04,2007
bhs,54.77,2008
bhs,53.17,2009
bhs,54.4,2010
bhr,30.36,1995
bhr,30.79,1996
bhr,29.91,1997
bhr,31.18,1998
bhr,30.76,1999
bhr,32.46,2000
bhr,33.01,2001
bhr,33.44,2002
bhr,33.07,2003
bhr,32.79,2004
bhr,30.96,2005
bhr,30.02,2006
bhr,29.3,2007
bhr,28.78,2008
bhr,29.91,2009
bhr,26.68,2010
bgd,63.86,1995
bgd,63.83,1996
bgd,57.7,1997
bgd,59.18,1998
