geo,prostate_cancer_new_cases_per_100000_men,time
afg,4.5,2002
alb,15.1,2002
dza,5.6,2002
ago,12.7,2002
arg,36.8,2002
arm,10.2,2002
aus,76.0,2002
aut,71.4,2002
aze,7.5,2002
bhs,65.3,2002
bhr,15.9,2002
bgd,0.3,2002
brb,99.7,2002
blr,19.0,2002
bel,74.2,2002
blz,77.3,2002
ben,19.3,2002
btn,4.4,2002
bol,36.4,2002
bih,19.0,2002
bwa,30.6,2002
bra,53.2,2002
brn,6.4,2002
bgr,14.8,2002
bfa,13.8,2002
bdi,13.8,2002
khm,7.5,2002
cmr,25.3,2002
can,47.21,1983
can,48.96,1984
can,51.12,1985
can,51.9,1986
can,54.3,1987
can,55.27,1988
can,55.95,1989
can,61.75,1990
can,70.32,1991
can,79.02,1992
can,91.24,1993
can,85.49,1994
can,73.7,1995
can,74.37,1996
can,77.9,1997
can,78.2,2002
cpv,19.3,2002
caf,24.5,2002
tcd,24.5,2002
chl,40.6,2002
chn,1.7,2002
col,48.3,2002
com,13.8,2002
cod,29.0,2002
cog,6.4,2002
cri,17.28,1980
cri,19.89,1981
cri,20.16,1982
cri,20.39,1983
cri,19.0,1984
cri,19.82,1985
cri,18.66,1986
cri,17.73,1987
cri,17.47,1988
cri,18.27,1989
cri,17.25,1990
cri,18.78,1991
cri,24.76,1992
cri,21.44,1993
cri,27.58,1994
cri,32.91,1995
cri,34.06,1996
cri,31.52,1997
cri,34.9,2002
civ,19.7,2002
hrv,24.6,2002
cub,28.2,2002
cyp,45.2,2002
cze,19.49,1983
cze,18.79,1984
cze,19.54,1985
cze,20.88,1986
cze,21.81,1987
cze,22.47,1988
cze,23.11,1989
cze,22.8,1990
cze,24.96,1991
cze,27.49,1992
cze,28.24,1993
cze,30.46,1994
cze,31.02,1995
cze,35.82,1996
cze,36.01,1997
cze,38.1,2002
dnk,17.1,1953
dnk,18.19,1954
dnk,17.85,1955
dnk,17.92,1956
dnk,18.75,1957
dnk,18.17,1958
dnk,20.36,1959
dnk,19.22,1960
dnk,21.44,1961
dnk,20.5,1962
dnk,23.13,1963
dnk,21.58,1964
dnk,21.48,1965
dnk,22.43,1966
dnk,23.82,1967
dnk,23.58,1968
dnk,22.42,1969
dnk,22.95,1970
dnk,23.2,1971
dnk,23.52,1972
dnk,24.26,1973
dnk,22.98,1974
dnk,26.4,1975
dnk,27.3,1976
dnk,27.68,1977
dnk,28.47,1978
dnk,29.61,1979
dnk,30.26,1980
dnk,28.88,1981
dnk,28.65,1982
dnk,30.84,1983
dnk,29.67,1984
dnk,29.3,1985
dnk,30.37,1986
dnk,32.89,1987
dnk,31.54,1988
dnk,31.66,1989
dnk,31.77,1990
dnk,32.16,1991
dnk,31.79,1992
dnk,30.47,1993
dnk,29.33,1994
dnk,28.43,1995
dnk,31.48,1996
dnk,32.75,1997
dnk,39.3,2002
dji,13.8,2002
dom,85.3,2002
ecu,35.9,2002
egy,4.4,2002
slv,26.8,2002
gnq,24.5,2002
eri,13.8,2002
est,14.57,1968
est,12.26,1969
est,12.12,1970
est,10.96,1971
est,11.09,1972
est,13.3,1973
est,14.82,1974
est,12.55,1975
est,13.65,1976
est,15.59,1977
est,13.04,1978
est,14.76,1979
est,14.92,1980
est,18.03,1981
est,15.48,1982
est,16.1,1983
est,18.25,1984
est,20.29,1985
est,19.17,1986
est,20.72,1987
est,19.79,1988
est,15.28,1989
est,21.16,1990
est,21.63,1991
est,29.99,1992
est,41.16,1993
est,32.65,1994
est,30.78,1995
est,38.15,1996
est,40.24,1997
est,36.3,2002
eth,4.3,2002
fji,13.7,2002
fin,12.72,1953
fin,13.88,1954
fin,12.6,1955
fin,12.62,1956
fin,15.96,1957
fin,17.52,1958
fin,19.02,1959
fin,16.33,1960
fin,16.84,1961
fin,17.92,1962
fin,16.52,1963
fin,18.71,1964
fin,18.53,1965
fin,20.41,1966
fin,21.43,1967
fin,23.71,1968
fin,25.21,1969
fin,23.46,1970
fin,27.51,1971
fin,29.09,1972
fin,28.71,1973
fin,26.0,1974
fin,30.89,1975
fin,27.59,1976
fin,35.87,1977
fin,32.42,1978
fin,34.3,1979
fin,35.6,1980
fin,35.43,1981
fin,36.13,1982
fin,35.9,1983
fin,35.26,1984
fin,36.96,1985
fin,38.47,1986
fin,39.56,1987
fin,38.59,1988
fin,39.3,1989
fin,39.05,1990
fin,43.17,1991
fin,46.37,1992
fin,52.04,1993
fin,57.25,1994
fin,62.45,1995
fin,68.72,1996
fin,73.05,1997
fin,84.4,2002
fra,59.3,2002
pyf,20.0,2002
gab,17.1,2002
gmb,4.7,2002
geo,8.1,2002
deu,60.5,2002
gha,19.3,2002
grc,26.2,2002
gum,20.4,2002
gtm,30.6,2002
gin,9.6,2002
gnb,19.3,2002
guy,51.0,2002
hti,38.1,2002
hnd,30.6,2002
hkg,8.26,1983
hkg,7.3,1984
hkg,8.17,1985
hkg,7.66,1986
hkg,6.96,1987
hkg,8.73,1988
hkg,7.59,1989
hkg,6.98,1990
hkg,7.61,1991
hkg,9.01,1992
hkg,7.71,1993
hkg,7.63,1994
hkg,8.72,1995
hkg,8.63,1996
hkg,10.46,1997
hun,34.0,2002
isl,8.27,1958
isl,17.01,1959
isl,11.91,1960
isl,11.01,1961
isl,16.71,1962
isl,20.76,1963
isl,20.34,1964
isl,28.91,1965
isl,31.1,1966
isl,21.2,1967
isl,25.21,1968
isl,23.15,1969
isl,27.13,1970
isl,30.44,1971
isl,24.08,1972
isl,24.07,1973
isl,34.33,1974
isl,41.29,1975
isl,32.64,1976
isl,28.76,1977
isl,31.99,1978
isl,40.5,1979
isl,42.26,1980
isl,39.55,1981
isl,47.23,1982
isl,54.74,1983
isl,41.86,1984
isl,51.37,1985
isl,61.93,1986
isl,57.35,1987
isl,62.43,1988
isl,68.29,1989
isl,55.02,1990
isl,59.37,1991
isl,64.19,1992
isl,63.97,1993
isl,79.17,1994
isl,81.44,1995
isl,81.02,1996
isl,76.13,1997
isl,81.0,2002
ind,4.6,2002
idn,7.0,2002
irn,5.4,2002
irq,5.8,2002
irl,56.3,2002
isr,46.8,2002
ita,40.5,2002
jam,42.4,2002
jpn,12.6,2002
jor,11.2,2002
kaz,9.8,2002
ken,16.6,2002
prk,7.6,2002
kor,7.6,2002
kwt,9.6,2002
kgz,7.7,2002
lao,2.4,2002
lva,19.8,2002
lbn,9.8,2002
lso,26.7,2002
lbr,15.7,2002
lby,5.6,2002
ltu,32.3,2002
lux,57.2,2002
mkd,27.5,2002
mdg,13.8,2002
mwi,10.2,2002
mys,8.7,2002
mli,7.2,2002
mlt,38.2,2002
mrt,19.3,2002
mus,15.4,2002
mex,29.9,2002
mda,10.6,2002
mng,3.7,2002
mar,6.4,2002
moz,2.6,2002
mmr,2.0,2002
nam,21.6,2002
npl,4.4,2002
nld,56.7,2002
nzl,37.59,1983
nzl,34.36,1984
nzl,34.89,1985
nzl,33.79,1986
nzl,36.85,1987
nzl,36.54,1988
nzl,35.31,1989
nzl,35.58,1990
nzl,38.65,1991
nzl,43.25,1992
nzl,53.97,1993
nzl,83.31,1994
nzl,101.1,1995
nzl,97.03,1996
nzl,90.72,1997
nzl,100.9,2002
nic,34.0,2002
ner,10.8,2002
nga,23.3,2002
nor,22.87,1953
nor,23.1,1954
nor,26.58,1955
nor,23.37,1956
nor,26.77,1957
nor,24.69,1958
nor,26.51,1959
nor,26.45,1960
nor,27.47,1961
nor,27.45,1962
nor,29.15,1963
nor,33.13,1964
nor,31.59,1965
nor,29.94,1966
nor,32.34,1967
nor,32.97,1968
nor,32.72,1969
nor,35.33,1970
nor,34.29,1971
nor,33.72,1972
nor,37.0,1973
nor,38.93,1974
nor,38.7,1975
nor,39.76,1976
nor,41.46,1977
nor,42.07,1978
nor,39.88,1979
nor,40.44,1980
nor,43.87,1981
nor,43.76,1982
nor,42.89,1983
nor,43.99,1984
nor,44.16,1985
nor,43.82,1986
nor,45.15,1987
nor,44.54,1988
nor,46.73,1989
nor,47.94,1990
nor,49.8,1991
nor,57.45,1992
nor,57.07,1993
nor,60.24,1994
nor,60.64,1995
nor,63.41,1996
nor,69.77,1997
nor,81.8,2002
omn,9.7,2002
pak,5.6,2002
pan,46.0,2002
png,2.4,2002
pry,30.2,2002
per,46.0,2002
phl,18.6,2002
pol,24.1,2002
prt,46.8,2002
pri,100.1,2002
qat,9.5,2002
rou,16.8,2002
rus,12.8,2002
rwa,6.5,2002
wsm,20.0,2002
sau,8.5,2002
sen,7.5,2002
scg,13.0,2002
sle,19.3,2002
sgp,13.8,2002
svk,14.5,1968
svk,13.31,1969
svk,14.63,1970
svk,14.18,1971
svk,13.04,1972
svk,12.79,1973
svk,13.95,1974
svk,15.13,1975
svk,14.0,1976
svk,15.63,1977
svk,12.94,1978
svk,14.46,1979
svk,14.51,1980
svk,18.43,1981
svk,18.4,1982
svk,18.81,1983
svk,20.13,1984
svk,19.02,1985
svk,19.8,1986
svk,21.05,1987
svk,20.83,1988
svk,21.63,1989
svk,22.56,1990
svk,22.47,1991
svk,22.66,1992
svk,22.12,1993
svk,22.84,1994
svk,23.91,1995
svk,25.97,1996
svk,28.13,1997
svk,30.5,2002
svn,13.62,1963
svn,13.8,1964
svn,15.09,1965
svn,17.33,1966
svn,17.2,1967
svn,18.28,1968
svn,19.37,1969
svn,21.11,1970
svn,15.6,1971
svn,17.94,1972
svn,16.65,1973
svn,14.75,1974
svn,16.15,1975
svn,16.68,1976
svn,19.52,1977
svn,18.57,1978
svn,17.7,1979
svn,20.0,1980
svn,22.21,1981
svn,18.25,1982
svn,19.99,1983
svn,20.14,1984
svn,17.21,1985
svn,20.13,1986
svn,19.08,1987
svn,19.49,1988
svn,23.54,1989
svn,21.78,1990
svn,21.18,1991
svn,22.62,1992
svn,24.17,1993
svn,24.98,1994
svn,27.81,1995
svn,26.8,1996
svn,35.94,1997
svn,30.9,2002
slb,8.4,2002
som,13.8,2002
zaf,42.9,2002
esp,35.9,2002
lka,3.2,2002
sdn,7.1,2002
sur,25.7,2002
swz,20.5,2002
swe,26.72,1958
swe,27.11,1959
swe,26.41,1960
swe,26.99,1961
swe,29.48,1962
swe,32.1,1963
swe,36.63,1964
swe,35.51,1965
swe,35.3,1966
swe,38.78,1967
swe,39.91,1968
swe,40.87,1969
swe,40.07,1970
swe,41.72,1971
swe,45.59,1972
swe,43.99,1973
swe,45.55,1974
swe,45.14,1975
swe,45.22,1976
swe,44.58,1977
swe,44.6,1978
swe,45.99,1979
swe,46.01,1980
swe,46.77,1981
swe,46.69,1982
swe,49.61,1983
swe,49.78,1984
swe,48.3,1985
swe,50.7,1986
swe,54.68,1987
swe,56.23,1988
swe,54.14,1989
swe,52.25,1990
swe,57.47,1991
swe,57.42,1992
swe,62.44,1993
swe,61.93,1994
swe,62.59,1995
swe,63.52,1996
swe,64.94,1997
swe,90.9,2002
che,77.3,2002
syr,20.1,2002
tjk,2.6,2002
tza,20.1,2002
tha,4.5,2002
tgo,19.3,2002
tto,60.5,2002
tun,8.1,2002
tur,8.0,2002
tkm,2.5,2002
uga,38.0,2002
ukr,14.5,2002
are,10.4,2002
gbr,52.2,2002
usa,124.8,2002
ury,46.6,2002
uzb,2.4,2002
vut,2.3,2002
ven,42.4,2002
vnm,2.8,2002
yem,1.6,2002
zmb,16.5,2002
zwe,27.4,2002
