geo,prostate_cancer_number_of_male_deaths,time
afg,151,2002
alb,109,2002
dza,411,2002
ago,285,2002
arg,3641,2002
arm,116,2002
aus,2646,2002
aut,1282,2002
aze,145,2002
bhs,37,2002
bhr,17,2002
bgd,71,2002
brb,77,2002
blr,567,2002
bel,2032,2002
blz,25,2002
ben,210,2002
btn,17,2002
bol,442,2002
bih,270,2002
bwa,69,2002
bra,9391,2002
brn,3,2002
bgr,629,2002
bfa,261,2002
bdi,124,2002
khm,102,2002
cmr,803,2002
can,3989,2002
cpv,13,2002
caf,201,2002
tcd,358,2002
chl,1429,2002
chn,5919,2002
col,2885,2002
com,15,2002
cod,2487,2002
cog,37,2002
cri,327,2002
civ,706,2002
hrv,490,2002
cub,1979,2002
cyp,158,2002
cze,1336,2002
dnk,1075,2002
dji,17,2002
dom,1140,2002
ecu,892,2002
egy,741,2002
slv,283,2002
gnq,25,2002
eri,96,2002
est,164,2002
eth,501,2002
fji,16,2002
fin,774,2002
fra,9789,2002
pyf,22,2002
gab,71,2002
gmb,13,2002
geo,169,2002
deu,12160,2002
gha,758,2002
grc,1310,2002
gum,7,2002
gtm,469,2002
gin,138,2002
gnb,49,2002
guy,54,2002
hti,403,2002
hnd,250,2002
hun,1378,2002
isl,47,2002
ind,10870,2002
idn,3181,2002
irn,649,2002
irq,186,2002
irl,521,2002
isr,488,2002
ita,7419,2002
jam,259,2002
jpn,7667,2002
jor,80,2002
kaz,349,2002
ken,850,2002
prk,254,2002
kor,578,2002
kwt,37,2002
kgz,76,2002
lao,19,2002
lva,213,2002
lbn,82,2002
lso,132,2002
lbr,84,2002
lby,77,2002
ltu,406,2002
lux,57,2002
mkd,112,2002
mdg,412,2002
mwi,200,2002
mys,375,2002
mli,174,2002
mlt,45,2002
mrt,96,2002
mus,34,2002
mex,4795,2002
mda,100,2002
mng,14,2002
mar,472,2002
moz,90,2002
mmr,190,2002
nam,78,2002
npl,182,2002
nzl,560,2002
nic,181,2002
ner,149,2002
nga,5098,2002
nor,1133,2002
omn,39,2002
pak,1436,2002
pan,283,2002
png,15,2002
pry,190,2002
per,1982,2002
phl,2524,2002
pol,3114,2002
prt,1784,2002
pri,576,2002
qat,12,2002
rou,1558,2002
rus,6672,2002
rwa,74,2002
wsm,4,2002
sau,301,2002
sen,112,2002
scg,702,2002
sle,161,2002
sgp,111,2002
svk,545,2002
svn,281,2002
slb,4,2002
som,190,2002
zaf,2331,2002
esp,5857,2002
lka,181,2002
sdn,509,2002
sur,15,2002
swz,40,2002
swe,2550,2002
che,1481,2002
syr,454,2002
tjk,30,2002
tza,1073,2002
tha,671,2002
nld,2529,2002
tgo,165,2002
tto,187,2002
tun,274,2002
tur,1301,2002
tkm,19,2002
uga,1314,2002
ukr,2542,2002
are,84,2002
gbr,9834,2002
usa,32440,2002
ury,547,2002
uzb,109,2002
vut,1,2002
ven,1511,2002
vnm,475,2002
yem,30,2002
zmb,300,2002
zwe,632,2002
