geo,residential_electricity_use_per_person,time
alb,219.7,1990
alb,160.6,1991
alb,175.3,1992
alb,226.5,1993
alb,230.9,1994
alb,259.7,1995
alb,344.2,1996
alb,322.4,1997
alb,436.0,1998
alb,642.5,1999
alb,709.1,2000
alb,689.2,2001
alb,875.2,2002
alb,853.9,2003
alb,787.5,2004
alb,767.2,2005
alb,552.1,2006
alb,575.0,2007
alb,636.3,2008
dza,27.0,1971
dza,29.54,1972
dza,33.63,1973
dza,36.74,1974
dza,39.35,1975
dza,45.4,1976
dza,48.69,1977
dza,55.08,1978
dza,59.75,1979
dza,56.43,1980
dza,59.83,1981
dza,74.19,1982
dza,79.46,1983
dza,95.61,1984
dza,104.4,1985
dza,168.7,1986
dza,180.4,1987
dza,192.7,1988
dza,213.5,1989
dza,241.4,1990
dza,250.0,1991
dza,270.7,1992
dza,264.8,1993
dza,276.5,1994
dza,283.7,1995
dza,295.1,1996
dza,293.8,1997
dza,324.8,1998
dza,352.8,1999
dza,372.7,2000
dza,390.1,2001
dza,409.8,2002
dza,451.5,2003
dza,465.5,2004
dza,532.7,2005
dza,504.2,2006
dza,531.6,2007
dza,590.5,2008
ago,67.63,1971
ago,74.65,1972
ago,85.81,1973
ago,107.9,1974
ago,116.6,1975
ago,51.84,1976
ago,49.99,1977
ago,49.01,1978
ago,51.16,1979
ago,52.52,1980
ago,51.48,1981
ago,53.88,1982
ago,56.65,1983
ago,47.19,1984
ago,55.67,1985
ago,54.5,1986
ago,53.98,1987
ago,53.38,1988
ago,52.78,1989
ago,52.11,1990
ago,51.24,1991
ago,50.03,1992
ago,49.0,1993
ago,48.1,1994
ago,47.03,1995
ago,49.08,1996
ago,67.25,1997
ago,72.0,1998
ago,71.63,1999
ago,76.14,2000
ago,84.92,2001
ago,89.38,2002
ago,98.35,2003
ago,107.1,2004
ago,122.6,2005
ago,134.4,2006
ago,147.2,2007
ago,173.0,2008
arg,216.7,1971
arg,225.8,1972
arg,232.9,1973
arg,237.7,1974
arg,255.4,1975
arg,280.7,1976
arg,282.8,1977
arg,291.7,1978
arg,303.9,1979
arg,312.4,1980
arg,310.5,1981
arg,294.4,1982
arg,302.7,1983
arg,316.8,1984
arg,317.8,1985
arg,338.4,1986
arg,372.3,1987
arg,346.9,1988
arg,324.8,1989
arg,336.7,1990
arg,358.8,1991
arg,393.6,1992
arg,426.9,1993
arg,456.7,1994
arg,484.2,1995
arg,493.2,1996
arg,511.5,1997
arg,523.5,1998
arg,555.0,1999
arg,570.2,2000
arg,578.0,2001
arg,554.4,2002
arg,557.1,2003
arg,575.1,2004
arg,614.7,2005
arg,653.5,2006
arg,708.6,2007
arg,768.4,2008
arm,606.3,1990
arm,699.8,1991
arm,717.3,1992
arm,420.0,1993
arm,310.3,1994
arm,208.9,1995
arm,353.9,1996
arm,794.8,1997
arm,578.6,1998
arm,531.0,1999
arm,512.2,2000
arm,487.9,2001
arm,496.5,2002
arm,533.5,2003
arm,549.7,2004
arm,577.7,2005
arm,574.3,2006
arm,594.7,2007
arm,603.8,2008
aus,653.7,1960
aus,712.0,1961
aus,745.9,1962
aus,799.0,1963
aus,854.7,1964
aus,904.6,1965
aus,963.0,1966
aus,1030.0,1967
aus,1078.0,1968
aus,1159.0,1969
aus,1211.0,1970
aus,1286.0,1971
aus,1363.0,1972
aus,1396.0,1973
aus,1452.0,1974
aus,1607.0,1975
aus,1669.0,1976
aus,1799.0,1977
aus,1862.0,1978
aus,1956.0,1979
aus,1982.0,1980
aus,2044.0,1981
aus,2108.0,1982
aus,2101.0,1983
aus,2136.0,1984
aus,2064.0,1985
aus,2152.0,1986
aus,2188.0,1987
aus,2189.0,1988
aus,2183.0,1989
aus,2265.0,1990
aus,2275.0,1991
aus,2249.0,1992
aus,2298.0,1993
aus,2267.0,1994
aus,2328.0,1995
aus,2355.0,1996
aus,2412.0,1997
aus,2461.0,1998
aus,2495.0,1999
aus,2545.0,2000
aus,2563.0,2001
aus,2622.0,2002
aus,2581.0,2003
aus,2675.0,2004
aus,2757.0,2005
aus,2768.0,2006
aus,2753.0,2007
aus,2825.0,2008
aut,245.2,1960
aut,267.3,1961
