geo,sex_ratio_above_50_years,time
afg,102.9,1950
afg,101.8,1955
afg,101.0,1960
afg,100.4,1965
afg,100.2,1970
afg,100.3,1975
afg,100.7,1980
afg,101.3,1985
afg,102.0,1990
afg,102.3,1995
afg,102.6,2000
afg,102.7,2005
afg,102.7,2010
afg,102.6,2015
afg,102.5,2020
afg,102.4,2025
afg,102.3,2030
afg,102.3,2035
afg,102.4,2040
afg,102.5,2045
afg,102.6,2050
alb,95.92,1950
alb,94.86,1955
alb,94.19,1960
alb,93.59,1965
alb,94.24,1970
alb,93.7,1975
alb,89.8,1980
alb,93.56,1985
alb,94.42,1990
alb,95.09,1995
alb,94.66,2000
alb,92.92,2005
alb,91.35,2010
alb,89.36,2015
alb,86.08,2020
alb,82.79,2025
alb,79.84,2030
alb,78.68,2035
alb,79.78,2040
alb,81.4,2045
alb,82.78,2050
dza,101.1,1950
dza,102.0,1955
dza,101.3,1960
dza,102.0,1965
dza,86.13,1970
dza,86.68,1975
dza,91.25,1980
dza,91.08,1985
dza,89.65,1990
dza,89.13,1995
dza,88.19,2000
dza,90.63,2005
dza,92.69,2010
dza,94.36,2015
dza,95.29,2020
dza,95.62,2025
dza,95.64,2030
dza,95.45,2035
dza,95.05,2040
dza,94.51,2045
dza,93.69,2050
ago,84.14,1950
ago,83.95,1955
ago,84.11,1960
ago,84.48,1965
ago,84.92,1970
ago,85.34,1975
ago,85.76,1980
ago,86.1,1985
ago,86.26,1990
ago,86.36,1995
ago,86.42,2000
ago,86.26,2005
ago,86.2,2010
ago,86.23,2015
ago,86.42,2020
ago,86.91,2025
ago,87.72,2030
ago,88.44,2035
ago,88.95,2040
ago,89.28,2045
ago,89.4,2050
arg,111.2,1950
arg,108.2,1955
arg,103.6,1960
arg,98.04,1965
arg,93.02,1970
arg,89.4,1975
arg,85.64,1980
arg,82.68,1985
arg,80.7,1990
arg,79.83,1995
arg,79.88,2000
arg,80.08,2005
arg,80.63,2010
arg,81.19,2015
arg,81.7,2020
arg,82.28,2025
arg,83.05,2030
arg,83.4,2035
arg,83.65,2040
arg,83.82,2045
arg,83.82,2050
arm,88.75,1950
arm,82.62,1955
arm,77.7,1960
arm,72.03,1965
arm,67.72,1970
arm,66.91,1975
arm,73.99,1980
arm,78.71,1985
arm,79.28,1990
arm,77.0,1995
arm,74.47,2000
arm,71.93,2005
arm,70.46,2010
