geo,stomach_cancer_deaths_per_100000_women,time
afg,8.3,2002
alb,5.85,1987
alb,7.05,1988
alb,7.62,1989
alb,6.4,1992
alb,6.07,1993
alb,4.01,1994
alb,5.69,1995
alb,8.02,1996
alb,6.41,1997
alb,7.35,1998
alb,7.62,1999
alb,7.24,2000
alb,6.82,2001
alb,6.65,2002
dza,3.0,2002
ago,9.1,2002
arg,12.1,1966
arg,13.43,1967
arg,13.13,1968
arg,12.58,1969
arg,11.57,1970
arg,8.69,1977
arg,8.18,1978
arg,7.49,1979
arg,7.12,1980
arg,6.8,1981
arg,6.62,1982
arg,6.1,1983
arg,6.35,1984
arg,5.98,1985
arg,5.52,1986
arg,5.77,1987
arg,5.8,1988
arg,5.33,1989
arg,4.69,1990
arg,4.89,1991
arg,4.69,1992
arg,4.32,1993
arg,4.45,1994
arg,4.17,1995
arg,4.27,1996
arg,4.16,1997
arg,3.98,1998
arg,3.95,1999
arg,3.65,2000
arg,3.63,2001
arg,3.45,2002
arm,8.83,1981
arm,9.98,1982
arm,10.59,1985
arm,8.55,1986
arm,10.34,1987
arm,8.17,1988
arm,9.33,1989
arm,10.73,1990
arm,10.01,1991
arm,10.49,1992
arm,8.15,1993
arm,7.48,1994
arm,7.17,1995
arm,7.66,1996
arm,7.3,1997
arm,8.2,1998
arm,6.62,1999
arm,6.63,2000
arm,7.97,2001
arm,5.76,2002
aus,14.03,1950
aus,14.07,1951
aus,14.24,1952
aus,13.67,1953
aus,12.62,1954
aus,12.03,1955
aus,11.58,1956
aus,11.39,1957
aus,10.0,1958
aus,10.49,1959
aus,9.32,1960
aus,10.14,1961
aus,8.78,1962
aus,9.15,1963
aus,8.0,1964
aus,7.7,1965
aus,7.88,1966
aus,7.34,1967
aus,7.84,1968
aus,8.22,1969
aus,7.02,1970
aus,6.96,1971
aus,7.14,1972
aus,6.46,1973
aus,6.48,1974
aus,6.25,1975
aus,6.02,1976
aus,5.88,1977
aus,5.34,1978
aus,4.89,1979
aus,4.45,1980
aus,4.49,1981
aus,4.37,1982
aus,4.59,1983
aus,4.47,1984
aus,3.86,1985
aus,3.93,1986
aus,3.71,1987
aus,3.62,1988
aus,3.56,1989
aus,3.31,1990
aus,3.24,1991
aus,3.11,1992
aus,2.79,1993
aus,2.77,1994
aus,2.67,1995
aus,2.8,1996
aus,2.78,1997
aus,2.39,1998
aus,2.4,1999
aus,2.18,2000
aus,2.34,2001
aus,2.27,2002
aut,27.57,1955
aut,28.26,1956
aut,29.08,1957
aut,27.44,1958
aut,25.82,1959
aut,25.69,1960
aut,25.68,1961
aut,24.99,1962
aut,23.92,1963
aut,25.41,1964
aut,21.84,1965
aut,22.38,1966
aut,22.4,1967
aut,21.85,1968
aut,19.2,1969
aut,20.24,1970
aut,18.52,1971
aut,16.92,1972
aut,16.85,1973
aut,16.51,1974
aut,14.94,1975
aut,14.84,1976
aut,14.28,1977
aut,13.65,1978
aut,12.58,1979
aut,12.03,1980
aut,11.59,1981
aut,11.63,1982
aut,10.61,1983
aut,10.27,1984
aut,9.95,1985
aut,9.7,1986
aut,9.28,1987
aut,8.31,1988
aut,8.52,1989
aut,8.02,1990
aut,8.22,1991
aut,7.57,1992
aut,7.47,1993
aut,7.63,1994
aut,6.92,1995
aut,6.71,1996
aut,6.31,1997
aut,5.6,1998
aut,5.34,1999
aut,5.3,2000
aut,4.81,2001
aut,4.48,2002
aze,14.76,1981
aze,15.58,1982
aze,13.88,1985
aze,13.58,1986
aze,13.33,1987
aze,13.75,1988
aze,13.13,1989
aze,12.64,1990
aze,11.49,1991
aze,11.32,1992
aze,11.1,1993
aze,11.02,1994
aze,11.67,1995
aze,9.42,1996
aze,10.25,1997
aze,9.77,1998
aze,10.44,1999
aze,9.11,2000
aze,9.8,2001
aze,11.04,2002
bhs,6.1,2002
bhr,5.1,2002
bgd,0.8,2002
brb,19.34,1960
brb,14.14,1961
brb,13.23,1962
brb,17.05,1963
brb,16.61,1964
brb,12.56,1966
brb,16.21,1967
brb,14.38,1968
brb,13.37,1969
brb,9.75,1970
brb,10.23,1971
brb,14.42,1972
brb,14.53,1973
brb,12.68,1974
brb,13.91,1975
brb,9.15,1976
brb,14.86,1977
brb,14.41,1978
brb,9.07,1979
brb,7.93,1980
brb,7.97,1981
brb,5.67,1982
brb,9.33,1983
brb,7.16,1984
brb,7.17,1985
brb,11.86,1986
brb,11.03,1987
brb,9.14,1988
brb,6.83,1989
brb,8.3,1990
brb,10.08,1991
brb,9.93,1992
brb,4.62,1993
brb,7.94,1994
brb,2.26,1995
brb,6.57,2000
brb,7.76,2001
brb,5.4,2002
blr,17.48,1981
blr,18.02,1982
blr,17.11,1985
blr,16.43,1986
blr,16.01,1987
blr,16.12,1988
blr,15.98,1989
blr,16.24,1990
blr,16.33,1991
blr,15.66,1992
blr,14.68,1993
blr,15.04,1994
blr,14.19,1995
blr,12.66,1997
blr,13.11,1998
blr,12.99,1999
blr,12.35,2000
blr,11.88,2001
blr,11.22,2002
bel,4.3,2002
blz,8.9,2002
ben,3.4,2002
btn,3.0,2002
bol,7.2,2002
bih,6.9,2002
bwa,2.1,2002
bra,7.49,1979
bra,7.41,1980
bra,7.28,1981
bra,7.27,1982
bra,7.02,1983
bra,6.85,1984
bra,6.34,1985
bra,6.45,1986
bra,6.5,1987
bra,6.32,1988
bra,6.03,1989
bra,5.77,1990
