geo,stomach_cancer_number_of_male_deaths,time
afg,936,2002
alb,180,2002
dza,571,2002
ago,429,2002
arg,2076,2002
arm,331,2002
aus,800,2002
aut,675,2002
aze,964,2002
bhs,13,2002
bhr,15,2002
bgd,565,2002
brb,23,2002
blr,1935,2002
bel,735,2002
blz,12,2002
ben,52,2002
btn,39,2002
bol,427,2002
bih,370,2002
bwa,12,2002
bra,9659,2002
brn,15,2002
bgr,955,2002
bfa,58,2002
bdi,100,2002
khm,364,2002
cmr,20,2002
can,1331,2002
cpv,2,2002
caf,137,2002
tcd,260,2002
chl,2257,2002
chn,206600,2002
col,3929,2002
com,13,2002
cod,2219,2002
cog,16,2002
cri,459,2002
civ,213,2002
hrv,662,2002
cub,491,2002
cyp,30,2002
cze,904,2002
dnk,241,2002
dji,11,2002
dom,302,2002
ecu,1355,2002
egy,744,2002
slv,375,2002
gnq,18,2002
eri,72,2002
est,212,2002
eth,1246,2002
fji,15,2002
fin,326,2002
fra,3417,2002
pyf,44,2002
gab,8,2002
gmb,9,2002
geo,537,2002
deu,7395,2002
gha,186,2002
grc,887,2002
gum,4,2002
gtm,417,2002
gin,125,2002
gnb,12,2002
guy,24,2002
hti,538,2002
hnd,226,2002
hun,1299,2002
isl,18,2002
ind,19350,2002
idn,2323,2002
irn,4575,2002
irq,230,2002
irl,215,2002
isr,303,2002
ita,6903,2002
jam,220,2002
jpn,35340,2002
jor,76,2002
kaz,2145,2002
ken,762,2002
prk,3730,2002
kor,8322,2002
kwt,28,2002
kgz,498,2002
lao,40,2002
lva,339,2002
lbn,82,2002
lso,30,2002
lbr,27,2002
lby,75,2002
ltu,515,2002
lux,25,2002
mkd,254,2002
mdg,302,2002
mwi,58,2002
mys,860,2002
mli,475,2002
mlt,31,2002
mrt,23,2002
mus,48,2002
mex,3370,2002
mda,379,2002
mng,241,2002
mar,548,2002
moz,38,2002
mmr,1655,2002
nam,12,2002
npl,422,2002
nzl,204,2002
nic,213,2002
ner,45,2002
nga,584,2002
nor,353,2002
omn,84,2002
pak,1567,2002
pan,172,2002
png,56,2002
pry,222,2002
per,2692,2002
phl,1743,2002
pol,4017,2002
prt,1601,2002
pri,246,2002
qat,21,2002
rou,2665,2002
rus,25730,2002
rwa,269,2002
wsm,9,2002
sau,315,2002
sen,119,2002
scg,910,2002
sle,41,2002
sgp,380,2002
svk,536,2002
svn,244,2002
slb,8,2002
som,147,2002
zaf,960,2002
esp,3928,2002
lka,185,2002
sdn,281,2002
sur,16,2002
swz,11,2002
swe,571,2002
che,413,2002
syr,265,2002
tjk,376,2002
tza,529,2002
tha,964,2002
nld,1114,2002
tgo,40,2002
tto,51,2002
tun,197,2002
tur,2821,2002
tkm,251,2002
uga,322,2002
ukr,7652,2002
are,167,2002
gbr,4464,2002
usa,7761,2002
ury,280,2002
uzb,1118,2002
vut,2,2002
ven,1194,2002
vnm,5190,2002
yem,173,2002
zmb,197,2002
zwe,293,2002
